ID;Sex;AgeAtDecember31;TypeOfFigure;Periods;LifeExpectancy_1;LifeExpectancyInPerceivedGoodHealth_2;LEWithoutModerateSevereLimitations_3;LEWithoutSevereLimitations_4;LEWithoutLightModerateSevereLim_5;LEWithoutChronicMorbidity_6;LEWithoutChrMorbExclHypertension_7;LEWithoutPsychologicalComplaints_8;LifeExpectancyWithoutGALILimitations_9;LifeExpWithoutSevereGALILimitations_10
1048;Total male and female;55 years;Percentage/average;1997;;;;;;;;;;
1049;Total male and female;55 years;Percentage/average;1998;;;;;;;;;;
1050;Total male and female;55 years;Percentage/average;1999;;;;;;;;;;
1051;Total male and female;55 years;Percentage/average;2000;;;;;;;;;;
1052;Total male and female;55 years;Percentage/average;2001;;;;;;;;;;
1053;Total male and female;55 years;Percentage/average;2002;;;;;;;;;;
1054;Total male and female;55 years;Percentage/average;2003;;;;;;;;;;
1055;Total male and female;55 years;Percentage/average;2004;;;;;;;;;;
1056;Total male and female;55 years;Percentage/average;2005;;;;;;;;;;
1057;Total male and female;55 years;Percentage/average;2006;;;;;;;;;;
1058;Total male and female;55 years;Percentage/average;2007;;;;;;;;;;
1059;Total male and female;55 years;Percentage/average;2008;;;;;;;;;;
1060;Total male and female;55 years;Percentage/average;2009;;;;;;;;;;
1061;Total male and female;55 years;Percentage/average;2010;;;;;;;;;;
1062;Total male and female;55 years;Percentage/average;2011;;;;;;;;;;
1063;Total male and female;55 years;Percentage/average;2012;;;;;;;;;;
1064;Total male and female;55 years;Percentage/average;2013;;;;;;;;;;
1065;Total male and female;55 years;Percentage/average;2014;;;;;;;;;;
1066;Total male and female;55 years;Percentage/average;2015;;;;;;;;;;
1067;Total male and female;55 years;Percentage/average;2016;;;;;;;;;;
1068;Total male and female;55 years;Percentage/average;2017;;;;;;;;;;
1069;Total male and female;55 years;Percentage/average;2018;28.94;18.1;21.3;23.9;12.5;7.0;9.3;25.3;15.2;25.8
1070;Total male and female;55 years;Percentage/average;2019;29.22;18.5;21.3;23.8;12.6;7.2;9.3;25.8;14.7;26.1
1071;Total male and female;55 years;Percentage/average;2020;28.61;19.4;21.8;23.9;12.4;6.8;8.7;25.4;14.9;25.8
1072;Total male and female;55 years;Percentage/average;2021;28.56;19.4;22.2;24.4;12.5;7.4;9.5;25.0;15.0;26.4
1073;Total male and female;55 years;Percentage/average;2022;28.85;18.1;21.4;23.7;12.3;7.3;9.2;25.6;14.5;25.6
1074;Total male and female;55 years;Percentage/average;2023;29.04;18.5;21.8;24.4;12.3;7.0;8.8;25.8;14.5;25.8
1075;Total male and female;55 years;Standard errors;1981;;;;;;;;;;
1076;Total male and female;55 years;Standard errors;1982;;;;;;;;;;
1077;Total male and female;55 years;Standard errors;1983;;;;;;;;;;
1078;Total male and female;55 years;Standard errors;1984;;;;;;;;;;
1079;Total male and female;55 years;Standard errors;1985;;;;;;;;;;
1080;Total male and female;55 years;Standard errors;1986;;;;;;;;;;
1081;Total male and female;55 years;Standard errors;1987;;;;;;;;;;
1082;Total male and female;55 years;Standard errors;1988;;;;;;;;;;
1083;Total male and female;55 years;Standard errors;1989;;;;;;;;;;
1084;Total male and female;55 years;Standard errors;1990;;;;;;;;;;
1085;Total male and female;55 years;Standard errors;1991;;;;;;;;;;
1086;Total male and female;55 years;Standard errors;1992;;;;;;;;;;
1087;Total male and female;55 years;Standard errors;1993;;;;;;;;;;
1088;Total male and female;55 years;Standard errors;1994;;;;;;;;;;
1089;Total male and female;55 years;Standard errors;1995;;;;;;;;;;
1090;Total male and female;55 years;Standard errors;1996;;;;;;;;;;
1091;Total male and female;55 years;Standard errors;1997;;;;;;;;;;
1092;Total male and female;55 years;Standard errors;1998;;;;;;;;;;
1093;Total male and female;55 years;Standard errors;1999;;;;;;;;;;
1094;Total male and female;55 years;Standard errors;2000;;;;;;;;;;
1095;Total male and female;55 years;Standard errors;2001;;;;;;;;;;
1096;Total male and female;55 years;Standard errors;2002;;;;;;;;;;
1097;Total male and female;55 years;Standard errors;2003;;;;;;;;;;
1098;Total male and female;55 years;Standard errors;2004;;;;;;;;;;
1099;Total male and female;55 years;Standard errors;2005;;;;;;;;;;
1100;Total male and female;55 years;Standard errors;2006;;;;;;;;;;
1101;Total male and female;55 years;Standard errors;2007;;;;;;;;;;
1102;Total male and female;55 years;Standard errors;2008;;;;;;;;;;
1103;Total male and female;55 years;Standard errors;2009;;;;;;;;;;
1104;Total male and female;55 years;Standard errors;2010;;;;;;;;;;
1105;Total male and female;55 years;Standard errors;2011;;;;;;;;;;
1106;Total male and female;55 years;Standard errors;2012;;;;;;;;;;
1107;Total male and female;55 years;Standard errors;2013;;;;;;;;;;
1108;Total male and female;55 years;Standard errors;2014;;;;;;;;;;
1109;Total male and female;55 years;Standard errors;2015;;;;;;;;;;
1110;Total male and female;55 years;Standard errors;2016;;;;;;;;;;
1111;Total male and female;55 years;Standard errors;2017;;;;;;;;;;
1112;Total male and female;55 years;Standard errors;2018;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1113;Total male and female;55 years;Standard errors;2019;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1114;Total male and female;55 years;Standard errors;2020;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1115;Total male and female;55 years;Standard errors;2021;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.1
1116;Total male and female;55 years;Standard errors;2022;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1117;Total male and female;55 years;Standard errors;2023;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1118;Total male and female;60 years;Percentage/average;1981;;;;;;;;;;
1119;Total male and female;60 years;Percentage/average;1982;;;;;;;;;;
1120;Total male and female;60 years;Percentage/average;1983;;;;;;;;;;
1121;Total male and female;60 years;Percentage/average;1984;;;;;;;;;;
1122;Total male and female;60 years;Percentage/average;1985;;;;;;;;;;
1123;Total male and female;60 years;Percentage/average;1986;;;;;;;;;;
1124;Total male and female;60 years;Percentage/average;1987;;;;;;;;;;
1125;Total male and female;60 years;Percentage/average;1988;;;;;;;;;;
1126;Total male and female;60 years;Percentage/average;1989;;;;;;;;;;
1127;Total male and female;60 years;Percentage/average;1990;;;;;;;;;;
1128;Total male and female;60 years;Percentage/average;1991;;;;;;;;;;
1129;Total male and female;60 years;Percentage/average;1992;;;;;;;;;;
1130;Total male and female;60 years;Percentage/average;1993;;;;;;;;;;
1131;Total male and female;60 years;Percentage/average;1994;;;;;;;;;;
1132;Total male and female;60 years;Percentage/average;1995;;;;;;;;;;
1133;Total male and female;60 years;Percentage/average;1996;;;;;;;;;;
1134;Total male and female;60 years;Percentage/average;1997;;;;;;;;;;
1135;Total male and female;60 years;Percentage/average;1998;;;;;;;;;;
1136;Total male and female;60 years;Percentage/average;1999;;;;;;;;;;
1137;Total male and female;60 years;Percentage/average;2000;;;;;;;;;;
1138;Total male and female;60 years;Percentage/average;2001;;;;;;;;;;
1139;Total male and female;60 years;Percentage/average;2002;;;;;;;;;;
1140;Total male and female;60 years;Percentage/average;2003;;;;;;;;;;
1141;Total male and female;60 years;Percentage/average;2004;;;;;;;;;;
1142;Total male and female;60 years;Percentage/average;2005;;;;;;;;;;
1143;Total male and female;60 years;Percentage/average;2006;;;;;;;;;;
1144;Total male and female;60 years;Percentage/average;2007;;;;;;;;;;
1145;Total male and female;60 years;Percentage/average;2008;;;;;;;;;;
1146;Total male and female;60 years;Percentage/average;2009;;;;;;;;;;
1147;Total male and female;60 years;Percentage/average;2010;;;;;;;;;;
1148;Total male and female;60 years;Percentage/average;2011;;;;;;;;;;
1149;Total male and female;60 years;Percentage/average;2012;;;;;;;;;;
1150;Total male and female;60 years;Percentage/average;2013;;;;;;;;;;
1151;Total male and female;60 years;Percentage/average;2014;;;;;;;;;;
1152;Total male and female;60 years;Percentage/average;2015;;;;;;;;;;
1153;Total male and female;60 years;Percentage/average;2016;;;;;;;;;;
1154;Total male and female;60 years;Percentage/average;2017;;;;;;;;;;
1155;Total male and female;60 years;Percentage/average;2018;24.51;14.9;17.6;19.8;9.7;5.4;7.4;21.5;12.4;21.8
1156;Total male and female;60 years;Percentage/average;2019;24.76;15.3;17.4;19.6;9.8;5.5;7.2;22.1;12.0;22.0
1157;Total male and female;60 years;Percentage/average;2020;24.12;16.2;17.9;19.8;9.8;5.1;6.8;21.6;12.1;21.7
1158;Total male and female;60 years;Percentage/average;2021;24.12;15.9;18.3;20.2;9.8;5.5;7.3;21.1;12.1;22.2
1159;Total male and female;60 years;Percentage/average;2022;24.4;14.9;17.6;19.6;9.7;5.4;7.1;21.8;11.6;21.6
1160;Total male and female;60 years;Percentage/average;2023;24.57;15.4;17.9;20.3;9.5;5.3;6.9;22.0;11.8;21.7
1161;Total male and female;60 years;Standard errors;1981;;;;;;;;;;
1162;Total male and female;60 years;Standard errors;1982;;;;;;;;;;
1163;Total male and female;60 years;Standard errors;1983;;;;;;;;;;
1164;Total male and female;60 years;Standard errors;1984;;;;;;;;;;
1165;Total male and female;60 years;Standard errors;1985;;;;;;;;;;
1166;Total male and female;60 years;Standard errors;1986;;;;;;;;;;
1167;Total male and female;60 years;Standard errors;1987;;;;;;;;;;
1168;Total male and female;60 years;Standard errors;1988;;;;;;;;;;
1169;Total male and female;60 years;Standard errors;1989;;;;;;;;;;
1170;Total male and female;60 years;Standard errors;1990;;;;;;;;;;
1171;Total male and female;60 years;Standard errors;1991;;;;;;;;;;
1172;Total male and female;60 years;Standard errors;1992;;;;;;;;;;
1173;Total male and female;60 years;Standard errors;1993;;;;;;;;;;
1174;Total male and female;60 years;Standard errors;1994;;;;;;;;;;
1175;Total male and female;60 years;Standard errors;1995;;;;;;;;;;
1176;Total male and female;60 years;Standard errors;1996;;;;;;;;;;
1177;Total male and female;60 years;Standard errors;1997;;;;;;;;;;
1178;Total male and female;60 years;Standard errors;1998;;;;;;;;;;
1179;Total male and female;60 years;Standard errors;1999;;;;;;;;;;
1180;Total male and female;60 years;Standard errors;2000;;;;;;;;;;
1181;Total male and female;60 years;Standard errors;2001;;;;;;;;;;
1182;Total male and female;60 years;Standard errors;2002;;;;;;;;;;
1183;Total male and female;60 years;Standard errors;2003;;;;;;;;;;
1184;Total male and female;60 years;Standard errors;2004;;;;;;;;;;
1185;Total male and female;60 years;Standard errors;2005;;;;;;;;;;
1186;Total male and female;60 years;Standard errors;2006;;;;;;;;;;
1187;Total male and female;60 years;Standard errors;2007;;;;;;;;;;
1188;Total male and female;60 years;Standard errors;2008;;;;;;;;;;
1189;Total male and female;60 years;Standard errors;2009;;;;;;;;;;
1190;Total male and female;60 years;Standard errors;2010;;;;;;;;;;
1191;Total male and female;60 years;Standard errors;2011;;;;;;;;;;
1192;Total male and female;60 years;Standard errors;2012;;;;;;;;;;
1193;Total male and female;60 years;Standard errors;2013;;;;;;;;;;
1194;Total male and female;60 years;Standard errors;2014;;;;;;;;;;
1195;Total male and female;60 years;Standard errors;2015;;;;;;;;;;
1196;Total male and female;60 years;Standard errors;2016;;;;;;;;;;
1197;Total male and female;60 years;Standard errors;2017;;;;;;;;;;
1198;Total male and female;60 years;Standard errors;2018;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1199;Total male and female;60 years;Standard errors;2019;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1200;Total male and female;60 years;Standard errors;2020;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
1201;Total male and female;60 years;Standard errors;2021;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.1
1202;Total male and female;60 years;Standard errors;2022;;0.2;0.2;0.2;0.2;0.2;0.2;0.1;0.2;0.1
1203;Total male and female;60 years;Standard errors;2023;;0.2;0.2;0.2;0.2;0.2;0.2;0.1;0.2;0.1
1204;Total male and female;65 years;Percentage/average;1981;;;;;;;;;;
1205;Total male and female;65 years;Percentage/average;1982;;;;;;;;;;
1206;Total male and female;65 years;Percentage/average;1983;;;;;;;;;;
1207;Total male and female;65 years;Percentage/average;1984;;;;;;;;;;
1208;Total male and female;65 years;Percentage/average;1985;;;;;;;;;;
1209;Total male and female;65 years;Percentage/average;1986;;;;;;;;;;
1210;Total male and female;65 years;Percentage/average;1987;;;;;;;;;;
1211;Total male and female;65 years;Percentage/average;1988;;;;;;;;;;
1212;Total male and female;65 years;Percentage/average;1989;;;;;;;;;;
1213;Total male and female;65 years;Percentage/average;1990;;;;;;;;;;
1214;Total male and female;65 years;Percentage/average;1991;;;;;;;;;;
1215;Total male and female;65 years;Percentage/average;1992;;;;;;;;;;
1216;Total male and female;65 years;Percentage/average;1993;;;;;;;;;;
1217;Total male and female;65 years;Percentage/average;1994;;;;;;;;;;
1218;Total male and female;65 years;Percentage/average;1995;;;;;;;;;;
1219;Total male and female;65 years;Percentage/average;1996;;;;;;;;;;
1220;Total male and female;65 years;Percentage/average;1997;;;;;;;;;;
1221;Total male and female;65 years;Percentage/average;1998;;;;;;;;;;
1222;Total male and female;65 years;Percentage/average;1999;;;;;;;;;;
1223;Total male and female;65 years;Percentage/average;2000;;;;;;;;;;
1224;Total male and female;65 years;Percentage/average;2001;;;;;;;;;;
1225;Total male and female;65 years;Percentage/average;2002;;;;;;;;;;
1226;Total male and female;65 years;Percentage/average;2003;;;;;;;;;;
1227;Total male and female;65 years;Percentage/average;2004;;;;;;;;;;
1228;Total male and female;65 years;Percentage/average;2005;;;;;;;;;;
1229;Total male and female;65 years;Percentage/average;2006;;;;;;;;;;
1230;Total male and female;65 years;Percentage/average;2007;;;;;;;;;;
1231;Total male and female;65 years;Percentage/average;2008;;;;;;;;;;
1232;Total male and female;65 years;Percentage/average;2009;;;;;;;;;;
1233;Total male and female;65 years;Percentage/average;2010;;;;;;;;;;
1234;Total male and female;65 years;Percentage/average;2011;;;;;;;;;;
1235;Total male and female;65 years;Percentage/average;2012;;;;;;;;;;
1236;Total male and female;65 years;Percentage/average;2013;;;;;;;;;;
1237;Total male and female;65 years;Percentage/average;2014;;;;;;;;;;
1238;Total male and female;65 years;Percentage/average;2015;;;;;;;;;;
1239;Total male and female;65 years;Percentage/average;2016;;;;;;;;;;
1240;Total male and female;65 years;Percentage/average;2017;;;;;;;;;;
1241;Total male and female;65 years;Percentage/average;2018;20.29;12.3;14.1;16.0;7.5;4.1;5.6;17.9;9.9;18.1
1242;Total male and female;65 years;Percentage/average;2019;20.52;12.4;13.7;15.7;7.4;3.9;5.4;18.3;9.6;18.0
1243;Total male and female;65 years;Percentage/average;2020;19.87;13.1;14.2;15.8;7.3;3.7;5.1;17.8;9.5;17.7
1244;Total male and female;65 years;Percentage/average;2021;19.9;13.0;14.7;16.3;7.5;3.9;5.4;17.6;9.6;18.3
1245;Total male and female;65 years;Percentage/average;2022;20.13;12.0;13.9;15.7;7.2;4.0;5.3;18.1;9.2;17.8
1246;Total male and female;65 years;Percentage/average;2023;20.29;12.5;14.2;16.3;7.1;3.8;5.1;18.2;9.2;17.9
1247;Total male and female;65 years;Standard errors;1981;;;;;;;;;;
1248;Total male and female;65 years;Standard errors;1982;;;;;;;;;;
1249;Total male and female;65 years;Standard errors;1983;;;;;;;;;;
1250;Total male and female;65 years;Standard errors;1984;;;;;;;;;;
1251;Total male and female;65 years;Standard errors;1985;;;;;;;;;;
1252;Total male and female;65 years;Standard errors;1986;;;;;;;;;;
1253;Total male and female;65 years;Standard errors;1987;;;;;;;;;;
1254;Total male and female;65 years;Standard errors;1988;;;;;;;;;;
1255;Total male and female;65 years;Standard errors;1989;;;;;;;;;;
1256;Total male and female;65 years;Standard errors;1990;;;;;;;;;;
1257;Total male and female;65 years;Standard errors;1991;;;;;;;;;;
1258;Total male and female;65 years;Standard errors;1992;;;;;;;;;;
1259;Total male and female;65 years;Standard errors;1993;;;;;;;;;;
1260;Total male and female;65 years;Standard errors;1994;;;;;;;;;;
1261;Total male and female;65 years;Standard errors;1995;;;;;;;;;;
1262;Total male and female;65 years;Standard errors;1996;;;;;;;;;;
1263;Total male and female;65 years;Standard errors;1997;;;;;;;;;;
1264;Total male and female;65 years;Standard errors;1998;;;;;;;;;;
1265;Total male and female;65 years;Standard errors;1999;;;;;;;;;;
1266;Total male and female;65 years;Standard errors;2000;;;;;;;;;;
1267;Total male and female;65 years;Standard errors;2001;;;;;;;;;;
1268;Total male and female;65 years;Standard errors;2002;;;;;;;;;;
1269;Total male and female;65 years;Standard errors;2003;;;;;;;;;;
1270;Total male and female;65 years;Standard errors;2004;;;;;;;;;;
1271;Total male and female;65 years;Standard errors;2005;;;;;;;;;;
1272;Total male and female;65 years;Standard errors;2006;;;;;;;;;;
1273;Total male and female;65 years;Standard errors;2007;;;;;;;;;;
1274;Total male and female;65 years;Standard errors;2008;;;;;;;;;;
1275;Total male and female;65 years;Standard errors;2009;;;;;;;;;;
1276;Total male and female;65 years;Standard errors;2010;;;;;;;;;;
1277;Total male and female;65 years;Standard errors;2011;;;;;;;;;;
1278;Total male and female;65 years;Standard errors;2012;;;;;;;;;;
1279;Total male and female;65 years;Standard errors;2013;;;;;;;;;;
1280;Total male and female;65 years;Standard errors;2014;;;;;;;;;;
1281;Total male and female;65 years;Standard errors;2015;;;;;;;;;;
1282;Total male and female;65 years;Standard errors;2016;;;;;;;;;;
