ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1;LabourVolume_2
1359;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Sex: Male;2011;;
1360;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Sex: Male;2012;;
1361;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Sex: Male;2013;383.0;338.0
1362;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Sex: Male;2014;384.0;338.0
1363;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Sex: Male;2015;391.0;344.0
1364;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Sex: Male;2016;400.0;353.0
1365;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Sex: Female;2010;;
1366;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Sex: Female;2011;;
1367;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Sex: Female;2012;;
1368;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Sex: Female;2013;249.0;165.0
1369;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Sex: Female;2014;246.0;164.0
1370;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Sex: Female;2015;247.0;165.0
1371;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Sex: Female;2016;255.0;172.0
1372;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 15 to 34 years;2010;;
1373;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 15 to 34 years;2011;;
1374;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 15 to 34 years;2012;;
1375;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 15 to 34 years;2013;241.0;177.0
1376;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 15 to 34 years;2014;239.0;174.0
1377;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 15 to 34 years;2015;244.0;178.0
1378;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 15 to 34 years;2016;251.0;184.0
1379;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 35 to 54 years;2010;;
1380;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 35 to 54 years;2011;;
1381;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 35 to 54 years;2012;;
1382;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 35 to 54 years;2013;292.0;245.0
1383;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 35 to 54 years;2014;289.0;243.0
1384;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 35 to 54 years;2015;288.0;242.0
1385;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 35 to 54 years;2016;289.0;243.0
1386;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 55 years or older;2010;;
1387;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 55 years or older;2011;;
1388;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 55 years or older;2012;;
1389;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 55 years or older;2013;94.0;75.0
1390;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 55 years or older;2014;97.0;77.0
1391;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 55 years or older;2015;101.0;81.0
1392;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Age: 55 years or older;2016;110.0;88.0
1393;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: low (among lowest 30 percent);2010;;
1394;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: low (among lowest 30 percent);2011;;
1395;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: low (among lowest 30 percent);2012;;
1396;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: low (among lowest 30 percent);2013;67.0;34.0
1397;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: low (among lowest 30 percent);2014;63.0;32.0
1398;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: low (among lowest 30 percent);2015;64.0;33.0
1399;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: low (among lowest 30 percent);2016;60.0;31.0
1400;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: middle;2010;;
1401;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: middle;2011;;
1402;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: middle;2012;;
1403;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: middle;2013;425.0;335.0
1404;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: middle;2014;424.0;332.0
1405;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: middle;2015;426.0;333.0
1406;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: middle;2016;442.0;345.0
1407;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: high (among highest 20 percent);2010;;
1408;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: high (among highest 20 percent);2011;;
1409;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: high (among highest 20 percent);2012;;
1410;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: high (among highest 20 percent);2013;121.0;109.0
1411;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: high (among highest 20 percent);2014;122.0;110.0
1412;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: high (among highest 20 percent);2015;125.0;114.0
1413;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Wage: high (among highest 20 percent);2016;132.0;120.0
1414;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Dutch;2010;;
1415;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Dutch;2011;;
1416;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Dutch;2012;;
1417;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Dutch;2013;593.0;468.0
1418;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Dutch;2014;590.0;465.0
1419;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Dutch;2015;595.0;469.0
1420;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Dutch;2016;610.0;483.0
1421;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Belgian;2010;;
1422;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Belgian;2011;;
1423;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Belgian;2012;;
1424;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Belgian;2013;;
1425;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Belgian;2014;;
1426;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Belgian;2015;;
1427;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Belgian;2016;;
1428;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: British;2010;;
1429;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: British;2011;;
1430;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: British;2012;;
1431;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: British;2013;;
1432;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: British;2014;;
1433;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: British;2015;;
1434;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: British;2016;;
1435;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: German;2010;;
1436;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: German;2011;;
1437;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: German;2012;;
1438;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: German;2013;;
1439;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: German;2014;;
1440;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: German;2015;;
1441;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: German;2016;;
1442;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Polish;2010;;
1443;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Polish;2011;;
1444;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Polish;2012;;
1445;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Polish;2013;;
1446;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Polish;2014;;
1447;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Polish;2015;;
1448;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Polish;2016;;
1449;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Indian;2010;;
1450;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Indian;2011;;
1451;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Indian;2012;;
1452;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Indian;2013;;
1453;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Indian;2014;;
1454;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Indian;2015;;
1455;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: Indian;2016;;
1456;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: other;2010;;
1457;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: other;2011;;
1458;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: other;2012;;
1459;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: other;2013;;
1460;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: other;2014;;
1461;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: other;2015;;
1462;Total domestic and foreign;50 to 249 employees;200 Intermediate education;Nationality: other;2016;;
1463;Total domestic and foreign;50 to 249 employees;300 Higher education;Total ;2010;;
1464;Total domestic and foreign;50 to 249 employees;300 Higher education;Total ;2011;;
1465;Total domestic and foreign;50 to 249 employees;300 Higher education;Total ;2012;;
1466;Total domestic and foreign;50 to 249 employees;300 Higher education;Total ;2013;425.0;337.0
1467;Total domestic and foreign;50 to 249 employees;300 Higher education;Total ;2014;433.0;343.0
1468;Total domestic and foreign;50 to 249 employees;300 Higher education;Total ;2015;445.0;353.0
1469;Total domestic and foreign;50 to 249 employees;300 Higher education;Total ;2016;450.0;358.0
1470;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: specified time;2010;;
1471;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: specified time;2011;;
1472;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: specified time;2012;;
1473;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: specified time;2013;117.0;80.0
1474;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: specified time;2014;119.0;82.0
1475;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: specified time;2015;132.0;91.0
1476;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: specified time;2016;137.0;96.0
1477;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: unspecified time;2010;;
1478;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: unspecified time;2011;;
1479;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: unspecified time;2012;;
1480;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: unspecified time;2013;314.0;264.0
1481;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: unspecified time;2014;323.0;272.0
1482;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: unspecified time;2015;323.0;273.0
1483;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: unspecified time;2016;323.0;274.0
1484;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: other;2010;;
1485;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: other;2011;;
1486;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: other;2012;;
1487;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: other;2013;;
1488;Total domestic and foreign;50 to 249 employees;300 Higher education;Type of contract: other;2014;2.0;2.0
