ID;Functions;Providers;Periods;HealthAndSocialCareExpenditure_1
1036;Social work and child day care;HP31: Medical practices;2009;0
1037;Social work and child day care;HP31: Medical practices;2010;0
1038;Social work and child day care;HP31: Medical practices;2011;0
1039;Social work and child day care;HP31: Medical practices;2012;0
1040;Social work and child day care;HP31: Medical practices;2013;0
1041;Social work and child day care;HP31: Medical practices;2014;0
1042;Social work and child day care;HP31: Medical practices;2015;0
1043;Social work and child day care;HP31: Medical practices;2016;0
1044;Social work and child day care;HP31: Medical practices;2017;0
1045;Social work and child day care;HP31: Medical practices;2018;0
1046;Social work and child day care;HP31: Medical practices;2019;0
1047;Social work and child day care;HP31: Medical practices;2020;0
1048;Social work and child day care;HP31: Medical practices;2021;0
1049;Social work and child day care;HP31: Medical practices;2022;0
1050;Social work and child day care;HP32: Dental practices;1998;0
1051;Social work and child day care;HP32: Dental practices;1999;0
1052;Social work and child day care;HP32: Dental practices;2000;0
1053;Social work and child day care;HP32: Dental practices;2001;0
1054;Social work and child day care;HP32: Dental practices;2002;0
1055;Social work and child day care;HP32: Dental practices;2003;0
1056;Social work and child day care;HP32: Dental practices;2004;0
1057;Social work and child day care;HP32: Dental practices;2005;0
1058;Social work and child day care;HP32: Dental practices;2006;0
1059;Social work and child day care;HP32: Dental practices;2007;0
1060;Social work and child day care;HP32: Dental practices;2008;0
1061;Social work and child day care;HP32: Dental practices;2009;0
1062;Social work and child day care;HP32: Dental practices;2010;0
1063;Social work and child day care;HP32: Dental practices;2011;0
1064;Social work and child day care;HP32: Dental practices;2012;0
1065;Social work and child day care;HP32: Dental practices;2013;0
1066;Social work and child day care;HP32: Dental practices;2014;0
1067;Social work and child day care;HP32: Dental practices;2015;0
1068;Social work and child day care;HP32: Dental practices;2016;0
1069;Social work and child day care;HP32: Dental practices;2017;0
1070;Social work and child day care;HP32: Dental practices;2018;0
1071;Social work and child day care;HP32: Dental practices;2019;0
1072;Social work and child day care;HP32: Dental practices;2020;0
1073;Social work and child day care;HP32: Dental practices;2021;0
1074;Social work and child day care;HP32: Dental practices;2022;0
1075;Social work and child day care;HP34: Ambulatory health care centres;1998;0
1076;Social work and child day care;HP34: Ambulatory health care centres;1999;0
1077;Social work and child day care;HP34: Ambulatory health care centres;2000;0
1078;Social work and child day care;HP34: Ambulatory health care centres;2001;0
1079;Social work and child day care;HP34: Ambulatory health care centres;2002;0
1080;Social work and child day care;HP34: Ambulatory health care centres;2003;0
1081;Social work and child day care;HP34: Ambulatory health care centres;2004;0
1082;Social work and child day care;HP34: Ambulatory health care centres;2005;0
1083;Social work and child day care;HP34: Ambulatory health care centres;2006;0
1084;Social work and child day care;HP34: Ambulatory health care centres;2007;0
1085;Social work and child day care;HP34: Ambulatory health care centres;2008;0
1086;Social work and child day care;HP34: Ambulatory health care centres;2009;0
1087;Social work and child day care;HP34: Ambulatory health care centres;2010;0
1088;Social work and child day care;HP34: Ambulatory health care centres;2011;0
1089;Social work and child day care;HP34: Ambulatory health care centres;2012;0
1090;Social work and child day care;HP34: Ambulatory health care centres;2013;0
1091;Social work and child day care;HP34: Ambulatory health care centres;2014;0
1092;Social work and child day care;HP34: Ambulatory health care centres;2015;0
1093;Social work and child day care;HP34: Ambulatory health care centres;2016;0
1094;Social work and child day care;HP34: Ambulatory health care centres;2017;0
1095;Social work and child day care;HP34: Ambulatory health care centres;2018;0
1096;Social work and child day care;HP34: Ambulatory health care centres;2019;0
1097;Social work and child day care;HP34: Ambulatory health care centres;2020;0
1098;Social work and child day care;HP34: Ambulatory health care centres;2021;0
1099;Social work and child day care;HP34: Ambulatory health care centres;2022;0
1100;Social work and child day care;HP33 : Other health care practitioners;1998;0
1101;Social work and child day care;HP33 : Other health care practitioners;1999;0
1102;Social work and child day care;HP33 : Other health care practitioners;2000;0
1103;Social work and child day care;HP33 : Other health care practitioners;2001;0
1104;Social work and child day care;HP33 : Other health care practitioners;2002;0
1105;Social work and child day care;HP33 : Other health care practitioners;2003;0
1106;Social work and child day care;HP33 : Other health care practitioners;2004;0
1107;Social work and child day care;HP33 : Other health care practitioners;2005;0
1108;Social work and child day care;HP33 : Other health care practitioners;2006;0
1109;Social work and child day care;HP33 : Other health care practitioners;2007;0
1110;Social work and child day care;HP33 : Other health care practitioners;2008;0
1111;Social work and child day care;HP33 : Other health care practitioners;2009;0
1112;Social work and child day care;HP33 : Other health care practitioners;2010;0
1113;Social work and child day care;HP33 : Other health care practitioners;2011;0
1114;Social work and child day care;HP33 : Other health care practitioners;2012;0
1115;Social work and child day care;HP33 : Other health care practitioners;2013;0
1116;Social work and child day care;HP33 : Other health care practitioners;2014;0
1117;Social work and child day care;HP33 : Other health care practitioners;2015;0
1118;Social work and child day care;HP33 : Other health care practitioners;2016;0
1119;Social work and child day care;HP33 : Other health care practitioners;2017;0
1120;Social work and child day care;HP33 : Other health care practitioners;2018;0
1121;Social work and child day care;HP33 : Other health care practitioners;2019;0
1122;Social work and child day care;HP33 : Other health care practitioners;2020;0
1123;Social work and child day care;HP33 : Other health care practitioners;2021;0
1124;Social work and child day care;HP33 : Other health care practitioners;2022;0
1125;Social work and child day care;HP4: Providers of ancillary services;1998;0
