ID;Population;GiftCharacteristics;DonorCharacteristics;RecipientCharacteristics;Periods;NumberOfGifts_1;TotalGrossValueOfGifts_2;MeanGrossValueOfGifts_3;MedianGrossValueOfGifts_4;TotalAmountOfTaxDue_5;MeanAmountOfTaxDue_6;MedianAmountOfTaxDue_7;TotalNetValueOfGifts_8;MeanNetValueOfGifts_9;MedianNetValueOfGifts_10
1396;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2011;1.0;50.1;52.5;29.0;8.1;8.5;4.0;42.0;44.0;24.9
1397;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2012;1.1;53.4;50.5;27.7;9.6;9.1;4.5;43.7;41.3;25.0
1398;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2013;2.2;105.6;48.5;34.1;12.1;5.6;2.3;93.5;43.0;29.8
1399;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2014;2.7;153.1;57.4;39.3;10.4;3.9;0.0;142.8;53.5;35.6
1400;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2015;1.2;72.6;62.0;29.7;10.1;8.7;4.0;62.4;53.3;24.0
1401;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2016;1.3;78.0;61.0;30.2;11.9;9.3;4.5;66.2;51.7;25.2
1402;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2017;1.5;90.5;62.1;32.5;17.9;12.3;4.5;72.7;49.8;25.1
1403;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2018;1.7;92.0;55.3;35.0;15.0;9.0;5.0;77.0;46.3;28.2
1404;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2019;1.8;94.7;53.4;34.8;16.0;9.0;5.0;78.8;44.4;28.3
1405;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2020;2.1;119.8;57.6;39.0;20.7;9.9;4.9;99.1;47.6;32.1
1406;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2021;2.3;139.1;61.0;40.7;22.2;9.8;5.3;116.8;51.3;35.8
1407;All gifts;All gifts;Age: 65 years or older;Age: 65 years or older;2022;2.4;147.3;60.9;48.0;22.6;9.3;5.8;124.7;51.5;37.1
1408;All gifts;All gifts;Age: 65 years or older;Age: unknown;2007;7.3;323.5;44.5;26.5;31.1;4.3;1.1;292.4;40.2;25.4
1409;All gifts;All gifts;Age: 65 years or older;Age: unknown;2008;6.6;433.8;65.4;26.9;26.7;4.0;1.1;407.1;61.4;25.7
1410;All gifts;All gifts;Age: 65 years or older;Age: unknown;2009;7.0;311.9;44.4;27.7;29.1;4.1;1.3;282.8;40.3;26.2
1411;All gifts;All gifts;Age: 65 years or older;Age: unknown;2010;3.0;204.3;68.2;37.2;23.6;7.9;3.7;180.7;60.3;33.0
1412;All gifts;All gifts;Age: 65 years or older;Age: unknown;2011;2.1;136.6;66.2;40.0;14.1;6.8;3.8;122.5;59.4;36.5
1413;All gifts;All gifts;Age: 65 years or older;Age: unknown;2012;2.1;171.2;80.8;43.9;19.5;9.2;4.1;151.7;71.7;39.2
1414;All gifts;All gifts;Age: 65 years or older;Age: unknown;2013;3.4;233.1;69.1;50.0;18.4;5.5;2.0;214.7;63.7;45.5
1415;All gifts;All gifts;Age: 65 years or older;Age: unknown;2014;4.9;344.2;70.4;50.0;18.5;3.8;0.0;325.7;66.6;50.0
1416;All gifts;All gifts;Age: 65 years or older;Age: unknown;2015;2.1;159.5;76.7;50.0;18.1;8.7;4.5;141.5;68.0;45.5
1417;All gifts;All gifts;Age: 65 years or older;Age: unknown;2016;2.2;167.4;76.6;52.7;18.3;8.4;5.0;149.1;68.2;50.0
1418;All gifts;All gifts;Age: 65 years or older;Age: unknown;2017;2.3;186.9;79.9;55.0;17.4;7.4;4.5;169.5;72.5;50.0
1419;All gifts;All gifts;Age: 65 years or older;Age: unknown;2018;2.2;187.8;85.0;60.5;18.4;8.3;5.0;169.3;76.7;53.2
1420;All gifts;All gifts;Age: 65 years or older;Age: unknown;2019;2.3;202.6;87.8;65.1;19.5;8.4;5.3;183.1;79.3;59.1
1421;All gifts;All gifts;Age: 65 years or older;Age: unknown;2020;2.5;302.0;123.0;75.0;24.3;9.9;6.3;277.7;113.1;68.1
1422;All gifts;All gifts;Age: 65 years or older;Age: unknown;2021;2.8;349.8;127.0;77.0;33.5;12.2;6.8;316.2;114.8;69.7
1423;All gifts;All gifts;Age: 65 years or older;Age: unknown;2022;2.6;240.6;92.6;74.8;25.1;9.7;6.0;215.5;83.0;66.7
1424;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2007;48.6;1989.8;41.0;26.4;171.4;3.5;1.1;1818.4;37.4;25.3
1425;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2008;48.7;2330.4;47.8;26.9;177.2;3.6;1.1;2153.1;44.2;25.7
1426;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2009;55.4;2339.7;42.3;27.3;185.1;3.3;1.1;2154.6;38.9;26.2
1427;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2010;28.5;1901.8;66.6;32.8;176.1;6.2;2.7;1725.7;60.5;30.0
1428;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2011;26.3;1794.2;68.3;38.3;156.9;6.0;3.0;1637.3;62.4;34.3
1429;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2012;27.0;2470.1;91.6;40.0;199.1;7.4;3.4;2271.0;84.2;36.5
1430;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2013;64.4;4296.5;66.7;48.6;200.4;3.1;0.0;4096.1;63.6;45.5
1431;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2014;101.4;6385.0;63.0;50.0;186.2;1.8;0.0;6198.7;61.1;50.0
1432;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2015;29.9;2643.8;88.3;40.0;205.9;6.9;3.0;2437.9;81.5;36.5
1433;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2016;31.6;3064.5;97.1;45.0;238.8;7.6;3.3;2825.7;89.5;40.5
1434;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2017;39.1;3249.8;83.2;50.0;246.6;6.3;2.7;3003.2;76.9;45.5
1435;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2018;38.5;3577.2;92.9;50.0;275.4;7.2;3.7;3301.8;85.7;45.5
1436;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2019;40.8;3976.2;97.4;50.6;295.1;7.2;4.0;3681.1;90.2;50.0
1437;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2020;46.8;4626.8;98.8;54.9;365.2;7.8;4.4;4261.6;91.0;50.0
1438;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2021;52.4;5747.2;109.6;60.0;414.4;7.9;4.3;5332.8;101.7;54.7
1439;All gifts;All gifts;Age: 65 years or older;Home ownership: owner-occupied home;2022;52.4;4630.3;88.3;60.0;374.5;7.1;4.4;4255.8;81.2;54.3
1440;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2007;7.8;425.6;54.3;26.0;44.6;5.7;1.1;381.1;48.6;24.6
1441;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2008;6.2;325.3;52.8;26.0;39.7;6.4;1.1;285.6;46.4;24.5
1442;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2009;6.8;329.7;48.6;27.3;31.7;4.7;1.1;298.0;44.0;26.2
1443;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2010;3.3;240.3;73.0;25.0;17.9;5.4;2.0;222.5;67.5;24.0
1444;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2011;3.9;390.7;100.7;32.8;21.6;5.6;2.2;369.1;95.1;30.0
1445;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2012;4.0;370.7;93.4;31.0;19.9;5.0;2.2;350.8;88.3;27.5
1446;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2013;7.2;551.1;76.9;35.0;28.1;3.9;1.5;523.0;73.0;32.1
1447;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2014;11.0;857.3;78.1;50.0;28.4;2.6;0.0;828.9;75.5;50.0
1448;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2015;5.2;475.4;91.5;34.1;26.3;5.1;1.7;449.1;86.4;32.0
1449;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2016;5.2;466.5;89.2;32.7;23.9;4.6;1.5;442.7;84.7;30.0
1450;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2017;6.8;547.3;80.1;50.0;29.1;4.3;0.5;518.2;75.8;45.5
1451;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2018;6.7;607.8;90.3;45.8;26.4;3.9;0.6;581.4;86.4;41.9
1452;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2019;7.1;658.7;93.1;50.0;31.3;4.4;0.6;627.4;88.7;45.0
1453;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2020;8.6;775.7;89.8;48.3;45.5;5.3;0.4;730.2;84.5;43.0
1454;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2021;10.8;1208.8;111.7;50.0;49.3;4.6;0.0;1159.6;107.2;50.0
1455;All gifts;All gifts;Age: 65 years or older;Home ownership: rent;2022;13.1;980.1;74.7;50.0;40.9;3.1;0.0;939.2;71.6;49.2
1456;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2007;0.1;;;;;;;;;
1457;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2008;0.1;;;;;;;;;
1458;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2009;0.0;;;;;;;;;
1459;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2010;0.0;;;;;;;;;
1460;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2011;0.0;;;;;;;;;
1461;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2012;0.0;;;;;;;;;
1462;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2013;0.1;;;;;;;;;
1463;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2014;0.1;;;;;;;;;
1464;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2015;0.0;;;;;;;;;
1465;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2016;0.1;;;;;;;;;
1466;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2017;0.1;;;;;;;;;
1467;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2018;0.1;;;;;;;;;
1468;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2019;0.1;;;;;;;;;
1469;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2020;0.1;;;;;;;;;
1470;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2021;0.1;;;;;;;;;
1471;All gifts;All gifts;Age: 65 years or older;Home ownership: institutional;2022;0.1;;;;;;;;;
1472;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2007;7.3;323.5;44.5;26.5;31.1;4.3;1.1;292.4;40.2;25.4
1473;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2008;6.6;433.8;65.4;26.9;26.7;4.0;1.1;407.1;61.4;25.7
1474;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2009;7.0;311.9;44.4;27.7;29.1;4.1;1.3;282.8;40.3;26.2
1475;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2010;3.0;204.3;68.2;37.2;23.6;7.9;3.7;180.7;60.3;33.0
1476;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2011;2.1;136.6;66.2;40.0;14.1;6.8;3.8;122.5;59.4;36.5
1477;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2012;2.1;171.2;80.8;43.9;19.5;9.2;4.1;151.7;71.7;39.2
1478;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2013;3.4;233.1;69.1;50.0;18.4;5.5;2.0;214.7;63.7;45.5
1479;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2014;4.9;344.2;70.4;50.0;18.5;3.8;0.0;325.7;66.6;50.0
1480;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2015;2.1;159.5;76.7;50.0;18.1;8.7;4.5;141.5;68.0;45.5
1481;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2016;2.2;167.4;76.6;52.7;18.3;8.4;5.0;149.1;68.2;50.0
1482;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2017;2.3;186.9;79.9;55.0;17.4;7.4;4.5;169.5;72.5;50.0
1483;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2018;2.2;187.8;85.0;60.5;18.4;8.3;5.0;169.3;76.7;53.2
1484;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2019;2.3;202.6;87.8;65.1;19.5;8.4;5.3;183.1;79.3;59.1
1485;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2020;2.5;302.0;123.0;75.0;24.3;9.9;6.3;277.7;113.1;68.1
1486;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2021;2.8;349.8;127.0;77.0;33.5;12.2;6.8;316.2;114.8;69.7
1487;All gifts;All gifts;Age: 65 years or older;Home ownership: unknown;2022;2.6;240.6;92.6;74.8;25.1;9.7;6.0;215.5;83.0;66.7
1488;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2007;2.0;79.9;39.1;22.1;6.8;3.3;0.9;73.1;35.8;22.0
1489;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2008;2.3;87.9;38.4;23.2;8.0;3.5;1.0;79.9;34.9;22.4
1490;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2009;3.0;116.9;38.5;26.1;8.9;2.9;1.1;108.0;35.6;25.0
1491;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2010;1.8;120.9;67.1;24.0;7.5;4.1;1.0;113.4;63.0;24.0
1492;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2011;2.0;110.9;55.6;25.0;7.0;3.5;1.4;103.9;52.1;24.1
1493;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2012;2.6;229.3;86.9;25.0;14.9;5.7;1.4;214.3;81.3;24.1
1494;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2013;9.2;529.1;57.2;35.0;14.9;1.6;0.0;514.3;55.6;34.0
1495;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2014;16.0;880.0;55.1;45.0;14.2;0.9;0.0;865.9;54.2;45.0
1496;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2015;3.9;211.1;53.6;25.3;13.7;3.5;0.7;197.4;50.1;25.3
1497;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2016;4.0;330.1;81.9;25.5;25.0;6.2;0.5;305.2;75.7;25.4
1498;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2017;4.5;272.3;60.4;35.0;13.9;3.1;0.0;258.4;57.3;32.5
1499;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2018;3.3;195.6;59.3;31.0;10.1;3.1;0.1;185.5;56.2;30.0
1500;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2019;3.0;183.6;60.7;33.3;9.8;3.2;0.1;173.9;57.5;30.4
1501;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2020;3.3;223.4;68.3;32.0;13.4;4.1;0.0;209.9;64.2;30.0
1502;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2021;3.5;219.0;62.0;43.7;12.6;3.6;0.0;206.4;58.4;40.0
1503;All gifts;All gifts;Age: 65 years or older;Wealth: 1st 20%-group;2022;3.9;222.0;56.3;38.1;8.6;2.2;0.0;213.4;54.1;35.1
1504;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2007;1.5;38.2;26.2;22.0;3.0;2.0;0.9;35.2;24.2;22.0
1505;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2008;1.3;32.2;24.5;22.4;2.4;1.8;0.8;29.8;22.7;22.0
1506;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2009;1.2;34.6;28.8;22.8;2.6;2.1;0.9;32.1;26.6;22.8
1507;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2010;0.6;17.2;27.7;21.7;1.4;2.2;0.6;15.9;25.5;20.0
1508;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2011;0.8;34.9;42.3;24.1;3.0;3.7;1.5;31.8;38.6;24.0
1509;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2012;0.7;28.7;42.0;24.1;2.4;3.6;1.7;26.3;38.4;24.1
1510;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2013;1.7;74.0;44.4;30.0;3.5;2.1;0.0;70.5;42.3;28.0
1511;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2014;2.7;142.0;53.5;40.0;3.1;1.2;0.0;138.9;52.3;40.0
1512;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2015;1.0;35.7;36.5;25.0;2.5;2.5;0.7;33.2;34.0;25.0
1513;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2016;1.0;36.6;37.5;25.0;2.7;2.8;0.7;33.9;34.7;25.0
1514;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2017;1.5;82.4;53.2;30.0;5.5;3.6;0.0;76.9;49.7;27.7
1515;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2018;1.9;107.5;57.3;30.0;5.9;3.1;0.4;101.6;54.2;27.5
1516;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2019;2.2;121.7;55.1;31.2;6.8;3.1;0.3;114.9;52.0;30.0
1517;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2020;2.9;157.3;54.5;30.0;8.9;3.1;0.1;148.4;51.4;29.0
1518;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2021;3.8;236.0;61.7;43.0;11.8;3.1;0.0;224.2;58.7;40.0
1519;All gifts;All gifts;Age: 65 years or older;Wealth: 2nd 20%-group;2022;5.2;291.8;56.2;40.1;12.4;2.4;0.0;279.4;53.8;39.6
1520;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2007;6.0;177.1;29.5;22.1;12.9;2.2;1.0;164.1;27.3;22.0
1521;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2008;5.7;172.8;30.3;22.4;11.7;2.1;0.9;161.1;28.2;22.4
1522;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2009;5.9;185.7;31.3;25.0;12.3;2.1;1.0;173.4;29.2;24.0
1523;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2010;2.8;110.3;38.8;24.0;8.0;2.8;1.1;102.4;36.0;23.0
1524;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2011;2.9;141.5;48.6;26.0;11.3;3.9;1.7;130.2;44.7;24.8
1525;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2012;2.8;175.4;63.1;25.0;12.5;4.5;1.7;162.9;58.6;24.1
1526;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2013;7.3;357.7;49.0;31.9;15.9;2.2;0.0;341.8;46.8;30.1
1527;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2014;12.3;654.4;53.1;42.0;12.6;1.0;0.0;641.8;52.1;41.0
1528;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2015;3.5;159.7;45.7;25.3;11.7;3.4;1.1;148.0;42.3;25.3
1529;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2016;3.9;195.7;49.9;26.9;12.1;3.1;1.0;183.7;46.8;25.4
1530;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2017;6.0;327.5;54.9;35.3;19.9;3.3;0.0;307.6;51.6;34.3
1531;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2018;6.0;327.5;54.2;32.7;18.6;3.1;0.5;308.9;51.1;30.0
1532;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2019;6.6;357.0;53.7;34.0;20.5;3.1;0.5;336.5;50.6;31.2
1533;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2020;8.2;493.7;60.5;35.5;27.3;3.3;0.5;466.4;57.2;33.9
1534;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2021;9.6;680.6;70.7;46.8;34.7;3.6;0.4;645.9;67.1;43.5
1535;All gifts;All gifts;Age: 65 years or older;Wealth: 3rd 20%-group;2022;10.8;635.6;58.9;44.4;34.0;3.1;0.0;601.7;55.8;40.0
1536;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2007;11.6;392.0;33.8;25.0;31.3;2.7;1.0;360.7;31.1;24.0
1537;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2008;11.6;385.1;33.3;25.5;28.5;2.5;1.1;356.6;30.8;24.2
1538;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2009;13.0;459.5;35.3;27.3;30.5;2.3;1.1;429.0;33.0;26.2
1539;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2010;6.1;289.3;47.3;25.0;24.0;3.9;2.0;265.3;43.4;24.0
1540;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2011;6.0;343.0;57.6;27.7;26.4;4.4;2.2;316.6;53.2;26.2
1541;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2012;6.4;408.7;64.3;28.0;31.3;4.9;2.2;377.4;59.4;26.0
1542;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2013;18.1;962.3;53.0;40.0;36.9;2.0;0.0;925.5;51.0;38.5
1543;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2014;29.8;1595.3;53.5;45.2;26.0;0.9;0.0;1569.3;52.7;45.0
1544;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2015;7.5;424.5;56.8;30.0;32.0;4.3;2.0;392.5;52.5;27.5
1545;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2016;8.0;442.0;55.3;31.7;33.2;4.2;2.1;408.8;51.1;29.6
1546;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2017;10.5;651.1;61.8;43.9;42.2;4.0;1.7;608.9;57.8;40.0
1547;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2018;10.2;640.7;63.1;40.0;46.0;4.5;2.0;594.8;58.6;36.5
1548;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2019;10.6;741.7;70.3;40.0;50.9;4.8;2.1;690.9;65.4;36.8
1549;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2020;12.4;864.8;69.9;45.4;60.6;4.9;2.4;804.2;65.0;41.1
1550;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2021;14.2;1162.9;82.1;50.0;76.7;5.4;2.8;1086.2;76.7;45.7
1551;All gifts;All gifts;Age: 65 years or older;Wealth: 4th 20%-group;2022;14.2;990.4;69.7;50.0;69.7;4.9;2.4;920.8;64.8;45.6
1552;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2007;35.0;1716.5;49.0;26.5;161.1;4.6;1.1;1555.4;44.4;25.4
1553;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2008;33.8;1824.4;54.0;26.9;165.6;4.9;1.1;1658.7;49.1;25.7
1554;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2009;38.6;1859.2;48.1;30.0;161.4;4.2;1.5;1697.8;43.9;28.6
1555;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2010;20.3;1593.3;78.6;45.0;151.9;7.5;4.0;1441.5;71.1;41.0
1556;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2011;18.3;1549.7;84.5;50.0;130.2;7.1;4.2;1419.5;77.4;45.0
1557;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2012;18.4;1994.0;108.4;50.0;157.3;8.6;4.5;1836.7;99.8;45.5
1558;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2013;35.0;2915.6;83.2;50.0;156.7;4.5;1.3;2758.9;78.7;50.0
1559;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2014;51.5;3960.8;76.9;51.9;158.3;3.1;0.0;3802.5;73.8;50.0
1560;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2015;19.2;2283.7;119.2;52.8;172.0;9.0;4.5;2111.8;110.2;50.0
1561;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2016;19.8;2519.0;127.5;55.0;188.9;9.6;5.0;2330.1;118.0;50.0
1562;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2017;23.2;2457.2;105.7;60.0;193.6;8.3;4.7;2263.6;97.4;54.5
1563;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2018;23.8;2908.0;122.3;67.6;220.6;9.3;5.1;2687.4;113.1;61.1
1564;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2019;25.4;3223.0;127.1;75.0;237.8;9.4;5.6;2985.2;117.7;68.0
1565;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2020;28.7;3654.7;127.5;79.5;299.5;10.4;6.1;3355.2;117.0;71.4
1566;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2021;32.0;4632.1;144.9;90.0;323.6;10.1;6.8;4308.5;134.8;81.7
1567;All gifts;All gifts;Age: 65 years or older;Wealth: 5th 20%-group;2022;31.3;3459.1;110.6;89.1;289.7;9.3;6.0;3169.5;101.4;80.0
1568;All gifts;All gifts;Age: 65 years or older;Wealth: income unknown;2007;0.3;11.8;38.8;26.1;0.9;3.1;1.1;10.8;35.7;25.0
1569;All gifts;All gifts;Age: 65 years or older;Wealth: income unknown;2008;0.3;153.3;591.8;26.9;0.8;2.9;1.1;152.5;588.9;25.7
1570;All gifts;All gifts;Age: 65 years or older;Wealth: income unknown;2009;0.3;13.6;41.9;27.3;1.2;3.6;1.4;12.4;38.2;26.2
1571;All gifts;All gifts;Age: 65 years or older;Wealth: income unknown;2010;0.2;11.1;59.8;34.4;1.3;7.1;3.6;9.8;52.7;30.0
1572;All gifts;All gifts;Age: 65 years or older;Wealth: income unknown;2011;0.1;7.0;49.6;32.8;0.7;5.1;2.4;6.3;44.5;30.0
1573;All gifts;All gifts;Age: 65 years or older;Wealth: income unknown;2012;0.1;6.2;51.6;32.0;0.7;5.8;3.1;5.5;45.8;29.3
1574;All gifts;All gifts;Age: 65 years or older;Wealth: income unknown;2013;0.2;11.8;61.1;50.0;0.9;4.9;2.5;10.8;56.2;45.5
1575;All gifts;All gifts;Age: 65 years or older;Wealth: income unknown;2014;0.2;13.7;60.5;50.0;0.7;3.0;0.4;13.0;57.4;46.6
1576;All gifts;All gifts;Age: 65 years or older;Wealth: income unknown;2015;0.1;6.3;49.2;30.0;0.6;4.3;2.5;5.8;44.8;27.5
