ID;ModesOfTravel;Population;Margins;RegionCharacteristics;Periods;TransportPerformance_1
1745;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zuid-Nederland (LD);2023;7.1
1746;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2018;1.2
1747;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2019;1.1
1748;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2020;0.7
1749;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2021;0.8
1750;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2022;1.0
1751;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Groningen (PV);2023;0.9
1752;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2018;1.5
1753;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2019;1.7
1754;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2020;0.8
1755;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2021;1.1
1756;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2022;1.1
1757;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Fryslân (PV);2023;1.2
1758;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2018;1.1
1759;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2019;1.0
1760;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2020;0.7
1761;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2021;0.8
1762;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2022;0.8
1763;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Drenthe (PV);2023;0.8
1764;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2018;2.3
1765;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2019;2.4
1766;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2020;1.3
1767;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2021;1.6
1768;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2022;1.9
1769;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Overijssel (PV);2023;2.3
1770;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2018;0.8
1771;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2019;0.9
1772;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2020;0.6
1773;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2021;0.8
1774;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2022;0.9
1775;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Flevoland (PV);2023;0.7
1776;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2018;4.4
1777;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2019;3.8
1778;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2020;2.8
1779;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2021;3.3
1780;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2022;3.8
1781;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Gelderland (PV);2023;4.4
1782;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2018;2.6
1783;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2019;3.0
1784;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2020;1.8
1785;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2021;2.3
1786;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2022;2.5
1787;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Utrecht (PV);2023;2.8
1788;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2018;5.3
1789;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2019;4.6
1790;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2020;3.4
1791;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2021;4.2
1792;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2022;4.4
1793;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Holland (PV);2023;4.6
1794;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2018;6.5
1795;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2019;6.7
1796;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2020;4.6
1797;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2021;5.6
1798;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2022;5.5
1799;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zuid-Holland (PV);2023;6.3
1800;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2018;0.6
1801;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2019;0.7
1802;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2020;0.4
1803;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2021;0.5
1804;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2022;0.5
1805;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Zeeland (PV);2023;0.6
1806;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2018;5.0
1807;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2019;4.8
1808;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2020;3.3
1809;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2021;3.4
1810;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2022;4.1
1811;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Noord-Brabant (PV);2023;5.2
1812;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2018;2.1
1813;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2019;2.1
1814;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2020;1.2
1815;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2021;1.3
1816;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2022;1.6
1817;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Limburg (PV);2023;1.6
1818;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2018;6.7
1819;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2019;6.1
1820;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2020;4.9
1821;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2021;5.9
1822;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2022;6.4
1823;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Extremely urbanised;2023;6.7
1824;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2018;10.6
1825;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2019;11.1
1826;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2020;7.0
1827;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2021;8.8
1828;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2022;8.9
1829;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Strongly urbanised;2023;10.4
1830;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2018;5.6
1831;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2019;5.8
1832;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2020;3.9
1833;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2021;4.3
1834;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2022;5.0
1835;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Moderately urbanised;2023;6.0
1836;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2018;9.2
1837;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2019;8.8
1838;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2020;5.3
1839;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2021;6.2
1840;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2022;7.4
1841;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Hardly urbanised;2023;7.5
1842;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2018;2.9
1843;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2019;3.0
1844;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2020;1.9
1845;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2021;1.9
1846;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2022;2.0
1847;Passenger car (passenger);Population 6 years or older;Lower bound 95% confidence interval;Not urbanised;2023;2.5
1848;Passenger car (passenger);Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2018;40.4
1849;Passenger car (passenger);Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2019;40.9
1850;Passenger car (passenger);Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2020;27.0
1851;Passenger car (passenger);Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2021;31.5
1852;Passenger car (passenger);Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2022;34.0
1853;Passenger car (passenger);Population 6 years or older;Upper bound 95% confidence interval;The Netherlands;2023;38.0
1854;Passenger car (passenger);Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2018;5.4
1855;Passenger car (passenger);Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2019;6.2
1856;Passenger car (passenger);Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2020;3.4
1857;Passenger car (passenger);Population 6 years or older;Upper bound 95% confidence interval;Noord-Nederland (LD);2021;4.3
