ID;Sex;CharacteristicsHouseholdsPersons;ComponentsOfWealth;Periods;NumberOfDeceasedPersons_1;TotalInheritedWealth_2;MeanInheritedWealth_3;MedianInheritedWealth_4
3069;Total male and female;Age: 95 years or older;1.5 Other assets;2020;2.0;57.6;28.5;2.0
3070;Total male and female;Age: 95 years or older;1.5 Other assets;2021;2.1;147.2;69.8;2.0
3071;Total male and female;Age: 95 years or older;1.5 Other assets;2022;2.2;42.8;19.1;2.1
3072;Total male and female;Age: 95 years or older;2 Liabilities;2007;1.3;49.6;38.5;2.1
3073;Total male and female;Age: 95 years or older;2 Liabilities;2008;1.0;56.6;56.1;2.6
3074;Total male and female;Age: 95 years or older;2 Liabilities;2009;1.0;44.9;44.5;2.7
3075;Total male and female;Age: 95 years or older;2 Liabilities;2010;1.2;59.2;48.7;2.7
3076;Total male and female;Age: 95 years or older;2 Liabilities;2011;1.3;37.5;29.2;1.7
3077;Total male and female;Age: 95 years or older;2 Liabilities;2012;1.4;35.8;26.2;1.8
3078;Total male and female;Age: 95 years or older;2 Liabilities;2013;1.5;45.9;30.3;1.6
3079;Total male and female;Age: 95 years or older;2 Liabilities;2014;1.4;70.8;51.2;2.1
3080;Total male and female;Age: 95 years or older;2 Liabilities;2015;1.5;50.7;34.1;2.6
3081;Total male and female;Age: 95 years or older;2 Liabilities;2016;1.5;54.7;36.1;1.9
3082;Total male and female;Age: 95 years or older;2 Liabilities;2017;1.6;59.4;36.2;2.3
3083;Total male and female;Age: 95 years or older;2 Liabilities;2018;1.9;82.9;44.6;2.2
3084;Total male and female;Age: 95 years or older;2 Liabilities;2019;1.6;80.1;49.7;2.6
3085;Total male and female;Age: 95 years or older;2 Liabilities;2020;1.8;92.1;51.9;2.9
3086;Total male and female;Age: 95 years or older;2 Liabilities;2021;1.9;97.6;51.2;2.5
3087;Total male and female;Age: 95 years or older;2 Liabilities;2022;2.0;96.1;47.5;3.0
3088;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2007;0.1;6.2;49.8;31.9
3089;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2008;0.2;13.1;72.8;38.2
3090;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2009;0.2;9.3;57.8;42.1
3091;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2010;0.2;26.1;107.8;66.1
3092;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2011;0.1;;;
3093;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2012;0.1;8.7;67.8;34.9
3094;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2013;0.1;10.9;103.1;55.4
3095;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2014;0.1;9.9;75.3;46.2
3096;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2015;0.2;15.1;87.0;44.1
3097;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2016;0.2;13.6;81.2;45.4
3098;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2017;0.2;13.6;72.9;44.2
3099;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2018;0.2;12.9;55.9;37.7
3100;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2019;0.2;14.8;62.4;45.0
3101;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2020;0.3;17.0;66.2;45.4
3102;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2021;0.3;21.6;74.9;47.5
3103;Total male and female;Age: 95 years or older;2.1 Principal residence loans;2022;0.3;24.4;75.4;55.0
3104;Total male and female;Age: 95 years or older;2.3 Other loans;2007;1.2;43.4;36.0;1.7
3105;Total male and female;Age: 95 years or older;2.3 Other loans;2008;0.9;43.5;49.0;1.3
3106;Total male and female;Age: 95 years or older;2.3 Other loans;2009;0.9;35.6;39.9;1.5
3107;Total male and female;Age: 95 years or older;2.3 Other loans;2010;1.0;33.1;31.7;1.7
3108;Total male and female;Age: 95 years or older;2.3 Other loans;2011;1.2;31.1;24.9;1.5
3109;Total male and female;Age: 95 years or older;2.3 Other loans;2012;1.3;27.0;20.7;1.6
3110;Total male and female;Age: 95 years or older;2.3 Other loans;2013;1.5;35.0;23.8;1.5
3111;Total male and female;Age: 95 years or older;2.3 Other loans;2014;1.3;60.8;46.2;1.8
3112;Total male and female;Age: 95 years or older;2.3 Other loans;2015;1.4;35.6;25.2;2.2
3113;Total male and female;Age: 95 years or older;2.3 Other loans;2016;1.4;41.2;28.6;1.5
3114;Total male and female;Age: 95 years or older;2.3 Other loans;2017;1.5;45.8;29.6;1.9
3115;Total male and female;Age: 95 years or older;2.3 Other loans;2018;1.7;70.0;40.1;1.7
3116;Total male and female;Age: 95 years or older;2.3 Other loans;2019;1.5;65.3;44.1;1.8
3117;Total male and female;Age: 95 years or older;2.3 Other loans;2020;1.6;75.1;46.2;1.8
3118;Total male and female;Age: 95 years or older;2.3 Other loans;2021;1.7;76.0;43.7;1.6
3119;Total male and female;Age: 95 years or older;2.3 Other loans;2022;1.8;71.7;38.9;1.9
3120;Total male and female;Background: Netherlands;Wealth;2007;115.0;12109.2;105.3;19.2
3121;Total male and female;Background: Netherlands;Wealth;2008;118.1;13261.1;112.3;21.7
3122;Total male and female;Background: Netherlands;Wealth;2009;118.1;12947.2;109.6;22.0
3123;Total male and female;Background: Netherlands;Wealth;2010;119.6;14940.3;125.0;27.8
3124;Total male and female;Background: Netherlands;Wealth;2011;119.0;14391.3;120.9;27.9
3125;Total male and female;Background: Netherlands;Wealth;2012;123.3;14358.3;116.5;27.6
3126;Total male and female;Background: Netherlands;Wealth;2013;123.3;13624.9;110.5;26.8
3127;Total male and female;Background: Netherlands;Wealth;2014;121.3;13381.8;110.3;25.6
3128;Total male and female;Background: Netherlands;Wealth;2015;127.9;14137.7;110.5;26.3
3129;Total male and female;Background: Netherlands;Wealth;2016;129.2;15662.3;121.2;26.2
3130;Total male and female;Background: Netherlands;Wealth;2017;130.1;15935.1;122.5;26.9
3131;Total male and female;Background: Netherlands;Wealth;2018;132.7;16791.0;126.6;28.0
3132;Total male and female;Background: Netherlands;Wealth;2019;130.4;17618.7;135.1;31.2
3133;Total male and female;Background: Netherlands;Wealth;2020;143.8;21326.0;148.3;34.7
3134;Total male and female;Background: Netherlands;Wealth;2021;;;;
3135;Total male and female;Background: Netherlands;Wealth;2022;;;;
3136;Total male and female;Background: Netherlands;1 Assets;2007;115.0;14636.1;127.3;21.4
3137;Total male and female;Background: Netherlands;1 Assets;2008;118.1;15508.0;131.3;23.7
3138;Total male and female;Background: Netherlands;1 Assets;2009;118.1;15402.3;130.4;26.5
3139;Total male and female;Background: Netherlands;1 Assets;2010;119.6;17797.2;148.9;33.4
3140;Total male and female;Background: Netherlands;1 Assets;2011;119.0;16788.0;141.1;31.9
3141;Total male and female;Background: Netherlands;1 Assets;2012;123.3;16940.6;137.4;33.1
3142;Total male and female;Background: Netherlands;1 Assets;2013;123.3;16202.9;131.4;34.4
3143;Total male and female;Background: Netherlands;1 Assets;2014;121.3;16205.5;133.6;33.4
3144;Total male and female;Background: Netherlands;1 Assets;2015;127.9;17006.0;132.9;33.7
3145;Total male and female;Background: Netherlands;1 Assets;2016;129.2;18854.7;145.9;32.2
3146;Total male and female;Background: Netherlands;1 Assets;2017;130.1;19223.1;147.8;33.8
3147;Total male and female;Background: Netherlands;1 Assets;2018;132.7;20137.6;151.8;35.9
3148;Total male and female;Background: Netherlands;1 Assets;2019;130.4;21087.8;161.7;38.3
3149;Total male and female;Background: Netherlands;1 Assets;2020;143.8;25594.2;177.9;41.0
3150;Total male and female;Background: Netherlands;1 Assets;2021;;;;
3151;Total male and female;Background: Netherlands;1 Assets;2022;;;;
3152;Total male and female;Background: Netherlands;1.1 Financial assets;2007;101.3;5498.6;54.3;12.5
3153;Total male and female;Background: Netherlands;1.1 Financial assets;2008;105.7;5640.2;53.4;12.8
3154;Total male and female;Background: Netherlands;1.1 Financial assets;2009;105.3;5492.1;52.2;13.2
3155;Total male and female;Background: Netherlands;1.1 Financial assets;2010;110.5;6541.2;59.2;18.5
3156;Total male and female;Background: Netherlands;1.1 Financial assets;2011;112.6;6304.4;56.0;16.9
3157;Total male and female;Background: Netherlands;1.1 Financial assets;2012;119.3;6721.1;56.4;15.5
3158;Total male and female;Background: Netherlands;1.1 Financial assets;2013;118.9;6820.7;57.4;14.4
3159;Total male and female;Background: Netherlands;1.1 Financial assets;2014;117.3;6527.0;55.7;13.8
3160;Total male and female;Background: Netherlands;1.1 Financial assets;2015;124.5;7030.6;56.5;14.6
3161;Total male and female;Background: Netherlands;1.1 Financial assets;2016;125.7;7554.0;60.1;14.6
3162;Total male and female;Background: Netherlands;1.1 Financial assets;2017;127.0;7524.0;59.2;14.9
3163;Total male and female;Background: Netherlands;1.1 Financial assets;2018;129.7;7744.0;59.7;15.3
3164;Total male and female;Background: Netherlands;1.1 Financial assets;2019;127.3;7275.4;57.2;15.5
3165;Total male and female;Background: Netherlands;1.1 Financial assets;2020;141.0;8095.9;57.4;16.7
3166;Total male and female;Background: Netherlands;1.1 Financial assets;2021;;;;
3167;Total male and female;Background: Netherlands;1.1 Financial assets;2022;;;;
3168;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2007;101.1;3598.1;35.6;11.6
3169;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2008;105.5;3999.2;37.9;11.7
3170;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2009;105.1;4094.1;38.9;12.1
3171;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2010;110.1;4698.1;42.7;16.9
3172;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2011;112.3;4538.6;40.4;15.6
3173;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2012;119.0;4901.5;41.2;14.4
3174;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2013;118.7;4825.7;40.6;13.3
3175;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2014;117.1;4517.2;38.6;12.7
3176;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2015;124.3;4763.9;38.3;13.6
3177;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2016;125.6;4854.4;38.7;13.6
3178;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2017;126.9;4962.7;39.1;13.8
3179;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2018;129.5;5115.8;39.5;14.2
3180;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2019;127.2;5158.5;40.6;14.6
3181;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2020;140.9;5930.3;42.1;15.6
3182;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2021;;;;
3183;Total male and female;Background: Netherlands;1.1.1 Bank and savings credits;2022;;;;
3184;Total male and female;Background: Netherlands;1.1.2. Securities;2007;16.1;1900.5;118.4;24.5
3185;Total male and female;Background: Netherlands;1.1.2. Securities;2008;15.8;1641.0;103.8;22.4
3186;Total male and female;Background: Netherlands;1.1.2. Securities;2009;15.3;1398.0;91.5;20.2
3187;Total male and female;Background: Netherlands;1.1.2. Securities;2010;17.1;1843.1;107.7;23.1
3188;Total male and female;Background: Netherlands;1.1.2. Securities;2011;16.0;1765.7;110.3;23.5
3189;Total male and female;Background: Netherlands;1.1.2. Securities;2012;16.1;1819.6;113.3;22.4
3190;Total male and female;Background: Netherlands;1.1.2. Securities;2013;15.1;1995.0;131.8;22.7
3191;Total male and female;Background: Netherlands;1.1.2. Securities;2014;13.8;2009.8;146.0;23.9
3192;Total male and female;Background: Netherlands;1.1.2. Securities;2015;13.9;2266.7;163.3;25.0
3193;Total male and female;Background: Netherlands;1.1.2. Securities;2016;13.7;2699.6;197.2;26.1
3194;Total male and female;Background: Netherlands;1.1.2. Securities;2017;13.6;2561.4;188.4;28.5
3195;Total male and female;Background: Netherlands;1.1.2. Securities;2018;13.4;2628.2;195.7;30.7
3196;Total male and female;Background: Netherlands;1.1.2. Securities;2019;12.6;2116.9;167.6;29.7
3197;Total male and female;Background: Netherlands;1.1.2. Securities;2020;14.1;2165.6;153.3;29.6
3198;Total male and female;Background: Netherlands;1.1.2. Securities;2021;;;;
3199;Total male and female;Background: Netherlands;1.1.2. Securities;2022;;;;
3200;Total male and female;Background: Netherlands;1.2. Real estate;2007;33.8;6856.6;203.1;151.5
3201;Total male and female;Background: Netherlands;1.2. Real estate;2008;35.6;7302.8;205.3;154.2
3202;Total male and female;Background: Netherlands;1.2. Real estate;2009;36.6;7336.6;200.4;154.2
3203;Total male and female;Background: Netherlands;1.2. Real estate;2010;39.9;8799.6;220.6;169.0
3204;Total male and female;Background: Netherlands;1.2. Real estate;2011;38.5;7921.4;205.6;158.7
3205;Total male and female;Background: Netherlands;1.2. Real estate;2012;40.6;7915.6;195.2;150.0
3206;Total male and female;Background: Netherlands;1.2. Real estate;2013;41.6;7706.3;185.1;142.0
3207;Total male and female;Background: Netherlands;1.2. Real estate;2014;42.1;7607.8;180.6;137.5
3208;Total male and female;Background: Netherlands;1.2. Real estate;2015;44.8;7994.1;178.5;137.5
3209;Total male and female;Background: Netherlands;1.2. Real estate;2016;46.0;8503.3;185.0;142.3
3210;Total male and female;Background: Netherlands;1.2. Real estate;2017;46.8;8919.2;190.5;146.0
3211;Total male and female;Background: Netherlands;1.2. Real estate;2018;48.0;9588.2;199.9;153.4
3212;Total male and female;Background: Netherlands;1.2. Real estate;2019;48.5;10259.3;211.6;164.5
3213;Total male and female;Background: Netherlands;1.2. Real estate;2020;53.6;12361.3;230.8;177.5
3214;Total male and female;Background: Netherlands;1.2. Real estate;2021;;;;
3215;Total male and female;Background: Netherlands;1.2. Real estate;2022;;;;
3216;Total male and female;Background: Netherlands;1.2.1 Principal residence;2007;32.4;6006.3;185.3;150.0
3217;Total male and female;Background: Netherlands;1.2.1 Principal residence;2008;34.2;6423.1;187.7;150.0
3218;Total male and female;Background: Netherlands;1.2.1 Principal residence;2009;35.2;6489.1;184.6;150.0
3219;Total male and female;Background: Netherlands;1.2.1 Principal residence;2010;38.8;8002.1;206.5;166.0
3220;Total male and female;Background: Netherlands;1.2.1 Principal residence;2011;37.5;7256.2;193.8;156.5
3221;Total male and female;Background: Netherlands;1.2.1 Principal residence;2012;39.5;7191.6;182.2;148.0
3222;Total male and female;Background: Netherlands;1.2.1 Principal residence;2013;40.4;6956.3;172.0;140.0
3223;Total male and female;Background: Netherlands;1.2.1 Principal residence;2014;40.9;6866.5;167.7;135.9
3224;Total male and female;Background: Netherlands;1.2.1 Principal residence;2015;43.5;7275.5;167.3;135.7
3225;Total male and female;Background: Netherlands;1.2.1 Principal residence;2016;44.8;7711.0;172.0;140.0
3226;Total male and female;Background: Netherlands;1.2.1 Principal residence;2017;45.6;8117.0;177.8;144.0
3227;Total male and female;Background: Netherlands;1.2.1 Principal residence;2018;46.8;8793.2;188.0;151.5
3228;Total male and female;Background: Netherlands;1.2.1 Principal residence;2019;47.3;9374.0;198.3;162.0
3229;Total male and female;Background: Netherlands;1.2.1 Principal residence;2020;52.1;11179.3;214.6;174.8
3230;Total male and female;Background: Netherlands;1.2.1 Principal residence;2021;;;;
3231;Total male and female;Background: Netherlands;1.2.1 Principal residence;2022;;;;
3232;Total male and female;Background: Netherlands;1.2.2 Other real estate;2007;5.4;850.3;156.6;62.5
3233;Total male and female;Background: Netherlands;1.2.2 Other real estate;2008;5.5;879.6;158.5;62.5
3234;Total male and female;Background: Netherlands;1.2.2 Other real estate;2009;5.8;847.5;145.6;62.5
3235;Total male and female;Background: Netherlands;1.2.2 Other real estate;2010;5.3;797.5;150.6;58.8
3236;Total male and female;Background: Netherlands;1.2.2 Other real estate;2011;4.9;665.2;135.3;54.8
3237;Total male and female;Background: Netherlands;1.2.2 Other real estate;2012;5.1;723.9;142.9;57.2
3238;Total male and female;Background: Netherlands;1.2.2 Other real estate;2013;5.2;750.0;144.7;56.6
3239;Total male and female;Background: Netherlands;1.2.2 Other real estate;2014;5.2;741.3;142.8;52.3
3240;Total male and female;Background: Netherlands;1.2.2 Other real estate;2015;5.6;718.6;129.1;48.0
3241;Total male and female;Background: Netherlands;1.2.2 Other real estate;2016;5.7;792.4;138.1;50.0
3242;Total male and female;Background: Netherlands;1.2.2 Other real estate;2017;5.6;802.2;142.2;47.0
3243;Total male and female;Background: Netherlands;1.2.2 Other real estate;2018;5.6;795.0;140.9;48.7
3244;Total male and female;Background: Netherlands;1.2.2 Other real estate;2019;5.8;885.4;151.5;50.0
3245;Total male and female;Background: Netherlands;1.2.2 Other real estate;2020;6.8;1182.0;174.2;64.0
3246;Total male and female;Background: Netherlands;1.2.2 Other real estate;2021;;;;
3247;Total male and female;Background: Netherlands;1.2.2 Other real estate;2022;;;;
3248;Total male and female;Background: Netherlands;1.3 Enterprise capital;2007;3.4;970.0;285.1;41.2
3249;Total male and female;Background: Netherlands;1.3 Enterprise capital;2008;3.5;1225.0;351.7;47.2
3250;Total male and female;Background: Netherlands;1.3 Enterprise capital;2009;3.5;1216.2;343.2;44.0
3251;Total male and female;Background: Netherlands;1.3 Enterprise capital;2010;4.0;1382.8;347.4;36.4
3252;Total male and female;Background: Netherlands;1.3 Enterprise capital;2011;3.1;1586.7;506.8;37.7
3253;Total male and female;Background: Netherlands;1.3 Enterprise capital;2012;3.0;1313.6;439.0;27.0
3254;Total male and female;Background: Netherlands;1.3 Enterprise capital;2013;3.0;825.3;275.1;28.9
3255;Total male and female;Background: Netherlands;1.3 Enterprise capital;2014;3.1;1145.5;370.5;26.8
3256;Total male and female;Background: Netherlands;1.3 Enterprise capital;2015;3.2;1056.0;329.7;25.6
3257;Total male and female;Background: Netherlands;1.3 Enterprise capital;2016;3.6;1844.7;516.3;27.6
3258;Total male and female;Background: Netherlands;1.3 Enterprise capital;2017;3.7;1645.8;440.8;26.1
3259;Total male and female;Background: Netherlands;1.3 Enterprise capital;2018;3.9;1804.4;462.5;28.6
3260;Total male and female;Background: Netherlands;1.3 Enterprise capital;2019;3.9;2396.5;609.6;62.4
