ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;CountriesOfOrigin;Periods;JobsForeignBornEmployees_1
998;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2013 4th quarter;28.6
999;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2013;28.9
1000;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2014 1st quarter;27.3
1001;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2014 2nd quarter;27.6
1002;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2014 3rd quarter;27.9
1003;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2014 4th quarter;28.0
1004;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2014;27.7
1005;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2015 1st quarter;27.3
1006;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2015 2nd quarter;27.9
1007;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2015 3rd quarter;28.3
1008;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2015 4th quarter;28.4
1009;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2015;28.0
1010;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2016 1st quarter;27.4
1011;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2016 2nd quarter;28.4
1012;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2016 3rd quarter;29.0
1013;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2016 4th quarter;29.5
1014;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2016;28.6
1015;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2017 1st quarter;28.9
1016;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2017 2nd quarter;30.0
1017;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2017 3rd quarter;30.8
1018;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2017 4th quarter;31.6
1019;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2017;30.4
1020;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2018 1st quarter;31.1
1021;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2018 2nd quarter;32.4
1022;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2018 3rd quarter;33.2
1023;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2018 4th quarter;34.0
1024;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2018;32.7
1025;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2019 1st quarter;33.2
1026;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2019 2nd quarter;34.3
1027;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2019 3rd quarter;34.8
1028;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2019 4th quarter;35.5
1029;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2019;34.5
1030;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2020 1st quarter;34.5
1031;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2020 2nd quarter;32.8
1032;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2020 3rd quarter;33.4
1033;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2020 4th quarter;34.1
1034;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2020;33.7
1035;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2021 1st quarter;33.1
1036;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2021 2nd quarter;34.6
1037;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2021 3rd quarter;36.0
1038;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2021 4th quarter;37.4
1039;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2021;35.3
1040;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2022 1st quarter;37.2
1041;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2022 2nd quarter;38.5
1042;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2022 3rd quarter;38.7
1043;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2022 4th quarter;39.4
1044;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2022;38.4
1045;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2023 1st quarter;39.1
1046;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2023 2nd quarter;40.0
1047;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2023 3rd quarter;39.8
1048;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2023 4th quarter;40.3
1049;Total jobs;Total employees;A-U All economic activities;Total;Dutch Caribbean;2023;39.8
1050;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2010 1st quarter;13.8
1051;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2010 2nd quarter;13.9
1052;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2010 3rd quarter;13.8
1053;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2010 4th quarter;13.7
1054;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2010;13.8
1055;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2011 1st quarter;13.6
1056;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2011 2nd quarter;13.7
1057;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2011 3rd quarter;13.5
1058;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2011 4th quarter;13.4
1059;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2011;13.5
1060;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2012 1st quarter;13.1
1061;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2012 2nd quarter;13.2
1062;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2012 3rd quarter;12.9
1063;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2012 4th quarter;12.7
1064;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2012;13.0
1065;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2013 1st quarter;12.4
1066;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2013 2nd quarter;12.3
1067;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2013 3rd quarter;12.1
1068;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2013 4th quarter;12.0
1069;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2013;12.2
1070;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2014 1st quarter;11.7
1071;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2014 2nd quarter;11.7
1072;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2014 3rd quarter;11.5
1073;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2014 4th quarter;11.4
1074;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2014;11.6
1075;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2015 1st quarter;11.1
1076;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2015 2nd quarter;11.2
1077;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2015 3rd quarter;11.1
1078;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2015 4th quarter;11.1
1079;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2015;11.1
1080;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2016 1st quarter;10.8
1081;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2016 2nd quarter;11.0
1082;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2016 3rd quarter;10.9
1083;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2016 4th quarter;11.0
1084;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2016;10.9
1085;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2017 1st quarter;10.9
1086;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2017 2nd quarter;11.1
1087;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2017 3rd quarter;11.1
1088;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2017 4th quarter;11.2
1089;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2017;11.1
1090;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2018 1st quarter;11.2
1091;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2018 2nd quarter;11.5
1092;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2018 3rd quarter;11.5
1093;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2018 4th quarter;11.7
1094;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2018;11.5
1095;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2019 1st quarter;11.8
1096;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2019 2nd quarter;12.0
1097;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2019 3rd quarter;12.0
1098;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2019 4th quarter;12.1
1099;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2019;12.0
1100;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2020 1st quarter;12.0
1101;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2020 2nd quarter;11.5
1102;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2020 3rd quarter;11.6
1103;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2020 4th quarter;11.6
1104;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2020;11.7
1105;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2021 1st quarter;11.4
1106;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2021 2nd quarter;11.6
1107;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2021 3rd quarter;12.0
1108;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2021 4th quarter;12.3
1109;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2021;11.8
1110;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2022 1st quarter;12.5
1111;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2022 2nd quarter;12.8
1112;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2022 3rd quarter;12.8
1113;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2022 4th quarter;13.2
1114;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2022;12.8
1115;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2023 1st quarter;13.4
1116;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2023 2nd quarter;13.6
1117;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2023 3rd quarter;13.6
1118;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2023 4th quarter;13.8
1119;Total jobs;Total employees;A-U All economic activities;Total;Indonesia;2023;13.6
1120;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2010 1st quarter;37.8
1121;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2010 2nd quarter;38.3
1122;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2010 3rd quarter;37.6
1123;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2010 4th quarter;37.5
1124;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2010;37.8
1125;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2011 1st quarter;37.2
1126;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2011 2nd quarter;37.5
1127;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2011 3rd quarter;36.8
1128;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2011 4th quarter;36.6
1129;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2011;37.0
1130;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2012 1st quarter;36.0
1131;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2012 2nd quarter;36.2
1132;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2012 3rd quarter;35.4
1133;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2012 4th quarter;35.2
1134;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2012;35.7
1135;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2013 1st quarter;34.5
1136;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2013 2nd quarter;34.4
1137;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2013 3rd quarter;33.7
1138;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2013 4th quarter;33.5
1139;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2013;34.0
1140;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2014 1st quarter;33.1
1141;Total jobs;Total employees;A-U All economic activities;Total;Morocco;2014 2nd quarter;33.4
