ID;Sex;Age;MaritalStatus;CountryOfOrigin;CountryOfBirth;ParentsCountryOfBirth;Periods;Population_1
3367;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born in the Netherlands;One parent born in NL, one born abroad;2023;
3368;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born in the Netherlands;One parent born in NL, one born abroad;2024;
3369;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born in the Netherlands;Two parents born abroad;2022;
3370;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born in the Netherlands;Two parents born abroad;2023;
3371;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born in the Netherlands;Two parents born abroad;2024;
3372;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born abroad;Total;2022;
3373;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born abroad;Total;2023;
3374;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born abroad;Total;2024;
3375;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born abroad;Two parents born in the Netherlands;2022;
3376;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born abroad;Two parents born in the Netherlands;2023;
3377;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born abroad;Two parents born in the Netherlands;2024;
3378;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born abroad;One parent born in NL, one born abroad;2022;
3379;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born abroad;One parent born in NL, one born abroad;2023;
3380;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born abroad;One parent born in NL, one born abroad;2024;
3381;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born abroad;Two parents born abroad;2022;
3382;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born abroad;Two parents born abroad;2023;
3383;Total males and females;Total;Total;Federal Republic of Yugoslavia;Person born abroad;Two parents born abroad;2024;
3384;Total males and females;Total;Total;Fiji;Total;Total;2022;151.0
3385;Total males and females;Total;Total;Fiji;Total;Total;2023;161.0
3386;Total males and females;Total;Total;Fiji;Total;Total;2024;167.0
3387;Total males and females;Total;Total;Fiji;Total;Two parents born in the Netherlands;2022;11.0
3388;Total males and females;Total;Total;Fiji;Total;Two parents born in the Netherlands;2023;11.0
3389;Total males and females;Total;Total;Fiji;Total;Two parents born in the Netherlands;2024;11.0
3390;Total males and females;Total;Total;Fiji;Total;One parent born in NL, one born abroad;2022;69.0
3391;Total males and females;Total;Total;Fiji;Total;One parent born in NL, one born abroad;2023;70.0
3392;Total males and females;Total;Total;Fiji;Total;One parent born in NL, one born abroad;2024;70.0
3393;Total males and females;Total;Total;Fiji;Total;Two parents born abroad;2022;71.0
3394;Total males and females;Total;Total;Fiji;Total;Two parents born abroad;2023;80.0
3395;Total males and females;Total;Total;Fiji;Total;Two parents born abroad;2024;86.0
3396;Total males and females;Total;Total;Fiji;Person born in the Netherlands;Total;2022;59.0
3397;Total males and females;Total;Total;Fiji;Person born in the Netherlands;Total;2023;60.0
3398;Total males and females;Total;Total;Fiji;Person born in the Netherlands;Total;2024;60.0
3399;Total males and females;Total;Total;Fiji;Person born in the Netherlands;Two parents born in the Netherlands;2022;
3400;Total males and females;Total;Total;Fiji;Person born in the Netherlands;Two parents born in the Netherlands;2023;
3401;Total males and females;Total;Total;Fiji;Person born in the Netherlands;Two parents born in the Netherlands;2024;
3402;Total males and females;Total;Total;Fiji;Person born in the Netherlands;One parent born in NL, one born abroad;2022;51.0
3403;Total males and females;Total;Total;Fiji;Person born in the Netherlands;One parent born in NL, one born abroad;2023;52.0
3404;Total males and females;Total;Total;Fiji;Person born in the Netherlands;One parent born in NL, one born abroad;2024;52.0
3405;Total males and females;Total;Total;Fiji;Person born in the Netherlands;Two parents born abroad;2022;8.0
3406;Total males and females;Total;Total;Fiji;Person born in the Netherlands;Two parents born abroad;2023;8.0
3407;Total males and females;Total;Total;Fiji;Person born in the Netherlands;Two parents born abroad;2024;8.0
3408;Total males and females;Total;Total;Fiji;Person born abroad;Total;2022;92.0
3409;Total males and females;Total;Total;Fiji;Person born abroad;Total;2023;101.0
3410;Total males and females;Total;Total;Fiji;Person born abroad;Total;2024;107.0
3411;Total males and females;Total;Total;Fiji;Person born abroad;Two parents born in the Netherlands;2022;11.0
3412;Total males and females;Total;Total;Fiji;Person born abroad;Two parents born in the Netherlands;2023;11.0
3413;Total males and females;Total;Total;Fiji;Person born abroad;Two parents born in the Netherlands;2024;11.0
3414;Total males and females;Total;Total;Fiji;Person born abroad;One parent born in NL, one born abroad;2022;18.0
3415;Total males and females;Total;Total;Fiji;Person born abroad;One parent born in NL, one born abroad;2023;18.0
3416;Total males and females;Total;Total;Fiji;Person born abroad;One parent born in NL, one born abroad;2024;18.0
3417;Total males and females;Total;Total;Fiji;Person born abroad;Two parents born abroad;2022;63.0
3418;Total males and females;Total;Total;Fiji;Person born abroad;Two parents born abroad;2023;72.0
3419;Total males and females;Total;Total;Fiji;Person born abroad;Two parents born abroad;2024;78.0
3420;Total males and females;Total;Total;Finland;Total;Total;2022;6017.0
3421;Total males and females;Total;Total;Finland;Total;Total;2023;6304.0
3422;Total males and females;Total;Total;Finland;Total;Total;2024;6426.0
3423;Total males and females;Total;Total;Finland;Total;Two parents born in the Netherlands;2022;43.0
3424;Total males and females;Total;Total;Finland;Total;Two parents born in the Netherlands;2023;43.0
3425;Total males and females;Total;Total;Finland;Total;Two parents born in the Netherlands;2024;43.0
3426;Total males and females;Total;Total;Finland;Total;One parent born in NL, one born abroad;2022;1903.0
3427;Total males and females;Total;Total;Finland;Total;One parent born in NL, one born abroad;2023;1918.0
3428;Total males and females;Total;Total;Finland;Total;One parent born in NL, one born abroad;2024;1959.0
3429;Total males and females;Total;Total;Finland;Total;Two parents born abroad;2022;4071.0
3430;Total males and females;Total;Total;Finland;Total;Two parents born abroad;2023;4343.0
3431;Total males and females;Total;Total;Finland;Total;Two parents born abroad;2024;4424.0
3432;Total males and females;Total;Total;Finland;Person born in the Netherlands;Total;2022;1963.0
3433;Total males and females;Total;Total;Finland;Person born in the Netherlands;Total;2023;1973.0
3434;Total males and females;Total;Total;Finland;Person born in the Netherlands;Total;2024;2014.0
3435;Total males and females;Total;Total;Finland;Person born in the Netherlands;Two parents born in the Netherlands;2022;
3436;Total males and females;Total;Total;Finland;Person born in the Netherlands;Two parents born in the Netherlands;2023;
3437;Total males and females;Total;Total;Finland;Person born in the Netherlands;Two parents born in the Netherlands;2024;
3438;Total males and females;Total;Total;Finland;Person born in the Netherlands;One parent born in NL, one born abroad;2022;1669.0
3439;Total males and females;Total;Total;Finland;Person born in the Netherlands;One parent born in NL, one born abroad;2023;1683.0
3440;Total males and females;Total;Total;Finland;Person born in the Netherlands;One parent born in NL, one born abroad;2024;1718.0
3441;Total males and females;Total;Total;Finland;Person born in the Netherlands;Two parents born abroad;2022;294.0
3442;Total males and females;Total;Total;Finland;Person born in the Netherlands;Two parents born abroad;2023;290.0
3443;Total males and females;Total;Total;Finland;Person born in the Netherlands;Two parents born abroad;2024;296.0
3444;Total males and females;Total;Total;Finland;Person born abroad;Total;2022;4054.0
3445;Total males and females;Total;Total;Finland;Person born abroad;Total;2023;4331.0
3446;Total males and females;Total;Total;Finland;Person born abroad;Total;2024;4412.0
3447;Total males and females;Total;Total;Finland;Person born abroad;Two parents born in the Netherlands;2022;43.0
3448;Total males and females;Total;Total;Finland;Person born abroad;Two parents born in the Netherlands;2023;43.0
3449;Total males and females;Total;Total;Finland;Person born abroad;Two parents born in the Netherlands;2024;43.0
3450;Total males and females;Total;Total;Finland;Person born abroad;One parent born in NL, one born abroad;2022;234.0
3451;Total males and females;Total;Total;Finland;Person born abroad;One parent born in NL, one born abroad;2023;235.0
3452;Total males and females;Total;Total;Finland;Person born abroad;One parent born in NL, one born abroad;2024;241.0
3453;Total males and females;Total;Total;Finland;Person born abroad;Two parents born abroad;2022;3777.0
3454;Total males and females;Total;Total;Finland;Person born abroad;Two parents born abroad;2023;4053.0
3455;Total males and females;Total;Total;Finland;Person born abroad;Two parents born abroad;2024;4128.0
3456;Total males and females;Total;Total;France;Total;Total;2022;55408.0
3457;Total males and females;Total;Total;France;Total;Total;2023;57393.0
3458;Total males and females;Total;Total;France;Total;Total;2024;58715.0
3459;Total males and females;Total;Total;France;Total;Two parents born in the Netherlands;2022;3019.0
3460;Total males and females;Total;Total;France;Total;Two parents born in the Netherlands;2023;3026.0
3461;Total males and females;Total;Total;France;Total;Two parents born in the Netherlands;2024;3036.0
3462;Total males and females;Total;Total;France;Total;One parent born in NL, one born abroad;2022;21812.0
3463;Total males and females;Total;Total;France;Total;One parent born in NL, one born abroad;2023;22019.0
3464;Total males and females;Total;Total;France;Total;One parent born in NL, one born abroad;2024;22293.0
3465;Total males and females;Total;Total;France;Total;Two parents born abroad;2022;30577.0
3466;Total males and females;Total;Total;France;Total;Two parents born abroad;2023;32348.0
3467;Total males and females;Total;Total;France;Total;Two parents born abroad;2024;33386.0
3468;Total males and females;Total;Total;France;Person born in the Netherlands;Total;2022;22026.0
3469;Total males and females;Total;Total;France;Person born in the Netherlands;Total;2023;22329.0
3470;Total males and females;Total;Total;France;Person born in the Netherlands;Total;2024;22660.0
3471;Total males and females;Total;Total;France;Person born in the Netherlands;Two parents born in the Netherlands;2022;
3472;Total males and females;Total;Total;France;Person born in the Netherlands;Two parents born in the Netherlands;2023;
3473;Total males and females;Total;Total;France;Person born in the Netherlands;Two parents born in the Netherlands;2024;
3474;Total males and females;Total;Total;France;Person born in the Netherlands;One parent born in NL, one born abroad;2022;18445.0
3475;Total males and females;Total;Total;France;Person born in the Netherlands;One parent born in NL, one born abroad;2023;18642.0
3476;Total males and females;Total;Total;France;Person born in the Netherlands;One parent born in NL, one born abroad;2024;18883.0
3477;Total males and females;Total;Total;France;Person born in the Netherlands;Two parents born abroad;2022;3581.0
3478;Total males and females;Total;Total;France;Person born in the Netherlands;Two parents born abroad;2023;3687.0
3479;Total males and females;Total;Total;France;Person born in the Netherlands;Two parents born abroad;2024;3777.0
3480;Total males and females;Total;Total;France;Person born abroad;Total;2022;33382.0
3481;Total males and females;Total;Total;France;Person born abroad;Total;2023;35064.0
