ID;Transactions;InstitutionalSectors;Periods;GovernmentRevenue_1
3199;Taxes and actual social contributions;Central government;2021 4th quarter;60365
3200;Taxes and actual social contributions;Central government;2021;216724
3201;Taxes and actual social contributions;Central government;2022 1st quarter;65140
3202;Taxes and actual social contributions;Central government;2022 2nd quarter;54071
3203;Taxes and actual social contributions;Central government;2022 3rd quarter;52967
3204;Taxes and actual social contributions;Central government;2022 4th quarter;65333
3205;Taxes and actual social contributions;Central government;2022;237511
3206;Taxes and actual social contributions;Central government;2023 1st quarter;68830
3207;Taxes and actual social contributions;Central government;2023 2nd quarter;64127
3208;Taxes and actual social contributions;Central government;2023 3rd quarter;62917
3209;Taxes and actual social contributions;Central government;2023 4th quarter;69327
3210;Taxes and actual social contributions;Central government;2023;265201
3211;Taxes and actual social contributions;Central government;2024 1st quarter;70500
3212;Taxes and actual social contributions;Central government;2024 2nd quarter;73015
3213;Taxes and actual social contributions;Central government;2024 3rd quarter;70415
3214;Taxes and actual social contributions;Central government;2024 4th quarter;69287
3215;Taxes and actual social contributions;Central government;2024;283217
3216;Taxes and actual social contributions;The State;1995;68329
3217;Taxes and actual social contributions;The State;1996;73548
3218;Taxes and actual social contributions;The State;1997;76814
3219;Taxes and actual social contributions;The State;1998;81211
3220;Taxes and actual social contributions;The State;1999 1st quarter;20324
3221;Taxes and actual social contributions;The State;1999 2nd quarter;21556
3222;Taxes and actual social contributions;The State;1999 3rd quarter;21541
3223;Taxes and actual social contributions;The State;1999 4th quarter;25173
3224;Taxes and actual social contributions;The State;1999;88594
3225;Taxes and actual social contributions;The State;2000 1st quarter;20891
3226;Taxes and actual social contributions;The State;2000 2nd quarter;23959
3227;Taxes and actual social contributions;The State;2000 3rd quarter;22171
3228;Taxes and actual social contributions;The State;2000 4th quarter;27210
3229;Taxes and actual social contributions;The State;2000;94231
3230;Taxes and actual social contributions;The State;2001 1st quarter;23012
3231;Taxes and actual social contributions;The State;2001 2nd quarter;25130
3232;Taxes and actual social contributions;The State;2001 3rd quarter;24789
3233;Taxes and actual social contributions;The State;2001 4th quarter;28046
3234;Taxes and actual social contributions;The State;2001;100977
3235;Taxes and actual social contributions;The State;2002 1st quarter;24304
3236;Taxes and actual social contributions;The State;2002 2nd quarter;28220
3237;Taxes and actual social contributions;The State;2002 3rd quarter;24171
3238;Taxes and actual social contributions;The State;2002 4th quarter;28854
3239;Taxes and actual social contributions;The State;2002;105549
3240;Taxes and actual social contributions;The State;2003 1st quarter;24317
3241;Taxes and actual social contributions;The State;2003 2nd quarter;26391
3242;Taxes and actual social contributions;The State;2003 3rd quarter;24153
3243;Taxes and actual social contributions;The State;2003 4th quarter;28167
3244;Taxes and actual social contributions;The State;2003;103028
3245;Taxes and actual social contributions;The State;2004 1st quarter;24159
3246;Taxes and actual social contributions;The State;2004 2nd quarter;28148
3247;Taxes and actual social contributions;The State;2004 3rd quarter;25043
3248;Taxes and actual social contributions;The State;2004 4th quarter;30471
3249;Taxes and actual social contributions;The State;2004;107821
3250;Taxes and actual social contributions;The State;2005 1st quarter;26179
3251;Taxes and actual social contributions;The State;2005 2nd quarter;29756
3252;Taxes and actual social contributions;The State;2005 3rd quarter;27821
3253;Taxes and actual social contributions;The State;2005 4th quarter;31407
3254;Taxes and actual social contributions;The State;2005;115163
3255;Taxes and actual social contributions;The State;2006 1st quarter;28544
3256;Taxes and actual social contributions;The State;2006 2nd quarter;31183
3257;Taxes and actual social contributions;The State;2006 3rd quarter;29591
3258;Taxes and actual social contributions;The State;2006 4th quarter;34309
3259;Taxes and actual social contributions;The State;2006;123627
3260;Taxes and actual social contributions;The State;2007 1st quarter;30727
3261;Taxes and actual social contributions;The State;2007 2nd quarter;34146
3262;Taxes and actual social contributions;The State;2007 3rd quarter;29898
3263;Taxes and actual social contributions;The State;2007 4th quarter;37247
3264;Taxes and actual social contributions;The State;2007;132018
3265;Taxes and actual social contributions;The State;2008 1st quarter;32226
3266;Taxes and actual social contributions;The State;2008 2nd quarter;35979
3267;Taxes and actual social contributions;The State;2008 3rd quarter;36307
3268;Taxes and actual social contributions;The State;2008 4th quarter;36458
3269;Taxes and actual social contributions;The State;2008;140970
3270;Taxes and actual social contributions;The State;2009 1st quarter;32584
3271;Taxes and actual social contributions;The State;2009 2nd quarter;34870
3272;Taxes and actual social contributions;The State;2009 3rd quarter;29751
3273;Taxes and actual social contributions;The State;2009 4th quarter;33495
3274;Taxes and actual social contributions;The State;2009;130700
3275;Taxes and actual social contributions;The State;2010 1st quarter;32382
3276;Taxes and actual social contributions;The State;2010 2nd quarter;36170
3277;Taxes and actual social contributions;The State;2010 3rd quarter;29722
3278;Taxes and actual social contributions;The State;2010 4th quarter;35082
3279;Taxes and actual social contributions;The State;2010;133356
3280;Taxes and actual social contributions;The State;2011 1st quarter;33431
3281;Taxes and actual social contributions;The State;2011 2nd quarter;36439
