ID;Transactions;InstitutionalSectors;Periods;GovernmentExpenditure_1
2732;P2 Intermediate consumption;Other local government;2008 4th quarter;2138
2733;P2 Intermediate consumption;Other local government;2008;8237
2734;P2 Intermediate consumption;Other local government;2009 1st quarter;2064
2735;P2 Intermediate consumption;Other local government;2009 2nd quarter;2137
2736;P2 Intermediate consumption;Other local government;2009 3rd quarter;2090
2737;P2 Intermediate consumption;Other local government;2009 4th quarter;2204
2738;P2 Intermediate consumption;Other local government;2009;8495
2739;P2 Intermediate consumption;Other local government;2010 1st quarter;2101
2740;P2 Intermediate consumption;Other local government;2010 2nd quarter;2164
2741;P2 Intermediate consumption;Other local government;2010 3rd quarter;2122
2742;P2 Intermediate consumption;Other local government;2010 4th quarter;2227
2743;P2 Intermediate consumption;Other local government;2010;8614
2744;P2 Intermediate consumption;Other local government;2011 1st quarter;2067
2745;P2 Intermediate consumption;Other local government;2011 2nd quarter;2136
2746;P2 Intermediate consumption;Other local government;2011 3rd quarter;2093
2747;P2 Intermediate consumption;Other local government;2011 4th quarter;2198
2748;P2 Intermediate consumption;Other local government;2011;8494
2749;P2 Intermediate consumption;Other local government;2012 1st quarter;2076
2750;P2 Intermediate consumption;Other local government;2012 2nd quarter;2094
2751;P2 Intermediate consumption;Other local government;2012 3rd quarter;2109
2752;P2 Intermediate consumption;Other local government;2012 4th quarter;2217
2753;P2 Intermediate consumption;Other local government;2012;8496
2754;P2 Intermediate consumption;Other local government;2013 1st quarter;1941
2755;P2 Intermediate consumption;Other local government;2013 2nd quarter;1843
2756;P2 Intermediate consumption;Other local government;2013 3rd quarter;1871
2757;P2 Intermediate consumption;Other local government;2013 4th quarter;1905
2758;P2 Intermediate consumption;Other local government;2013;7560
2759;P2 Intermediate consumption;Other local government;2014 1st quarter;1989
2760;P2 Intermediate consumption;Other local government;2014 2nd quarter;1938
2761;P2 Intermediate consumption;Other local government;2014 3rd quarter;2032
2762;P2 Intermediate consumption;Other local government;2014 4th quarter;2029
2763;P2 Intermediate consumption;Other local government;2014;7988
2764;P2 Intermediate consumption;Other local government;2015 1st quarter;2033
2765;P2 Intermediate consumption;Other local government;2015 2nd quarter;2034
2766;P2 Intermediate consumption;Other local government;2015 3rd quarter;2106
2767;P2 Intermediate consumption;Other local government;2015 4th quarter;2093
2768;P2 Intermediate consumption;Other local government;2015;8266
2769;P2 Intermediate consumption;Other local government;2016 1st quarter;2173
2770;P2 Intermediate consumption;Other local government;2016 2nd quarter;2194
2771;P2 Intermediate consumption;Other local government;2016 3rd quarter;2223
2772;P2 Intermediate consumption;Other local government;2016 4th quarter;2172
2773;P2 Intermediate consumption;Other local government;2016;8762
2774;P2 Intermediate consumption;Other local government;2017 1st quarter;2179
2775;P2 Intermediate consumption;Other local government;2017 2nd quarter;2133
2776;P2 Intermediate consumption;Other local government;2017 3rd quarter;2198
2777;P2 Intermediate consumption;Other local government;2017 4th quarter;2207
2778;P2 Intermediate consumption;Other local government;2017;8717
2779;P2 Intermediate consumption;Other local government;2018 1st quarter;2181
2780;P2 Intermediate consumption;Other local government;2018 2nd quarter;2185
2781;P2 Intermediate consumption;Other local government;2018 3rd quarter;2275
2782;P2 Intermediate consumption;Other local government;2018 4th quarter;2331
2783;P2 Intermediate consumption;Other local government;2018;8972
2784;P2 Intermediate consumption;Other local government;2019 1st quarter;2263
2785;P2 Intermediate consumption;Other local government;2019 2nd quarter;2278
2786;P2 Intermediate consumption;Other local government;2019 3rd quarter;2352
2787;P2 Intermediate consumption;Other local government;2019 4th quarter;2387
2788;P2 Intermediate consumption;Other local government;2019;9280
2789;P2 Intermediate consumption;Other local government;2020 1st quarter;2212
2790;P2 Intermediate consumption;Other local government;2020 2nd quarter;2307
2791;P2 Intermediate consumption;Other local government;2020 3rd quarter;2259
2792;P2 Intermediate consumption;Other local government;2020 4th quarter;2355
2793;P2 Intermediate consumption;Other local government;2020;9133
2794;P2 Intermediate consumption;Other local government;2021 1st quarter;2489
2795;P2 Intermediate consumption;Other local government;2021 2nd quarter;2666
2796;P2 Intermediate consumption;Other local government;2021 3rd quarter;2712
2797;P2 Intermediate consumption;Other local government;2021 4th quarter;2728
2798;P2 Intermediate consumption;Other local government;2021;10595
2799;P2 Intermediate consumption;Other local government;2022 1st quarter;2539
2800;P2 Intermediate consumption;Other local government;2022 2nd quarter;2742
2801;P2 Intermediate consumption;Other local government;2022 3rd quarter;2815
2802;P2 Intermediate consumption;Other local government;2022 4th quarter;2745
2803;P2 Intermediate consumption;Other local government;2022;10841
2804;P2 Intermediate consumption;Other local government;2023 1st quarter;2722
2805;P2 Intermediate consumption;Other local government;2023 2nd quarter;2831
2806;P2 Intermediate consumption;Other local government;2023 3rd quarter;2941
2807;P2 Intermediate consumption;Other local government;2023 4th quarter;2787
2808;P2 Intermediate consumption;Other local government;2023;11281
2809;P2 Intermediate consumption;Other local government;2024 1st quarter;3062
2810;P2 Intermediate consumption;Other local government;2024 2nd quarter;3138
2811;P2 Intermediate consumption;Other local government;2024 3rd quarter;3245
2812;P2 Intermediate consumption;Other local government;2024 4th quarter;3046
2813;P2 Intermediate consumption;Other local government;2024;12491
2814;P2 Intermediate consumption;Social security funds;1995;995
2815;P2 Intermediate consumption;Social security funds;1996;937
2816;P2 Intermediate consumption;Social security funds;1997;765
2817;P2 Intermediate consumption;Social security funds;1998;966
2818;P2 Intermediate consumption;Social security funds;1999 1st quarter;231
2819;P2 Intermediate consumption;Social security funds;1999 2nd quarter;243
2820;P2 Intermediate consumption;Social security funds;1999 3rd quarter;243
2821;P2 Intermediate consumption;Social security funds;1999 4th quarter;250
2822;P2 Intermediate consumption;Social security funds;1999;967
2823;P2 Intermediate consumption;Social security funds;2000 1st quarter;259
2824;P2 Intermediate consumption;Social security funds;2000 2nd quarter;271
2825;P2 Intermediate consumption;Social security funds;2000 3rd quarter;269
2826;P2 Intermediate consumption;Social security funds;2000 4th quarter;281
2827;P2 Intermediate consumption;Social security funds;2000;1080
2828;P2 Intermediate consumption;Social security funds;2001 1st quarter;298
2829;P2 Intermediate consumption;Social security funds;2001 2nd quarter;314
2830;P2 Intermediate consumption;Social security funds;2001 3rd quarter;312
2831;P2 Intermediate consumption;Social security funds;2001 4th quarter;327
2832;P2 Intermediate consumption;Social security funds;2001;1251
2833;P2 Intermediate consumption;Social security funds;2002 1st quarter;356
2834;P2 Intermediate consumption;Social security funds;2002 2nd quarter;371
2835;P2 Intermediate consumption;Social security funds;2002 3rd quarter;371
2836;P2 Intermediate consumption;Social security funds;2002 4th quarter;385
2837;P2 Intermediate consumption;Social security funds;2002;1483
2838;P2 Intermediate consumption;Social security funds;2003 1st quarter;337
2839;P2 Intermediate consumption;Social security funds;2003 2nd quarter;354
2840;P2 Intermediate consumption;Social security funds;2003 3rd quarter;353
2841;P2 Intermediate consumption;Social security funds;2003 4th quarter;369
2842;P2 Intermediate consumption;Social security funds;2003;1413
2843;P2 Intermediate consumption;Social security funds;2004 1st quarter;377
2844;P2 Intermediate consumption;Social security funds;2004 2nd quarter;395
2845;P2 Intermediate consumption;Social security funds;2004 3rd quarter;392
2846;P2 Intermediate consumption;Social security funds;2004 4th quarter;408
2847;P2 Intermediate consumption;Social security funds;2004;1572
2848;P2 Intermediate consumption;Social security funds;2005 1st quarter;419
2849;P2 Intermediate consumption;Social security funds;2005 2nd quarter;440
2850;P2 Intermediate consumption;Social security funds;2005 3rd quarter;436
2851;P2 Intermediate consumption;Social security funds;2005 4th quarter;457
2852;P2 Intermediate consumption;Social security funds;2005;1752
2853;P2 Intermediate consumption;Social security funds;2006 1st quarter;517
2854;P2 Intermediate consumption;Social security funds;2006 2nd quarter;541
2855;P2 Intermediate consumption;Social security funds;2006 3rd quarter;541
2856;P2 Intermediate consumption;Social security funds;2006 4th quarter;568
2857;P2 Intermediate consumption;Social security funds;2006;2167
2858;P2 Intermediate consumption;Social security funds;2007 1st quarter;666
2859;P2 Intermediate consumption;Social security funds;2007 2nd quarter;693
2860;P2 Intermediate consumption;Social security funds;2007 3rd quarter;687
2861;P2 Intermediate consumption;Social security funds;2007 4th quarter;714
2862;P2 Intermediate consumption;Social security funds;2007;2760
2863;P2 Intermediate consumption;Social security funds;2008 1st quarter;327
2864;P2 Intermediate consumption;Social security funds;2008 2nd quarter;347
2865;P2 Intermediate consumption;Social security funds;2008 3rd quarter;348
2866;P2 Intermediate consumption;Social security funds;2008 4th quarter;364
2867;P2 Intermediate consumption;Social security funds;2008;1386
2868;P2 Intermediate consumption;Social security funds;2009 1st quarter;445
2869;P2 Intermediate consumption;Social security funds;2009 2nd quarter;474
2870;P2 Intermediate consumption;Social security funds;2009 3rd quarter;476
2871;P2 Intermediate consumption;Social security funds;2009 4th quarter;506
2872;P2 Intermediate consumption;Social security funds;2009;1901
2873;P2 Intermediate consumption;Social security funds;2010 1st quarter;838
2874;P2 Intermediate consumption;Social security funds;2010 2nd quarter;873
2875;P2 Intermediate consumption;Social security funds;2010 3rd quarter;869
2876;P2 Intermediate consumption;Social security funds;2010 4th quarter;911
2877;P2 Intermediate consumption;Social security funds;2010;3491
2878;P2 Intermediate consumption;Social security funds;2011 1st quarter;958
2879;P2 Intermediate consumption;Social security funds;2011 2nd quarter;1024
2880;P2 Intermediate consumption;Social security funds;2011 3rd quarter;1017
2881;P2 Intermediate consumption;Social security funds;2011 4th quarter;1083
2882;P2 Intermediate consumption;Social security funds;2011;4082
2883;P2 Intermediate consumption;Social security funds;2012 1st quarter;1112
2884;P2 Intermediate consumption;Social security funds;2012 2nd quarter;1165
2885;P2 Intermediate consumption;Social security funds;2012 3rd quarter;1162
2886;P2 Intermediate consumption;Social security funds;2012 4th quarter;1201
2887;P2 Intermediate consumption;Social security funds;2012;4640
2888;P2 Intermediate consumption;Social security funds;2013 1st quarter;855
2889;P2 Intermediate consumption;Social security funds;2013 2nd quarter;898
2890;P2 Intermediate consumption;Social security funds;2013 3rd quarter;896
2891;P2 Intermediate consumption;Social security funds;2013 4th quarter;914
2892;P2 Intermediate consumption;Social security funds;2013;3563
2893;P2 Intermediate consumption;Social security funds;2014 1st quarter;1021
2894;P2 Intermediate consumption;Social security funds;2014 2nd quarter;962
2895;P2 Intermediate consumption;Social security funds;2014 3rd quarter;933
2896;P2 Intermediate consumption;Social security funds;2014 4th quarter;1031
2897;P2 Intermediate consumption;Social security funds;2014;3947
2898;P2 Intermediate consumption;Social security funds;2015 1st quarter;640
2899;P2 Intermediate consumption;Social security funds;2015 2nd quarter;719
2900;P2 Intermediate consumption;Social security funds;2015 3rd quarter;704
2901;P2 Intermediate consumption;Social security funds;2015 4th quarter;738
2902;P2 Intermediate consumption;Social security funds;2015;2801
2903;P2 Intermediate consumption;Social security funds;2016 1st quarter;28
2904;P2 Intermediate consumption;Social security funds;2016 2nd quarter;95
2905;P2 Intermediate consumption;Social security funds;2016 3rd quarter;79
2906;P2 Intermediate consumption;Social security funds;2016 4th quarter;64
2907;P2 Intermediate consumption;Social security funds;2016;266
2908;P2 Intermediate consumption;Social security funds;2017 1st quarter;280
2909;P2 Intermediate consumption;Social security funds;2017 2nd quarter;345
2910;P2 Intermediate consumption;Social security funds;2017 3rd quarter;356
2911;P2 Intermediate consumption;Social security funds;2017 4th quarter;325
