ID;Population;Sex;PersonalCharacteristics;Margins;Periods;TrafficParticipation_1;UseOfPublicTransport_2
1547;Population 6 years or older;Female;Equivalised income: 4th 20%-group;Upper bound 95% confidence interval;2023;86.7;6.8
1548;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Value;2018;87.6;8.9
1549;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Value;2019;86.3;8.6
1550;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Value;2020;80.7;3.6
1551;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Value;2021;83.7;3.3
1552;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Value;2022;84.1;5.2
1553;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Value;2023;85.1;7.2
1554;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2018;86.4;8.1
1555;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2019;84.9;7.8
1556;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2020;79.7;3.2
1557;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2021;82.6;2.9
1558;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2022;82.8;4.7
1559;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Lower bound 95% confidence interval;2023;83.9;6.6
1560;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2018;88.7;9.7
1561;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2019;87.6;9.4
1562;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2020;81.7;4.1
1563;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2021;84.7;3.8
1564;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2022;85.2;5.8
1565;Population 6 years or older;Female;Equivalised income: 5th 20%-group;Upper bound 95% confidence interval;2023;86.1;7.8
1566;Population 6 years or older;Female;Students with week pass publ. transp.;Value;2018;89.2;42.3
1567;Population 6 years or older;Female;Students with week pass publ. transp.;Value;2019;88.5;44.9
1568;Population 6 years or older;Female;Students with week pass publ. transp.;Value;2020;74.1;20.8
1569;Population 6 years or older;Female;Students with week pass publ. transp.;Value;2021;82.5;26.3
1570;Population 6 years or older;Female;Students with week pass publ. transp.;Value;2022;85.9;31.7
1571;Population 6 years or older;Female;Students with week pass publ. transp.;Value;2023;85.7;36.1
1572;Population 6 years or older;Female;Students with week pass publ. transp.;Lower bound 95% confidence interval;2018;86.7;39.4
1573;Population 6 years or older;Female;Students with week pass publ. transp.;Lower bound 95% confidence interval;2019;85.9;41.8
1574;Population 6 years or older;Female;Students with week pass publ. transp.;Lower bound 95% confidence interval;2020;71.7;18.8
1575;Population 6 years or older;Female;Students with week pass publ. transp.;Lower bound 95% confidence interval;2021;80.6;24.2
1576;Population 6 years or older;Female;Students with week pass publ. transp.;Lower bound 95% confidence interval;2022;83.5;29.3
1577;Population 6 years or older;Female;Students with week pass publ. transp.;Lower bound 95% confidence interval;2023;83.4;33.5
1578;Population 6 years or older;Female;Students with week pass publ. transp.;Upper bound 95% confidence interval;2018;91.3;45.2
1579;Population 6 years or older;Female;Students with week pass publ. transp.;Upper bound 95% confidence interval;2019;90.6;48.0
1580;Population 6 years or older;Female;Students with week pass publ. transp.;Upper bound 95% confidence interval;2020;76.3;23.0
1581;Population 6 years or older;Female;Students with week pass publ. transp.;Upper bound 95% confidence interval;2021;84.2;28.5
1582;Population 6 years or older;Female;Students with week pass publ. transp.;Upper bound 95% confidence interval;2022;87.9;34.2
1583;Population 6 years or older;Female;Students with week pass publ. transp.;Upper bound 95% confidence interval;2023;87.7;38.8
1584;Population 6 years or older;Female;Students with weekend pass publ. transp.;Value;2018;97.6;
1585;Population 6 years or older;Female;Students with weekend pass publ. transp.;Value;2019;88.9;
1586;Population 6 years or older;Female;Students with weekend pass publ. transp.;Value;2020;84.4;
1587;Population 6 years or older;Female;Students with weekend pass publ. transp.;Value;2021;83.8;
1588;Population 6 years or older;Female;Students with weekend pass publ. transp.;Value;2022;94.4;
1589;Population 6 years or older;Female;Students with weekend pass publ. transp.;Value;2023;87.7;
1590;Population 6 years or older;Female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2018;92.0;
1591;Population 6 years or older;Female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2019;81.4;
1592;Population 6 years or older;Female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2020;77.3;
1593;Population 6 years or older;Female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2021;76.7;
1594;Population 6 years or older;Female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2022;88.8;
1595;Population 6 years or older;Female;Students with weekend pass publ. transp.;Lower bound 95% confidence interval;2023;77.4;
1596;Population 6 years or older;Female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2018;99.3;
1597;Population 6 years or older;Female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2019;93.6;
1598;Population 6 years or older;Female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2020;89.6;
1599;Population 6 years or older;Female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2021;89.0;
1600;Population 6 years or older;Female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2022;97.3;
1601;Population 6 years or older;Female;Students with weekend pass publ. transp.;Upper bound 95% confidence interval;2023;93.7;
1602;Population 6 years or older;Female;Persons without student publ.transp.card;Value;2018;82.5;7.6
1603;Population 6 years or older;Female;Persons without student publ.transp.card;Value;2019;80.9;7.4
1604;Population 6 years or older;Female;Persons without student publ.transp.card;Value;2020;73.2;3.4
1605;Population 6 years or older;Female;Persons without student publ.transp.card;Value;2021;78.1;3.5
1606;Population 6 years or older;Female;Persons without student publ.transp.card;Value;2022;79.3;5.2
1607;Population 6 years or older;Female;Persons without student publ.transp.card;Value;2023;80.0;5.9
1608;Population 6 years or older;Female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2018;81.9;7.2
1609;Population 6 years or older;Female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2019;80.2;7.1
1610;Population 6 years or older;Female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2020;72.6;3.2
1611;Population 6 years or older;Female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2021;77.6;3.2
1612;Population 6 years or older;Female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2022;78.7;4.9
1613;Population 6 years or older;Female;Persons without student publ.transp.card;Lower bound 95% confidence interval;2023;79.4;5.6
1614;Population 6 years or older;Female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2018;83.1;7.9
1615;Population 6 years or older;Female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2019;81.5;7.8
1616;Population 6 years or older;Female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2020;73.7;3.6
1617;Population 6 years or older;Female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2021;78.6;3.7
1618;Population 6 years or older;Female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2022;79.8;5.5
1619;Population 6 years or older;Female;Persons without student publ.transp.card;Upper bound 95% confidence interval;2023;80.5;6.2
1620;Population 6 years or older;Female;Level of educ: 1. Low;Value;2018;71.8;6.1
1621;Population 6 years or older;Female;Level of educ: 1. Low;Value;2019;69.9;5.9
1622;Population 6 years or older;Female;Level of educ: 1. Low;Value;2020;60.4;3.1
1623;Population 6 years or older;Female;Level of educ: 1. Low;Value;2021;68.0;3.3
1624;Population 6 years or older;Female;Level of educ: 1. Low;Value;2022;69.9;4.6
1625;Population 6 years or older;Female;Level of educ: 1. Low;Value;2023;69.7;4.9
1626;Population 6 years or older;Female;Level of educ: 1. Low;Lower bound 95% confidence interval;2018;70.4;5.4
1627;Population 6 years or older;Female;Level of educ: 1. Low;Lower bound 95% confidence interval;2019;68.4;5.3
1628;Population 6 years or older;Female;Level of educ: 1. Low;Lower bound 95% confidence interval;2020;59.1;2.7
1629;Population 6 years or older;Female;Level of educ: 1. Low;Lower bound 95% confidence interval;2021;66.8;2.9
1630;Population 6 years or older;Female;Level of educ: 1. Low;Lower bound 95% confidence interval;2022;68.6;4.1
1631;Population 6 years or older;Female;Level of educ: 1. Low;Lower bound 95% confidence interval;2023;68.4;4.4
1632;Population 6 years or older;Female;Level of educ: 1. Low;Upper bound 95% confidence interval;2018;73.1;6.7
1633;Population 6 years or older;Female;Level of educ: 1. Low;Upper bound 95% confidence interval;2019;71.2;6.6
1634;Population 6 years or older;Female;Level of educ: 1. Low;Upper bound 95% confidence interval;2020;61.6;3.5
1635;Population 6 years or older;Female;Level of educ: 1. Low;Upper bound 95% confidence interval;2021;69.2;3.8
1636;Population 6 years or older;Female;Level of educ: 1. Low;Upper bound 95% confidence interval;2022;71.2;5.2
1637;Population 6 years or older;Female;Level of educ: 1. Low;Upper bound 95% confidence interval;2023;70.9;5.6
1638;Population 6 years or older;Female;Level of educ: 2 Intermediate;Value;2018;86.8;10.6
1639;Population 6 years or older;Female;Level of educ: 2 Intermediate;Value;2019;85.2;10.0
1640;Population 6 years or older;Female;Level of educ: 2 Intermediate;Value;2020;76.5;4.9
1641;Population 6 years or older;Female;Level of educ: 2 Intermediate;Value;2021;81.6;6.2
1642;Population 6 years or older;Female;Level of educ: 2 Intermediate;Value;2022;82.6;7.6
1643;Population 6 years or older;Female;Level of educ: 2 Intermediate;Value;2023;82.8;7.9
1644;Population 6 years or older;Female;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2018;85.8;9.9
1645;Population 6 years or older;Female;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2019;84.1;9.2
1646;Population 6 years or older;Female;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2020;75.5;4.4
1647;Population 6 years or older;Female;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2021;80.6;5.7
1648;Population 6 years or older;Female;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2022;81.6;7.0
1649;Population 6 years or older;Female;Level of educ: 2 Intermediate;Lower bound 95% confidence interval;2023;81.8;7.2
1650;Population 6 years or older;Female;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2018;87.8;11.4
1651;Population 6 years or older;Female;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2019;86.2;10.8
1652;Population 6 years or older;Female;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2020;77.5;5.4
1653;Population 6 years or older;Female;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2021;82.4;6.8
1654;Population 6 years or older;Female;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2022;83.6;8.3
1655;Population 6 years or older;Female;Level of educ: 2 Intermediate;Upper bound 95% confidence interval;2023;83.8;8.5
1656;Population 6 years or older;Female;Level of educ: 3 High;Value;2018;88.9;12.2
1657;Population 6 years or older;Female;Level of educ: 3 High;Value;2019;87.3;13.0
1658;Population 6 years or older;Female;Level of educ: 3 High;Value;2020;81.2;5.3
1659;Population 6 years or older;Female;Level of educ: 3 High;Value;2021;83.3;4.9
1660;Population 6 years or older;Female;Level of educ: 3 High;Value;2022;84.6;7.7
1661;Population 6 years or older;Female;Level of educ: 3 High;Value;2023;85.6;9.3
1662;Population 6 years or older;Female;Level of educ: 3 High;Lower bound 95% confidence interval;2018;88.0;11.5
1663;Population 6 years or older;Female;Level of educ: 3 High;Lower bound 95% confidence interval;2019;86.3;12.3
1664;Population 6 years or older;Female;Level of educ: 3 High;Lower bound 95% confidence interval;2020;80.4;4.9
1665;Population 6 years or older;Female;Level of educ: 3 High;Lower bound 95% confidence interval;2021;82.5;4.6
1666;Population 6 years or older;Female;Level of educ: 3 High;Lower bound 95% confidence interval;2022;83.6;7.1
1667;Population 6 years or older;Female;Level of educ: 3 High;Lower bound 95% confidence interval;2023;84.7;8.7
1668;Population 6 years or older;Female;Level of educ: 3 High;Upper bound 95% confidence interval;2018;89.8;13.0
1669;Population 6 years or older;Female;Level of educ: 3 High;Upper bound 95% confidence interval;2019;88.3;13.9
1670;Population 6 years or older;Female;Level of educ: 3 High;Upper bound 95% confidence interval;2020;82.0;5.8
1671;Population 6 years or older;Female;Level of educ: 3 High;Upper bound 95% confidence interval;2021;84.1;5.4
1672;Population 6 years or older;Female;Level of educ: 3 High;Upper bound 95% confidence interval;2022;85.4;8.2
1673;Population 6 years or older;Female;Level of educ: 3 High;Upper bound 95% confidence interval;2023;86.4;9.9
1674;Population 6 years or older;Female;Participation: working 12 -29 h. a week;Value;2018;91.3;7.3
1675;Population 6 years or older;Female;Participation: working 12 -29 h. a week;Value;2019;89.0;7.2
1676;Population 6 years or older;Female;Participation: working 12 -29 h. a week;Value;2020;84.1;3.5
1677;Population 6 years or older;Female;Participation: working 12 -29 h. a week;Value;2021;87.5;3.9
1678;Population 6 years or older;Female;Participation: working 12 -29 h. a week;Value;2022;87.5;5.6
