ID;TypeOfBankruptcy;Age;Periods;PronouncedBankrupcies_1
1703;Total natural persons;55 to 59 years;2015 May;10
1704;Total natural persons;55 to 59 years;2015 June;17
1705;Total natural persons;55 to 59 years;2015 2nd quarter;36
1706;Total natural persons;55 to 59 years;2015 July;14
1707;Total natural persons;55 to 59 years;2015 August;15
1708;Total natural persons;55 to 59 years;2015 September;16
1709;Total natural persons;55 to 59 years;2015 3rd quarter;45
1710;Total natural persons;55 to 59 years;2015 October;15
1711;Total natural persons;55 to 59 years;2015 November;13
1712;Total natural persons;55 to 59 years;2015 December;20
1713;Total natural persons;55 to 59 years;2015 4th quarter;48
1714;Total natural persons;55 to 59 years;2015;185
1715;Total natural persons;55 to 59 years;2016 January;13
1716;Total natural persons;55 to 59 years;2016 February;16
1717;Total natural persons;55 to 59 years;2016 March;24
1718;Total natural persons;55 to 59 years;2016 1st quarter;53
1719;Total natural persons;55 to 59 years;2016 April;5
1720;Total natural persons;55 to 59 years;2016 May;17
1721;Total natural persons;55 to 59 years;2016 June;16
1722;Total natural persons;55 to 59 years;2016 2nd quarter;38
1723;Total natural persons;55 to 59 years;2016 July;15
1724;Total natural persons;55 to 59 years;2016 August;21
1725;Total natural persons;55 to 59 years;2016 September;12
1726;Total natural persons;55 to 59 years;2016 3rd quarter;48
1727;Total natural persons;55 to 59 years;2016 October;12
1728;Total natural persons;55 to 59 years;2016 November;10
1729;Total natural persons;55 to 59 years;2016 December;10
1730;Total natural persons;55 to 59 years;2016 4th quarter;32
1731;Total natural persons;55 to 59 years;2016;171
1732;Total natural persons;55 to 59 years;2017 January;15
1733;Total natural persons;55 to 59 years;2017 February;8
1734;Total natural persons;55 to 59 years;2017 March;6
1735;Total natural persons;55 to 59 years;2017 1st quarter;29
1736;Total natural persons;55 to 59 years;2017 April;17
1737;Total natural persons;55 to 59 years;2017 May;17
1738;Total natural persons;55 to 59 years;2017 June;12
1739;Total natural persons;55 to 59 years;2017 2nd quarter;46
1740;Total natural persons;55 to 59 years;2017 July;5
1741;Total natural persons;55 to 59 years;2017 August;14
1742;Total natural persons;55 to 59 years;2017 September;10
1743;Total natural persons;55 to 59 years;2017 3rd quarter;29
1744;Total natural persons;55 to 59 years;2017 October;15
1745;Total natural persons;55 to 59 years;2017 November;17
1746;Total natural persons;55 to 59 years;2017 December;6
1747;Total natural persons;55 to 59 years;2017 4th quarter;38
1748;Total natural persons;55 to 59 years;2017;142
1749;Total natural persons;55 to 59 years;2018 January;8
1750;Total natural persons;55 to 59 years;2018 February;7
1751;Total natural persons;55 to 59 years;2018 March;8
1752;Total natural persons;55 to 59 years;2018 1st quarter;23
1753;Total natural persons;55 to 59 years;2018 April;12
1754;Total natural persons;55 to 59 years;2018 May;9
1755;Total natural persons;55 to 59 years;2018 June;12
1756;Total natural persons;55 to 59 years;2018 2nd quarter;33
1757;Total natural persons;55 to 59 years;2018 July;8
1758;Total natural persons;55 to 59 years;2018 August;5
1759;Total natural persons;55 to 59 years;2018 September;5
1760;Total natural persons;55 to 59 years;2018 3rd quarter;18
1761;Total natural persons;55 to 59 years;2018 October;8
1762;Total natural persons;55 to 59 years;2018 November;12
1763;Total natural persons;55 to 59 years;2018 December;2
1764;Total natural persons;55 to 59 years;2018 4th quarter;22
1765;Total natural persons;55 to 59 years;2018;96
1766;Total natural persons;55 to 59 years;2019 January;13
1767;Total natural persons;55 to 59 years;2019 February;15
1768;Total natural persons;55 to 59 years;2019 March;12
1769;Total natural persons;55 to 59 years;2019 1st quarter;40
1770;Total natural persons;55 to 59 years;2019 April;12
1771;Total natural persons;55 to 59 years;2019 May;5
1772;Total natural persons;55 to 59 years;2019 June;8
1773;Total natural persons;55 to 59 years;2019 2nd quarter;25
1774;Total natural persons;55 to 59 years;2019 July;5
1775;Total natural persons;55 to 59 years;2019 August;4
1776;Total natural persons;55 to 59 years;2019 September;9
1777;Total natural persons;55 to 59 years;2019 3rd quarter;18
1778;Total natural persons;55 to 59 years;2019 October;6
1779;Total natural persons;55 to 59 years;2019 November;11
1780;Total natural persons;55 to 59 years;2019 December;11
1781;Total natural persons;55 to 59 years;2019 4th quarter;28
1782;Total natural persons;55 to 59 years;2019;111
1783;Total natural persons;55 to 59 years;2020 January;11
1784;Total natural persons;55 to 59 years;2020 February;10
1785;Total natural persons;55 to 59 years;2020 March;6
1786;Total natural persons;55 to 59 years;2020 1st quarter;27
1787;Total natural persons;55 to 59 years;2020 April;8
1788;Total natural persons;55 to 59 years;2020 May;15
1789;Total natural persons;55 to 59 years;2020 June;10
1790;Total natural persons;55 to 59 years;2020 2nd quarter;33
1791;Total natural persons;55 to 59 years;2020 July;5
1792;Total natural persons;55 to 59 years;2020 August;2
1793;Total natural persons;55 to 59 years;2020 September;5
1794;Total natural persons;55 to 59 years;2020 3rd quarter;12
1795;Total natural persons;55 to 59 years;2020 October;6
1796;Total natural persons;55 to 59 years;2020 November;2
1797;Total natural persons;55 to 59 years;2020 December;2
1798;Total natural persons;55 to 59 years;2020 4th quarter;10
1799;Total natural persons;55 to 59 years;2020;82
1800;Total natural persons;55 to 59 years;2021 January;5
1801;Total natural persons;55 to 59 years;2021 February;6
1802;Total natural persons;55 to 59 years;2021 March;3
1803;Total natural persons;55 to 59 years;2021 1st quarter;14
1804;Total natural persons;55 to 59 years;2021 April;5
1805;Total natural persons;55 to 59 years;2021 May;5
1806;Total natural persons;55 to 59 years;2021 June;7
1807;Total natural persons;55 to 59 years;2021 2nd quarter;17
1808;Total natural persons;55 to 59 years;2021 July;3
1809;Total natural persons;55 to 59 years;2021 August;2
1810;Total natural persons;55 to 59 years;2021 September;5
1811;Total natural persons;55 to 59 years;2021 3rd quarter;10
1812;Total natural persons;55 to 59 years;2021 October;1
1813;Total natural persons;55 to 59 years;2021 November;3
1814;Total natural persons;55 to 59 years;2021 December;1
1815;Total natural persons;55 to 59 years;2021 4th quarter;5
1816;Total natural persons;55 to 59 years;2021;46
1817;Total natural persons;55 to 59 years;2022 January;1
1818;Total natural persons;55 to 59 years;2022 February;7
1819;Total natural persons;55 to 59 years;2022 March;2
1820;Total natural persons;55 to 59 years;2022 1st quarter;10
1821;Total natural persons;55 to 59 years;2022 April;3
1822;Total natural persons;55 to 59 years;2022 May;3
1823;Total natural persons;55 to 59 years;2022 June;1
1824;Total natural persons;55 to 59 years;2022 2nd quarter;7
1825;Total natural persons;55 to 59 years;2022 July;2
1826;Total natural persons;55 to 59 years;2022 August;5
1827;Total natural persons;55 to 59 years;2022 September;5
1828;Total natural persons;55 to 59 years;2022 3rd quarter;12
1829;Total natural persons;55 to 59 years;2022 October;7
1830;Total natural persons;55 to 59 years;2022 November;7
1831;Total natural persons;55 to 59 years;2022 December;3
1832;Total natural persons;55 to 59 years;2022 4th quarter;17
1833;Total natural persons;55 to 59 years;2022;46
1834;Total natural persons;55 to 59 years;2023 January;4
1835;Total natural persons;55 to 59 years;2023 February;8
1836;Total natural persons;55 to 59 years;2023 March;3
1837;Total natural persons;55 to 59 years;2023 1st quarter;15
1838;Total natural persons;55 to 59 years;2023 April;4
1839;Total natural persons;55 to 59 years;2023 May;6
1840;Total natural persons;55 to 59 years;2023 June;7
1841;Total natural persons;55 to 59 years;2023 2nd quarter;17
1842;Total natural persons;55 to 59 years;2023 July;2
1843;Total natural persons;55 to 59 years;2023 August;5
1844;Total natural persons;55 to 59 years;2023 September;5
1845;Total natural persons;55 to 59 years;2023 3rd quarter;12
1846;Total natural persons;55 to 59 years;2023 October;12
1847;Total natural persons;55 to 59 years;2023 November;4
1848;Total natural persons;55 to 59 years;2023 December;8
1849;Total natural persons;55 to 59 years;2023 4th quarter;24
1850;Total natural persons;55 to 59 years;2023;68
1851;Total natural persons;55 to 59 years;2024 January;4
1852;Total natural persons;55 to 59 years;2024 February;7
1853;Total natural persons;55 to 59 years;2024 March;9
1854;Total natural persons;55 to 59 years;2024 1st quarter;20
1855;Total natural persons;55 to 59 years;2024 April;6
1856;Total natural persons;55 to 59 years;2024 May;1
1857;Total natural persons;55 to 59 years;2024 June;4
1858;Total natural persons;55 to 59 years;2024 2nd quarter;11
1859;Total natural persons;55 to 59 years;2024 July;10
1860;Total natural persons;55 to 59 years;2024 August;6
1861;Total natural persons;55 to 59 years;2024 September;7
1862;Total natural persons;55 to 59 years;2024 3rd quarter;23
1863;Total natural persons;55 to 59 years;2024 October;10
1864;Total natural persons;55 to 59 years;2024 November;5
1865;Total natural persons;55 to 59 years;2024 December;11
1866;Total natural persons;55 to 59 years;2024 4th quarter;26
1867;Total natural persons;55 to 59 years;2024;80
1868;Total natural persons;55 to 59 years;2025 January;10
1869;Total natural persons;55 to 59 years;2025 February;7
1870;Total natural persons;55 to 59 years;2025 March;5
1871;Total natural persons;55 to 59 years;2025 1st quarter;22
1872;Total natural persons;60 to 64 years;2013 January;16
1873;Total natural persons;60 to 64 years;2013 February;17
1874;Total natural persons;60 to 64 years;2013 March;22
1875;Total natural persons;60 to 64 years;2013 1st quarter;55
1876;Total natural persons;60 to 64 years;2013 April;22
1877;Total natural persons;60 to 64 years;2013 May;20
1878;Total natural persons;60 to 64 years;2013 June;14
1879;Total natural persons;60 to 64 years;2013 2nd quarter;56
1880;Total natural persons;60 to 64 years;2013 July;26
1881;Total natural persons;60 to 64 years;2013 August;17
1882;Total natural persons;60 to 64 years;2013 September;17
1883;Total natural persons;60 to 64 years;2013 3rd quarter;60
1884;Total natural persons;60 to 64 years;2013 October;22
1885;Total natural persons;60 to 64 years;2013 November;27
1886;Total natural persons;60 to 64 years;2013 December;14
1887;Total natural persons;60 to 64 years;2013 4th quarter;63
1888;Total natural persons;60 to 64 years;2013;234
1889;Total natural persons;60 to 64 years;2014 January;22
1890;Total natural persons;60 to 64 years;2014 February;14
1891;Total natural persons;60 to 64 years;2014 March;13
1892;Total natural persons;60 to 64 years;2014 1st quarter;49
1893;Total natural persons;60 to 64 years;2014 April;20
1894;Total natural persons;60 to 64 years;2014 May;15
1895;Total natural persons;60 to 64 years;2014 June;18
1896;Total natural persons;60 to 64 years;2014 2nd quarter;53
1897;Total natural persons;60 to 64 years;2014 July;21
1898;Total natural persons;60 to 64 years;2014 August;7
1899;Total natural persons;60 to 64 years;2014 September;10
1900;Total natural persons;60 to 64 years;2014 3rd quarter;38
1901;Total natural persons;60 to 64 years;2014 October;18
1902;Total natural persons;60 to 64 years;2014 November;10
1903;Total natural persons;60 to 64 years;2014 December;23
1904;Total natural persons;60 to 64 years;2014 4th quarter;51
1905;Total natural persons;60 to 64 years;2014;191
1906;Total natural persons;60 to 64 years;2015 January;10
1907;Total natural persons;60 to 64 years;2015 February;10
1908;Total natural persons;60 to 64 years;2015 March;15
1909;Total natural persons;60 to 64 years;2015 1st quarter;35
1910;Total natural persons;60 to 64 years;2015 April;10
1911;Total natural persons;60 to 64 years;2015 May;9
1912;Total natural persons;60 to 64 years;2015 June;15
1913;Total natural persons;60 to 64 years;2015 2nd quarter;34
1914;Total natural persons;60 to 64 years;2015 July;10
1915;Total natural persons;60 to 64 years;2015 August;8
1916;Total natural persons;60 to 64 years;2015 September;10
1917;Total natural persons;60 to 64 years;2015 3rd quarter;28
1918;Total natural persons;60 to 64 years;2015 October;9
1919;Total natural persons;60 to 64 years;2015 November;2
1920;Total natural persons;60 to 64 years;2015 December;14
1921;Total natural persons;60 to 64 years;2015 4th quarter;25
1922;Total natural persons;60 to 64 years;2015;122
1923;Total natural persons;60 to 64 years;2016 January;6
1924;Total natural persons;60 to 64 years;2016 February;7
1925;Total natural persons;60 to 64 years;2016 March;11
1926;Total natural persons;60 to 64 years;2016 1st quarter;24
1927;Total natural persons;60 to 64 years;2016 April;8
1928;Total natural persons;60 to 64 years;2016 May;7
1929;Total natural persons;60 to 64 years;2016 June;8
1930;Total natural persons;60 to 64 years;2016 2nd quarter;23
1931;Total natural persons;60 to 64 years;2016 July;8
1932;Total natural persons;60 to 64 years;2016 August;4
1933;Total natural persons;60 to 64 years;2016 September;8
1934;Total natural persons;60 to 64 years;2016 3rd quarter;20
1935;Total natural persons;60 to 64 years;2016 October;9
1936;Total natural persons;60 to 64 years;2016 November;7
1937;Total natural persons;60 to 64 years;2016 December;4
1938;Total natural persons;60 to 64 years;2016 4th quarter;20
1939;Total natural persons;60 to 64 years;2016;87
1940;Total natural persons;60 to 64 years;2017 January;8
1941;Total natural persons;60 to 64 years;2017 February;13
1942;Total natural persons;60 to 64 years;2017 March;11
1943;Total natural persons;60 to 64 years;2017 1st quarter;32
1944;Total natural persons;60 to 64 years;2017 April;11
1945;Total natural persons;60 to 64 years;2017 May;14
