ID;OwnerTenant;HouseholdCharacteristics;DwellingCharacteristics;Margins;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
2448;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Value;2002;85.3;82.8
2449;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Value;2006;84.4;82.8
2450;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Value;2009;83.4;79.6
2451;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Value;2012;84.3;80.7
2452;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Value;2015;79.8;78.0
2453;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Value;2018;74.4;77.7
2454;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Value;2021;75.6;78.2
2455;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Value;2024;73.2;78.4
2456;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2002;83.8;81.2
2457;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2006;82.7;81.0
2458;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2009;81.8;77.8
2459;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2012;82.6;78.9
2460;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2015;77.8;75.9
2461;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2018;72.2;75.7
2462;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2021;72.9;75.7
2463;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Lower bound 95% confidence interval;2024;70.3;75.7
2464;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2002;86.7;84.2
2465;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2006;86.0;84.4
2466;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2009;85.0;81.3
2467;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2012;85.8;82.4
2468;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2015;81.7;79.9
2469;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2018;76.5;79.7
2470;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2021;78.1;80.6
2471;Total;Age head of household: 45 to 54;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2024;75.9;80.8
2472;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Value;2002;91.9;85.7
2473;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Value;2006;92.0;84.5
2474;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Value;2009;90.5;82.7
2475;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Value;2012;88.2;82.3
2476;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Value;2015;84.7;80.8
2477;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Value;2018;79.8;79.4
2478;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Value;2021;81.9;81.3
2479;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Value;2024;79.0;79.7
2480;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2002;90.9;84.4
2481;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2006;90.7;82.9
2482;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2009;89.2;81.0
2483;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2012;86.5;80.3
2484;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2015;82.7;78.8
2485;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2018;77.7;77.3
2486;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2021;79.5;78.9
2487;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2024;76.3;77.1
2488;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2002;92.8;86.9
2489;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2006;93.1;86.0
2490;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2009;91.8;84.4
2491;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2012;89.7;84.0
2492;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2015;86.5;82.7
2493;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2018;81.7;81.3
2494;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2021;84.2;83.5
2495;Total;Age head of household: 45 to 54;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2024;81.4;82.1
2496;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Value;2002;95.4;87.2
2497;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Value;2006;95.2;86.7
2498;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Value;2009;93.6;84.5
2499;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Value;2012;93.9;87.4
2500;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Value;2015;93.0;84.8
2501;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Value;2018;90.3;87.1
2502;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Value;2021;89.7;85.6
2503;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Value;2024;85.9;83.4
2504;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2002;94.3;85.7
2505;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2006;94.1;84.9
2506;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2009;92.4;82.8
2507;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2012;92.7;85.8
2508;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2015;91.7;83.1
2509;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2018;88.7;85.4
2510;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2021;87.5;83.3
2511;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2024;83.2;80.6
2512;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2002;96.2;88.6
2513;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2006;96.1;88.2
2514;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2009;94.6;86.0
2515;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2012;94.9;88.8
2516;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2015;94.1;86.4
2517;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2018;91.7;88.6
2518;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2021;91.5;87.6
2519;Total;Age head of household: 45 to 54;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2024;88.2;85.8
2520;Total;Age head of household: 45 to 54;Year of construction: from 2001;Value;2002;98.5;89.5
2521;Total;Age head of household: 45 to 54;Year of construction: from 2001;Value;2006;97.1;86.2
2522;Total;Age head of household: 45 to 54;Year of construction: from 2001;Value;2009;94.0;84.3
2523;Total;Age head of household: 45 to 54;Year of construction: from 2001;Value;2012;94.0;84.5
2524;Total;Age head of household: 45 to 54;Year of construction: from 2001;Value;2015;92.0;82.7
2525;Total;Age head of household: 45 to 54;Year of construction: from 2001;Value;2018;93.7;86.5
2526;Total;Age head of household: 45 to 54;Year of construction: from 2001;Value;2021;93.4;87.7
2527;Total;Age head of household: 45 to 54;Year of construction: from 2001;Value;2024;91.2;85.1
2528;Total;Age head of household: 45 to 54;Year of construction: from 2001;Lower bound 95% confidence interval;2002;94.6;83.0
2529;Total;Age head of household: 45 to 54;Year of construction: from 2001;Lower bound 95% confidence interval;2006;94.0;81.6
2530;Total;Age head of household: 45 to 54;Year of construction: from 2001;Lower bound 95% confidence interval;2009;91.7;81.0
2531;Total;Age head of household: 45 to 54;Year of construction: from 2001;Lower bound 95% confidence interval;2012;92.0;81.6
2532;Total;Age head of household: 45 to 54;Year of construction: from 2001;Lower bound 95% confidence interval;2015;90.0;80.1
2533;Total;Age head of household: 45 to 54;Year of construction: from 2001;Lower bound 95% confidence interval;2018;92.1;84.3
2534;Total;Age head of household: 45 to 54;Year of construction: from 2001;Lower bound 95% confidence interval;2021;91.5;85.5
2535;Total;Age head of household: 45 to 54;Year of construction: from 2001;Lower bound 95% confidence interval;2024;89.2;82.8
2536;Total;Age head of household: 45 to 54;Year of construction: from 2001;Upper bound 95% confidence interval;2002;99.6;93.7
2537;Total;Age head of household: 45 to 54;Year of construction: from 2001;Upper bound 95% confidence interval;2006;98.7;89.8
2538;Total;Age head of household: 45 to 54;Year of construction: from 2001;Upper bound 95% confidence interval;2009;95.7;87.1
2539;Total;Age head of household: 45 to 54;Year of construction: from 2001;Upper bound 95% confidence interval;2012;95.5;86.9
2540;Total;Age head of household: 45 to 54;Year of construction: from 2001;Upper bound 95% confidence interval;2015;93.6;85.0
2541;Total;Age head of household: 45 to 54;Year of construction: from 2001;Upper bound 95% confidence interval;2018;95.0;88.4
2542;Total;Age head of household: 45 to 54;Year of construction: from 2001;Upper bound 95% confidence interval;2021;94.8;89.7
2543;Total;Age head of household: 45 to 54;Year of construction: from 2001;Upper bound 95% confidence interval;2024;92.9;87.2
2544;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Value;2002;;
2545;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Value;2006;;
2546;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Value;2009;;
2547;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Value;2012;74.9;72.5
2548;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Value;2015;67.3;68.7
2549;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Value;2018;65.0;69.1
2550;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Value;2021;67.6;70.8
2551;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Value;2024;64.7;71.6
2552;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2002;;
2553;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2006;;
2554;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2009;;
2555;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2012;72.4;70.0
2556;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2015;64.7;66.1
2557;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2018;62.4;66.5
2558;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2021;64.5;67.8
2559;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Lower bound 95% confidence interval;2024;61.5;68.6
2560;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2002;;
2561;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2006;;
2562;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2009;;
2563;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2012;77.2;74.8
2564;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2015;69.8;71.1
2565;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2018;67.6;71.5
2566;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2021;70.5;73.6
2567;Total;Age head of household: 45 to 54;Dwelling: 1st 25%-group WOZ;Upper bound 95% confidence interval;2024;67.8;74.4
2568;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Value;2002;;
2569;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Value;2006;;
2570;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Value;2009;;
2571;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Value;2012;84.4;78.5
2572;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Value;2015;83.8;77.8
2573;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Value;2018;78.3;77.7
2574;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Value;2021;82.4;80.6
2575;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Value;2024;77.4;77.1
2576;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2002;;
2577;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2006;;
2578;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2009;;
2579;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2012;82.6;76.5
2580;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2015;81.9;75.7
2581;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2018;76.2;75.6
2582;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2021;80.1;78.3
2583;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Lower bound 95% confidence interval;2024;74.7;74.5
2584;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2002;;
2585;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2006;;
2586;Total;Age head of household: 45 to 54;Dwelling: 2nd 25%-group WOZ;Upper bound 95% confidence interval;2009;;
