ID;InstitutionalSectors;TransactionsAndBalancingItems;Periods;GovernmentProductionAndConsumption_1
2652;Local government;B1g Gross value added;2008;47200
2653;Local government;B1g Gross value added;2009;49473
2654;Local government;B1g Gross value added;2010;51047
2655;Local government;B1g Gross value added;2011;51252
2656;Local government;B1g Gross value added;2012;51706
2657;Local government;B1g Gross value added;2013;48702
2658;Local government;B1g Gross value added;2014;48951
2659;Local government;B1g Gross value added;2015;48979
2660;Local government;B1g Gross value added;2016;49694
2661;Local government;B1g Gross value added;2017;50928
2662;Local government;B1g Gross value added;2018;52412
2663;Local government;B1g Gross value added;2019;54488
2664;Local government;B1g Gross value added;2020;56934
2665;Local government;B1g Gross value added;2021;59141
2666;Local government;B1g Gross value added;2022;64498
2667;Local government;B1g Gross value added;2023;69374
2668;Local government;P51c Consumption of fixed capital;1995;4890
2669;Local government;P51c Consumption of fixed capital;1996;5107
2670;Local government;P51c Consumption of fixed capital;1997;5343
2671;Local government;P51c Consumption of fixed capital;1998;5554
2672;Local government;P51c Consumption of fixed capital;1999;5912
2673;Local government;P51c Consumption of fixed capital;2000;6377
2674;Local government;P51c Consumption of fixed capital;2001;6874
2675;Local government;P51c Consumption of fixed capital;2002;7421
2676;Local government;P51c Consumption of fixed capital;2003;7909
2677;Local government;P51c Consumption of fixed capital;2004;8358
2678;Local government;P51c Consumption of fixed capital;2005;8735
2679;Local government;P51c Consumption of fixed capital;2006;9221
2680;Local government;P51c Consumption of fixed capital;2007;9752
2681;Local government;P51c Consumption of fixed capital;2008;10283
2682;Local government;P51c Consumption of fixed capital;2009;10670
2683;Local government;P51c Consumption of fixed capital;2010;11125
2684;Local government;P51c Consumption of fixed capital;2011;11425
2685;Local government;P51c Consumption of fixed capital;2012;11683
2686;Local government;P51c Consumption of fixed capital;2013;11685
2687;Local government;P51c Consumption of fixed capital;2014;11811
2688;Local government;P51c Consumption of fixed capital;2015;11848
2689;Local government;P51c Consumption of fixed capital;2016;11873
2690;Local government;P51c Consumption of fixed capital;2017;12078
2691;Local government;P51c Consumption of fixed capital;2018;12444
2692;Local government;P51c Consumption of fixed capital;2019;12842
2693;Local government;P51c Consumption of fixed capital;2020;13194
2694;Local government;P51c Consumption of fixed capital;2021;13676
2695;Local government;P51c Consumption of fixed capital;2022;14734
2696;Local government;P51c Consumption of fixed capital;2023;15473
2697;Local government;B1n Net value added;1995;20596
2698;Local government;B1n Net value added;1996;20892
2699;Local government;B1n Net value added;1997;21708
2700;Local government;B1n Net value added;1998;22786
2701;Local government;B1n Net value added;1999;24088
2702;Local government;B1n Net value added;2000;25715
2703;Local government;B1n Net value added;2001;27397
2704;Local government;B1n Net value added;2002;29301
2705;Local government;B1n Net value added;2003;31108
2706;Local government;B1n Net value added;2004;31612
2707;Local government;B1n Net value added;2005;32300
2708;Local government;B1n Net value added;2006;33265
2709;Local government;B1n Net value added;2007;34598
2710;Local government;B1n Net value added;2008;36917
2711;Local government;B1n Net value added;2009;38803
2712;Local government;B1n Net value added;2010;39922
2713;Local government;B1n Net value added;2011;39827
2714;Local government;B1n Net value added;2012;40023
2715;Local government;B1n Net value added;2013;37017
2716;Local government;B1n Net value added;2014;37140
2717;Local government;B1n Net value added;2015;37131
2718;Local government;B1n Net value added;2016;37821
2719;Local government;B1n Net value added;2017;38850
2720;Local government;B1n Net value added;2018;39968
2721;Local government;B1n Net value added;2019;41646
2722;Local government;B1n Net value added;2020;43740
2723;Local government;B1n Net value added;2021;45465
2724;Local government;B1n Net value added;2022;49764
2725;Local government;B1n Net value added;2023;53901
2726;Local government;D1 Compensation of employees;1995;20364
2727;Local government;D1 Compensation of employees;1996;20714
2728;Local government;D1 Compensation of employees;1997;21563
2729;Local government;D1 Compensation of employees;1998;22659
2730;Local government;D1 Compensation of employees;1999;23954
2731;Local government;D1 Compensation of employees;2000;25579
2732;Local government;D1 Compensation of employees;2001;27294
2733;Local government;D1 Compensation of employees;2002;29206
2734;Local government;D1 Compensation of employees;2003;31013
2735;Local government;D1 Compensation of employees;2004;31651
2736;Local government;D1 Compensation of employees;2005;32174
2737;Local government;D1 Compensation of employees;2006;33098
2738;Local government;D1 Compensation of employees;2007;34410
2739;Local government;D1 Compensation of employees;2008;36687
2740;Local government;D1 Compensation of employees;2009;38610
2741;Local government;D1 Compensation of employees;2010;39686
2742;Local government;D1 Compensation of employees;2011;39548
2743;Local government;D1 Compensation of employees;2012;39743
2744;Local government;D1 Compensation of employees;2013;36552
2745;Local government;D1 Compensation of employees;2014;36608
2746;Local government;D1 Compensation of employees;2015;36500
2747;Local government;D1 Compensation of employees;2016;37199
2748;Local government;D1 Compensation of employees;2017;38220
2749;Local government;D1 Compensation of employees;2018;39317
2750;Local government;D1 Compensation of employees;2019;41057
2751;Local government;D1 Compensation of employees;2020;43411
2752;Local government;D1 Compensation of employees;2021;45142
2753;Local government;D1 Compensation of employees;2022;49336
2754;Local government;D1 Compensation of employees;2023;53385
2755;Local government;D11 Wages and salaries;1995;16454
2756;Local government;D11 Wages and salaries;1996;16587
2757;Local government;D11 Wages and salaries;1997;17611
2758;Local government;D11 Wages and salaries;1998;17810
2759;Local government;D11 Wages and salaries;1999;18912
2760;Local government;D11 Wages and salaries;2000;20243
2761;Local government;D11 Wages and salaries;2001;21550
2762;Local government;D11 Wages and salaries;2002;22834
2763;Local government;D11 Wages and salaries;2003;24097
2764;Local government;D11 Wages and salaries;2004;24102
2765;Local government;D11 Wages and salaries;2005;24209
2766;Local government;D11 Wages and salaries;2006;25507
2767;Local government;D11 Wages and salaries;2007;26689
2768;Local government;D11 Wages and salaries;2008;28141
2769;Local government;D11 Wages and salaries;2009;29794
2770;Local government;D11 Wages and salaries;2010;30501
2771;Local government;D11 Wages and salaries;2011;30256
2772;Local government;D11 Wages and salaries;2012;30098
2773;Local government;D11 Wages and salaries;2013;27592
2774;Local government;D11 Wages and salaries;2014;27329
2775;Local government;D11 Wages and salaries;2015;27715
2776;Local government;D11 Wages and salaries;2016;28408
2777;Local government;D11 Wages and salaries;2017;28926
2778;Local government;D11 Wages and salaries;2018;29460
2779;Local government;D11 Wages and salaries;2019;30442
2780;Local government;D11 Wages and salaries;2020;32223
2781;Local government;D11 Wages and salaries;2021;33474
2782;Local government;D11 Wages and salaries;2022;36053
