ID;OwnerOrTenant;HouseholdCharacteristics;DwellingCharacteristics;Accuracy;Periods;TotalHousingCosts_1;NetRentOrMortgage_2;AdditionalHousingCosts_3;HousingCostRatio_4;NonSkewedRent_5;SkewedTowardsCheapRent_6;SkewedTowardsExpensiveRent_7
1654;Total;Disposable income: 1st 20%-group;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2018;504.0;332.0;173.0;45.5;;;
1655;Total;Disposable income: 1st 20%-group;Year of construction: 1946 to 1970;Upper bound 95% confidence interval;2021;522.0;361.0;163.0;42.5;;;
1656;Total;Disposable income: 1st 20%-group;Year of construction: 1971 to 1985;Value;2012;500.0;334.0;166.0;47.5;;;
1657;Total;Disposable income: 1st 20%-group;Year of construction: 1971 to 1985;Value;2015;516.0;352.0;164.0;48.2;;;
1658;Total;Disposable income: 1st 20%-group;Year of construction: 1971 to 1985;Value;2018;507.0;340.0;167.0;46.3;;;
1659;Total;Disposable income: 1st 20%-group;Year of construction: 1971 to 1985;Value;2021;520.0;368.0;152.0;43.7;;;
1660;Total;Disposable income: 1st 20%-group;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2012;486.0;320.0;163.0;46.3;;;
1661;Total;Disposable income: 1st 20%-group;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2015;507.0;344.0;161.0;47.2;;;
1662;Total;Disposable income: 1st 20%-group;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2018;496.0;331.0;164.0;45.3;;;
1663;Total;Disposable income: 1st 20%-group;Year of construction: 1971 to 1985;Lower bound 95% confidence interval;2021;509.0;358.0;149.0;42.6;;;
1664;Total;Disposable income: 1st 20%-group;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2012;514.0;348.0;169.0;48.7;;;
1665;Total;Disposable income: 1st 20%-group;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2015;525.0;360.0;166.0;49.1;;;
1666;Total;Disposable income: 1st 20%-group;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2018;517.0;349.0;169.0;47.3;;;
1667;Total;Disposable income: 1st 20%-group;Year of construction: 1971 to 1985;Upper bound 95% confidence interval;2021;530.0;378.0;154.0;44.8;;;
1668;Total;Disposable income: 1st 20%-group;Year of construction: 1986 to 2000;Value;2012;512.0;355.0;157.0;47.1;;;
1669;Total;Disposable income: 1st 20%-group;Year of construction: 1986 to 2000;Value;2015;552.0;399.0;153.0;48.9;;;
1670;Total;Disposable income: 1st 20%-group;Year of construction: 1986 to 2000;Value;2018;519.0;364.0;155.0;46.2;;;
1671;Total;Disposable income: 1st 20%-group;Year of construction: 1986 to 2000;Value;2021;520.0;377.0;142.0;42.9;;;
1672;Total;Disposable income: 1st 20%-group;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2012;495.0;339.0;154.0;45.7;;;
1673;Total;Disposable income: 1st 20%-group;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2015;533.0;381.0;150.0;47.6;;;
1674;Total;Disposable income: 1st 20%-group;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2018;505.0;350.0;152.0;45.0;;;
1675;Total;Disposable income: 1st 20%-group;Year of construction: 1986 to 2000;Lower bound 95% confidence interval;2021;501.0;360.0;139.0;41.4;;;
1676;Total;Disposable income: 1st 20%-group;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2012;530.0;371.0;161.0;48.5;;;
1677;Total;Disposable income: 1st 20%-group;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2015;571.0;417.0;156.0;50.2;;;
1678;Total;Disposable income: 1st 20%-group;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2018;533.0;378.0;157.0;47.5;;;
1679;Total;Disposable income: 1st 20%-group;Year of construction: 1986 to 2000;Upper bound 95% confidence interval;2021;539.0;395.0;146.0;44.4;;;
1680;Total;Disposable income: 1st 20%-group;Year of construction: from 2001;Value;2012;596.0;442.0;154.0;55.7;;;
1681;Total;Disposable income: 1st 20%-group;Year of construction: from 2001;Value;2015;598.0;447.0;151.0;57.7;;;
1682;Total;Disposable income: 1st 20%-group;Year of construction: from 2001;Value;2018;575.0;421.0;153.0;58.7;;;
1683;Total;Disposable income: 1st 20%-group;Year of construction: from 2001;Value;2021;593.0;461.0;132.0;55.7;;;
1684;Total;Disposable income: 1st 20%-group;Year of construction: from 2001;Lower bound 95% confidence interval;2012;563.0;410.0;149.0;53.3;;;
1685;Total;Disposable income: 1st 20%-group;Year of construction: from 2001;Lower bound 95% confidence interval;2015;548.0;399.0;147.0;55.4;;;
1686;Total;Disposable income: 1st 20%-group;Year of construction: from 2001;Lower bound 95% confidence interval;2018;553.0;401.0;150.0;56.6;;;
1687;Total;Disposable income: 1st 20%-group;Year of construction: from 2001;Lower bound 95% confidence interval;2021;568.0;437.0;128.0;53.4;;;
1688;Total;Disposable income: 1st 20%-group;Year of construction: from 2001;Upper bound 95% confidence interval;2012;629.0;473.0;160.0;58.1;;;
1689;Total;Disposable income: 1st 20%-group;Year of construction: from 2001;Upper bound 95% confidence interval;2015;647.0;495.0;156.0;59.9;;;
1690;Total;Disposable income: 1st 20%-group;Year of construction: from 2001;Upper bound 95% confidence interval;2018;596.0;441.0;157.0;60.8;;;
1691;Total;Disposable income: 1st 20%-group;Year of construction: from 2001;Upper bound 95% confidence interval;2021;619.0;486.0;135.0;58.1;;;
1692;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : included;Value;2012;540.0;356.0;184.0;48.1;;;
1693;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : included;Value;2015;561.0;379.0;182.0;49.0;;;
1694;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : included;Value;2018;550.0;369.0;181.0;47.3;;;
1695;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : included;Value;2021;559.0;387.0;172.0;44.6;;;
1696;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2012;529.0;346.0;182.0;47.3;;;
1697;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2015;548.0;367.0;180.0;48.3;;;
1698;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2018;540.0;360.0;179.0;46.6;;;
1699;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : included;Lower bound 95% confidence interval;2021;547.0;376.0;169.0;43.8;;;
1700;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2012;551.0;366.0;186.0;48.9;;;
1701;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2015;574.0;392.0;184.0;49.7;;;
1702;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2018;559.0;377.0;183.0;48.1;;;
1703;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : included;Upper bound 95% confidence interval;2021;570.0;398.0;174.0;45.4;;;
1704;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : not included;Value;2012;474.0;325.0;149.0;48.3;;;
1705;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : not included;Value;2015;510.0;362.0;148.0;50.7;;;
1706;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : not included;Value;2018;495.0;344.0;151.0;49.5;;;
1707;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : not included;Value;2021;517.0;383.0;134.0;46.5;;;
1708;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2012;467.0;318.0;148.0;47.4;;;
1709;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2015;502.0;354.0;147.0;49.8;;;
1710;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2018;487.0;336.0;150.0;48.6;;;
1711;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : not included;Lower bound 95% confidence interval;2021;507.0;374.0;132.0;45.5;;;
1712;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2012;482.0;332.0;151.0;49.2;;;
1713;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2015;518.0;370.0;150.0;51.5;;;
1714;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2018;504.0;352.0;153.0;50.4;;;
1715;Total;Disposable income: 1st 20%-group;Own garden, grounds etc. : not included;Upper bound 95% confidence interval;2021;527.0;393.0;136.0;47.6;;;
1716;Total;Disposable income: 1st 20%-group;Total dwellings;Value;2012;509.0;341.0;168.0;48.2;;;
1717;Total;Disposable income: 1st 20%-group;Total dwellings;Value;2015;536.0;371.0;165.0;49.8;;;
1718;Total;Disposable income: 1st 20%-group;Total dwellings;Value;2018;524.0;357.0;167.0;48.4;;;
1719;Total;Disposable income: 1st 20%-group;Total dwellings;Value;2021;539.0;385.0;154.0;45.5;;;
1720;Total;Disposable income: 1st 20%-group;Total dwellings;Lower bound 95% confidence interval;2012;502.0;335.0;166.0;47.6;;;
1721;Total;Disposable income: 1st 20%-group;Total dwellings;Lower bound 95% confidence interval;2015;528.0;363.0;164.0;49.3;;;
1722;Total;Disposable income: 1st 20%-group;Total dwellings;Lower bound 95% confidence interval;2018;517.0;351.0;165.0;47.8;;;
1723;Total;Disposable income: 1st 20%-group;Total dwellings;Lower bound 95% confidence interval;2021;531.0;378.0;152.0;44.9;;;
1724;Total;Disposable income: 1st 20%-group;Total dwellings;Upper bound 95% confidence interval;2012;515.0;347.0;169.0;48.8;;;
1725;Total;Disposable income: 1st 20%-group;Total dwellings;Upper bound 95% confidence interval;2015;544.0;378.0;167.0;50.4;;;
1726;Total;Disposable income: 1st 20%-group;Total dwellings;Upper bound 95% confidence interval;2018;530.0;363.0;168.0;49.0;;;
1727;Total;Disposable income: 1st 20%-group;Total dwellings;Upper bound 95% confidence interval;2021;547.0;393.0;155.0;46.2;;;
1728;Total;Disposable income: 1st 20%-group;"Type of dwelling: single-family; total";Value;2012;563.0;369.0;194.0;49.2;;;
1729;Total;Disposable income: 1st 20%-group;"Type of dwelling: single-family; total";Value;2015;577.0;387.0;189.0;49.5;;;
1730;Total;Disposable income: 1st 20%-group;"Type of dwelling: single-family; total";Value;2018;568.0;379.0;189.0;48.3;;;
1731;Total;Disposable income: 1st 20%-group;"Type of dwelling: single-family; total";Value;2021;577.0;396.0;181.0;45.3;;;
1732;Total;Disposable income: 1st 20%-group;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2012;550.0;357.0;192.0;48.3;;;
1733;Total;Disposable income: 1st 20%-group;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2015;561.0;372.0;187.0;48.7;;;
1734;Total;Disposable income: 1st 20%-group;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2018;557.0;368.0;187.0;47.5;;;
1735;Total;Disposable income: 1st 20%-group;"Type of dwelling: single-family; total";Lower bound 95% confidence interval;2021;563.0;383.0;178.0;44.4;;;
1736;Total;Disposable income: 1st 20%-group;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2012;576.0;382.0;196.0;50.1;;;
1737;Total;Disposable income: 1st 20%-group;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2015;592.0;403.0;192.0;50.4;;;
1738;Total;Disposable income: 1st 20%-group;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2018;580.0;390.0;191.0;49.1;;;
1739;Total;Disposable income: 1st 20%-group;"Type of dwelling: single-family; total";Upper bound 95% confidence interval;2021;591.0;409.0;183.0;46.2;;;
1740;Total;Disposable income: 1st 20%-group;Type of dwelling: detached house;Value;2012;713.0;469.0;243.0;58.6;;;
1741;Total;Disposable income: 1st 20%-group;Type of dwelling: detached house;Value;2015;759.0;512.0;247.0;59.2;;;
1742;Total;Disposable income: 1st 20%-group;Type of dwelling: detached house;Value;2018;703.0;458.0;245.0;57.3;;;
1743;Total;Disposable income: 1st 20%-group;Type of dwelling: detached house;Value;2021;697.0;452.0;246.0;52.4;;;
1744;Total;Disposable income: 1st 20%-group;Type of dwelling: detached house;Lower bound 95% confidence interval;2012;660.0;419.0;235.0;55.7;;;
1745;Total;Disposable income: 1st 20%-group;Type of dwelling: detached house;Lower bound 95% confidence interval;2015;671.0;426.0;238.0;56.4;;;
1746;Total;Disposable income: 1st 20%-group;Type of dwelling: detached house;Lower bound 95% confidence interval;2018;656.0;414.0;238.0;54.8;;;
1747;Total;Disposable income: 1st 20%-group;Type of dwelling: detached house;Lower bound 95% confidence interval;2021;640.0;399.0;237.0;49.7;;;
1748;Total;Disposable income: 1st 20%-group;Type of dwelling: detached house;Upper bound 95% confidence interval;2012;765.0;519.0;252.0;61.5;;;
1749;Total;Disposable income: 1st 20%-group;Type of dwelling: detached house;Upper bound 95% confidence interval;2015;847.0;599.0;255.0;62.0;;;
1750;Total;Disposable income: 1st 20%-group;Type of dwelling: detached house;Upper bound 95% confidence interval;2018;749.0;502.0;252.0;59.9;;;
1751;Total;Disposable income: 1st 20%-group;Type of dwelling: detached house;Upper bound 95% confidence interval;2021;755.0;505.0;254.0;55.0;;;
1752;Total;Disposable income: 1st 20%-group;Type of dwelling: semi-detached house;Value;2012;590.0;381.0;209.0;51.2;;;
1753;Total;Disposable income: 1st 20%-group;Type of dwelling: semi-detached house;Value;2015;591.0;391.0;200.0;50.0;;;
1754;Total;Disposable income: 1st 20%-group;Type of dwelling: semi-detached house;Value;2018;587.0;383.0;204.0;49.4;;;
1755;Total;Disposable income: 1st 20%-group;Type of dwelling: semi-detached house;Value;2021;560.0;369.0;191.0;45.4;;;
1756;Total;Disposable income: 1st 20%-group;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2012;546.0;339.0;202.0;47.9;;;
1757;Total;Disposable income: 1st 20%-group;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2015;540.0;343.0;193.0;46.9;;;
1758;Total;Disposable income: 1st 20%-group;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2018;553.0;350.0;199.0;46.7;;;
1759;Total;Disposable income: 1st 20%-group;Type of dwelling: semi-detached house;Lower bound 95% confidence interval;2021;520.0;332.0;184.0;42.4;;;
1760;Total;Disposable income: 1st 20%-group;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2012;633.0;423.0;216.0;54.4;;;
1761;Total;Disposable income: 1st 20%-group;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2015;642.0;440.0;206.0;53.0;;;
1762;Total;Disposable income: 1st 20%-group;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2018;621.0;415.0;210.0;52.1;;;
1763;Total;Disposable income: 1st 20%-group;Type of dwelling: semi-detached house;Upper bound 95% confidence interval;2021;600.0;406.0;198.0;48.3;;;
1764;Total;Disposable income: 1st 20%-group;Type of dwelling: corner house;Value;2012;537.0;348.0;190.0;47.6;;;
1765;Total;Disposable income: 1st 20%-group;Type of dwelling: corner house;Value;2015;546.0;362.0;185.0;48.2;;;
1766;Total;Disposable income: 1st 20%-group;Type of dwelling: corner house;Value;2018;543.0;362.0;181.0;46.8;;;
1767;Total;Disposable income: 1st 20%-group;Type of dwelling: corner house;Value;2021;571.0;399.0;171.0;44.8;;;
1768;Total;Disposable income: 1st 20%-group;Type of dwelling: corner house;Lower bound 95% confidence interval;2012;517.0;329.0;185.0;45.8;;;
1769;Total;Disposable income: 1st 20%-group;Type of dwelling: corner house;Lower bound 95% confidence interval;2015;530.0;346.0;181.0;46.7;;;
1770;Total;Disposable income: 1st 20%-group;Type of dwelling: corner house;Lower bound 95% confidence interval;2018;525.0;345.0;177.0;45.3;;;
1771;Total;Disposable income: 1st 20%-group;Type of dwelling: corner house;Lower bound 95% confidence interval;2021;546.0;376.0;167.0;42.8;;;
1772;Total;Disposable income: 1st 20%-group;Type of dwelling: corner house;Upper bound 95% confidence interval;2012;558.0;367.0;194.0;49.3;;;
1773;Total;Disposable income: 1st 20%-group;Type of dwelling: corner house;Upper bound 95% confidence interval;2015;563.0;377.0;188.0;49.8;;;
1774;Total;Disposable income: 1st 20%-group;Type of dwelling: corner house;Upper bound 95% confidence interval;2018;561.0;379.0;184.0;48.3;;;
1775;Total;Disposable income: 1st 20%-group;Type of dwelling: corner house;Upper bound 95% confidence interval;2021;595.0;422.0;175.0;46.7;;;
