ID;OwnerTenant;HouseholdCharacteristics;Margins;Regions;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
2203;Total;Age head of household: younger than 35;Value;Utrecht (PV);2012;83.8;80.6
2204;Total;Age head of household: younger than 35;Value;Utrecht (PV);2015;80.1;74.6
2205;Total;Age head of household: younger than 35;Value;Utrecht (PV);2018;81.5;79.0
2206;Total;Age head of household: younger than 35;Value;Utrecht (PV);2021;81.4;78.6
2207;Total;Age head of household: younger than 35;Value;Utrecht (PV);2024;78.7;77.7
2208;Total;Age head of household: younger than 35;Value;Noord-Holland (PV);2002;78.8;80.3
2209;Total;Age head of household: younger than 35;Value;Noord-Holland (PV);2006;81.3;83.1
2210;Total;Age head of household: younger than 35;Value;Noord-Holland (PV);2009;83.0;80.9
2211;Total;Age head of household: younger than 35;Value;Noord-Holland (PV);2012;82.6;79.9
2212;Total;Age head of household: younger than 35;Value;Noord-Holland (PV);2015;79.4;77.3
2213;Total;Age head of household: younger than 35;Value;Noord-Holland (PV);2018;77.2;81.2
2214;Total;Age head of household: younger than 35;Value;Noord-Holland (PV);2021;75.5;79.0
2215;Total;Age head of household: younger than 35;Value;Noord-Holland (PV);2024;75.7;79.1
2216;Total;Age head of household: younger than 35;Value;Zuid-Holland (PV);2002;79.7;73.6
2217;Total;Age head of household: younger than 35;Value;Zuid-Holland (PV);2006;81.1;77.5
2218;Total;Age head of household: younger than 35;Value;Zuid-Holland (PV);2009;83.3;75.7
2219;Total;Age head of household: younger than 35;Value;Zuid-Holland (PV);2012;81.1;75.1
2220;Total;Age head of household: younger than 35;Value;Zuid-Holland (PV);2015;78.0;72.4
2221;Total;Age head of household: younger than 35;Value;Zuid-Holland (PV);2018;75.4;77.7
2222;Total;Age head of household: younger than 35;Value;Zuid-Holland (PV);2021;72.7;76.5
2223;Total;Age head of household: younger than 35;Value;Zuid-Holland (PV);2024;71.6;76.2
2224;Total;Age head of household: younger than 35;Value;Zeeland (PV);2002;84.8;83.5
2225;Total;Age head of household: younger than 35;Value;Zeeland (PV);2006;88.6;87.6
2226;Total;Age head of household: younger than 35;Value;Zeeland (PV);2009;85.6;80.6
2227;Total;Age head of household: younger than 35;Value;Zeeland (PV);2012;86.8;85.2
2228;Total;Age head of household: younger than 35;Value;Zeeland (PV);2015;82.3;80.3
2229;Total;Age head of household: younger than 35;Value;Zeeland (PV);2018;79.3;76.7
2230;Total;Age head of household: younger than 35;Value;Zeeland (PV);2021;79.8;84.5
2231;Total;Age head of household: younger than 35;Value;Zeeland (PV);2024;80.5;79.1
2232;Total;Age head of household: younger than 35;Value;Noord-Brabant (PV);2002;85.1;82.0
2233;Total;Age head of household: younger than 35;Value;Noord-Brabant (PV);2006;88.4;82.7
2234;Total;Age head of household: younger than 35;Value;Noord-Brabant (PV);2009;87.3;81.0
2235;Total;Age head of household: younger than 35;Value;Noord-Brabant (PV);2012;83.4;80.3
2236;Total;Age head of household: younger than 35;Value;Noord-Brabant (PV);2015;82.3;77.7
2237;Total;Age head of household: younger than 35;Value;Noord-Brabant (PV);2018;80.4;77.1
2238;Total;Age head of household: younger than 35;Value;Noord-Brabant (PV);2021;84.1;78.9
2239;Total;Age head of household: younger than 35;Value;Noord-Brabant (PV);2024;75.5;78.8
2240;Total;Age head of household: younger than 35;Value;Limburg (PV);2002;84.0;83.1
2241;Total;Age head of household: younger than 35;Value;Limburg (PV);2006;81.2;86.8
2242;Total;Age head of household: younger than 35;Value;Limburg (PV);2009;78.6;79.1
2243;Total;Age head of household: younger than 35;Value;Limburg (PV);2012;83.3;73.6
2244;Total;Age head of household: younger than 35;Value;Limburg (PV);2015;85.3;74.8
2245;Total;Age head of household: younger than 35;Value;Limburg (PV);2018;78.5;76.9
2246;Total;Age head of household: younger than 35;Value;Limburg (PV);2021;78.5;84.1
2247;Total;Age head of household: younger than 35;Value;Limburg (PV);2024;73.9;80.9
2248;Total;Age head of household: younger than 35;Value;Oost-Groningen (CR);2002;82.8;90.7
2249;Total;Age head of household: younger than 35;Value;Oost-Groningen (CR);2006;85.9;81.5
2250;Total;Age head of household: younger than 35;Value;Oost-Groningen (CR);2009;76.1;82.3
2251;Total;Age head of household: younger than 35;Value;Oost-Groningen (CR);2012;86.8;86.5
2252;Total;Age head of household: younger than 35;Value;Oost-Groningen (CR);2015;79.8;68.9
2253;Total;Age head of household: younger than 35;Value;Oost-Groningen (CR);2018;71.1;71.7
2254;Total;Age head of household: younger than 35;Value;Oost-Groningen (CR);2021;;
2255;Total;Age head of household: younger than 35;Value;Oost-Groningen (CR);2024;;
2256;Total;Age head of household: younger than 35;Value;Delfzijl en omgeving (CR);2002;87.3;87.2
2257;Total;Age head of household: younger than 35;Value;Delfzijl en omgeving (CR);2006;;
2258;Total;Age head of household: younger than 35;Value;Delfzijl en omgeving (CR);2009;;
2259;Total;Age head of household: younger than 35;Value;Delfzijl en omgeving (CR);2012;;
2260;Total;Age head of household: younger than 35;Value;Delfzijl en omgeving (CR);2015;;
2261;Total;Age head of household: younger than 35;Value;Delfzijl en omgeving (CR);2018;;
2262;Total;Age head of household: younger than 35;Value;Delfzijl en omgeving (CR);2021;;
2263;Total;Age head of household: younger than 35;Value;Delfzijl en omgeving (CR);2024;;
2264;Total;Age head of household: younger than 35;Value;Overig Groningen (CR);2002;85.1;82.4
2265;Total;Age head of household: younger than 35;Value;Overig Groningen (CR);2006;85.4;84.5
2266;Total;Age head of household: younger than 35;Value;Overig Groningen (CR);2009;85.4;81.0
2267;Total;Age head of household: younger than 35;Value;Overig Groningen (CR);2012;82.8;72.4
2268;Total;Age head of household: younger than 35;Value;Overig Groningen (CR);2015;82.3;75.2
2269;Total;Age head of household: younger than 35;Value;Overig Groningen (CR);2018;86.4;81.6
2270;Total;Age head of household: younger than 35;Value;Overig Groningen (CR);2021;79.8;79.7
2271;Total;Age head of household: younger than 35;Value;Overig Groningen (CR);2024;75.2;77.1
2272;Total;Age head of household: younger than 35;Value;Noord-Friesland (CR);2002;86.5;83.5
2273;Total;Age head of household: younger than 35;Value;Noord-Friesland (CR);2006;82.2;82.2
2274;Total;Age head of household: younger than 35;Value;Noord-Friesland (CR);2009;85.5;79.4
2275;Total;Age head of household: younger than 35;Value;Noord-Friesland (CR);2012;81.0;76.9
2276;Total;Age head of household: younger than 35;Value;Noord-Friesland (CR);2015;74.0;76.0
2277;Total;Age head of household: younger than 35;Value;Noord-Friesland (CR);2018;76.7;78.8
2278;Total;Age head of household: younger than 35;Value;Noord-Friesland (CR);2021;75.3;79.7
2279;Total;Age head of household: younger than 35;Value;Noord-Friesland (CR);2024;63.6;61.0
2280;Total;Age head of household: younger than 35;Value;Zuidwest-Friesland (CR);2002;88.9;92.4
2281;Total;Age head of household: younger than 35;Value;Zuidwest-Friesland (CR);2006;82.7;88.7
2282;Total;Age head of household: younger than 35;Value;Zuidwest-Friesland (CR);2009;;
2283;Total;Age head of household: younger than 35;Value;Zuidwest-Friesland (CR);2012;86.6;79.4
2284;Total;Age head of household: younger than 35;Value;Zuidwest-Friesland (CR);2015;77.9;81.5
2285;Total;Age head of household: younger than 35;Value;Zuidwest-Friesland (CR);2018;82.3;63.1
2286;Total;Age head of household: younger than 35;Value;Zuidwest-Friesland (CR);2021;;
2287;Total;Age head of household: younger than 35;Value;Zuidwest-Friesland (CR);2024;;
2288;Total;Age head of household: younger than 35;Value;Zuidoost-Friesland (CR);2002;88.2;88.0
2289;Total;Age head of household: younger than 35;Value;Zuidoost-Friesland (CR);2006;89.4;84.9
2290;Total;Age head of household: younger than 35;Value;Zuidoost-Friesland (CR);2009;92.7;70.5
2291;Total;Age head of household: younger than 35;Value;Zuidoost-Friesland (CR);2012;83.9;76.1
2292;Total;Age head of household: younger than 35;Value;Zuidoost-Friesland (CR);2015;82.2;76.3
2293;Total;Age head of household: younger than 35;Value;Zuidoost-Friesland (CR);2018;82.7;77.0
2294;Total;Age head of household: younger than 35;Value;Zuidoost-Friesland (CR);2021;91.6;81.9
2295;Total;Age head of household: younger than 35;Value;Zuidoost-Friesland (CR);2024;66.9;86.4
2296;Total;Age head of household: younger than 35;Value;Noord-Drenthe (CR);2002;85.6;84.1
2297;Total;Age head of household: younger than 35;Value;Noord-Drenthe (CR);2006;92.2;83.9
2298;Total;Age head of household: younger than 35;Value;Noord-Drenthe (CR);2009;94.3;95.2
2299;Total;Age head of household: younger than 35;Value;Noord-Drenthe (CR);2012;83.5;76.4
2300;Total;Age head of household: younger than 35;Value;Noord-Drenthe (CR);2015;84.3;88.5
2301;Total;Age head of household: younger than 35;Value;Noord-Drenthe (CR);2018;72.5;89.6
2302;Total;Age head of household: younger than 35;Value;Noord-Drenthe (CR);2021;81.4;86.4
2303;Total;Age head of household: younger than 35;Value;Noord-Drenthe (CR);2024;71.0;84.0
2304;Total;Age head of household: younger than 35;Value;Zuidoost-Drenthe (CR);2002;87.3;86.8
2305;Total;Age head of household: younger than 35;Value;Zuidoost-Drenthe (CR);2006;88.9;90.3
2306;Total;Age head of household: younger than 35;Value;Zuidoost-Drenthe (CR);2009;67.4;72.0
2307;Total;Age head of household: younger than 35;Value;Zuidoost-Drenthe (CR);2012;87.7;68.5
2308;Total;Age head of household: younger than 35;Value;Zuidoost-Drenthe (CR);2015;82.9;74.6
2309;Total;Age head of household: younger than 35;Value;Zuidoost-Drenthe (CR);2018;81.7;87.4
2310;Total;Age head of household: younger than 35;Value;Zuidoost-Drenthe (CR);2021;82.0;71.9
2311;Total;Age head of household: younger than 35;Value;Zuidoost-Drenthe (CR);2024;92.3;89.2
2312;Total;Age head of household: younger than 35;Value;Zuidwest-Drenthe (CR);2002;89.7;85.7
2313;Total;Age head of household: younger than 35;Value;Zuidwest-Drenthe (CR);2006;92.3;88.8
2314;Total;Age head of household: younger than 35;Value;Zuidwest-Drenthe (CR);2009;89.0;75.2
2315;Total;Age head of household: younger than 35;Value;Zuidwest-Drenthe (CR);2012;90.0;81.1
2316;Total;Age head of household: younger than 35;Value;Zuidwest-Drenthe (CR);2015;79.0;79.7
2317;Total;Age head of household: younger than 35;Value;Zuidwest-Drenthe (CR);2018;77.4;79.8
2318;Total;Age head of household: younger than 35;Value;Zuidwest-Drenthe (CR);2021;72.6;80.5
2319;Total;Age head of household: younger than 35;Value;Zuidwest-Drenthe (CR);2024;64.3;85.1
2320;Total;Age head of household: younger than 35;Value;Noord-Overijssel (CR);2002;87.8;83.8
2321;Total;Age head of household: younger than 35;Value;Noord-Overijssel (CR);2006;85.1;85.2
2322;Total;Age head of household: younger than 35;Value;Noord-Overijssel (CR);2009;85.6;80.0
2323;Total;Age head of household: younger than 35;Value;Noord-Overijssel (CR);2012;82.0;79.4
2324;Total;Age head of household: younger than 35;Value;Noord-Overijssel (CR);2015;83.5;80.6
2325;Total;Age head of household: younger than 35;Value;Noord-Overijssel (CR);2018;81.5;83.9
2326;Total;Age head of household: younger than 35;Value;Noord-Overijssel (CR);2021;84.0;83.3
2327;Total;Age head of household: younger than 35;Value;Noord-Overijssel (CR);2024;85.1;83.6
2328;Total;Age head of household: younger than 35;Value;Zuidwest-Overijssel (CR);2002;84.7;76.3
2329;Total;Age head of household: younger than 35;Value;Zuidwest-Overijssel (CR);2006;83.9;84.1
2330;Total;Age head of household: younger than 35;Value;Zuidwest-Overijssel (CR);2009;87.7;74.0
2331;Total;Age head of household: younger than 35;Value;Zuidwest-Overijssel (CR);2012;81.2;84.2
2332;Total;Age head of household: younger than 35;Value;Zuidwest-Overijssel (CR);2015;88.4;70.6
2333;Total;Age head of household: younger than 35;Value;Zuidwest-Overijssel (CR);2018;81.0;76.1
2334;Total;Age head of household: younger than 35;Value;Zuidwest-Overijssel (CR);2021;77.6;70.3
2335;Total;Age head of household: younger than 35;Value;Zuidwest-Overijssel (CR);2024;76.6;89.2
2336;Total;Age head of household: younger than 35;Value;Twente (CR);2002;84.9;78.8
2337;Total;Age head of household: younger than 35;Value;Twente (CR);2006;86.7;83.0
2338;Total;Age head of household: younger than 35;Value;Twente (CR);2009;81.3;82.6
2339;Total;Age head of household: younger than 35;Value;Twente (CR);2012;85.0;78.3
2340;Total;Age head of household: younger than 35;Value;Twente (CR);2015;77.4;71.7
2341;Total;Age head of household: younger than 35;Value;Twente (CR);2018;77.7;77.5
2342;Total;Age head of household: younger than 35;Value;Twente (CR);2021;85.1;82.8
2343;Total;Age head of household: younger than 35;Value;Twente (CR);2024;73.3;76.6
2344;Total;Age head of household: younger than 35;Value;Veluwe (CR);2002;86.8;85.3
2345;Total;Age head of household: younger than 35;Value;Veluwe (CR);2006;87.0;88.2
2346;Total;Age head of household: younger than 35;Value;Veluwe (CR);2009;89.5;83.7
2347;Total;Age head of household: younger than 35;Value;Veluwe (CR);2012;88.0;82.9
2348;Total;Age head of household: younger than 35;Value;Veluwe (CR);2015;81.8;81.0
2349;Total;Age head of household: younger than 35;Value;Veluwe (CR);2018;82.6;81.4
2350;Total;Age head of household: younger than 35;Value;Veluwe (CR);2021;83.4;77.5
2351;Total;Age head of household: younger than 35;Value;Veluwe (CR);2024;77.9;85.9
2352;Total;Age head of household: younger than 35;Value;Achterhoek (CR);2002;88.0;86.3
2353;Total;Age head of household: younger than 35;Value;Achterhoek (CR);2006;89.3;89.0
2354;Total;Age head of household: younger than 35;Value;Achterhoek (CR);2009;89.8;78.8
2355;Total;Age head of household: younger than 35;Value;Achterhoek (CR);2012;84.2;91.5
2356;Total;Age head of household: younger than 35;Value;Achterhoek (CR);2015;80.9;75.9
2357;Total;Age head of household: younger than 35;Value;Achterhoek (CR);2018;76.5;75.4
2358;Total;Age head of household: younger than 35;Value;Achterhoek (CR);2021;84.2;81.0
2359;Total;Age head of household: younger than 35;Value;Achterhoek (CR);2024;83.4;89.5
2360;Total;Age head of household: younger than 35;Value;Arnhem/Nijmegen (CR);2002;76.6;74.4
2361;Total;Age head of household: younger than 35;Value;Arnhem/Nijmegen (CR);2006;81.2;77.8
2362;Total;Age head of household: younger than 35;Value;Arnhem/Nijmegen (CR);2009;85.1;78.0
2363;Total;Age head of household: younger than 35;Value;Arnhem/Nijmegen (CR);2012;85.2;79.5
2364;Total;Age head of household: younger than 35;Value;Arnhem/Nijmegen (CR);2015;78.1;73.0
2365;Total;Age head of household: younger than 35;Value;Arnhem/Nijmegen (CR);2018;80.4;84.8
2366;Total;Age head of household: younger than 35;Value;Arnhem/Nijmegen (CR);2021;83.9;85.3
2367;Total;Age head of household: younger than 35;Value;Arnhem/Nijmegen (CR);2024;76.0;79.4
2368;Total;Age head of household: younger than 35;Value;Zuidwest-Gelderland (CR);2002;87.4;86.2
