ID;ModesOfTravel;Population;TravelPurposes;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
2966;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Gelderland (PV);2020;10.24;27.87
2967;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Gelderland (PV);2021;11.4;30.5
2968;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Gelderland (PV);2022;10.74;28.06
2969;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Gelderland (PV);2023;11.45;26.3
2970;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Utrecht (PV);2018;9.98;25.65
2971;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Utrecht (PV);2019;11.27;24.29
2972;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Utrecht (PV);2020;9.6;29.73
2973;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Utrecht (PV);2021;10.6;30.9
2974;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Utrecht (PV);2022;11.04;27.52
2975;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Utrecht (PV);2023;12.35;27.49
2976;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Holland (PV);2018;10.3;27.43
2977;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Holland (PV);2019;11.27;29.71
2978;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Holland (PV);2020;9.94;31.28
2979;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Holland (PV);2021;11.25;35.91
2980;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Holland (PV);2022;10.02;30.57
2981;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Holland (PV);2023;10.92;30.51
2982;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zuid-Holland (PV);2018;10.39;27.96
2983;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zuid-Holland (PV);2019;12.23;29.6
2984;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zuid-Holland (PV);2020;9.88;33.31
2985;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zuid-Holland (PV);2021;11.84;34.97
2986;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zuid-Holland (PV);2022;10.04;29.44
2987;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zuid-Holland (PV);2023;11.06;29.53
2988;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zeeland (PV);2018;9.34;23.44
2989;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zeeland (PV);2019;8.08;19.13
2990;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zeeland (PV);2020;8.98;27.05
2991;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zeeland (PV);2021;8.3;26.76
2992;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zeeland (PV);2022;7.75;22.63
2993;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Zeeland (PV);2023;7.88;19.32
2994;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Brabant (PV);2018;10.65;25.35
2995;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Brabant (PV);2019;11.07;24.97
2996;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Brabant (PV);2020;9.39;27.97
2997;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Brabant (PV);2021;10.08;29.02
2998;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Brabant (PV);2022;10.62;27.01
2999;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Noord-Brabant (PV);2023;12.2;27.98
3000;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Limburg (PV);2018;9.84;24.87
3001;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Limburg (PV);2019;10.32;23.66
3002;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Limburg (PV);2020;7.46;23.27
3003;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Limburg (PV);2021;9.47;30.17
3004;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Limburg (PV);2022;9.21;24.18
3005;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Limburg (PV);2023;8.69;23.94
3006;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Extremely urbanised;2018;10.01;28.72
3007;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Extremely urbanised;2019;10.53;29.97
3008;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Extremely urbanised;2020;9.43;33.61
3009;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Extremely urbanised;2021;11.12;36.77
3010;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Extremely urbanised;2022;9.59;31.1
3011;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Extremely urbanised;2023;10.44;31.23
3012;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Strongly urbanised;2018;11.45;27.42
3013;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Strongly urbanised;2019;12.57;28.2
3014;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Strongly urbanised;2020;10.19;30.36
3015;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Strongly urbanised;2021;11.87;33.5
3016;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Strongly urbanised;2022;11.11;28.76
3017;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Strongly urbanised;2023;12.82;29.05
3018;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Moderately urbanised;2018;9.84;25.46
3019;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Moderately urbanised;2019;11.59;26.59
3020;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Moderately urbanised;2020;10.1;28.0
3021;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Moderately urbanised;2021;11.33;31.11
3022;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Moderately urbanised;2022;10.57;27.51
3023;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Moderately urbanised;2023;10.91;26.24
3024;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Hardly urbanised;2018;12.37;25.13
3025;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Hardly urbanised;2019;12.42;24.47
3026;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Hardly urbanised;2020;10.28;27.92
3027;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Hardly urbanised;2021;11.39;30.37
3028;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Hardly urbanised;2022;12.25;27.57
3029;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Hardly urbanised;2023;11.83;26.4
3030;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Not urbanised;2018;11.37;24.98
3031;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Not urbanised;2019;12.93;25.87
3032;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Not urbanised;2020;12.17;27.64
3033;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Not urbanised;2021;11.13;30.24
3034;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Not urbanised;2022;11.54;27.25
3035;Total;Population 6 years or older;Leisure, sports;Lower bound 95% confidence interval;Not urbanised;2023;12.61;24.63
3036;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;The Netherlands;2018;12.43;28.73
3037;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;The Netherlands;2019;13.63;29.72
3038;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;The Netherlands;2020;11.71;32.58
3039;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;The Netherlands;2021;13.06;35.75
3040;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;The Netherlands;2022;12.28;30.94
3041;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;The Netherlands;2023;13.08;30.26
3042;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Noord-Nederland (LD);2018;14.85;31.76
3043;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Noord-Nederland (LD);2019;17.36;33.58
3044;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Noord-Nederland (LD);2020;14.49;34.23
3045;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Noord-Nederland (LD);2021;17.45;41.86
3046;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Noord-Nederland (LD);2022;16.71;35.97
3047;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Noord-Nederland (LD);2023;15.83;31.79
3048;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Oost-Nederland (LD);2018;14.29;28.52
3049;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Oost-Nederland (LD);2019;14.21;29.6
3050;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Oost-Nederland (LD);2020;13.33;32.22
3051;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Oost-Nederland (LD);2021;14.03;35.24
3052;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Oost-Nederland (LD);2022;13.56;31.2
3053;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Oost-Nederland (LD);2023;14.63;30.06
3054;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;West-Nederland (LD);2018;11.89;29.64
3055;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;West-Nederland (LD);2019;13.79;31.14
3056;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;West-Nederland (LD);2020;11.68;34.89
3057;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;West-Nederland (LD);2021;13.15;37.36
3058;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;West-Nederland (LD);2022;11.69;31.72
3059;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;West-Nederland (LD);2023;12.73;31.29
3060;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Zuid-Nederland (LD);2018;12.71;28.41
3061;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Zuid-Nederland (LD);2019;13.35;28.09
3062;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Zuid-Nederland (LD);2020;11.1;30.33
3063;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Zuid-Nederland (LD);2021;12.36;33.56
3064;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Zuid-Nederland (LD);2022;12.47;29.73
3065;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Zuid-Nederland (LD);2023;13.23;30.15
3066;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Groningen (PV);2018;15.67;35.14
3067;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Groningen (PV);2019;20.53;38.74
3068;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Groningen (PV);2020;19.32;41.67
3069;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Groningen (PV);2021;20.65;42.04
3070;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Groningen (PV);2022;16.77;35.48
3071;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Groningen (PV);2023;16.37;35.23
3072;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Fryslân (PV);2018;14.77;31.23
3073;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Fryslân (PV);2019;18.44;37.29
3074;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Fryslân (PV);2020;15.36;35.29
3075;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Fryslân (PV);2021;19.59;42.69
3076;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Fryslân (PV);2022;19.48;39.7
3077;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Fryslân (PV);2023;16.39;32.26
3078;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Drenthe (PV);2018;17.58;34.43
3079;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Drenthe (PV);2019;17.56;30.11
3080;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Drenthe (PV);2020;11.92;31.0
3081;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Drenthe (PV);2021;16.55;50.63
3082;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Drenthe (PV);2022;17.87;38.12
3083;Total;Population 6 years or older;Leisure, sports;Upper bound 95% confidence interval;Drenthe (PV);2023;19.64;32.93
