ID;Population;Sex;PersonalCharacteristics;ModesOfTravel;Margins;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3;Trips_4;DistanceTravelled_5;TimeTravelled_6
841;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Overijssel (PV);2019;0.32;7.47;9.87;116.0;2728.0;60.1
842;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Overijssel (PV);2020;0.25;4.12;6.75;91.0;1507.0;41.2
843;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Overijssel (PV);2021;0.27;5.01;7.99;99.0;1830.0;48.6
844;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Overijssel (PV);2022;0.29;5.61;7.78;107.0;2046.0;47.3
845;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Overijssel (PV);2023;0.32;6.87;9.13;117.0;2509.0;55.6
846;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Flevoland (PV);2018;0.37;7.42;10.72;136.0;2708.0;65.2
847;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Flevoland (PV);2019;0.35;8.14;10.21;128.0;2973.0;62.1
848;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Flevoland (PV);2020;0.29;5.38;8.07;105.0;1970.0;49.2
849;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Flevoland (PV);2021;0.3;7.41;9.76;109.0;2704.0;59.4
850;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Flevoland (PV);2022;0.33;7.84;9.83;119.0;2862.0;59.8
851;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Flevoland (PV);2023;0.33;6.46;9.2;120.0;2359.0;56.0
852;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Gelderland (PV);2018;0.33;7.15;9.57;122.0;2609.0;58.2
853;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Gelderland (PV);2019;0.32;6.16;9.75;118.0;2248.0;59.3
854;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Gelderland (PV);2020;0.25;4.69;6.82;91.0;1715.0;41.6
855;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Gelderland (PV);2021;0.26;5.39;7.92;95.0;1969.0;48.2
856;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Gelderland (PV);2022;0.3;5.95;9.25;111.0;2173.0;56.2
857;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Gelderland (PV);2023;0.33;6.98;9.47;119.0;2548.0;57.6
858;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Utrecht (PV);2018;0.3;6.89;9.66;110.0;2516.0;58.7
859;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Utrecht (PV);2019;0.32;7.85;10.15;116.0;2867.0;61.7
860;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Utrecht (PV);2020;0.22;4.51;6.39;82.0;1652.0;39.0
861;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Utrecht (PV);2021;0.25;5.69;8.19;91.0;2076.0;49.8
862;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Utrecht (PV);2022;0.26;6.08;8.31;96.0;2221.0;50.6
863;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Utrecht (PV);2023;0.28;6.61;8.8;103.0;2414.0;53.5
864;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Holland (PV);2018;0.29;6.3;8.8;106.0;2298.0;53.5
865;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Holland (PV);2019;0.26;5.37;8.32;96.0;1960.0;50.6
866;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Holland (PV);2020;0.2;3.96;5.98;72.0;1450.0;36.5
867;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Holland (PV);2021;0.23;4.79;7.55;84.0;1748.0;45.9
868;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Holland (PV);2022;0.24;5.02;7.73;87.0;1831.0;47.0
869;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Holland (PV);2023;0.26;5.18;8.1;96.0;1889.0;49.3
870;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zuid-Holland (PV);2018;0.29;5.8;8.54;106.0;2116.0;52.0
871;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zuid-Holland (PV);2019;0.3;6.02;9.02;109.0;2196.0;54.9
872;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zuid-Holland (PV);2020;0.22;4.11;6.67;81.0;1504.0;40.7
873;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zuid-Holland (PV);2021;0.24;4.89;7.59;88.0;1784.0;46.2
874;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zuid-Holland (PV);2022;0.25;4.77;7.44;91.0;1741.0;45.3
875;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zuid-Holland (PV);2023;0.27;5.41;8.41;99.0;1976.0;51.2
876;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zeeland (PV);2018;0.34;5.72;8.01;123.0;2088.0;48.7
877;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zeeland (PV);2019;0.35;8.38;10.86;128.0;3059.0;66.1
878;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zeeland (PV);2020;0.22;5.38;6.61;82.0;1969.0;40.3
879;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zeeland (PV);2021;0.28;5.15;7.24;101.0;1878.0;44.0
880;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zeeland (PV);2022;0.27;5.03;7.95;99.0;1835.0;48.4
881;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Zeeland (PV);2023;0.29;5.93;8.03;107.0;2165.0;48.8
882;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Brabant (PV);2018;0.35;6.46;9.12;127.0;2356.0;55.5
883;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Brabant (PV);2019;0.33;6.29;8.74;120.0;2298.0;53.2
884;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Brabant (PV);2020;0.27;4.27;6.55;100.0;1562.0;40.0
885;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Brabant (PV);2021;0.27;4.36;7.06;98.0;1590.0;43.0
886;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Brabant (PV);2022;0.31;5.28;8.11;112.0;1927.0;49.3
887;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Noord-Brabant (PV);2023;0.33;6.51;9.36;121.0;2377.0;56.9
888;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Limburg (PV);2018;0.39;6.73;9.67;141.0;2457.0;58.9
889;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Limburg (PV);2019;0.38;6.57;9.12;137.0;2397.0;55.5
890;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Limburg (PV);2020;0.26;4.12;6.56;96.0;1509.0;40.0
891;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Limburg (PV);2021;0.29;4.26;6.86;107.0;1557.0;41.7
892;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Limburg (PV);2022;0.33;5.17;7.85;122.0;1887.0;47.8
893;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Limburg (PV);2023;0.36;5.1;8.16;133.0;1863.0;49.6
894;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Extremely urbanised;2018;0.24;5.33;7.86;89.0;1945.0;47.8
895;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Extremely urbanised;2019;0.23;4.73;7.16;84.0;1727.0;43.5
896;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Extremely urbanised;2020;0.18;3.67;5.8;67.0;1344.0;35.4
897;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Extremely urbanised;2021;0.2;4.29;6.74;75.0;1566.0;41.0
898;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Extremely urbanised;2022;0.21;4.54;7.04;77.0;1657.0;42.8
899;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Extremely urbanised;2023;0.23;4.67;7.23;83.0;1703.0;44.0
900;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Strongly urbanised;2018;0.32;6.54;9.24;117.0;2387.0;56.2
901;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Strongly urbanised;2019;0.33;6.83;9.83;121.0;2494.0;59.8
902;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Strongly urbanised;2020;0.25;4.27;6.75;91.0;1564.0;41.2
903;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Strongly urbanised;2021;0.27;5.34;8.01;98.0;1949.0;48.7
904;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Strongly urbanised;2022;0.28;5.44;8.19;102.0;1986.0;49.8
905;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Strongly urbanised;2023;0.32;6.29;9.23;116.0;2296.0;56.1
906;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Moderately urbanised;2018;0.37;6.72;9.58;134.0;2452.0;58.3
907;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Moderately urbanised;2019;0.33;7.19;10.05;120.0;2624.0;61.1
908;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Moderately urbanised;2020;0.27;4.92;7.25;100.0;1799.0;44.2
909;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Moderately urbanised;2021;0.28;5.55;8.52;101.0;2024.0;51.8
910;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Moderately urbanised;2022;0.31;5.73;8.55;112.0;2093.0;52.0
911;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Moderately urbanised;2023;0.34;6.72;9.46;123.0;2452.0;57.5
912;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Hardly urbanised;2018;0.37;8.03;10.54;135.0;2931.0;64.1
913;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Hardly urbanised;2019;0.35;7.72;10.42;129.0;2818.0;63.4
914;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Hardly urbanised;2020;0.26;4.68;6.9;95.0;1713.0;42.1
915;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Hardly urbanised;2021;0.28;5.32;8.03;103.0;1943.0;48.8
916;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Hardly urbanised;2022;0.32;6.34;8.89;118.0;2314.0;54.1
917;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Hardly urbanised;2023;0.32;6.46;8.91;118.0;2359.0;54.2
918;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Not urbanised;2018;0.35;7.29;9.71;130.0;2663.0;59.1
919;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Not urbanised;2019;0.35;7.92;10.36;127.0;2891.0;63.0
920;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Not urbanised;2020;0.27;5.03;7.22;100.0;1840.0;44.0
921;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Not urbanised;2021;0.28;5.33;8.61;103.0;1946.0;52.4
922;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Not urbanised;2022;0.32;5.61;8.52;117.0;2046.0;51.8
923;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Value;Not urbanised;2023;0.34;7.25;9.93;124.0;2646.0;60.4
924;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Lower bound 95% confidence interval;The Netherlands;2018;0.32;6.38;8.96;115.0;2328.0;54.5
925;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Lower bound 95% confidence interval;The Netherlands;2019;0.3;6.34;9.03;111.0;2313.0;54.9
926;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Lower bound 95% confidence interval;The Netherlands;2020;0.23;4.16;6.4;85.0;1523.0;39.0
927;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Lower bound 95% confidence interval;The Netherlands;2021;0.25;4.88;7.52;91.0;1780.0;45.8
928;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Lower bound 95% confidence interval;The Netherlands;2022;0.27;5.23;7.83;99.0;1908.0;47.7
929;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Lower bound 95% confidence interval;The Netherlands;2023;0.29;5.79;8.44;107.0;2112.0;51.3
930;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Lower bound 95% confidence interval;Noord-Nederland (LD);2018;0.32;7.29;9.65;118.0;2661.0;58.7
931;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Lower bound 95% confidence interval;Noord-Nederland (LD);2019;0.29;7.61;9.69;106.0;2779.0;58.9
932;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Lower bound 95% confidence interval;Noord-Nederland (LD);2020;0.25;4.36;6.68;92.0;1597.0;40.7
933;Population 6 years or older;Total male and female;Total persons;Passenger car (passenger);Lower bound 95% confidence interval;Noord-Nederland (LD);2021;0.25;5.36;8.21;91.0;1956.0;49.9
