ID;Sex;Age;DegreeOfDisablement;Periods;TotalInflow_1;Employers_2;PersonnelPublicSector_3;SelfEmployed_4;YoungHandicapped_5;OtherInflow_6;WAO_7;Wajong_8;WAZ_9;TotalOutflow_10;ReasonRecoveredFromIllness_11;Retirement_12;OtherOutflow_13;WAO_14;Wajong_15;WAZ_16
1825;Total men and women;35 to 45 years;Partial disablement (< 80%);2006 June;30;20;10;0;0;0;20;0;0;410;250;;160;390;0;20
1826;Total men and women;35 to 45 years;Partial disablement (< 80%);2006 July;50;40;0;0;0;10;40;0;10;410;250;;150;380;0;20
1827;Total men and women;35 to 45 years;Partial disablement (< 80%);2006 August;40;30;0;0;0;0;40;0;0;380;220;;160;360;0;10
1828;Total men and women;35 to 45 years;Partial disablement (< 80%);2006 September;70;40;0;0;0;20;50;0;30;360;200;;170;340;0;20
1829;Total men and women;35 to 45 years;Partial disablement (< 80%);2006 October;40;30;0;0;0;0;40;0;0;330;180;;150;330;0;10
1830;Total men and women;35 to 45 years;Partial disablement (< 80%);2006 November;40;30;0;0;0;0;40;0;0;330;190;;150;310;0;20
1831;Total men and women;35 to 45 years;Partial disablement (< 80%);2006 December;40;30;0;0;0;0;40;0;10;290;160;;130;280;0;10
1832;Total men and women;35 to 45 years;Partial disablement (< 80%);2006 annual total;580;410;60;50;10;60;470;10;100;5340;3340;;2000;5070;20;250
1833;Total men and women;35 to 45 years;Partial disablement (< 80%);2007 January;50;40;10;0;0;0;40;0;0;460;210;;240;420;0;40
1834;Total men and women;35 to 45 years;Partial disablement (< 80%);2007 February;50;40;10;0;0;0;40;0;10;290;180;;120;270;0;20
1835;Total men and women;35 to 45 years;Partial disablement (< 80%);2007 March;40;30;0;0;0;0;40;0;10;300;190;;110;290;0;20
1836;Total men and women;35 to 45 years;Partial disablement (< 80%);2007 April;40;30;0;0;0;0;30;0;0;250;150;;100;240;0;10
1837;Total men and women;35 to 45 years;Partial disablement (< 80%);2007 May;50;40;0;0;0;0;50;0;0;290;190;;110;290;0;10
1838;Total men and women;35 to 45 years;Partial disablement (< 80%);2007 June;40;30;0;0;0;0;30;0;0;250;150;;100;240;0;10
1839;Total men and women;35 to 45 years;Partial disablement (< 80%);2007 July;90;80;10;0;0;0;80;0;0;240;120;;120;230;0;10
1840;Total men and women;35 to 45 years;Partial disablement (< 80%);2007 August;40;30;0;0;0;0;30;0;0;200;120;;80;200;0;0
1841;Total men and women;35 to 45 years;Partial disablement (< 80%);2007 September;40;30;10;0;0;10;30;0;0;180;100;;80;170;0;10
1842;Total men and women;35 to 45 years;Partial disablement (< 80%);2007 October;90;80;0;0;0;10;80;0;0;220;100;;120;210;0;10
1843;Total men and women;35 to 45 years;Partial disablement (< 80%);2007 November;130;110;10;10;0;10;110;0;20;180;80;;100;170;0;0
1844;Total men and women;35 to 45 years;Partial disablement (< 80%);2007 December;80;60;0;10;0;10;60;0;10;80;30;;50;70;0;0
1845;Total men and women;35 to 45 years;Partial disablement (< 80%);2007 annual total;720;580;50;30;10;50;640;10;70;2950;1640;;1310;2790;20;140
1846;Total men and women;35 to 45 years;Partial disablement (< 80%);2008 January;60;50;0;0;0;10;50;0;0;120;70;;50;110;0;10
1847;Total men and women;35 to 45 years;Partial disablement (< 80%);2008 February;40;40;0;0;0;0;40;0;0;110;60;;50;100;0;10
1848;Total men and women;35 to 45 years;Partial disablement (< 80%);2008 March;40;30;0;0;0;0;30;0;0;110;60;;40;90;10;10
1849;Total men and women;35 to 45 years;Partial disablement (< 80%);2008 April;40;30;10;0;0;0;40;0;0;90;60;;40;90;0;0
1850;Total men and women;35 to 45 years;Partial disablement (< 80%);2008 May;30;20;0;0;0;0;30;0;0;90;50;;40;90;0;0
1851;Total men and women;35 to 45 years;Partial disablement (< 80%);2008 June;100;30;0;0;0;70;90;0;0;60;30;;20;50;0;0
1852;Total men and women;35 to 45 years;Partial disablement (< 80%);2008 July;70;60;0;0;0;10;60;0;10;50;20;;30;50;0;0
1853;Total men and women;35 to 45 years;Partial disablement (< 80%);2008 August;40;30;0;0;0;10;40;0;0;60;30;;40;60;0;0
1854;Total men and women;35 to 45 years;Partial disablement (< 80%);2008 September;30;20;0;0;0;0;20;0;0;50;20;;40;50;0;0
1855;Total men and women;35 to 45 years;Partial disablement (< 80%);2008 October;40;30;10;0;0;0;30;0;0;40;20;;20;40;0;0
1856;Total men and women;35 to 45 years;Partial disablement (< 80%);2008 November;40;30;0;0;0;0;30;0;0;70;30;;40;60;0;10
1857;Total men and women;35 to 45 years;Partial disablement (< 80%);2008 December;30;20;0;0;0;0;30;0;0;60;30;;30;50;0;0
1858;Total men and women;35 to 45 years;Partial disablement (< 80%);2008 annual total;530;380;30;20;10;100;490;10;40;900;460;;450;840;20;50
1859;Total men and women;35 to 45 years;Partial disablement (< 80%);2009 January;40;30;10;0;0;0;40;0;0;90;40;;50;80;0;10
1860;Total men and women;35 to 45 years;Partial disablement (< 80%);2009 February;40;30;10;0;0;0;40;0;0;50;20;;30;50;0;0
1861;Total men and women;35 to 45 years;Partial disablement (< 80%);2009 March;30;30;0;0;0;0;30;0;0;40;10;;30;30;0;0
1862;Total men and women;35 to 45 years;Partial disablement (< 80%);2009 April;20;20;0;0;0;0;20;0;0;30;10;;10;30;0;0
1863;Total men and women;35 to 45 years;Partial disablement (< 80%);2009 May;90;80;0;0;0;0;80;0;0;90;50;;40;90;0;0
1864;Total men and women;35 to 45 years;Partial disablement (< 80%);2009 June;20;10;0;0;0;0;10;0;0;30;10;;20;30;0;0
1865;Total men and women;35 to 45 years;Partial disablement (< 80%);2009 July;20;20;0;0;0;0;20;0;0;30;10;;20;30;0;0
1866;Total men and women;35 to 45 years;Partial disablement (< 80%);2009 August;20;20;0;0;0;0;20;0;0;20;0;;10;10;0;0
1867;Total men and women;35 to 45 years;Partial disablement (< 80%);2009 September;30;30;0;0;0;0;30;0;0;20;10;;10;20;0;0
1868;Total men and women;35 to 45 years;Partial disablement (< 80%);2009 October;30;20;0;0;0;0;20;0;0;20;10;;10;20;0;0
1869;Total men and women;35 to 45 years;Partial disablement (< 80%);2009 November;30;30;0;0;0;0;30;0;0;10;0;;10;10;0;0
1870;Total men and women;35 to 45 years;Partial disablement (< 80%);2009 December;20;10;0;0;0;0;20;0;0;10;0;;10;0;0;0
1871;Total men and women;35 to 45 years;Partial disablement (< 80%);2009 annual total;380;310;20;10;10;30;360;10;10;450;180;;260;410;10;20
1872;Total men and women;45 to 55 years;Total, degree of disablement;1998 January;3130;2400;430;70;20;210;2860;40;220;1700;470;;1240;1490;110;100
1873;Total men and women;45 to 55 years;Total, degree of disablement;1998 February;2650;1900;290;60;10;380;2260;30;360;1690;400;;1290;1410;150;140
1874;Total men and women;45 to 55 years;Total, degree of disablement;1998 March;2700;1980;390;70;10;250;2440;30;240;1120;500;;620;970;50;100
1875;Total men and women;45 to 55 years;Total, degree of disablement;1998 April;2850;2110;360;110;20;240;2530;30;290;1410;500;;910;1220;70;120
1876;Total men and women;45 to 55 years;Total, degree of disablement;1998 May;2250;1660;250;90;80;170;1950;90;210;1130;400;;730;940;100;80
1877;Total men and women;45 to 55 years;Total, degree of disablement;1998 June;2390;1810;280;90;30;170;2120;40;230;1290;440;;860;1080;110;100
1878;Total men and women;45 to 55 years;Total, degree of disablement;1998 July;2180;1570;350;80;30;160;1960;30;180;1250;390;;860;1060;110;70
1879;Total men and women;45 to 55 years;Total, degree of disablement;1998 August;2200;1710;290;50;30;120;2020;30;150;1210;370;;840;940;150;120
1880;Total men and women;45 to 55 years;Total, degree of disablement;1998 September;2350;1860;280;70;10;120;2170;10;170;1250;350;;900;970;150;120
1881;Total men and women;45 to 55 years;Total, degree of disablement;1998 October;2480;1820;430;100;10;110;2280;10;180;1050;370;;680;890;90;70
1882;Total men and women;45 to 55 years;Total, degree of disablement;1998 November;3030;2100;490;90;10;350;2850;10;170;1170;400;;780;1030;50;90
1883;Total men and women;45 to 55 years;Total, degree of disablement;1998 December;3420;2050;530;250;20;570;2800;290;340;1200;400;;800;1090;50;70
1884;Total men and women;45 to 55 years;Total, degree of disablement;1998 annual total;31600;22970;4380;1130;280;2850;28230;650;2730;15470;4980;;10500;13100;1190;1180
1885;Total men and women;45 to 55 years;Total, degree of disablement;1999 January;2830;1810;850;80;10;80;2670;10;150;1540;420;;1120;1420;40;80
1886;Total men and women;45 to 55 years;Total, degree of disablement;1999 February;2810;2120;480;80;10;130;2620;20;170;1230;460;;780;1090;70;80
1887;Total men and women;45 to 55 years;Total, degree of disablement;1999 March;2880;2130;510;100;10;120;2670;10;200;1680;400;;1280;1220;380;80
1888;Total men and women;45 to 55 years;Total, degree of disablement;1999 April;2570;1930;440;90;10;110;2390;20;170;1220;420;;800;1080;60;80
1889;Total men and women;45 to 55 years;Total, degree of disablement;1999 May;2400;1920;340;60;10;70;2270;10;120;980;380;;600;890;30;60
1890;Total men and women;45 to 55 years;Total, degree of disablement;1999 June;2390;1830;400;80;10;80;2240;10;140;1000;400;;600;910;30;60
1891;Total men and women;45 to 55 years;Total, degree of disablement;1999 July;2230;1770;250;100;30;90;2030;30;170;1020;390;;630;910;40;60
1892;Total men and women;45 to 55 years;Total, degree of disablement;1999 August;2190;1720;300;70;10;100;2030;10;160;1070;370;;700;930;30;110
1893;Total men and women;45 to 55 years;Total, degree of disablement;1999 September;2340;1880;310;50;10;90;2210;10;130;1030;360;;670;920;40;70
1894;Total men and women;45 to 55 years;Total, degree of disablement;1999 October;2470;1970;330;70;20;90;2310;20;140;930;330;;600;830;40;60
1895;Total men and women;45 to 55 years;Total, degree of disablement;1999 November;3530;2460;850;70;10;140;3350;10;180;1130;440;;690;1020;40;70
1896;Total men and women;45 to 55 years;Total, degree of disablement;1999 December;2740;2190;370;50;10;130;2570;10;170;1850;430;;1420;1770;30;50
1897;Total men and women;45 to 55 years;Total, degree of disablement;1999 annual total;31390;23710;5430;890;140;1220;29350;160;1880;14680;4800;;9880;13000;820;860
1898;Total men and women;45 to 55 years;Total, degree of disablement;2000 January;2640;2090;350;90;10;100;2450;10;180;1000;420;;580;910;30;70
1899;Total men and women;45 to 55 years;Total, degree of disablement;2000 February;3090;2410;450;80;10;150;2880;20;200;1290;540;;750;1200;30;60
1900;Total men and women;45 to 55 years;Total, degree of disablement;2000 March;3010;2250;560;90;0;110;2820;0;190;1370;440;;930;1270;10;80
1901;Total men and women;45 to 55 years;Total, degree of disablement;2000 April;2770;2100;440;90;20;120;2560;30;180;1280;430;;850;1140;40;90
1902;Total men and women;45 to 55 years;Total, degree of disablement;2000 May;2620;2070;340;100;10;110;2420;10;190;1100;460;;640;990;40;80
1903;Total men and women;45 to 55 years;Total, degree of disablement;2000 June;2440;1830;420;80;10;100;2260;20;170;1450;440;;1010;1220;140;90
1904;Total men and women;45 to 55 years;Total, degree of disablement;2000 July;2190;1760;290;60;10;80;2060;10;130;1270;390;;880;1130;60;80
1905;Total men and women;45 to 55 years;Total, degree of disablement;2000 August;2370;2010;160;60;10;130;2180;10;180;1350;470;;890;1230;50;70
1906;Total men and women;45 to 55 years;Total, degree of disablement;2000 September;2620;1880;560;70;10;100;2450;10;160;1160;430;;740;1060;40;70
1907;Total men and women;45 to 55 years;Total, degree of disablement;2000 October;2740;2090;440;80;10;120;2550;10;190;1080;390;;690;980;30;70
1908;Total men and women;45 to 55 years;Total, degree of disablement;2000 November;3590;2810;560;80;10;140;3380;10;200;1220;490;;720;1100;50;70
1909;Total men and women;45 to 55 years;Total, degree of disablement;2000 December;3210;2440;560;80;10;120;3020;10;190;1170;490;;680;1040;50;80
1910;Total men and women;45 to 55 years;Total, degree of disablement;2000 annual total;33290;25750;5130;930;120;1370;31010;140;2150;14740;5390;;9350;13270;560;900
1911;Total men and women;45 to 55 years;Total, degree of disablement;2001 January;3040;1970;880;70;10;110;2860;10;170;1110;470;;640;1020;20;80
1912;Total men and women;45 to 55 years;Total, degree of disablement;2001 February;3270;2430;640;80;0;110;3080;10;190;1330;550;;780;1190;50;90
1913;Total men and women;45 to 55 years;Total, degree of disablement;2001 March;3190;2270;700;80;10;120;2980;10;190;1210;530;;670;1080;40;80
1914;Total men and women;45 to 55 years;Total, degree of disablement;2001 April;3050;2260;600;80;10;110;2860;10;180;1200;570;;630;1070;60;70
1915;Total men and women;45 to 55 years;Total, degree of disablement;2001 May;3930;2290;1440;60;10;130;3730;10;180;1260;640;;620;1180;30;50
1916;Total men and women;45 to 55 years;Total, degree of disablement;2001 June;3160;2120;840;90;10;100;2970;10;180;1300;520;;780;1130;30;130
1917;Total men and women;45 to 55 years;Total, degree of disablement;2001 July;2350;1800;340;90;10;120;2140;10;200;1880;560;;1320;1780;30;70
1918;Total men and women;45 to 55 years;Total, degree of disablement;2001 August;2590;2080;320;70;10;120;2410;10;170;1420;540;;880;1280;40;100
1919;Total men and women;45 to 55 years;Total, degree of disablement;2001 September;2310;1810;330;80;10;80;2150;10;150;1210;540;;670;1080;30;100
1920;Total men and women;45 to 55 years;Total, degree of disablement;2001 October;2820;2250;350;70;10;140;2610;10;200;1330;620;;710;1190;50;90
1921;Total men and women;45 to 55 years;Total, degree of disablement;2001 November;2850;2230;440;70;10;90;2680;10;160;1140;540;;600;1030;40;70
1922;Total men and women;45 to 55 years;Total, degree of disablement;2001 December;2810;2170;450;70;0;110;2630;0;180;1110;570;;540;1010;30;70
1923;Total men and women;45 to 55 years;Total, degree of disablement;2001 annual total;35360;25690;7330;910;90;1340;33110;100;2150;15490;6650;;8840;14050;460;980
1924;Total men and women;45 to 55 years;Total, degree of disablement;2002 January;2680;2130;350;80;10;120;2480;10;190;1160;560;;600;1030;40;90
1925;Total men and women;45 to 55 years;Total, degree of disablement;2002 February;2730;2180;350;70;10;110;2540;10;170;1390;590;;800;1250;50;100
1926;Total men and women;45 to 55 years;Total, degree of disablement;2002 March;2720;2150;350;90;10;120;2520;10;190;1230;600;;630;1120;40;70
1927;Total men and women;45 to 55 years;Total, degree of disablement;2002 April;2940;2330;390;60;10;140;2730;10;200;1450;730;;720;1300;60;90
1928;Total men and women;45 to 55 years;Total, degree of disablement;2002 May;2490;1950;330;100;10;110;2280;10;200;1160;590;;560;1060;50;50
1929;Total men and women;45 to 55 years;Total, degree of disablement;2002 June;2250;1680;390;120;0;60;2080;10;160;1110;590;;520;1020;30;60
1930;Total men and women;45 to 55 years;Total, degree of disablement;2002 July;2590;1940;400;170;0;70;2360;0;230;1360;730;;630;1250;50;70
1931;Total men and women;45 to 55 years;Total, degree of disablement;2002 August;2340;1830;310;150;10;50;2150;10;190;1290;630;;670;1180;40;80
1932;Total men and women;45 to 55 years;Total, degree of disablement;2002 September;2210;1630;390;130;10;50;2030;10;170;1250;590;;660;1130;40;70
1933;Total men and women;45 to 55 years;Total, degree of disablement;2002 October;3010;2250;520;170;10;60;2780;10;230;1330;640;;690;1200;50;80
1934;Total men and women;45 to 55 years;Total, degree of disablement;2002 November;2510;1930;360;150;10;60;2300;10;200;1290;640;;650;1160;40;100
1935;Total men and women;45 to 55 years;Total, degree of disablement;2002 December;2460;1730;550;120;10;50;2290;10;160;1300;630;;670;1160;50;90
1936;Total men and women;45 to 55 years;Total, degree of disablement;2002 annual total;30900;23720;4700;1390;80;1000;28530;100;2270;15320;7510;;7810;13870;520;930
1937;Total men and women;45 to 55 years;Total, degree of disablement;2003 January;2570;2010;320;170;10;60;2350;10;210;1100;540;;560;980;50;80
1938;Total men and women;45 to 55 years;Total, degree of disablement;2003 February;2360;1810;360;130;10;60;2180;10;170;1630;620;;1010;1440;60;140
1939;Total men and women;45 to 55 years;Total, degree of disablement;2003 March;2180;1620;340;150;10;60;1980;10;200;1330;640;;690;1200;50;90
1940;Total men and women;45 to 55 years;Total, degree of disablement;2003 April;2020;1540;270;150;10;50;1820;10;190;1470;690;;780;1320;70;80
1941;Total men and women;45 to 55 years;Total, degree of disablement;2003 May;2040;1580;250;130;0;80;1850;0;190;1390;640;;750;1240;70;90
1942;Total men and women;45 to 55 years;Total, degree of disablement;2003 June;1830;1320;220;180;0;110;1560;10;260;1300;630;;670;1170;60;60
1943;Total men and women;45 to 55 years;Total, degree of disablement;2003 July;1870;1400;240;130;10;90;1650;10;210;1390;610;;790;1240;50;110
1944;Total men and women;45 to 55 years;Total, degree of disablement;2003 August;1630;1240;200;130;10;60;1450;10;170;1140;590;;550;1020;30;90
1945;Total men and women;45 to 55 years;Total, degree of disablement;2003 September;1700;1280;260;110;10;50;1550;10;150;1320;560;;760;1140;60;130
1946;Total men and women;45 to 55 years;Total, degree of disablement;2003 October;1780;1340;270;110;10;50;1620;10;150;1210;490;;720;1060;60;100
1947;Total men and women;45 to 55 years;Total, degree of disablement;2003 November;2010;1570;260;90;10;80;1850;10;150;1290;540;;750;1120;70;100
1948;Total men and women;45 to 55 years;Total, degree of disablement;2003 December;1900;1370;360;100;10;70;1730;10;150;1340;600;;740;1220;40;80
1949;Total men and women;45 to 55 years;Total, degree of disablement;2003 annual total;23870;18080;3340;1560;90;810;21570;90;2200;15920;7140;;8780;14130;650;1140
1950;Total men and women;45 to 55 years;Total, degree of disablement;2004 January;1570;1110;330;70;10;60;1450;10;120;1250;530;;720;1150;30;70
