ID;HouseholdExpenditure;CPISeries;Periods;PriceIndexFigures_1;MonthOnMonthChange_2;YearOnYearChange_3;WeightingCoefficient_4
1234;4   Housing, water, electricity, gas;CPI low income households;1999;116.0;;3.0;26279
1235;4   Housing, water, electricity, gas;CPI low income households;2000 January;119.4;1.9;3.9;26279
1236;4   Housing, water, electricity, gas;CPI low income households;2000 February;119.4;0.0;3.9;26279
1237;4   Housing, water, electricity, gas;CPI low income households;2000 March;119.6;0.2;4.1;26279
1238;4   Housing, water, electricity, gas;CPI low income households;2000 April;119.6;0.0;4.1;26279
1239;4   Housing, water, electricity, gas;CPI low income households;2000 May;119.6;0.0;4.1;26279
1240;4   Housing, water, electricity, gas;CPI low income households;2000 June;119.7;0.1;4.2;26279
1241;4   Housing, water, electricity, gas;CPI low income households;2000 July;122.6;2.4;4.7;26279
1242;4   Housing, water, electricity, gas;CPI low income households;2000 August;122.6;0.0;4.7;26279
1243;4   Housing, water, electricity, gas;CPI low income households;2000 September;122.7;0.1;4.8;26279
1244;4   Housing, water, electricity, gas;CPI low income households;2000 October;122.8;0.1;4.9;26279
1245;4   Housing, water, electricity, gas;CPI low income households;2000 November;122.9;0.1;4.9;26279
1246;4   Housing, water, electricity, gas;CPI low income households;2000 December;122.9;0.0;4.9;26279
1247;4   Housing, water, electricity, gas;CPI low income households;2000;121.1;;4.4;26279
1248;4   Housing, water, electricity, gas;CPI low income households;2001 January;125.9;2.4;5.4;26279
1249;4   Housing, water, electricity, gas;CPI low income households;2001 February;125.9;0.0;5.4;26279
1250;4   Housing, water, electricity, gas;CPI low income households;2001 March;125.9;0.0;5.3;26279
1251;4   Housing, water, electricity, gas;CPI low income households;2001 April;125.2;-0.6;4.7;26279
1252;4   Housing, water, electricity, gas;CPI low income households;2001 May;125.3;0.1;4.8;26279
1253;4   Housing, water, electricity, gas;CPI low income households;2001 June;125.3;0.0;4.7;26279
1254;4   Housing, water, electricity, gas;CPI low income households;2001 July;128.8;2.8;5.1;26279
1255;4   Housing, water, electricity, gas;CPI low income households;2001 August;128.9;0.1;5.1;26279
1256;4   Housing, water, electricity, gas;CPI low income households;2001 September;128.9;0.0;5.1;26279
1257;4   Housing, water, electricity, gas;CPI low income households;2001 October;128.8;-0.1;4.9;26279
1258;4   Housing, water, electricity, gas;CPI low income households;2001 November;128.8;0.0;4.8;26279
1259;4   Housing, water, electricity, gas;CPI low income households;2001 December;128.8;0.0;4.8;26279
1260;4   Housing, water, electricity, gas;CPI low income households;2001;127.2;;5.0;26279
1261;4   Housing, water, electricity, gas;CPI low income households;2002 January;129.7;0.7;3.0;26279
1262;4   Housing, water, electricity, gas;CPI low income households;2002 February;129.7;0.0;3.0;26279
1263;4   Housing, water, electricity, gas;CPI low income households;2002 March;129.7;0.0;3.0;26279
1264;4   Housing, water, electricity, gas;CPI low income households;2002 April;129.8;0.1;3.7;26279
1265;4   Housing, water, electricity, gas;CPI low income households;2002 May;129.8;0.0;3.6;26279
1266;4   Housing, water, electricity, gas;CPI low income households;2002 June;129.8;0.0;3.6;26279
1267;4   Housing, water, electricity, gas;CPI low income households;2002 July;133.0;2.5;3.3;26279
1268;4   Housing, water, electricity, gas;CPI low income households;2002 August;133.0;0.0;3.2;26279
1269;4   Housing, water, electricity, gas;CPI low income households;2002 September;133.1;0.1;3.3;26279
1270;4   Housing, water, electricity, gas;CPI low income households;2002 October;133.2;0.1;3.4;26279
1271;4   Housing, water, electricity, gas;CPI low income households;2002 November;133.3;0.1;3.5;26279
1272;4   Housing, water, electricity, gas;CPI low income households;2002 December;133.3;0.0;3.5;26279
1273;4   Housing, water, electricity, gas;CPI low income households;2002;131.5;;3.4;26279
1274;4   Housing, water, electricity, gas;CPI high income households;1996 January;102.8;;;21748
1275;4   Housing, water, electricity, gas;CPI high income households;1996 February;102.8;0.0;;21748
1276;4   Housing, water, electricity, gas;CPI high income households;1996 March;102.8;0.0;;21748
1277;4   Housing, water, electricity, gas;CPI high income households;1996 April;102.8;0.0;;21748
1278;4   Housing, water, electricity, gas;CPI high income households;1996 May;102.7;-0.1;;21748
1279;4   Housing, water, electricity, gas;CPI high income households;1996 June;102.8;0.1;;21748
1280;4   Housing, water, electricity, gas;CPI high income households;1996 July;106.2;3.3;;21748
1281;4   Housing, water, electricity, gas;CPI high income households;1996 August;106.2;0.0;;21748
1282;4   Housing, water, electricity, gas;CPI high income households;1996 September;106.3;0.1;;21748
1283;4   Housing, water, electricity, gas;CPI high income households;1996 October;106.3;0.0;;21748
1284;4   Housing, water, electricity, gas;CPI high income households;1996 November;106.3;0.0;;21748
1285;4   Housing, water, electricity, gas;CPI high income households;1996 December;106.3;0.0;;21748
1286;4   Housing, water, electricity, gas;CPI high income households;1996;104.5;;;21748
1287;4   Housing, water, electricity, gas;CPI high income households;1997 January;107.3;0.9;4.4;21748
1288;4   Housing, water, electricity, gas;CPI high income households;1997 February;107.3;0.0;4.4;21748
1289;4   Housing, water, electricity, gas;CPI high income households;1997 March;107.3;0.0;4.4;21748
1290;4   Housing, water, electricity, gas;CPI high income households;1997 April;107.3;0.0;4.4;21748
1291;4   Housing, water, electricity, gas;CPI high income households;1997 May;107.4;0.1;4.6;21748
1292;4   Housing, water, electricity, gas;CPI high income households;1997 June;107.4;0.0;4.5;21748
1293;4   Housing, water, electricity, gas;CPI high income households;1997 July;110.8;3.2;4.3;21748
1294;4   Housing, water, electricity, gas;CPI high income households;1997 August;110.8;0.0;4.3;21748
1295;4   Housing, water, electricity, gas;CPI high income households;1997 September;110.9;0.1;4.3;21748
1296;4   Housing, water, electricity, gas;CPI high income households;1997 October;110.9;0.0;4.3;21748
1297;4   Housing, water, electricity, gas;CPI high income households;1997 November;110.9;0.0;4.3;21748
1298;4   Housing, water, electricity, gas;CPI high income households;1997 December;110.9;0.0;4.3;21748
1299;4   Housing, water, electricity, gas;CPI high income households;1997;109.1;;4.4;21748
1300;4   Housing, water, electricity, gas;CPI high income households;1998 January;111.2;0.3;3.6;21748
1301;4   Housing, water, electricity, gas;CPI high income households;1998 February;111.2;0.0;3.6;21748
1302;4   Housing, water, electricity, gas;CPI high income households;1998 March;111.3;0.1;3.7;21748
1303;4   Housing, water, electricity, gas;CPI high income households;1998 April;111.3;0.0;3.7;21748
1304;4   Housing, water, electricity, gas;CPI high income households;1998 May;111.3;0.0;3.6;21748
1305;4   Housing, water, electricity, gas;CPI high income households;1998 June;111.3;0.0;3.6;21748
1306;4   Housing, water, electricity, gas;CPI high income households;1998 July;113.7;2.2;2.6;21748
1307;4   Housing, water, electricity, gas;CPI high income households;1998 August;113.7;0.0;2.6;21748
1308;4   Housing, water, electricity, gas;CPI high income households;1998 September;113.7;0.0;2.5;21748
1309;4   Housing, water, electricity, gas;CPI high income households;1998 October;113.8;0.1;2.6;21748
1310;4   Housing, water, electricity, gas;CPI high income households;1998 November;113.8;0.0;2.6;21748
1311;4   Housing, water, electricity, gas;CPI high income households;1998 December;113.8;0.0;2.6;21748
1312;4   Housing, water, electricity, gas;CPI high income households;1998;112.5;;3.1;21748
1313;4   Housing, water, electricity, gas;CPI high income households;1999 January;114.8;0.9;3.2;21748
1314;4   Housing, water, electricity, gas;CPI high income households;1999 February;114.8;0.0;3.2;21748
1315;4   Housing, water, electricity, gas;CPI high income households;1999 March;114.8;0.0;3.1;21748
1316;4   Housing, water, electricity, gas;CPI high income households;1999 April;114.7;-0.1;3.1;21748
1317;4   Housing, water, electricity, gas;CPI high income households;1999 May;114.8;0.1;3.1;21748
1318;4   Housing, water, electricity, gas;CPI high income households;1999 June;114.8;0.0;3.1;21748
1319;4   Housing, water, electricity, gas;CPI high income households;1999 July;117.0;1.9;2.9;21748
1320;4   Housing, water, electricity, gas;CPI high income households;1999 August;117.0;0.0;2.9;21748
1321;4   Housing, water, electricity, gas;CPI high income households;1999 September;117.0;0.0;2.9;21748
1322;4   Housing, water, electricity, gas;CPI high income households;1999 October;117.1;0.1;2.9;21748
1323;4   Housing, water, electricity, gas;CPI high income households;1999 November;117.1;0.0;2.9;21748
1324;4   Housing, water, electricity, gas;CPI high income households;1999 December;117.1;0.0;2.9;21748
1325;4   Housing, water, electricity, gas;CPI high income households;1999;115.9;;3.0;21748
1326;4   Housing, water, electricity, gas;CPI high income households;2000 January;119.2;1.8;3.8;21748
1327;4   Housing, water, electricity, gas;CPI high income households;2000 February;119.2;0.0;3.8;21748
1328;4   Housing, water, electricity, gas;CPI high income households;2000 March;119.4;0.2;4.0;21748
1329;4   Housing, water, electricity, gas;CPI high income households;2000 April;119.4;0.0;4.1;21748
1330;4   Housing, water, electricity, gas;CPI high income households;2000 May;119.4;0.0;4.0;21748
1331;4   Housing, water, electricity, gas;CPI high income households;2000 June;119.4;0.0;4.0;21748
1332;4   Housing, water, electricity, gas;CPI high income households;2000 July;122.4;2.5;4.6;21748
1333;4   Housing, water, electricity, gas;CPI high income households;2000 August;122.4;0.0;4.6;21748
1334;4   Housing, water, electricity, gas;CPI high income households;2000 September;122.4;0.0;4.6;21748
1335;4   Housing, water, electricity, gas;CPI high income households;2000 October;122.6;0.2;4.7;21748
1336;4   Housing, water, electricity, gas;CPI high income households;2000 November;122.6;0.0;4.7;21748
1337;4   Housing, water, electricity, gas;CPI high income households;2000 December;122.6;0.0;4.7;21748
1338;4   Housing, water, electricity, gas;CPI high income households;2000;120.9;;4.3;21748
1339;4   Housing, water, electricity, gas;CPI high income households;2001 January;125.4;2.3;5.2;21748
1340;4   Housing, water, electricity, gas;CPI high income households;2001 February;125.4;0.0;5.2;21748
1341;4   Housing, water, electricity, gas;CPI high income households;2001 March;125.5;0.1;5.1;21748
1342;4   Housing, water, electricity, gas;CPI high income households;2001 April;124.8;-0.6;4.5;21748
1343;4   Housing, water, electricity, gas;CPI high income households;2001 May;124.9;0.1;4.6;21748
1344;4   Housing, water, electricity, gas;CPI high income households;2001 June;124.9;0.0;4.6;21748
1345;4   Housing, water, electricity, gas;CPI high income households;2001 July;128.4;2.8;4.9;21748
1346;4   Housing, water, electricity, gas;CPI high income households;2001 August;128.4;0.0;4.9;21748
1347;4   Housing, water, electricity, gas;CPI high income households;2001 September;128.5;0.1;5.0;21748
1348;4   Housing, water, electricity, gas;CPI high income households;2001 October;128.3;-0.2;4.6;21748
1349;4   Housing, water, electricity, gas;CPI high income households;2001 November;128.4;0.1;4.7;21748
1350;4   Housing, water, electricity, gas;CPI high income households;2001 December;128.4;0.0;4.7;21748
1351;4   Housing, water, electricity, gas;CPI high income households;2001;126.8;;4.9;21748
1352;4   Housing, water, electricity, gas;CPI high income households;2002 January;129.2;0.6;3.0;21748
1353;4   Housing, water, electricity, gas;CPI high income households;2002 February;129.3;0.1;3.1;21748
1354;4   Housing, water, electricity, gas;CPI high income households;2002 March;129.3;0.0;3.0;21748
1355;4   Housing, water, electricity, gas;CPI high income households;2002 April;129.3;0.0;3.6;21748
1356;4   Housing, water, electricity, gas;CPI high income households;2002 May;129.4;0.1;3.6;21748
1357;4   Housing, water, electricity, gas;CPI high income households;2002 June;129.4;0.0;3.6;21748
1358;4   Housing, water, electricity, gas;CPI high income households;2002 July;132.5;2.4;3.2;21748
1359;4   Housing, water, electricity, gas;CPI high income households;2002 August;132.6;0.1;3.3;21748
1360;4   Housing, water, electricity, gas;CPI high income households;2002 September;132.6;0.0;3.2;21748
1361;4   Housing, water, electricity, gas;CPI high income households;2002 October;132.8;0.2;3.5;21748
1362;4   Housing, water, electricity, gas;CPI high income households;2002 November;132.8;0.0;3.4;21748
1363;4   Housing, water, electricity, gas;CPI high income households;2002 December;132.8;0.0;3.4;21748
1364;4   Housing, water, electricity, gas;CPI high income households;2002;131.0;;3.3;21748
1365;5   Furnishings, household appliances;CPI all households;1996 January;100.0;;;7959
1366;5   Furnishings, household appliances;CPI all households;1996 February;100.1;0.1;;7959
1367;5   Furnishings, household appliances;CPI all households;1996 March;100.1;0.0;;7959
1368;5   Furnishings, household appliances;CPI all households;1996 April;100.2;0.1;;7959
1369;5   Furnishings, household appliances;CPI all households;1996 May;100.3;0.1;;7959
1370;5   Furnishings, household appliances;CPI all households;1996 June;100.1;-0.2;;7959
1371;5   Furnishings, household appliances;CPI all households;1996 July;100.1;0.0;;7959
1372;5   Furnishings, household appliances;CPI all households;1996 August;99.9;-0.2;;7959
1373;5   Furnishings, household appliances;CPI all households;1996 September;100.1;0.2;;7959
1374;5   Furnishings, household appliances;CPI all households;1996 October;100.1;0.0;;7959
1375;5   Furnishings, household appliances;CPI all households;1996 November;100.2;0.1;;7959
1376;5   Furnishings, household appliances;CPI all households;1996 December;100.3;0.1;;7959
1377;5   Furnishings, household appliances;CPI all households;1996;100.1;;;7959
1378;5   Furnishings, household appliances;CPI all households;1997 January;99.8;-0.5;-0.2;7959
1379;5   Furnishings, household appliances;CPI all households;1997 February;100.0;0.2;-0.1;7959
1380;5   Furnishings, household appliances;CPI all households;1997 March;100.0;0.0;-0.1;7959
1381;5   Furnishings, household appliances;CPI all households;1997 April;99.9;-0.1;-0.3;7959
1382;5   Furnishings, household appliances;CPI all households;1997 May;100.0;0.1;-0.3;7959
1383;5   Furnishings, household appliances;CPI all households;1997 June;100.0;0.0;-0.1;7959
1384;5   Furnishings, household appliances;CPI all households;1997 July;100.0;0.0;-0.1;7959
