ID;SexOfEmployee;TypeOfEmploymentContract;JobCharacterics;IndustryClassBranchSIC2008;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
3344;Total;Total;Type of contract: specified time;C Manufacturing;2009;121.0;102.0;15.39;1946.0;1904.0;26220.0;23350.0;2860.0;250.0;32.9;32.4;1485.0;1769.0
3345;Total;Total;Type of contract: specified time;C Manufacturing;2010 before change of method;117.0;98.0;15.72;1977.0;1933.0;26590.0;23730.0;2860.0;260.0;32.8;32.2;1475.0;1759.0
3346;Total;Total;Type of contract: specified time;C Manufacturing;2010 after change of method;118.0;99.0;15.73;1975.0;1931.0;26610.0;23700.0;2900.0;260.0;32.7;32.2;1473.0;1760.0
3347;Total;Total;Type of contract: specified time;C Manufacturing;2011;124.0;103.0;15.99;2020.0;1972.0;27100.0;24240.0;2860.0;230.0;32.6;32.0;1480.0;1775.0
3348;Total;Total;Type of contract: specified time;C Manufacturing;2012;127.0;105.0;16.36;2050.0;2003.0;27430.0;24600.0;2830.0;240.0;32.7;32.1;1469.0;1767.0
3349;Total;Total;Type of contract: specified time;C Manufacturing;2013;130.0;108.0;16.35;2047.0;2000.0;27400.0;24560.0;2840.0;230.0;32.8;32.2;1467.0;1770.0
3350;Total;Total;Type of contract: specified time;C Manufacturing;2014;133.0;110.0;16.26;2041.0;1993.0;27260.0;24490.0;2770.0;230.0;32.7;32.1;1470.0;1780.0
3351;Total;Total;Type of contract: specified time;C Manufacturing;2015;137.0;114.0;16.63;2081.0;2031.0;27700.0;24970.0;2730.0;200.0;32.8;32.1;1465.0;1771.0
3352;Total;Total;Type of contract: specified time;C Manufacturing;2016;137.0;114.0;16.96;2138.0;2087.0;28610.0;25660.0;2960.0;210.0;32.9;32.2;1476.0;1780.0
3353;Total;Total;Type of contract: specified time;C Manufacturing;2017;137.0;114.0;17.06;2152.0;2096.0;28640.0;25820.0;2820.0;230.0;32.9;32.2;1474.0;1779.0
3354;Total;Total;Type of contract: specified time;C Manufacturing;2018;145.0;120.0;17.51;2200.0;2145.0;29370.0;26400.0;2960.0;240.0;32.9;32.3;1470.0;1773.0
3355;Total;Total;Type of contract: specified time;C Manufacturing;2019;148.0;123.0;18.02;2282.0;2225.0;30340.0;27380.0;2960.0;240.0;33.0;32.4;1482.0;1780.0
3356;Total;Total;Type of contract: specified time;C Manufacturing;2020;107.0;87.0;17.44;2137.0;2099.0;28180.0;25640.0;2530.0;190.0;32.1;31.7;1444.0;1780.0
3357;Total;Total;Type of contract: specified time;C Manufacturing;2021;115.0;93.0;17.43;2134.0;2093.0;28220.0;25600.0;2620.0;170.0;31.8;31.4;1441.0;1790.0
3358;Total;Total;Type of contract: specified time;C Manufacturing;2022;128.0;103.0;18.35;2236.0;2198.0;29600.0;26830.0;2770.0;160.0;31.7;31.3;1438.0;1789.0
3359;Total;Total;Type of contract: specified time;C Manufacturing;2023;133.0;107.0;19.71;2383.0;2345.0;31660.0;28590.0;3070.0;170.0;31.6;31.2;1428.0;1779.0
3360;Total;Total;Type of contract: specified time;D Electricity and gas supply;2009;3.0;2.0;19.59;2694.0;2675.0;36490.0;32330.0;4160.0;320.0;36.1;35.9;1638.0;1755.0
3361;Total;Total;Type of contract: specified time;D Electricity and gas supply;2010 before change of method;3.0;2.0;20.52;2781.0;2757.0;37260.0;33380.0;3880.0;360.0;35.7;35.4;1612.0;1751.0
3362;Total;Total;Type of contract: specified time;D Electricity and gas supply;2010 after change of method;3.0;2.0;20.52;2777.0;2752.0;37250.0;33320.0;3930.0;360.0;35.6;35.4;1609.0;1752.0
3363;Total;Total;Type of contract: specified time;D Electricity and gas supply;2011;3.0;2.0;20.65;2779.0;2749.0;38050.0;33350.0;4710.0;340.0;35.1;34.8;1598.0;1778.0
3364;Total;Total;Type of contract: specified time;D Electricity and gas supply;2012;3.0;3.0;20.91;2797.0;2772.0;37290.0;33560.0;3730.0;340.0;35.2;34.9;1591.0;1763.0
3365;Total;Total;Type of contract: specified time;D Electricity and gas supply;2013;3.0;3.0;21.09;2848.0;2820.0;38980.0;34180.0;4800.0;330.0;35.6;35.4;1605.0;1765.0
3366;Total;Total;Type of contract: specified time;D Electricity and gas supply;2014;3.0;3.0;21.58;2950.0;2922.0;40140.0;35410.0;4730.0;360.0;35.9;35.6;1625.0;1783.0
3367;Total;Total;Type of contract: specified time;D Electricity and gas supply;2015;3.0;3.0;22.11;2914.0;2887.0;39250.0;34960.0;4290.0;370.0;34.7;34.5;1567.0;1777.0
3368;Total;Total;Type of contract: specified time;D Electricity and gas supply;2016;3.0;2.0;21.57;2796.0;2776.0;37590.0;33550.0;4040.0;310.0;34.0;33.8;1544.0;1789.0
3369;Total;Total;Type of contract: specified time;D Electricity and gas supply;2017;3.0;3.0;22.19;2919.0;2901.0;39210.0;35030.0;4180.0;290.0;34.2;34.0;1569.0;1806.0
3370;Total;Total;Type of contract: specified time;D Electricity and gas supply;2018;3.0;3.0;23.37;3145.0;3125.0;42410.0;37740.0;4670.0;340.0;35.1;34.9;1605.0;1806.0
3371;Total;Total;Type of contract: specified time;D Electricity and gas supply;2019;4.0;3.0;23.52;3082.0;3066.0;41560.0;36980.0;4580.0;370.0;34.0;33.9;1564.0;1812.0
3372;Total;Total;Type of contract: specified time;D Electricity and gas supply;2020;4.0;3.0;23.83;3052.0;3046.0;41240.0;36620.0;4620.0;330.0;33.4;33.3;1534.0;1818.0
3373;Total;Total;Type of contract: specified time;D Electricity and gas supply;2021;4.0;4.0;24.04;3245.0;3233.0;43740.0;38940.0;4800.0;360.0;34.9;34.8;1613.0;1824.0
3374;Total;Total;Type of contract: specified time;D Electricity and gas supply;2022;4.0;4.0;24.54;3352.0;3342.0;46440.0;40220.0;6220.0;400.0;35.3;35.2;1634.0;1825.0
3375;Total;Total;Type of contract: specified time;D Electricity and gas supply;2023;5.0;5.0;26.08;3528.0;3518.0;47890.0;42340.0;5550.0;440.0;35.0;34.9;1618.0;1823.0
3376;Total;Total;Type of contract: specified time;E Water supply and waste management;2009;5.0;5.0;16.44;2307.0;2169.0;30670.0;27680.0;2980.0;280.0;36.4;34.6;1583.0;1785.0
3377;Total;Total;Type of contract: specified time;E Water supply and waste management;2010 before change of method;5.0;5.0;16.52;2327.0;2195.0;31250.0;27920.0;3320.0;290.0;36.8;35.0;1594.0;1767.0
3378;Total;Total;Type of contract: specified time;E Water supply and waste management;2010 after change of method;5.0;5.0;16.52;2311.0;2180.0;31060.0;27730.0;3330.0;290.0;36.6;34.7;1583.0;1767.0
3379;Total;Total;Type of contract: specified time;E Water supply and waste management;2011;6.0;5.0;16.31;2326.0;2191.0;31210.0;27910.0;3300.0;290.0;36.7;34.9;1611.0;1801.0
3380;Total;Total;Type of contract: specified time;E Water supply and waste management;2012;6.0;5.0;16.38;2305.0;2163.0;30950.0;27660.0;3290.0;300.0;36.5;34.6;1584.0;1794.0
3381;Total;Total;Type of contract: specified time;E Water supply and waste management;2013;5.0;5.0;16.65;2384.0;2233.0;31870.0;28600.0;3260.0;340.0;37.4;35.4;1609.0;1808.0
3382;Total;Total;Type of contract: specified time;E Water supply and waste management;2014;5.0;4.0;16.74;2388.0;2240.0;32000.0;28660.0;3340.0;330.0;37.1;35.2;1606.0;1813.0
3383;Total;Total;Type of contract: specified time;E Water supply and waste management;2015;5.0;5.0;17.13;2419.0;2280.0;32220.0;29030.0;3190.0;300.0;36.9;35.1;1596.0;1808.0
3384;Total;Total;Type of contract: specified time;E Water supply and waste management;2016;5.0;5.0;17.21;2439.0;2295.0;32590.0;29270.0;3320.0;290.0;36.8;35.0;1600.0;1816.0
3385;Total;Total;Type of contract: specified time;E Water supply and waste management;2017;6.0;5.0;17.28;2463.0;2319.0;32760.0;29560.0;3200.0;280.0;37.0;35.2;1610.0;1819.0
3386;Total;Total;Type of contract: specified time;E Water supply and waste management;2018;7.0;6.0;18.03;2585.0;2445.0;34530.0;31020.0;3520.0;280.0;37.4;35.7;1628.0;1817.0
3387;Total;Total;Type of contract: specified time;E Water supply and waste management;2019;7.0;6.0;18.49;2657.0;2531.0;35540.0;31890.0;3660.0;260.0;37.4;35.9;1643.0;1822.0
3388;Total;Total;Type of contract: specified time;E Water supply and waste management;2020;5.0;5.0;18.48;2584.0;2476.0;34230.0;31010.0;3210.0;190.0;36.6;35.3;1607.0;1804.0
3389;Total;Total;Type of contract: specified time;E Water supply and waste management;2021;6.0;5.0;18.56;2605.0;2496.0;34680.0;31260.0;3420.0;220.0;36.5;35.2;1614.0;1821.0
3390;Total;Total;Type of contract: specified time;E Water supply and waste management;2022;6.0;5.0;19.22;2677.0;2570.0;36180.0;32130.0;4060.0;220.0;36.2;35.0;1604.0;1817.0
3391;Total;Total;Type of contract: specified time;E Water supply and waste management;2023;6.0;6.0;20.9;2856.0;2748.0;38220.0;34280.0;3940.0;240.0;35.7;34.6;1577.0;1804.0
3392;Total;Total;Type of contract: specified time;F Construction;2009;59.0;51.0;16.49;2241.0;2189.0;28950.0;26900.0;2050.0;580.0;35.4;34.8;1593.0;1814.0
3393;Total;Total;Type of contract: specified time;F Construction;2010 before change of method;56.0;49.0;16.46;2221.0;2168.0;28650.0;26660.0;1990.0;530.0;35.2;34.6;1580.0;1800.0
3394;Total;Total;Type of contract: specified time;F Construction;2010 after change of method;56.0;49.0;16.45;2216.0;2163.0;28610.0;26600.0;2010.0;540.0;35.2;34.5;1578.0;1801.0
3395;Total;Total;Type of contract: specified time;F Construction;2011;58.0;51.0;16.5;2251.0;2196.0;28910.0;27010.0;1900.0;480.0;35.3;34.6;1597.0;1820.0
3396;Total;Total;Type of contract: specified time;F Construction;2012;60.0;52.0;16.98;2287.0;2233.0;29590.0;27450.0;2150.0;570.0;35.2;34.5;1579.0;1803.0
3397;Total;Total;Type of contract: specified time;F Construction;2013;56.0;49.0;17.04;2314.0;2256.0;29930.0;27770.0;2160.0;660.0;35.6;34.9;1589.0;1817.0
3398;Total;Total;Type of contract: specified time;F Construction;2014;53.0;46.0;16.89;2301.0;2242.0;29660.0;27620.0;2050.0;510.0;35.5;34.8;1593.0;1830.0
3399;Total;Total;Type of contract: specified time;F Construction;2015;55.0;48.0;17.1;2310.0;2253.0;29680.0;27720.0;1960.0;410.0;35.3;34.7;1581.0;1812.0
3400;Total;Total;Type of contract: specified time;F Construction;2016;57.0;50.0;17.57;2374.0;2318.0;30540.0;28490.0;2050.0;430.0;35.2;34.6;1583.0;1815.0
3401;Total;Total;Type of contract: specified time;F Construction;2017;63.0;55.0;17.66;2392.0;2338.0;30670.0;28700.0;1960.0;450.0;35.2;34.5;1589.0;1821.0
3402;Total;Total;Type of contract: specified time;F Construction;2018;67.0;59.0;18.08;2454.0;2401.0;31440.0;29450.0;1990.0;470.0;35.4;34.8;1593.0;1817.0
3403;Total;Total;Type of contract: specified time;F Construction;2019;69.0;61.0;18.16;2477.0;2424.0;31780.0;29720.0;2070.0;490.0;35.4;34.8;1602.0;1830.0
3404;Total;Total;Type of contract: specified time;F Construction;2020;53.0;45.0;17.32;2287.0;2245.0;29550.0;27440.0;2120.0;440.0;34.4;33.9;1555.0;1818.0
3405;Total;Total;Type of contract: specified time;F Construction;2021;58.0;49.0;17.26;2284.0;2243.0;29330.0;27400.0;1930.0;410.0;34.2;33.7;1559.0;1828.0
3406;Total;Total;Type of contract: specified time;F Construction;2022;61.0;51.0;17.93;2353.0;2314.0;30270.0;28240.0;2030.0;430.0;33.9;33.5;1548.0;1827.0
3407;Total;Total;Type of contract: specified time;F Construction;2023;62.0;52.0;18.9;2459.0;2417.0;31530.0;29510.0;2020.0;460.0;33.8;33.4;1535.0;1819.0
3408;Total;Total;Type of contract: specified time;G-N Commercial services;2009;1381.0;831.0;13.63;1239.0;1210.0;16540.0;14870.0;1670.0;190.0;23.7;23.2;1066.0;1771.0
3409;Total;Total;Type of contract: specified time;G-N Commercial services;2010 before change of method;1340.0;812.0;13.82;1259.0;1226.0;16740.0;15100.0;1640.0;170.0;23.8;23.3;1065.0;1759.0
3410;Total;Total;Type of contract: specified time;G-N Commercial services;2010 after change of method;1345.0;815.0;13.83;1260.0;1228.0;16790.0;15120.0;1670.0;170.0;23.8;23.3;1065.0;1759.0
3411;Total;Total;Type of contract: specified time;G-N Commercial services;2011;1410.0;848.0;13.93;1275.0;1241.0;17010.0;15300.0;1710.0;160.0;23.7;23.2;1069.0;1779.0
3412;Total;Total;Type of contract: specified time;G-N Commercial services;2012;1440.0;863.0;14.28;1294.0;1261.0;17220.0;15520.0;1700.0;170.0;23.7;23.2;1060.0;1768.0
3413;Total;Total;Type of contract: specified time;G-N Commercial services;2013;1456.0;870.0;14.45;1305.0;1273.0;17340.0;15660.0;1670.0;160.0;23.7;23.2;1058.0;1770.0
3414;Total;Total;Type of contract: specified time;G-N Commercial services;2014;1526.0;917.0;14.39;1316.0;1283.0;17450.0;15790.0;1660.0;150.0;23.9;23.3;1070.0;1781.0
3415;Total;Total;Type of contract: specified time;G-N Commercial services;2015;1680.0;1009.0;14.54;1327.0;1294.0;17570.0;15930.0;1640.0;130.0;23.9;23.4;1068.0;1777.0
3416;Total;Total;Type of contract: specified time;G-N Commercial services;2016;1779.0;1089.0;14.44;1346.0;1313.0;17890.0;16150.0;1730.0;130.0;24.3;23.8;1091.0;1783.0
3417;Total;Total;Type of contract: specified time;G-N Commercial services;2017;1904.0;1175.0;14.56;1374.0;1339.0;18230.0;16490.0;1750.0;140.0;24.6;24.1;1103.0;1788.0
3418;Total;Total;Type of contract: specified time;G-N Commercial services;2018;2022.0;1260.0;15.01;1420.0;1384.0;18840.0;17030.0;1810.0;150.0;24.8;24.3;1106.0;1777.0
3419;Total;Total;Type of contract: specified time;G-N Commercial services;2019;2035.0;1263.0;15.34;1450.0;1417.0;19280.0;17410.0;1870.0;150.0;24.7;24.2;1109.0;1787.0
3420;Total;Total;Type of contract: specified time;G-N Commercial services;2020;1679.0;1020.0;15.11;1395.0;1367.0;18470.0;16740.0;1720.0;110.0;24.2;23.8;1086.0;1787.0
3421;Total;Total;Type of contract: specified time;G-N Commercial services;2021;1774.0;1085.0;15.33;1430.0;1400.0;18890.0;17160.0;1730.0;100.0;24.3;23.8;1095.0;1790.0
3422;Total;Total;Type of contract: specified time;G-N Commercial services;2022;1939.0;1175.0;16.01;1478.0;1449.0;19590.0;17740.0;1860.0;100.0;24.0;23.6;1086.0;1792.0
3423;Total;Total;Type of contract: specified time;G-N Commercial services;2023;1916.0;1152.0;17.16;1563.0;1535.0;20710.0;18760.0;1950.0;120.0;23.8;23.4;1073.0;1785.0
3424;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2009;647.0;359.0;12.31;1051.0;1013.0;13950.0;12610.0;1340.0;160.0;22.1;21.5;988.0;1779.0
3425;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2010 before change of method;645.0;352.0;12.57;1047.0;1008.0;13910.0;12560.0;1350.0;150.0;21.7;21.0;963.0;1763.0
3426;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2010 after change of method;647.0;353.0;12.57;1048.0;1009.0;13930.0;12570.0;1360.0;150.0;21.7;21.0;963.0;1763.0
3427;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2011;688.0;370.0;12.73;1057.0;1018.0;14020.0;12690.0;1340.0;150.0;21.4;20.8;960.0;1782.0
3428;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2012;704.0;377.0;13.09;1069.0;1032.0;14180.0;12830.0;1350.0;150.0;21.3;20.7;946.0;1769.0
3429;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2013;708.0;374.0;13.14;1057.0;1023.0;13950.0;12690.0;1270.0;140.0;21.1;20.5;934.0;1770.0
3430;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2014;740.0;386.0;13.14;1050.0;1015.0;13860.0;12600.0;1270.0;130.0;20.8;20.2;927.0;1779.0
3431;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2015;808.0;418.0;13.23;1047.0;1013.0;13820.0;12570.0;1250.0;120.0;20.7;20.1;918.0;1777.0
3432;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2016;841.0;445.0;13.02;1056.0;1025.0;14030.0;12670.0;1360.0;120.0;21.1;20.6;945.0;1786.0
3433;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2017;889.0;476.0;13.19;1078.0;1045.0;14220.0;12930.0;1290.0;120.0;21.2;20.7;951.0;1777.0
3434;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2018;948.0;511.0;13.53;1109.0;1077.0;14620.0;13300.0;1320.0;120.0;21.4;20.9;955.0;1769.0
3435;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2019;974.0;524.0;13.79;1128.0;1100.0;14880.0;13540.0;1340.0;120.0;21.3;20.9;957.0;1779.0
3436;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2020;822.0;420.0;13.22;1021.0;1001.0;13350.0;12250.0;1100.0;80.0;20.1;19.9;909.0;1779.0
3437;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2021;870.0;446.0;13.4;1043.0;1021.0;13630.0;12510.0;1120.0;80.0;20.1;19.9;915.0;1783.0
3438;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2022;989.0;513.0;14.13;1110.0;1090.0;14520.0;13330.0;1200.0;80.0;20.4;20.1;925.0;1786.0
3439;Total;Total;Type of contract: specified time;G-I Trade, transport, hotels, catering;2023;1031.0;529.0;15.3;1181.0;1162.0;15420.0;14170.0;1250.0;80.0;20.1;19.9;911.0;1776.0
3440;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2009;417.0;229.0;12.31;1025.0;1003.0;13700.0;12300.0;1390.0;220.0;21.8;21.3;978.0;1776.0
3441;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2010 before change of method;412.0;223.0;12.7;1030.0;1009.0;13770.0;12360.0;1420.0;210.0;21.2;20.8;953.0;1762.0
3442;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2010 after change of method;413.0;223.0;12.72;1031.0;1010.0;13800.0;12370.0;1430.0;210.0;21.2;20.8;953.0;1762.0
3443;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2011;435.0;231.0;12.92;1040.0;1019.0;13880.0;12480.0;1410.0;200.0;20.9;20.5;946.0;1781.0
3444;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2012;434.0;231.0;13.34;1068.0;1047.0;14260.0;12810.0;1440.0;220.0;20.9;20.5;941.0;1772.0
3445;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2013;430.0;226.0;13.4;1058.0;1038.0;14080.0;12700.0;1380.0;210.0;20.7;20.3;929.0;1772.0
3446;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2014;448.0;232.0;13.42;1053.0;1032.0;14000.0;12640.0;1370.0;190.0;20.5;20.1;923.0;1781.0
3447;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2015;501.0;254.0;13.48;1035.0;1014.0;13760.0;12420.0;1350.0;170.0;20.1;19.7;903.0;1780.0
3448;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2016;525.0;272.0;13.18;1034.0;1016.0;13880.0;12410.0;1470.0;170.0;20.5;20.2;925.0;1785.0
3449;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2017;555.0;291.0;13.39;1056.0;1038.0;14060.0;12670.0;1390.0;170.0;20.6;20.3;930.0;1771.0
3450;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2018;587.0;312.0;13.67;1085.0;1067.0;14410.0;13020.0;1390.0;170.0;20.8;20.5;937.0;1764.0
3451;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2019;599.0;317.0;13.9;1103.0;1088.0;14640.0;13240.0;1400.0;170.0;20.7;20.5;939.0;1774.0
3452;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2020;536.0;269.0;13.07;979.0;969.0;12870.0;11750.0;1120.0;110.0;19.6;19.5;890.0;1775.0
3453;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2021;567.0;285.0;13.33;1004.0;994.0;13200.0;12050.0;1150.0;100.0;19.6;19.4;895.0;1778.0
3454;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2022;607.0;312.0;14.09;1083.0;1073.0;14260.0;13000.0;1260.0;110.0;20.0;19.8;914.0;1780.0
3455;Total;Total;Type of contract: specified time;G Wholesale and retail trade;2023;616.0;314.0;15.21;1155.0;1145.0;15160.0;13860.0;1300.0;120.0;19.8;19.7;904.0;1771.0
3456;Total;Total;Type of contract: specified time;H Transportation and storage;2009;96.0;64.0;14.16;1582.0;1433.0;20960.0;18990.0;1970.0;90.0;28.5;26.5;1215.0;1820.0
3457;Total;Total;Type of contract: specified time;H Transportation and storage;2010 before change of method;92.0;60.0;14.21;1566.0;1405.0;20750.0;18790.0;1960.0;100.0;28.2;25.9;1186.0;1809.0
3458;Total;Total;Type of contract: specified time;H Transportation and storage;2010 after change of method;93.0;61.0;14.21;1564.0;1403.0;20750.0;18760.0;1980.0;100.0;28.2;25.9;1185.0;1809.0
3459;Total;Total;Type of contract: specified time;H Transportation and storage;2011;100.0;65.0;14.37;1581.0;1421.0;20920.0;18980.0;1950.0;100.0;27.9;25.7;1186.0;1826.0
3460;Total;Total;Type of contract: specified time;H Transportation and storage;2012;102.0;66.0;14.87;1593.0;1445.0;21100.0;19120.0;1980.0;110.0;27.5;25.4;1165.0;1815.0
3461;Total;Total;Type of contract: specified time;H Transportation and storage;2013;99.0;63.0;14.96;1586.0;1447.0;20920.0;19030.0;1890.0;110.0;27.3;25.4;1161.0;1822.0
3462;Total;Total;Type of contract: specified time;H Transportation and storage;2014;98.0;63.0;15.1;1638.0;1491.0;21740.0;19660.0;2080.0;110.0;27.8;25.8;1185.0;1834.0
