ID;TripCharacteristics;Population;ModesOfTravel;Margins;RegionCharacteristics;Periods;AverageDistanceTravelledPerTrip_1;AverageTravelTimePerTrip_2
715;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Flevoland (PV);2019;23.64;28.07
716;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Flevoland (PV);2020;22.21;25.5
717;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Flevoland (PV);2021;22.75;27.23
718;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Flevoland (PV);2022;23.13;28.27
719;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Flevoland (PV);2023;23.6;29.26
720;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Gelderland (PV);2018;20.45;26.37
721;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Gelderland (PV);2019;21.16;26.92
722;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Gelderland (PV);2020;18.18;24.39
723;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Gelderland (PV);2021;18.34;25.39
724;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Gelderland (PV);2022;18.17;25.07
725;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Gelderland (PV);2023;19.0;25.85
726;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Utrecht (PV);2018;21.99;27.58
727;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Utrecht (PV);2019;23.97;30.39
728;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Utrecht (PV);2020;19.71;26.22
729;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Utrecht (PV);2021;19.57;26.28
730;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Utrecht (PV);2022;19.61;26.74
731;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Utrecht (PV);2023;20.61;28.01
732;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Holland (PV);2018;21.37;29.19
733;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Holland (PV);2019;20.77;29.59
734;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Holland (PV);2020;16.84;24.73
735;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Holland (PV);2021;18.79;27.61
736;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Holland (PV);2022;19.37;27.41
737;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Holland (PV);2023;19.42;27.5
738;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Holland (PV);2018;19.24;28.2
739;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Holland (PV);2019;19.14;28.07
740;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Holland (PV);2020;17.86;26.31
741;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Holland (PV);2021;17.35;26.39
742;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Holland (PV);2022;17.53;26.83
743;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zuid-Holland (PV);2023;18.04;27.87
744;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zeeland (PV);2018;20.8;24.97
745;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zeeland (PV);2019;23.17;28.45
746;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zeeland (PV);2020;18.6;23.83
747;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zeeland (PV);2021;22.51;27.11
748;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zeeland (PV);2022;18.92;24.2
749;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Zeeland (PV);2023;23.53;27.23
750;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Brabant (PV);2018;18.71;25.21
751;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Brabant (PV);2019;18.45;24.57
752;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Brabant (PV);2020;15.21;21.88
753;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Brabant (PV);2021;16.55;23.67
754;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Brabant (PV);2022;17.27;24.13
755;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Noord-Brabant (PV);2023;17.52;24.53
756;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Limburg (PV);2018;15.5;21.69
757;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Limburg (PV);2019;15.02;21.6
758;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Limburg (PV);2020;14.32;21.32
759;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Limburg (PV);2021;15.96;22.15
760;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Limburg (PV);2022;15.77;22.57
761;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Limburg (PV);2023;14.23;20.79
762;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Extremely urbanised;2018;21.46;30.49
763;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Extremely urbanised;2019;21.03;30.29
764;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Extremely urbanised;2020;18.65;27.72
765;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Extremely urbanised;2021;18.71;28.46
766;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Extremely urbanised;2022;18.71;28.22
767;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Extremely urbanised;2023;19.22;29.15
768;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Strongly urbanised;2018;19.83;26.46
769;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Strongly urbanised;2019;19.56;26.61
770;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Strongly urbanised;2020;17.13;24.16
771;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Strongly urbanised;2021;17.64;25.05
772;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Strongly urbanised;2022;18.28;25.82
773;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Strongly urbanised;2023;18.16;25.81
774;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Moderately urbanised;2018;18.33;24.7
775;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Moderately urbanised;2019;19.27;25.81
776;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Moderately urbanised;2020;16.0;22.36
777;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Moderately urbanised;2021;17.08;24.21
778;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Moderately urbanised;2022;17.41;24.54
779;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Moderately urbanised;2023;17.7;24.42
780;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Hardly urbanised;2018;19.46;25.16
781;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Hardly urbanised;2019;19.26;24.99
782;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Hardly urbanised;2020;16.37;22.45
783;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Hardly urbanised;2021;17.02;23.5
784;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Hardly urbanised;2022;18.0;24.12
785;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Hardly urbanised;2023;18.16;24.28
786;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Not urbanised;2018;19.94;25.12
787;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Not urbanised;2019;21.77;27.16
788;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Not urbanised;2020;18.04;23.51
789;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Not urbanised;2021;20.87;25.46
790;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Not urbanised;2022;19.15;24.79
791;Total;Population 6 years or older;Passenger car (driver);Upper bound 95% confidence interval;Not urbanised;2023;20.0;25.04
792;Total;Population 6 years or older;Passenger car (passenger);Value;The Netherlands;2018;20.6;28.7
793;Total;Population 6 years or older;Passenger car (passenger);Value;The Netherlands;2019;21.3;30.03
794;Total;Population 6 years or older;Passenger car (passenger);Value;The Netherlands;2020;18.21;27.75
795;Total;Population 6 years or older;Passenger car (passenger);Value;The Netherlands;2021;19.83;30.37
796;Total;Population 6 years or older;Passenger car (passenger);Value;The Netherlands;2022;19.61;29.18
797;Total;Population 6 years or older;Passenger car (passenger);Value;The Netherlands;2023;20.12;29.07
798;Total;Population 6 years or older;Passenger car (passenger);Value;Noord-Nederland (LD);2018;23.77;31.14
799;Total;Population 6 years or older;Passenger car (passenger);Value;Noord-Nederland (LD);2019;28.45;34.79
800;Total;Population 6 years or older;Passenger car (passenger);Value;Noord-Nederland (LD);2020;18.41;27.32
801;Total;Population 6 years or older;Passenger car (passenger);Value;Noord-Nederland (LD);2021;23.45;35.1
802;Total;Population 6 years or older;Passenger car (passenger);Value;Noord-Nederland (LD);2022;22.62;30.65
803;Total;Population 6 years or older;Passenger car (passenger);Value;Noord-Nederland (LD);2023;21.78;29.12
804;Total;Population 6 years or older;Passenger car (passenger);Value;Oost-Nederland (LD);2018;21.14;28.37
805;Total;Population 6 years or older;Passenger car (passenger);Value;Oost-Nederland (LD);2019;20.96;30.32
806;Total;Population 6 years or older;Passenger car (passenger);Value;Oost-Nederland (LD);2020;18.09;27.38
807;Total;Population 6 years or older;Passenger car (passenger);Value;Oost-Nederland (LD);2021;20.53;30.4
808;Total;Population 6 years or older;Passenger car (passenger);Value;Oost-Nederland (LD);2022;19.97;29.14
809;Total;Population 6 years or older;Passenger car (passenger);Value;Oost-Nederland (LD);2023;21.19;28.72
810;Total;Population 6 years or older;Passenger car (passenger);Value;West-Nederland (LD);2018;20.87;29.85
811;Total;Population 6 years or older;Passenger car (passenger);Value;West-Nederland (LD);2019;21.26;31.01
812;Total;Population 6 years or older;Passenger car (passenger);Value;West-Nederland (LD);2020;19.66;30.02
813;Total;Population 6 years or older;Passenger car (passenger);Value;West-Nederland (LD);2021;20.71;31.75
814;Total;Population 6 years or older;Passenger car (passenger);Value;West-Nederland (LD);2022;20.39;30.94
815;Total;Population 6 years or older;Passenger car (passenger);Value;West-Nederland (LD);2023;20.43;30.73
816;Total;Population 6 years or older;Passenger car (passenger);Value;Zuid-Nederland (LD);2018;18.15;25.77
817;Total;Population 6 years or older;Passenger car (passenger);Value;Zuid-Nederland (LD);2019;18.59;25.81
818;Total;Population 6 years or older;Passenger car (passenger);Value;Zuid-Nederland (LD);2020;15.63;24.26
819;Total;Population 6 years or older;Passenger car (passenger);Value;Zuid-Nederland (LD);2021;15.72;25.42
820;Total;Population 6 years or older;Passenger car (passenger);Value;Zuid-Nederland (LD);2022;16.62;25.44
821;Total;Population 6 years or older;Passenger car (passenger);Value;Zuid-Nederland (LD);2023;17.85;26.39
822;Total;Population 6 years or older;Passenger car (passenger);Value;Groningen (PV);2018;22.52;32.38
823;Total;Population 6 years or older;Passenger car (passenger);Value;Groningen (PV);2019;29.73;36.17
824;Total;Population 6 years or older;Passenger car (passenger);Value;Groningen (PV);2020;19.3;29.52
825;Total;Population 6 years or older;Passenger car (passenger);Value;Groningen (PV);2021;26.14;38.03
826;Total;Population 6 years or older;Passenger car (passenger);Value;Groningen (PV);2022;23.29;30.95
827;Total;Population 6 years or older;Passenger car (passenger);Value;Groningen (PV);2023;20.73;28.31
