ID;Sex;Age;BackgroundAndGeneration;MedicineGroupATC;Periods;PersonsWithDispensedMedicines_1;PersonsWithMedicinesRelative_2
2705;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2011;128540;0.76
2706;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2012;130925;0.77
2707;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2013;130560;0.76
2708;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2014;136260;0.79
2709;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2015;139170;0.81
2710;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2016;141170;0.81
2711;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2017;146715;0.84
2712;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2018;149455;0.85
2713;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2019;154400;0.87
2714;Total male and female;10000;Total background and generation;G04B Oth.urologicals, inc.antispasmodics;2020;150065;0.84
2715;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2006;210760;1.27
2716;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2007;232035;1.39
2717;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2008;248620;1.48
2718;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2009;261715;1.55
2719;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2010;276910;1.64
2720;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2011;293425;1.72
2721;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2012;304185;1.78
2722;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2013;311750;1.82
2723;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2014;318690;1.85
2724;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2015;324570;1.88
2725;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2016;325845;1.87
2726;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2017;325750;1.86
2727;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2018;330775;1.88
2728;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2019;337435;1.9
2729;Total male and female;10000;Total background and generation;G04C Benign prostatic hypertrophy drugs;2020;338845;1.9
2730;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2006;941375;5.66
2731;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2007;987125;5.92
2732;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2008;1021120;6.09
2733;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2009;1063915;6.32
2734;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2010;1098105;6.49
2735;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2011;1141500;6.71
2736;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2012;1173485;6.87
2737;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2013;1203915;7.03
2738;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2014;1237205;7.19
2739;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2015;1290765;7.47
2740;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2016;1312495;7.55
2741;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2017;1333120;7.62
2742;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2018;1365730;7.76
2743;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2019;1392510;7.86
2744;Total male and female;10000;Total background and generation;H Systemic hormonal prep,ex.sex hormones;2020;1283080;7.21
2745;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2006;37050;0.22
2746;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2007;39270;0.24
2747;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2008;38475;0.23
2748;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2009;38995;0.23
2749;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2010;38850;0.23
2750;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2011;39455;0.23
2751;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2012;38535;0.23
2752;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2013;32670;0.19
2753;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2014;27160;0.16
2754;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2015;27455;0.16
2755;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2016;27430;0.16
2756;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2017;26970;0.15
2757;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2018;26310;0.15
2758;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2019;26065;0.15
2759;Total male and female;10000;Total background and generation;H01 Pituitary, hypothalamic hormones.;2020;22445;0.13
2760;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2006;4135;0.02
2761;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2007;4425;0.03
2762;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2008;4685;0.03
2763;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2009;5045;0.03
2764;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2010;5340;0.03
2765;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2011;5550;0.03
2766;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2012;5645;0.03
2767;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2013;390;0.0
2768;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2014;355;0.0
2769;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2015;380;0.0
2770;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2016;385;0.0
2771;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2017;370;0.0
2772;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2018;385;0.0
2773;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2019;380;0.0
2774;Total male and female;10000;Total background and generation;H01A Anterior pituitary lobe hormones.;2020;385;0.0
2775;Total male and female;10000;Total background and generation;H01B Posterior pituitary lobe hormones;2006;30220;0.18
2776;Total male and female;10000;Total background and generation;H01B Posterior pituitary lobe hormones;2007;31310;0.19
2777;Total male and female;10000;Total background and generation;H01B Posterior pituitary lobe hormones;2008;29720;0.18
2778;Total male and female;10000;Total background and generation;H01B Posterior pituitary lobe hormones;2009;29525;0.18
2779;Total male and female;10000;Total background and generation;H01B Posterior pituitary lobe hormones;2010;28540;0.17
2780;Total male and female;10000;Total background and generation;H01B Posterior pituitary lobe hormones;2011;28635;0.17
2781;Total male and female;10000;Total background and generation;H01B Posterior pituitary lobe hormones;2012;27440;0.16
2782;Total male and female;10000;Total background and generation;H01B Posterior pituitary lobe hormones;2013;26160;0.15
2783;Total male and female;10000;Total background and generation;H01B Posterior pituitary lobe hormones;2014;23775;0.14
