ID;Financing;RevenuesOfHealthCareFinancingScheme;FunctionsOfHealthAndSocialCare;Periods;HealthAndSocialCareExpenditure_1
3172;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2020;11285
3173;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2021;11476
3174;Total financing of residents;Total revenues care financing schemes;Total health related expenditure;2022;12073
3175;Total financing of residents;Total revenues care financing schemes;Other goods and services;1998;5294
3176;Total financing of residents;Total revenues care financing schemes;Other goods and services;1999;6023
3177;Total financing of residents;Total revenues care financing schemes;Other goods and services;2000;6688
3178;Total financing of residents;Total revenues care financing schemes;Other goods and services;2001;7552
3179;Total financing of residents;Total revenues care financing schemes;Other goods and services;2002;8257
3180;Total financing of residents;Total revenues care financing schemes;Other goods and services;2003;8950
3181;Total financing of residents;Total revenues care financing schemes;Other goods and services;2004;8970
3182;Total financing of residents;Total revenues care financing schemes;Other goods and services;2005;9045
3183;Total financing of residents;Total revenues care financing schemes;Other goods and services;2006;9068
3184;Total financing of residents;Total revenues care financing schemes;Other goods and services;2007;9991
3185;Total financing of residents;Total revenues care financing schemes;Other goods and services;2008;11065
3186;Total financing of residents;Total revenues care financing schemes;Other goods and services;2009;12228
3187;Total financing of residents;Total revenues care financing schemes;Other goods and services;2010;12602
3188;Total financing of residents;Total revenues care financing schemes;Other goods and services;2011;13023
3189;Total financing of residents;Total revenues care financing schemes;Other goods and services;2012;12875
3190;Total financing of residents;Total revenues care financing schemes;Other goods and services;2013;12549
3191;Total financing of residents;Total revenues care financing schemes;Other goods and services;2014;12226
3192;Total financing of residents;Total revenues care financing schemes;Other goods and services;2015;11504
3193;Total financing of residents;Total revenues care financing schemes;Other goods and services;2016;12411
3194;Total financing of residents;Total revenues care financing schemes;Other goods and services;2017;12825
3195;Total financing of residents;Total revenues care financing schemes;Other goods and services;2018;13428
3196;Total financing of residents;Total revenues care financing schemes;Other goods and services;2019;14433
3197;Total financing of residents;Total revenues care financing schemes;Other goods and services;2020;15557
3198;Total financing of residents;Total revenues care financing schemes;Other goods and services;2021;16423
3199;Total financing of residents;Total revenues care financing schemes;Other goods and services;2022;18620
3200;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;1998;9076
3201;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;1999;9825
3202;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2000;10424
3203;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2001;13150
3204;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2002;14583
3205;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2003;16250
3206;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2004;17546
3207;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2005;18047
3208;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2006;19488
3209;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2007;22757
3210;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2008;25201
3211;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2009;27151
3212;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2010;28208
3213;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2011;29430
3214;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2012;28776
3215;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2013;27128
3216;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2014;25721
3217;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2015;30674
3218;Total financing of residents;FS.1 Transfers from government domest...;Total health, social care and welfare;2016;31115
