ID;InstitutionalSectors;DebtInstruments;CounterpartSectors;FaceValueAndMarketValue;Periods;TotalGovernmentDebt_1;GovernmentDebtInForeignCurrency_2
2961;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2000;118.0;
2962;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2001 1st quarter;;
2963;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2001 2nd quarter;;
2964;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2001 3rd quarter;;
2965;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2001 4th quarter;111.0;
2966;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2001;111.0;
2967;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2002 1st quarter;;
2968;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2002 2nd quarter;;
2969;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2002 3rd quarter;;
2970;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2002 4th quarter;123.0;
2971;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2002;123.0;
2972;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2003 1st quarter;;
2973;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2003 2nd quarter;;
2974;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2003 3rd quarter;;
2975;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2003 4th quarter;110.0;
2976;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2003;110.0;
2977;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2004 1st quarter;;
2978;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2004 2nd quarter;;
2979;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2004 3rd quarter;;
2980;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2004 4th quarter;192.0;
2981;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2004;192.0;
2982;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2005 1st quarter;;
2983;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2005 2nd quarter;;
2984;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2005 3rd quarter;;
2985;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2005 4th quarter;195.0;
2986;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2005;195.0;
2987;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2006 1st quarter;;
2988;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2006 2nd quarter;;
2989;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2006 3rd quarter;;
2990;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2006 4th quarter;317.0;
2991;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2006;317.0;
2992;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2007 1st quarter;;
2993;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2007 2nd quarter;;
2994;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2007 3rd quarter;;
2995;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2007 4th quarter;430.0;
2996;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2007;430.0;
2997;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2008 1st quarter;333.0;
2998;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2008 2nd quarter;257.0;
2999;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2008 3rd quarter;321.0;
3000;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2008 4th quarter;278.0;
3001;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2008;278.0;
3002;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2009 1st quarter;242.0;
3003;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2009 2nd quarter;282.0;
3004;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2009 3rd quarter;249.0;
3005;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2009 4th quarter;241.0;
3006;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2009;241.0;
3007;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2010 1st quarter;271.0;
3008;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2010 2nd quarter;274.0;
3009;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2010 3rd quarter;278.0;
3010;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2010 4th quarter;273.0;
3011;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2010;273.0;
3012;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2011 1st quarter;283.0;
3013;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2011 2nd quarter;247.0;
3014;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2011 3rd quarter;264.0;
3015;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2011 4th quarter;282.0;
3016;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2011;282.0;
3017;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2012 1st quarter;246.0;
3018;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2012 2nd quarter;237.0;
3019;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2012 3rd quarter;250.0;
3020;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2012 4th quarter;293.0;
3021;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2012;293.0;
3022;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2013 1st quarter;264.0;
3023;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2013 2nd quarter;228.0;
3024;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2013 3rd quarter;208.0;
3025;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2013 4th quarter;224.0;
3026;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2013;224.0;
3027;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2014 1st quarter;198.0;
3028;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2014 2nd quarter;187.0;
3029;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2014 3rd quarter;186.0;
3030;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2014 4th quarter;189.0;
3031;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2014;189.0;
3032;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2015 1st quarter;201.0;
3033;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2015 2nd quarter;183.0;
3034;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2015 3rd quarter;257.0;
3035;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2015 4th quarter;205.0;
3036;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2015;205.0;
3037;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2016 1st quarter;217.0;
3038;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2016 2nd quarter;274.0;
3039;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2016 3rd quarter;313.0;
3040;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2016 4th quarter;238.0;
3041;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2016;238.0;
3042;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2017 1st quarter;363.0;
3043;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2017 2nd quarter;334.0;
3044;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2017 3rd quarter;337.0;
3045;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2017 4th quarter;343.0;
3046;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2017;343.0;
3047;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2018 1st quarter;328.0;
3048;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2018 2nd quarter;352.0;
3049;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2018 3rd quarter;335.0;
3050;General government;AF22 Transferable deposits;The non-financial corporations sector;Face value;2018 4th quarter;322.0;
