ID;SexOfEmployee;TypeOfEmploymentContract;CaoSector;SizeOfCompany;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
739;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2011;21;21;22.84;3218;3209;44980;38620;6360;50;36.7;36.6;1686;1686
740;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2012;19;19;23.62;3306;3298;46470;39670;6790;50;36.8;36.7;1676;1675
741;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2013;20;20;23.01;3200;3190;45030;38400;6630;50;36.7;36.5;1663;1663
742;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2014;21;21;24.13;3370;3363;47220;40440;6780;50;36.6;36.6;1672;1672
743;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2015;19;19;24.98;3476;3466;48630;41710;6920;50;36.7;36.6;1665;1665
744;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2016;17;17;25.36;3552;3544;50080;42620;7460;30;36.8;36.7;1677;1677
745;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2017;18;18;25.97;3544;3537;50020;42530;7480;30;36.0;36.0;1635;1635
746;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2018;17;17;26.61;3613;3607;51210;43360;7850;30;36.0;36.0;1626;1626
747;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2019;15;15;27.06;3683;3676;51140;44190;6960;30;36.0;35.9;1630;1630
748;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2020;14;14;28.47;3842;3837;54730;46110;8620;20;35.9;35.9;1617;1617
749;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2021;14;14;28.99;3948;3942;54920;47380;7550;20;35.9;35.9;1632;1632
750;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2022;14;14;30.55;4136;4130;58940;49630;9310;30;35.7;35.7;1622;1622
751;Total;Type of employment contract: full-time;Cao-sector: government;10 to 99 employed persons;2023;11;11;33.07;4589;4580;64810;55060;9740;40;36.8;36.7;1662;1662
752;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2009;548;548;23.82;3368;3348;47260;40420;6840;30;37.1;36.9;1686;1686
753;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2010 before change of method;543;543;24.2;3402;3384;48100;40830;7280;30;37.0;36.8;1678;1678
754;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2010 after change of method;550;550;24.16;3399;3380;48050;40790;7270;30;37.0;36.8;1679;1679
755;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2011;522;522;24.23;3432;3418;48470;41190;7290;30;36.9;36.8;1693;1693
756;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2012;509;509;24.89;3498;3483;49530;41970;7560;30;37.0;36.8;1679;1679
757;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2013;503;503;25.18;3520;3504;50060;42240;7820;30;37.0;36.8;1670;1670
758;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2014;504;504;25.29;3543;3530;50150;42510;7640;20;36.9;36.8;1675;1675
759;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2015;501;501;26.17;3645;3634;51590;43740;7850;20;37.0;36.8;1666;1666
760;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2016;500;500;26.76;3756;3746;53210;45070;8140;20;37.1;37.0;1680;1680
761;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2017;484;484;26.44;3798;3787;53960;45580;8380;20;37.5;37.4;1719;1719
762;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2018;484;484;27.2;3891;3879;54920;46690;8230;20;37.5;37.4;1711;1711
763;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2019;493;493;27.59;3976;3964;56460;47710;8760;20;37.6;37.5;1724;1724
764;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2020;494;494;28.83;4139;4129;59030;49670;9360;20;37.6;37.5;1718;1718
765;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2021;515;515;29.17;4223;4212;59650;50680;8970;20;37.6;37.5;1733;1733
766;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2022;528;528;30.2;4370;4358;62960;52440;10520;20;37.6;37.5;1732;1732
767;Total;Type of employment contract: full-time;Cao-sector: government;100 or more employed persons;2023;542;542;32.67;4670;4658;66450;56040;10410;20;37.7;37.6;1711;1711
768;Sex: Male;Total;Total;Total employed persons;2009;4190;3577;21.67;2777;2727;38340;33320;5010;840;33.6;33.0;1510;1769
769;Sex: Male;Total;Total;Total employed persons;2010 before change of method;4121;3521;21.97;2806;2754;38780;33680;5100;810;33.6;32.9;1504;1760
770;Sex: Male;Total;Total;Total employed persons;2010 after change of method;4175;3558;22.01;2806;2754;38810;33670;5140;820;33.5;32.9;1501;1762
771;Sex: Male;Total;Total;Total employed persons;2011;4197;3548;22.22;2831;2778;39250;33970;5280;780;33.2;32.6;1500;1775
772;Sex: Male;Total;Total;Total employed persons;2012;4144;3493;22.75;2870;2818;39680;34440;5240;790;33.2;32.5;1487;1764
773;Sex: Male;Total;Total;Total employed persons;2013;4063;3425;22.99;2904;2852;40490;34850;5640;760;33.3;32.7;1489;1766
774;Sex: Male;Total;Total;Total employed persons;2014;4043;3401;23.05;2921;2869;40510;35050;5460;710;33.3;32.7;1494;1776
775;Sex: Male;Total;Total;Total employed persons;2015;4092;3434;23.57;2967;2914;41140;35600;5540;640;33.2;32.6;1483;1768
776;Sex: Male;Total;Total;Total employed persons;2016;4152;3491;23.58;2990;2937;41560;35880;5680;620;33.3;32.7;1494;1777
777;Sex: Male;Total;Total;Total employed persons;2017;4255;3573;23.65;3007;2952;41830;36080;5750;640;33.3;32.7;1498;1784
778;Sex: Male;Total;Total;Total employed persons;2018;4366;3666;24.11;3053;2998;42380;36640;5740;680;33.3;32.7;1493;1778
779;Sex: Male;Total;Total;Total employed persons;2019;4442;3726;24.57;3123;3070;43410;37470;5930;710;33.3;32.7;1499;1787
780;Sex: Male;Total;Total;Total employed persons;2020;4362;3686;25.5;3251;3202;45120;39010;6120;750;33.5;33.0;1507;1783
781;Sex: Male;Total;Total;Total employed persons;2021;4428;3744;25.86;3320;3268;46420;39840;6580;760;33.5;33.0;1517;1794
782;Sex: Male;Total;Total;Total employed persons;2022;4573;3842;26.74;3409;3359;48000;40910;7090;780;33.3;32.8;1507;1794
783;Sex: Male;Total;Total;Total employed persons;2023;4624;3882;28.57;3616;3566;50570;43390;7180;840;33.2;32.7;1498;1784
784;Sex: Male;Total;Total;0 to 9 employed persons;2009;666;528;21.6;2576;2554;33560;30910;2650;1360;31.2;30.9;1419;1790
785;Sex: Male;Total;Total;0 to 9 employed persons;2010 before change of method;655;515;21.76;2566;2540;33480;30790;2690;1230;30.9;30.6;1400;1780
786;Sex: Male;Total;Total;0 to 9 employed persons;2010 after change of method;685;539;21.99;2598;2573;33880;31180;2690;1290;31.0;30.6;1404;1785
787;Sex: Male;Total;Total;0 to 9 employed persons;2011;662;515;22.37;2628;2605;34300;31540;2770;1230;30.5;30.3;1398;1796
788;Sex: Male;Total;Total;0 to 9 employed persons;2012;653;505;22.86;2652;2630;34450;31820;2630;1220;30.4;30.2;1381;1785
789;Sex: Male;Total;Total;0 to 9 employed persons;2013;641;496;23.06;2675;2654;35200;32100;3110;1170;30.5;30.3;1381;1787
790;Sex: Male;Total;Total;0 to 9 employed persons;2014;648;496;22.97;2661;2640;34760;31930;2830;1060;30.4;30.1;1379;1800
791;Sex: Male;Total;Total;0 to 9 employed persons;2015;650;499;23.41;2706;2686;35290;32470;2820;1000;30.4;30.2;1377;1795
792;Sex: Male;Total;Total;0 to 9 employed persons;2016;665;510;23.44;2730;2709;35570;32760;2810;990;30.5;30.2;1387;1807
793;Sex: Male;Total;Total;0 to 9 employed persons;2017;679;523;23.83;2772;2750;36370;33270;3100;1020;30.5;30.2;1385;1801
794;Sex: Male;Total;Total;0 to 9 employed persons;2018;685;527;24.39;2831;2809;36880;33980;2900;1080;30.5;30.3;1382;1797
795;Sex: Male;Total;Total;0 to 9 employed persons;2019;693;532;24.91;2900;2879;37750;34800;2950;1150;30.5;30.3;1387;1807
796;Sex: Male;Total;Total;0 to 9 employed persons;2020;676;523;25.45;2984;2964;38930;35800;3120;1210;30.8;30.6;1397;1806
797;Sex: Male;Total;Total;0 to 9 employed persons;2021;709;548;25.78;3039;3018;39810;36470;3340;1200;30.8;30.5;1405;1816
798;Sex: Male;Total;Total;0 to 9 employed persons;2022;726;559;26.9;3154;3135;41280;37850;3420;1270;30.6;30.4;1399;1815
799;Sex: Male;Total;Total;0 to 9 employed persons;2023;732;563;28.59;3328;3309;43310;39940;3370;1380;30.5;30.3;1389;1808
800;Sex: Male;Total;Total;10 to 99 employed persons;2009;1200;1023;19.64;2580;2506;35050;30960;4090;930;34.3;33.4;1531;1797
801;Sex: Male;Total;Total;10 to 99 employed persons;2010 before change of method;1135;972;20.06;2640;2562;35870;31680;4180;930;34.5;33.5;1532;1788
802;Sex: Male;Total;Total;10 to 99 employed persons;2010 after change of method;1143;978;20.09;2641;2563;35920;31690;4230;940;34.4;33.4;1531;1789
803;Sex: Male;Total;Total;10 to 99 employed persons;2011;1171;995;20.21;2660;2581;36170;31920;4250;880;34.2;33.2;1532;1803
804;Sex: Male;Total;Total;10 to 99 employed persons;2012;1138;965;20.72;2701;2624;36680;32410;4270;900;34.2;33.2;1520;1791
805;Sex: Male;Total;Total;10 to 99 employed persons;2013;1097;933;20.89;2732;2654;37170;32780;4390;870;34.4;33.5;1525;1794
806;Sex: Male;Total;Total;10 to 99 employed persons;2014;1089;924;20.92;2745;2667;37360;32940;4410;810;34.3;33.4;1530;1803
807;Sex: Male;Total;Total;10 to 99 employed persons;2015;1100;933;21.28;2779;2698;37880;33350;4530;740;34.3;33.4;1522;1794
808;Sex: Male;Total;Total;10 to 99 employed persons;2016;1115;946;21.32;2799;2718;38200;33590;4610;720;34.3;33.4;1530;1803
809;Sex: Male;Total;Total;10 to 99 employed persons;2017;1147;976;21.59;2840;2758;38780;34080;4700;740;34.4;33.5;1533;1802
810;Sex: Male;Total;Total;10 to 99 employed persons;2018;1176;1001;22.0;2881;2800;39440;34570;4870;770;34.4;33.5;1528;1796
811;Sex: Male;Total;Total;10 to 99 employed persons;2019;1193;1012;22.5;2949;2873;40320;35390;4930;820;34.3;33.5;1533;1806
812;Sex: Male;Total;Total;10 to 99 employed persons;2020;1170;1000;23.23;3050;2981;41670;36600;5080;870;34.5;33.7;1540;1801
813;Sex: Male;Total;Total;10 to 99 employed persons;2021;1182;1012;23.58;3125;3051;43110;37500;5620;890;34.5;33.8;1553;1814
814;Sex: Male;Total;Total;10 to 99 employed persons;2022;1233;1041;24.47;3190;3118;44180;38280;5910;880;34.0;33.3;1529;1813
815;Sex: Male;Total;Total;10 to 99 employed persons;2023;1218;1024;26.09;3368;3296;46420;40410;6000;940;33.8;33.1;1516;1803
816;Sex: Male;Total;Total;100 or more employed persons;2009;2324;2027;22.74;2936;2891;41400;35240;6160;640;33.9;33.4;1526;1750
817;Sex: Male;Total;Total;100 or more employed persons;2010 before change of method;2332;2034;22.96;2955;2908;41680;35460;6230;620;33.9;33.3;1520;1742
818;Sex: Male;Total;Total;100 or more employed persons;2010 after change of method;2347;2041;22.96;2946;2900;41660;35350;6300;620;33.8;33.2;1516;1743
819;Sex: Male;Total;Total;100 or more employed persons;2011;2364;2038;23.19;2972;2924;42170;35670;6500;590;33.5;32.9;1513;1756
820;Sex: Male;Total;Total;100 or more employed persons;2012;2354;2022;23.72;3012;2964;42580;36140;6440;620;33.4;32.9;1500;1745
821;Sex: Male;Total;Total;100 or more employed persons;2013;2325;1997;23.98;3049;3000;43520;36580;6930;600;33.6;33.0;1502;1748
822;Sex: Male;Total;Total;100 or more employed persons;2014;2306;1980;24.09;3077;3029;43610;36920;6690;560;33.6;33.0;1508;1757
823;Sex: Male;Total;Total;100 or more employed persons;2015;2342;2002;24.71;3128;3079;44300;37530;6770;490;33.5;32.9;1495;1748
824;Sex: Male;Total;Total;100 or more employed persons;2016;2372;2035;24.7;3152;3103;44820;37830;6990;480;33.6;33.0;1507;1757
825;Sex: Male;Total;Total;100 or more employed persons;2017;2429;2074;24.6;3151;3100;44800;37810;6990;490;33.6;33.0;1512;1771
826;Sex: Male;Total;Total;100 or more employed persons;2018;2505;2139;25.04;3195;3143;45270;38340;6930;520;33.6;33.0;1506;1764
827;Sex: Male;Total;Total;100 or more employed persons;2019;2556;2182;25.47;3264;3213;46380;39170;7210;540;33.6;33.1;1514;1773
828;Sex: Male;Total;Total;100 or more employed persons;2020;2516;2162;26.59;3416;3369;48400;40990;7400;570;33.8;33.3;1521;1769
829;Sex: Male;Total;Total;100 or more employed persons;2021;2537;2184;26.96;3489;3439;49800;41860;7940;570;33.8;33.3;1531;1779
830;Sex: Male;Total;Total;100 or more employed persons;2022;2614;2242;27.78;3584;3535;51670;43000;8670;590;33.7;33.2;1527;1780
831;Sex: Male;Total;Total;100 or more employed persons;2023;2674;2296;29.69;3808;3759;54450;45700;8750;640;33.7;33.3;1519;1770
832;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2009;3377;2843;21.28;2734;2677;37630;32810;4820;1020;33.6;33.0;1510;1793
833;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2010 before change of method;3307;2788;21.54;2762;2701;38020;33140;4870;990;33.7;32.9;1505;1785
834;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2010 after change of method;3347;2816;21.6;2766;2706;38120;33200;4930;1000;33.6;32.9;1504;1787
835;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2011;3376;2819;21.85;2796;2735;38650;33560;5100;950;33.3;32.6;1502;1799
836;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2012;3340;2780;22.36;2834;2774;39030;34010;5020;960;33.3;32.5;1488;1788
837;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2013;3273;2723;22.6;2869;2808;39880;34430;5450;930;33.5;32.7;1491;1793
838;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2014;3264;2708;22.7;2891;2830;39950;34690;5260;860;33.4;32.7;1496;1802
839;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2015;3320;2750;23.15;2929;2866;40500;35140;5350;770;33.3;32.6;1486;1794
840;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2016;3388;2815;23.09;2942;2880;40770;35310;5460;750;33.4;32.7;1497;1802
841;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2017;3493;2902;23.19;2957;2893;41010;35480;5520;770;33.4;32.7;1497;1802
842;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2018;3600;2994;23.63;3005;2940;41610;36060;5550;800;33.5;32.7;1493;1795
843;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2019;3666;3049;24.11;3077;3015;42630;36920;5700;850;33.4;32.8;1501;1804
844;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2020;3587;3013;25.01;3208;3152;44340;38490;5850;890;33.7;33.1;1512;1800
845;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2021;3641;3061;25.36;3277;3217;45760;39330;6430;900;33.7;33.1;1522;1811
846;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2022;3774;3152;26.26;3368;3310;47290;40420;6870;920;33.5;32.9;1512;1811
847;Sex: Male;Total;Cao-sector: private companies;Total employed persons;2023;3812;3181;28.03;3571;3512;49820;42850;6980;990;33.4;32.8;1503;1802
