ID;Sex;Age;EthnicBackground;LevelOfEducation;FieldOfEducation;Periods;TotalPopulationAged15To65Years_1;LabourForce_2;EmployedLabourForceAged15To65Year_3;UnemployedLabourForce_4;PersonsNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;PercentageUnemployed_8
2784;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;5;2001;224.0;204.0;200.0;4.0;21.0;90.9;89.1;1.9
2785;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;5;2002;245.0;224.0;218.0;6.0;20.0;91.6;89.1;2.7
2786;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;5;2003;264.0;241.0;234.0;8.0;22.0;91.5;88.5;3.3
2787;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;5;2004;282.0;254.0;246.0;8.0;28.0;90.0;87.2;3.1
2788;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;5;2005;294.0;262.0;253.0;8.0;32.0;89.2;86.4;3.2
2789;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;5;2006;317.0;281.0;274.0;8.0;36.0;88.8;86.3;2.7
2790;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;5;2007;330.0;295.0;288.0;7.0;35.0;89.4;87.2;2.5
2791;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;5;2008;345.0;314.0;307.0;6.0;31.0;90.9;89.1;2.0
2792;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;5;2009;350.0;317.0;307.0;10.0;33.0;90.6;87.7;3.3
2793;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;5;2010;353.0;323.0;310.0;13.0;31.0;91.3;87.7;4.0
2794;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;5;2011;358.0;326.0;314.0;11.0;33.0;90.8;87.7;3.5
2795;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;5;2012;;;;;;;;
2796;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;6;2001;23.0;21.0;20.0;;2.0;91.3;89.3;
2797;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;6;2002;22.0;19.0;19.0;;2.0;89.2;86.7;
2798;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;6;2003;24.0;21.0;21.0;;3.0;89.2;88.6;
2799;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;6;2004;31.0;27.0;27.0;;3.0;88.6;87.1;
2800;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;6;2005;41.0;35.0;33.0;;6.0;85.0;81.9;
2801;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;6;2006;44.0;37.0;36.0;;6.0;85.8;83.0;
2802;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;6;2007;43.0;37.0;37.0;;5.0;87.2;86.1;
2803;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;6;2008;43.0;37.0;36.0;;6.0;86.3;84.6;
2804;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;6;2009;45.0;38.0;37.0;;7.0;84.5;82.1;
2805;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;6;2010;51.0;44.0;43.0;;7.0;86.3;83.6;
2806;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;6;2011;50.0;43.0;41.0;2.0;7.0;85.2;81.8;4.0
2807;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;6;2012;;;;;;;;
2808;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;7;2001;64.0;52.0;51.0;;12.0;81.2;79.3;
2809;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;7;2002;61.0;50.0;49.0;;11.0;82.3;80.2;
2810;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;7;2003;62.0;52.0;50.0;2.0;10.0;84.2;80.6;4.2
2811;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;7;2004;65.0;53.0;51.0;2.0;12.0;81.1;77.9;3.9
2812;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;7;2005;73.0;57.0;55.0;3.0;15.0;79.1;75.4;4.7
2813;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;7;2006;77.0;63.0;62.0;;14.0;81.9;80.0;
2814;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;7;2007;68.0;57.0;56.0;;11.0;84.3;82.4;
2815;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;7;2008;75.0;66.0;65.0;;10.0;87.4;86.5;
2816;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;7;2009;75.0;66.0;65.0;;9.0;87.9;86.7;
2817;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;7;2010;76.0;66.0;64.0;2.0;10.0;87.2;84.3;3.2
2818;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;7;2011;76.0;65.0;63.0;2.0;12.0;84.6;82.3;2.7
2819;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;7;2012;;;;;;;;
2820;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;8;2001;158.0;139.0;136.0;2.0;19.0;88.1;86.6;1.8
2821;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;8;2002;171.0;151.0;146.0;5.0;20.0;88.5;85.8;3.0
2822;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;8;2003;177.0;154.0;148.0;7.0;23.0;87.2;83.4;4.4
2823;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;8;2004;183.0;160.0;153.0;7.0;23.0;87.5;83.9;4.1
2824;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;8;2005;172.0;151.0;147.0;4.0;21.0;87.6;85.3;2.7
2825;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;8;2006;176.0;154.0;150.0;4.0;22.0;87.4;85.3;2.5
2826;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;8;2007;178.0;158.0;156.0;3.0;20.0;88.9;87.4;1.7
2827;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;8;2008;187.0;167.0;165.0;2.0;20.0;89.2;88.3;1.1
2828;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;8;2009;191.0;170.0;167.0;3.0;21.0;89.1;87.6;1.7
2829;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;8;2010;190.0;169.0;165.0;4.0;21.0;89.0;86.8;2.6
2830;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;8;2011;187.0;167.0;163.0;4.0;20.0;89.4;87.2;2.4
2831;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;8;2012;;;;;;;;
2832;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;9;2001;30.0;28.0;28.0;;2.0;93.4;91.6;
2833;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;9;2002;30.0;28.0;27.0;;2.0;93.7;91.2;
2834;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;9;2003;33.0;30.0;29.0;;3.0;92.1;88.9;
2835;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;9;2004;38.0;35.0;33.0;2.0;3.0;91.0;86.7;4.7
2836;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;9;2005;34.0;31.0;30.0;;3.0;92.0;88.4;
2837;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;9;2006;31.0;28.0;28.0;;3.0;91.4;90.4;
2838;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;9;2007;38.0;34.0;34.0;;4.0;90.1;89.2;
2839;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;9;2008;35.0;33.0;32.0;;2.0;93.4;91.9;
2840;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;9;2009;35.0;33.0;32.0;;2.0;94.6;93.0;
2841;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;9;2010;38.0;35.0;34.0;;2.0;93.4;90.9;
2842;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;9;2011;36.0;33.0;32.0;;3.0;92.7;91.0;
2843;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;9;2012;;;;;;;;
2844;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Health and welfare;2001;256.0;210.0;203.0;6.0;46.0;82.0;79.5;3.0
2845;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Health and welfare;2002;260.0;214.0;208.0;6.0;46.0;82.3;80.0;2.8
2846;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Health and welfare;2003;270.0;222.0;216.0;6.0;47.0;82.5;80.2;2.7
2847;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Health and welfare;2004;302.0;252.0;241.0;10.0;51.0;83.3;79.8;4.2
2848;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Health and welfare;2005;291.0;245.0;236.0;9.0;46.0;84.1;81.0;3.6
2849;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Health and welfare;2006;292.0;244.0;237.0;7.0;47.0;83.8;81.3;2.9
2850;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Health and welfare;2007;293.0;251.0;245.0;6.0;42.0;85.5;83.4;2.5
2851;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Health and welfare;2008;303.0;261.0;255.0;7.0;42.0;86.2;84.0;2.5
2852;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Health and welfare;2009;332.0;285.0;279.0;6.0;47.0;85.8;84.0;2.1
2853;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Health and welfare;2010;346.0;298.0;291.0;7.0;48.0;86.1;84.1;2.3
2854;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Health and welfare;2011;340.0;291.0;283.0;8.0;50.0;85.4;83.2;2.6
2855;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Health and welfare;2012;;;;;;;;
2856;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Personal, transport services, logistics;2001;46.0;39.0;39.0;;7.0;85.4;84.2;
2857;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Personal, transport services, logistics;2002;49.0;42.0;41.0;;8.0;84.6;82.0;
2858;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Personal, transport services, logistics;2003;57.0;48.0;45.0;2.0;9.0;84.4;80.3;4.8
2859;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Personal, transport services, logistics;2004;74.0;65.0;62.0;3.0;9.0;88.0;83.7;4.9
2860;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Personal, transport services, logistics;2005;89.0;79.0;75.0;4.0;10.0;88.6;84.5;4.7
2861;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Personal, transport services, logistics;2006;73.0;65.0;63.0;2.0;8.0;88.5;85.9;2.9
2862;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Personal, transport services, logistics;2007;70.0;63.0;61.0;2.0;7.0;89.8;87.5;2.5
2863;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Personal, transport services, logistics;2008;75.0;68.0;66.0;;7.0;90.3;88.4;
2864;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Personal, transport services, logistics;2009;78.0;71.0;69.0;3.0;7.0;90.9;87.7;3.5
2865;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Personal, transport services, logistics;2010;87.0;79.0;76.0;3.0;8.0;90.5;86.9;3.9
2866;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Personal, transport services, logistics;2011;84.0;76.0;74.0;2.0;8.0;90.9;88.0;3.1
2867;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Personal, transport services, logistics;2012;;;;;;;;
2868;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Unknown field of education;2001;;;;;;;;
2869;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Unknown field of education;2002;;;;;;;;
2870;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Unknown field of education;2003;;;;;;;;
2871;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Unknown field of education;2004;;;;;;;;
2872;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Unknown field of education;2005;;;;;;;;
2873;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Unknown field of education;2006;;;;;;;;
2874;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Unknown field of education;2007;;;;;;;;
2875;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Unknown field of education;2008;;;;;;;;
2876;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Unknown field of education;2009;;;;;;;;
2877;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Unknown field of education;2010;;;;;;;;
2878;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Unknown field of education;2011;;;;;;;;
2879;Total men and women;Total aged 15 to 65 years;Native Dutch background;Hbo, wo bachelor;Unknown field of education;2012;;;;;;;;
2880;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;1;2001;593.0;530.0;517.0;13.0;63.0;89.3;87.1;2.5
2881;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;1;2002;612.0;545.0;527.0;18.0;67.0;89.1;86.1;3.4
2882;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;1;2003;656.0;584.0;565.0;20.0;71.0;89.1;86.1;3.4
2883;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;1;2004;717.0;634.0;609.0;25.0;83.0;88.4;84.9;4.0
2884;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;1;2005;752.0;663.0;638.0;25.0;89.0;88.2;84.9;3.7
2885;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;1;2006;766.0;677.0;656.0;21.0;88.0;88.5;85.7;3.1
2886;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;1;2007;776.0;691.0;674.0;17.0;85.0;89.1;86.8;2.5
2887;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;1;2008;794.0;711.0;693.0;19.0;83.0;89.6;87.2;2.6
2888;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;1;2009;798.0;719.0;699.0;20.0;78.0;90.2;87.7;2.8
2889;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;1;2010;822.0;745.0;723.0;22.0;77.0;90.7;88.0;3.0
2890;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;1;2011;779.0;708.0;686.0;21.0;72.0;90.8;88.1;3.0
2891;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;1;2012;802.0;734.0;708.0;26.0;67.0;91.6;88.3;3.5
2892;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;2;2001;;;;;;;;
2893;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;2;2002;;;;;;;;
2894;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;2;2003;;;;;;;;
2895;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;2;2004;;;;;;;;
2896;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;2;2005;;;;;;;;
2897;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;2;2006;;;;;;;;
2898;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;2;2007;;;;;;;;
2899;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;2;2008;;;;;;;;
2900;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;2;2009;;;;;;;;
2901;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;2;2010;;;;;;;;
2902;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;2;2011;;;;;;;;
2903;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;2;2012;;;;;;;;
2904;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;3;2001;23.0;19.0;19.0;;4.0;82.6;81.7;
2905;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;3;2002;24.0;20.0;19.0;;5.0;80.0;78.5;
2906;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;3;2003;23.0;17.0;17.0;;5.0;76.0;74.8;
2907;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;3;2004;26.0;20.0;19.0;;7.0;74.7;73.2;
2908;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;3;2005;29.0;24.0;23.0;;5.0;82.5;78.1;
2909;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;3;2006;30.0;25.0;24.0;;4.0;85.7;82.1;
2910;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;3;2007;30.0;26.0;25.0;;4.0;86.0;84.3;
2911;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;3;2008;28.0;25.0;25.0;;3.0;89.0;87.3;
2912;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;3;2009;27.0;24.0;24.0;;3.0;90.1;87.7;
2913;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;3;2010;26.0;22.0;21.0;;4.0;85.6;80.7;
2914;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;3;2011;23.0;20.0;20.0;;3.0;88.3;86.7;
2915;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;3;2012;;;;;;;;
2916;Total men and women;Total aged 15 to 65 years;Native Dutch background;WO masters, doctor;4;2001;179.0;154.0;149.0;6.0;24.0;86.4;83.1;3.9
