ID;Functions;Financing;Periods;HealthAndSocialCareExpenditure_1
1174;Education, R&D, other services;HF23: Enterprise financing schemes;2022;166.0
1175;Education, R&D, other services;HF3: Household out-of-pocket payments;1998;55.0
1176;Education, R&D, other services;HF3: Household out-of-pocket payments;1999;58.0
1177;Education, R&D, other services;HF3: Household out-of-pocket payments;2000;62.0
1178;Education, R&D, other services;HF3: Household out-of-pocket payments;2001;67.0
1179;Education, R&D, other services;HF3: Household out-of-pocket payments;2002;79.0
1180;Education, R&D, other services;HF3: Household out-of-pocket payments;2003;86.0
1181;Education, R&D, other services;HF3: Household out-of-pocket payments;2004;88.0
1182;Education, R&D, other services;HF3: Household out-of-pocket payments;2005;87.0
1183;Education, R&D, other services;HF3: Household out-of-pocket payments;2006;95.0
1184;Education, R&D, other services;HF3: Household out-of-pocket payments;2007;102.0
1185;Education, R&D, other services;HF3: Household out-of-pocket payments;2008;75.0
1186;Education, R&D, other services;HF3: Household out-of-pocket payments;2009;96.0
1187;Education, R&D, other services;HF3: Household out-of-pocket payments;2010;107.0
1188;Education, R&D, other services;HF3: Household out-of-pocket payments;2011;119.0
1189;Education, R&D, other services;HF3: Household out-of-pocket payments;2012;136.0
1190;Education, R&D, other services;HF3: Household out-of-pocket payments;2013;119.0
1191;Education, R&D, other services;HF3: Household out-of-pocket payments;2014;125.0
1192;Education, R&D, other services;HF3: Household out-of-pocket payments;2015;124.0
1193;Education, R&D, other services;HF3: Household out-of-pocket payments;2016;133.0
1194;Education, R&D, other services;HF3: Household out-of-pocket payments;2017;137.0
1195;Education, R&D, other services;HF3: Household out-of-pocket payments;2018;144.0
1196;Education, R&D, other services;HF3: Household out-of-pocket payments;2019;148.0
1197;Education, R&D, other services;HF3: Household out-of-pocket payments;2020;154.0
1198;Education, R&D, other services;HF3: Household out-of-pocket payments;2021;162.0
1199;Education, R&D, other services;HF3: Household out-of-pocket payments;2022;161.0
1200;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;1998;54.0
1201;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;1999;58.0
1202;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2000;62.0
1203;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2001;67.0
1204;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2002;79.0
1205;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2003;86.0
1206;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2004;88.0
1207;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2005;87.0
1208;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2006;94.0
1209;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2007;101.0
1210;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2008;75.0
1211;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2009;96.0
1212;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2010;107.0
1213;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2011;119.0
1214;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2012;136.0
1215;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2013;119.0
1216;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2014;125.0
1217;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2015;125.0
1218;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2016;133.0
1219;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2017;136.0
1220;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2018;143.0
1221;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2019;148.0
1222;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2020;154.0
1223;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2021;162.0
1224;Education, R&D, other services;HF31: Out-of-pocket excl cost sharing;2022;161.0
1225;Education, R&D, other services;HF32: Cost sharing;1998;0.0
1226;Education, R&D, other services;HF32: Cost sharing;1999;0.0
1227;Education, R&D, other services;HF32: Cost sharing;2000;0.0
1228;Education, R&D, other services;HF32: Cost sharing;2001;0.0
1229;Education, R&D, other services;HF32: Cost sharing;2002;0.0
1230;Education, R&D, other services;HF32: Cost sharing;2003;0.0
1231;Education, R&D, other services;HF32: Cost sharing;2004;0.0
1232;Education, R&D, other services;HF32: Cost sharing;2005;0.0
1233;Education, R&D, other services;HF32: Cost sharing;2006;0.0
1234;Education, R&D, other services;HF32: Cost sharing;2007;0.0
1235;Education, R&D, other services;HF32: Cost sharing;2008;0.0
1236;Education, R&D, other services;HF32: Cost sharing;2009;0.0
1237;Education, R&D, other services;HF32: Cost sharing;2010;0.0
1238;Education, R&D, other services;HF32: Cost sharing;2011;0.0
1239;Education, R&D, other services;HF32: Cost sharing;2012;0.0
1240;Education, R&D, other services;HF32: Cost sharing;2013;0.0
1241;Education, R&D, other services;HF32: Cost sharing;2014;0.0
1242;Education, R&D, other services;HF32: Cost sharing;2015;0.0
1243;Education, R&D, other services;HF32: Cost sharing;2016;0.0
1244;Education, R&D, other services;HF32: Cost sharing;2017;0.0
1245;Education, R&D, other services;HF32: Cost sharing;2018;0.0
1246;Education, R&D, other services;HF32: Cost sharing;2019;0.0
1247;Education, R&D, other services;HF32: Cost sharing;2020;0.0
1248;Education, R&D, other services;HF32: Cost sharing;2021;0.0
1249;Education, R&D, other services;HF32: Cost sharing;2022;0.0
1250;Education, R&D, other services;"Rest of the world; exports";1998;23.0
1251;Education, R&D, other services;"Rest of the world; exports";1999;26.0
1252;Education, R&D, other services;"Rest of the world; exports";2000;27.0
1253;Education, R&D, other services;"Rest of the world; exports";2001;32.0
1254;Education, R&D, other services;"Rest of the world; exports";2002;38.0
1255;Education, R&D, other services;"Rest of the world; exports";2003;40.0
1256;Education, R&D, other services;"Rest of the world; exports";2004;43.0
1257;Education, R&D, other services;"Rest of the world; exports";2005;44.0
1258;Education, R&D, other services;"Rest of the world; exports";2006;45.0
1259;Education, R&D, other services;"Rest of the world; exports";2007;49.0
1260;Education, R&D, other services;"Rest of the world; exports";2008;54.0
1261;Education, R&D, other services;"Rest of the world; exports";2009;69.0
1262;Education, R&D, other services;"Rest of the world; exports";2010;77.0
1263;Education, R&D, other services;"Rest of the world; exports";2011;86.0
1264;Education, R&D, other services;"Rest of the world; exports";2012;100.0
1265;Education, R&D, other services;"Rest of the world; exports";2013;92.0
1266;Education, R&D, other services;"Rest of the world; exports";2014;82.0
1267;Education, R&D, other services;"Rest of the world; exports";2015;95.0
1268;Education, R&D, other services;"Rest of the world; exports";2016;94.0
1269;Education, R&D, other services;"Rest of the world; exports";2017;96.0
1270;Education, R&D, other services;"Rest of the world; exports";2018;101.0
1271;Education, R&D, other services;"Rest of the world; exports";2019;107.0
1272;Education, R&D, other services;"Rest of the world; exports";2020;112.0
1273;Education, R&D, other services;"Rest of the world; exports";2021;118.0
1274;Education, R&D, other services;"Rest of the world; exports";2022;117.0
1275;Health expenditure;Total financ schemes health,social care;1998;30836.0
1276;Health expenditure;Total financ schemes health,social care;1999;32921.0
1277;Health expenditure;Total financ schemes health,social care;2000;34937.0
1278;Health expenditure;Total financ schemes health,social care;2001;38941.0
1279;Health expenditure;Total financ schemes health,social care;2002;43471.0
1280;Health expenditure;Total financ schemes health,social care;2003;46561.0
1281;Health expenditure;Total financ schemes health,social care;2004;48341.0
1282;Health expenditure;Total financ schemes health,social care;2005;50240.0
1283;Health expenditure;Total financ schemes health,social care;2006;53199.0
1284;Health expenditure;Total financ schemes health,social care;2007;56169.0
1285;Health expenditure;Total financ schemes health,social care;2008;60150.0
1286;Health expenditure;Total financ schemes health,social care;2009;62553.0
1287;Health expenditure;Total financ schemes health,social care;2010;65024.0
1288;Health expenditure;Total financ schemes health,social care;2011;66673.0
1289;Health expenditure;Total financ schemes health,social care;2012;68930.0
1290;Health expenditure;Total financ schemes health,social care;2013;70014.0
1291;Health expenditure;Total financ schemes health,social care;2014;71078.0
1292;Health expenditure;Total financ schemes health,social care;2015;71349.0
1293;Health expenditure;Total financ schemes health,social care;2016;73032.0
1294;Health expenditure;Total financ schemes health,social care;2017;74729.0
1295;Health expenditure;Total financ schemes health,social care;2018;77670.0
1296;Health expenditure;Total financ schemes health,social care;2019;82570.0
1297;Health expenditure;Total financ schemes health,social care;2020;89514.0
1298;Health expenditure;Total financ schemes health,social care;2021;96956.0
1299;Health expenditure;Total financ schemes health,social care;2022;96956.0
1300;Health expenditure;Total financing of residents;1998;30737.0
1301;Health expenditure;Total financing of residents;1999;32822.0
1302;Health expenditure;Total financing of residents;2000;34836.0
1303;Health expenditure;Total financing of residents;2001;38837.0
1304;Health expenditure;Total financing of residents;2002;43344.0
1305;Health expenditure;Total financing of residents;2003;46443.0
1306;Health expenditure;Total financing of residents;2004;48222.0
1307;Health expenditure;Total financing of residents;2005;50112.0
1308;Health expenditure;Total financing of residents;2006;53080.0
1309;Health expenditure;Total financing of residents;2007;56053.0
1310;Health expenditure;Total financing of residents;2008;60038.0
1311;Health expenditure;Total financing of residents;2009;62440.0
1312;Health expenditure;Total financing of residents;2010;64910.0
1313;Health expenditure;Total financing of residents;2011;66555.0
1314;Health expenditure;Total financing of residents;2012;68816.0
1315;Health expenditure;Total financing of residents;2013;69901.0
1316;Health expenditure;Total financing of residents;2014;70964.0
1317;Health expenditure;Total financing of residents;2015;71236.0
1318;Health expenditure;Total financing of residents;2016;72918.0
1319;Health expenditure;Total financing of residents;2017;74614.0
1320;Health expenditure;Total financing of residents;2018;77553.0
1321;Health expenditure;Total financing of residents;2019;82447.0
1322;Health expenditure;Total financing of residents;2020;89402.0
1323;Health expenditure;Total financing of residents;2021;96852.0
1324;Health expenditure;Total financing of residents;2022;96820.0
1325;Health expenditure;HF1: Government, comp. contr. schemes;1998;21286.0
1326;Health expenditure;HF1: Government, comp. contr. schemes;1999;22501.0
1327;Health expenditure;HF1: Government, comp. contr. schemes;2000;24050.0
1328;Health expenditure;HF1: Government, comp. contr. schemes;2001;27043.0
1329;Health expenditure;HF1: Government, comp. contr. schemes;2002;30332.0
1330;Health expenditure;HF1: Government, comp. contr. schemes;2003;32586.0
1331;Health expenditure;HF1: Government, comp. contr. schemes;2004;33079.0
1332;Health expenditure;HF1: Government, comp. contr. schemes;2005;34288.0
1333;Health expenditure;HF1: Government, comp. contr. schemes;2006;44454.0
1334;Health expenditure;HF1: Government, comp. contr. schemes;2007;47126.0
