ID;Transactions;FunctionsOfGeneralGovernment;InstitutionalSectors;Periods;GovernmentExpenditureAndConsumption_1
1218;Total government expenditure;1.6 General public services n.e.c.;General government;1995;53.0
1219;Total government expenditure;1.6 General public services n.e.c.;General government;1996;60.0
1220;Total government expenditure;1.6 General public services n.e.c.;General government;1997;64.0
1221;Total government expenditure;1.6 General public services n.e.c.;General government;1998;68.0
1222;Total government expenditure;1.6 General public services n.e.c.;General government;1999;71.0
1223;Total government expenditure;1.6 General public services n.e.c.;General government;2000;78.0
1224;Total government expenditure;1.6 General public services n.e.c.;General government;2001;86.0
1225;Total government expenditure;1.6 General public services n.e.c.;General government;2002;97.0
1226;Total government expenditure;1.6 General public services n.e.c.;General government;2003;52.0
1227;Total government expenditure;1.6 General public services n.e.c.;General government;2004;53.0
1228;Total government expenditure;1.6 General public services n.e.c.;General government;2005;109.0
1229;Total government expenditure;1.6 General public services n.e.c.;General government;2006;173.0
1230;Total government expenditure;1.6 General public services n.e.c.;General government;2007;177.0
1231;Total government expenditure;1.6 General public services n.e.c.;General government;2008;172.0
1232;Total government expenditure;1.6 General public services n.e.c.;General government;2009;47.0
1233;Total government expenditure;1.6 General public services n.e.c.;General government;2010;52.0
1234;Total government expenditure;1.6 General public services n.e.c.;General government;2011;48.0
1235;Total government expenditure;1.6 General public services n.e.c.;General government;2012;55.0
1236;Total government expenditure;1.6 General public services n.e.c.;General government;2013;41.0
1237;Total government expenditure;1.6 General public services n.e.c.;General government;2014;27.0
1238;Total government expenditure;1.6 General public services n.e.c.;General government;2015;51.0
1239;Total government expenditure;1.6 General public services n.e.c.;General government;2016;52.0
1240;Total government expenditure;1.6 General public services n.e.c.;General government;2017;54.0
1241;Total government expenditure;1.6 General public services n.e.c.;General government;2018;53.0
1242;Total government expenditure;1.6 General public services n.e.c.;General government;2019;57.0
1243;Total government expenditure;1.6 General public services n.e.c.;General government;2020;58.0
1244;Total government expenditure;1.6 General public services n.e.c.;General government;2021;65.0
1245;Total government expenditure;1.6 General public services n.e.c.;General government;2022;71.0
1246;Total government expenditure;1.6 General public services n.e.c.;General government;2023;71.0
1247;Total government expenditure;1.6 General public services n.e.c.;Central government;1995;46.0
1248;Total government expenditure;1.6 General public services n.e.c.;Central government;1996;48.0
1249;Total government expenditure;1.6 General public services n.e.c.;Central government;1997;50.0
1250;Total government expenditure;1.6 General public services n.e.c.;Central government;1998;53.0
1251;Total government expenditure;1.6 General public services n.e.c.;Central government;1999;55.0
1252;Total government expenditure;1.6 General public services n.e.c.;Central government;2000;61.0
1253;Total government expenditure;1.6 General public services n.e.c.;Central government;2001;68.0
1254;Total government expenditure;1.6 General public services n.e.c.;Central government;2002;76.0
1255;Total government expenditure;1.6 General public services n.e.c.;Central government;2003;29.0
1256;Total government expenditure;1.6 General public services n.e.c.;Central government;2004;30.0
1257;Total government expenditure;1.6 General public services n.e.c.;Central government;2005;91.0
1258;Total government expenditure;1.6 General public services n.e.c.;Central government;2006;151.0
1259;Total government expenditure;1.6 General public services n.e.c.;Central government;2007;159.0
1260;Total government expenditure;1.6 General public services n.e.c.;Central government;2008;151.0
1261;Total government expenditure;1.6 General public services n.e.c.;Central government;2009;32.0
1262;Total government expenditure;1.6 General public services n.e.c.;Central government;2010;31.0
1263;Total government expenditure;1.6 General public services n.e.c.;Central government;2011;28.0
1264;Total government expenditure;1.6 General public services n.e.c.;Central government;2012;29.0
1265;Total government expenditure;1.6 General public services n.e.c.;Central government;2013;17.0
1266;Total government expenditure;1.6 General public services n.e.c.;Central government;2014;6.0
1267;Total government expenditure;1.6 General public services n.e.c.;Central government;2015;6.0
1268;Total government expenditure;1.6 General public services n.e.c.;Central government;2016;6.0
1269;Total government expenditure;1.6 General public services n.e.c.;Central government;2017;7.0
1270;Total government expenditure;1.6 General public services n.e.c.;Central government;2018;6.0
1271;Total government expenditure;1.6 General public services n.e.c.;Central government;2019;6.0
1272;Total government expenditure;1.6 General public services n.e.c.;Central government;2020;7.0
1273;Total government expenditure;1.6 General public services n.e.c.;Central government;2021;7.0
1274;Total government expenditure;1.6 General public services n.e.c.;Central government;2022;7.0
1275;Total government expenditure;1.6 General public services n.e.c.;Central government;2023;2.0
1276;Total government expenditure;1.6 General public services n.e.c.;The State;1995;30.0
1277;Total government expenditure;1.6 General public services n.e.c.;The State;1996;30.0
1278;Total government expenditure;1.6 General public services n.e.c.;The State;1997;30.0
1279;Total government expenditure;1.6 General public services n.e.c.;The State;1998;30.0
1280;Total government expenditure;1.6 General public services n.e.c.;The State;1999;30.0
1281;Total government expenditure;1.6 General public services n.e.c.;The State;2000;33.0
1282;Total government expenditure;1.6 General public services n.e.c.;The State;2001;38.0
1283;Total government expenditure;1.6 General public services n.e.c.;The State;2002;47.0
