ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1
2995;Total domestic and foreign;No international trade;300 Higher education;Nationality: Belgian;2011;4.0
2996;Total domestic and foreign;No international trade;300 Higher education;Nationality: Belgian;2012;4.0
2997;Total domestic and foreign;No international trade;300 Higher education;Nationality: Belgian;2013;3.0
2998;Total domestic and foreign;No international trade;300 Higher education;Nationality: Belgian;2014;3.0
2999;Total domestic and foreign;No international trade;300 Higher education;Nationality: Belgian;2015;
3000;Total domestic and foreign;No international trade;300 Higher education;Nationality: British;2008;4.0
3001;Total domestic and foreign;No international trade;300 Higher education;Nationality: British;2009;3.0
3002;Total domestic and foreign;No international trade;300 Higher education;Nationality: British;2010;3.0
3003;Total domestic and foreign;No international trade;300 Higher education;Nationality: British;2011;4.0
3004;Total domestic and foreign;No international trade;300 Higher education;Nationality: British;2012;3.0
3005;Total domestic and foreign;No international trade;300 Higher education;Nationality: British;2013;2.0
3006;Total domestic and foreign;No international trade;300 Higher education;Nationality: British;2014;3.0
3007;Total domestic and foreign;No international trade;300 Higher education;Nationality: British;2015;
3008;Total domestic and foreign;No international trade;300 Higher education;Nationality: German;2008;13.0
3009;Total domestic and foreign;No international trade;300 Higher education;Nationality: German;2009;11.0
3010;Total domestic and foreign;No international trade;300 Higher education;Nationality: German;2010;10.0
3011;Total domestic and foreign;No international trade;300 Higher education;Nationality: German;2011;9.0
3012;Total domestic and foreign;No international trade;300 Higher education;Nationality: German;2012;8.0
3013;Total domestic and foreign;No international trade;300 Higher education;Nationality: German;2013;6.0
3014;Total domestic and foreign;No international trade;300 Higher education;Nationality: German;2014;6.0
3015;Total domestic and foreign;No international trade;300 Higher education;Nationality: German;2015;
3016;Total domestic and foreign;No international trade;300 Higher education;Nationality: Polish;2008;19.0
3017;Total domestic and foreign;No international trade;300 Higher education;Nationality: Polish;2009;18.0
3018;Total domestic and foreign;No international trade;300 Higher education;Nationality: Polish;2010;13.0
3019;Total domestic and foreign;No international trade;300 Higher education;Nationality: Polish;2011;12.0
3020;Total domestic and foreign;No international trade;300 Higher education;Nationality: Polish;2012;13.0
3021;Total domestic and foreign;No international trade;300 Higher education;Nationality: Polish;2013;12.0
3022;Total domestic and foreign;No international trade;300 Higher education;Nationality: Polish;2014;14.0
3023;Total domestic and foreign;No international trade;300 Higher education;Nationality: Polish;2015;
3024;Total domestic and foreign;No international trade;300 Higher education;Nationality: Indian;2008;
3025;Total domestic and foreign;No international trade;300 Higher education;Nationality: Indian;2009;
3026;Total domestic and foreign;No international trade;300 Higher education;Nationality: Indian;2010;
3027;Total domestic and foreign;No international trade;300 Higher education;Nationality: Indian;2011;
3028;Total domestic and foreign;No international trade;300 Higher education;Nationality: Indian;2012;
3029;Total domestic and foreign;No international trade;300 Higher education;Nationality: Indian;2013;
3030;Total domestic and foreign;No international trade;300 Higher education;Nationality: Indian;2014;
3031;Total domestic and foreign;No international trade;300 Higher education;Nationality: Indian;2015;
3032;Total domestic and foreign;No international trade;300 Higher education;Nationality: other;2008;21.0
3033;Total domestic and foreign;No international trade;300 Higher education;Nationality: other;2009;20.0
3034;Total domestic and foreign;No international trade;300 Higher education;Nationality: other;2010;18.0
3035;Total domestic and foreign;No international trade;300 Higher education;Nationality: other;2011;20.0
3036;Total domestic and foreign;No international trade;300 Higher education;Nationality: other;2012;20.0
3037;Total domestic and foreign;No international trade;300 Higher education;Nationality: other;2013;18.0
3038;Total domestic and foreign;No international trade;300 Higher education;Nationality: other;2014;21.0
3039;Total domestic and foreign;No international trade;300 Higher education;Nationality: other;2015;
3040;Total domestic and foreign;Import;Total;Total ;2008;1153.0
3041;Total domestic and foreign;Import;Total;Total ;2009;1164.0
3042;Total domestic and foreign;Import;Total;Total ;2010;1213.0
3043;Total domestic and foreign;Import;Total;Total ;2011;1242.0
3044;Total domestic and foreign;Import;Total;Total ;2012;1185.0
3045;Total domestic and foreign;Import;Total;Total ;2013;2016.0
3046;Total domestic and foreign;Import;Total;Total ;2014;1505.0
3047;Total domestic and foreign;Import;Total;Total ;2015;1878.0
3048;Total domestic and foreign;Import;Total;Type of contract: specified time;2008;286.0
3049;Total domestic and foreign;Import;Total;Type of contract: specified time;2009;297.0
3050;Total domestic and foreign;Import;Total;Type of contract: specified time;2010;331.0
3051;Total domestic and foreign;Import;Total;Type of contract: specified time;2011;335.0
3052;Total domestic and foreign;Import;Total;Type of contract: specified time;2012;317.0
3053;Total domestic and foreign;Import;Total;Type of contract: specified time;2013;547.0
3054;Total domestic and foreign;Import;Total;Type of contract: specified time;2014;436.0
3055;Total domestic and foreign;Import;Total;Type of contract: specified time;2015;633.0
3056;Total domestic and foreign;Import;Total;Type of contract: unspecified time;2008;854.0
3057;Total domestic and foreign;Import;Total;Type of contract: unspecified time;2009;849.0
3058;Total domestic and foreign;Import;Total;Type of contract: unspecified time;2010;864.0
3059;Total domestic and foreign;Import;Total;Type of contract: unspecified time;2011;890.0
3060;Total domestic and foreign;Import;Total;Type of contract: unspecified time;2012;852.0
3061;Total domestic and foreign;Import;Total;Type of contract: unspecified time;2013;1442.0
3062;Total domestic and foreign;Import;Total;Type of contract: unspecified time;2014;1047.0
3063;Total domestic and foreign;Import;Total;Type of contract: unspecified time;2015;1222.0
3064;Total domestic and foreign;Import;Total;Type of contract: other;2008;13.0
3065;Total domestic and foreign;Import;Total;Type of contract: other;2009;13.0
3066;Total domestic and foreign;Import;Total;Type of contract: other;2010;16.0
3067;Total domestic and foreign;Import;Total;Type of contract: other;2011;18.0
3068;Total domestic and foreign;Import;Total;Type of contract: other;2012;17.0
3069;Total domestic and foreign;Import;Total;Type of contract: other;2013;27.0
3070;Total domestic and foreign;Import;Total;Type of contract: other;2014;22.0
3071;Total domestic and foreign;Import;Total;Type of contract: other;2015;23.0
3072;Total domestic and foreign;Import;Total;Sex: Male;2008;582.0
3073;Total domestic and foreign;Import;Total;Sex: Male;2009;575.0
3074;Total domestic and foreign;Import;Total;Sex: Male;2010;583.0
3075;Total domestic and foreign;Import;Total;Sex: Male;2011;586.0
3076;Total domestic and foreign;Import;Total;Sex: Male;2012;547.0
3077;Total domestic and foreign;Import;Total;Sex: Male;2013;930.0
3078;Total domestic and foreign;Import;Total;Sex: Male;2014;725.0
3079;Total domestic and foreign;Import;Total;Sex: Male;2015;908.0
3080;Total domestic and foreign;Import;Total;Sex: Female;2008;571.0
3081;Total domestic and foreign;Import;Total;Sex: Female;2009;589.0
3082;Total domestic and foreign;Import;Total;Sex: Female;2010;631.0
3083;Total domestic and foreign;Import;Total;Sex: Female;2011;656.0
3084;Total domestic and foreign;Import;Total;Sex: Female;2012;639.0
3085;Total domestic and foreign;Import;Total;Sex: Female;2013;1087.0
3086;Total domestic and foreign;Import;Total;Sex: Female;2014;780.0
3087;Total domestic and foreign;Import;Total;Sex: Female;2015;971.0
3088;Total domestic and foreign;Import;Total;Age: 15 to 34 years;2008;427.0
3089;Total domestic and foreign;Import;Total;Age: 15 to 34 years;2009;424.0
3090;Total domestic and foreign;Import;Total;Age: 15 to 34 years;2010;448.0
