ID;Functions;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
2166;HC13: Out-patient curative care;Total financing of residents;2014;15536.0
2167;HC13: Out-patient curative care;Total financing of residents;2015;16611.0
2168;HC13: Out-patient curative care;Total financing of residents;2016;17362.0
2169;HC13: Out-patient curative care;Total financing of residents;2017;17788.0
2170;HC13: Out-patient curative care;Total financing of residents;2018;18681.0
2171;HC13: Out-patient curative care;Total financing of residents;2019;19784.0
2172;HC13: Out-patient curative care;Total financing of residents;2020;20579.0
2173;HC13: Out-patient curative care;Total financing of residents;2021;21624.0
2174;HC13: Out-patient curative care;Total financing of residents;2022;22372.0
2175;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;1998;2821.0
2176;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;1999;3176.0
2177;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2000;3460.0
2178;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2001;4019.0
2179;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2002;4642.0
2180;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2003;5061.0
2181;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2004;5398.0
2182;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2005;5620.0
2183;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2006;8302.0
2184;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2007;8739.0
2185;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2008;9064.0
2186;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2009;9618.0
2187;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2010;10097.0
2188;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2011;10479.0
2189;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2012;10529.0
2190;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2013;11177.0
2191;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2014;11796.0
2192;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2015;12888.0
2193;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2016;13457.0
2194;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2017;13869.0
2195;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2018;14720.0
2196;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2019;15817.0
2197;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2020;17185.0
2198;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2021;17835.0
2199;HC13: Out-patient curative care;HF1: Government, comp. contr. schemes;2022;18466.0
2200;HC13: Out-patient curative care;HF11: Government schemes;1998;81.0
2201;HC13: Out-patient curative care;HF11: Government schemes;1999;87.0
2202;HC13: Out-patient curative care;HF11: Government schemes;2000;91.0
2203;HC13: Out-patient curative care;HF11: Government schemes;2001;106.0
2204;HC13: Out-patient curative care;HF11: Government schemes;2002;138.0
2205;HC13: Out-patient curative care;HF11: Government schemes;2003;142.0
2206;HC13: Out-patient curative care;HF11: Government schemes;2004;165.0
2207;HC13: Out-patient curative care;HF11: Government schemes;2005;183.0
2208;HC13: Out-patient curative care;HF11: Government schemes;2006;227.0
2209;HC13: Out-patient curative care;HF11: Government schemes;2007;240.0
2210;HC13: Out-patient curative care;HF11: Government schemes;2008;230.0
2211;HC13: Out-patient curative care;HF11: Government schemes;2009;240.0
2212;HC13: Out-patient curative care;HF11: Government schemes;2010;206.0
2213;HC13: Out-patient curative care;HF11: Government schemes;2011;171.0
2214;HC13: Out-patient curative care;HF11: Government schemes;2012;257.0
2215;HC13: Out-patient curative care;HF11: Government schemes;2013;189.0
2216;HC13: Out-patient curative care;HF11: Government schemes;2014;195.0
2217;HC13: Out-patient curative care;HF11: Government schemes;2015;766.0
2218;HC13: Out-patient curative care;HF11: Government schemes;2016;822.0
2219;HC13: Out-patient curative care;HF11: Government schemes;2017;805.0
2220;HC13: Out-patient curative care;HF11: Government schemes;2018;858.0
2221;HC13: Out-patient curative care;HF11: Government schemes;2019;908.0
2222;HC13: Out-patient curative care;HF11: Government schemes;2020;1188.0
2223;HC13: Out-patient curative care;HF11: Government schemes;2021;1059.0
2224;HC13: Out-patient curative care;HF11: Government schemes;2022;1082.0
2225;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;1998;2740.0
2226;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;1999;3088.0
2227;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2000;3370.0
2228;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2001;3913.0
2229;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2002;4504.0
2230;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2003;4919.0
2231;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2004;5233.0
2232;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2005;5437.0
2233;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2006;8075.0
2234;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2007;8499.0
2235;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2008;8835.0
2236;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2009;9378.0
2237;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2010;9892.0
2238;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2011;10309.0
2239;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2012;10272.0
2240;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2013;10988.0
2241;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2014;11602.0
2242;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2015;12122.0
2243;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2016;12635.0
2244;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2017;13064.0
2245;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2018;13862.0
2246;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2019;14909.0
2247;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2020;15997.0
2248;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2021;16776.0
2249;HC13: Out-patient curative care;HF12: Compulsory contributory schemes;2022;17385.0
2250;HC13: Out-patient curative care;HF121a: Long-term care insurance;1998;472.0
2251;HC13: Out-patient curative care;HF121a: Long-term care insurance;1999;505.0
2252;HC13: Out-patient curative care;HF121a: Long-term care insurance;2000;534.0
2253;HC13: Out-patient curative care;HF121a: Long-term care insurance;2001;577.0
2254;HC13: Out-patient curative care;HF121a: Long-term care insurance;2002;655.0
2255;HC13: Out-patient curative care;HF121a: Long-term care insurance;2003;721.0
2256;HC13: Out-patient curative care;HF121a: Long-term care insurance;2004;791.0
2257;HC13: Out-patient curative care;HF121a: Long-term care insurance;2005;850.0
2258;HC13: Out-patient curative care;HF121a: Long-term care insurance;2006;837.0
2259;HC13: Out-patient curative care;HF121a: Long-term care insurance;2007;947.0
2260;HC13: Out-patient curative care;HF121a: Long-term care insurance;2008;158.0
2261;HC13: Out-patient curative care;HF121a: Long-term care insurance;2009;66.0
2262;HC13: Out-patient curative care;HF121a: Long-term care insurance;2010;67.0
2263;HC13: Out-patient curative care;HF121a: Long-term care insurance;2011;19.0
2264;HC13: Out-patient curative care;HF121a: Long-term care insurance;2012;23.0
2265;HC13: Out-patient curative care;HF121a: Long-term care insurance;2013;25.0
2266;HC13: Out-patient curative care;HF121a: Long-term care insurance;2014;28.0
2267;HC13: Out-patient curative care;HF121a: Long-term care insurance;2015;31.0
2268;HC13: Out-patient curative care;HF121a: Long-term care insurance;2016;43.0
2269;HC13: Out-patient curative care;HF121a: Long-term care insurance;2017;54.0
2270;HC13: Out-patient curative care;HF121a: Long-term care insurance;2018;68.0
2271;HC13: Out-patient curative care;HF121a: Long-term care insurance;2019;76.0
2272;HC13: Out-patient curative care;HF121a: Long-term care insurance;2020;60.0
2273;HC13: Out-patient curative care;HF121a: Long-term care insurance;2021;95.0
2274;HC13: Out-patient curative care;HF121a: Long-term care insurance;2022;100.0
2275;HC13: Out-patient curative care;HF121b: Health Insurance Fund;1998;2268.0
2276;HC13: Out-patient curative care;HF121b: Health Insurance Fund;1999;2583.0
2277;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2000;2836.0
2278;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2001;3336.0
2279;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2002;3849.0
2280;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2003;4198.0
2281;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2004;4442.0
2282;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2005;4588.0
2283;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2006;0.0
2284;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2007;
2285;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2008;
2286;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2009;
2287;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2010;
2288;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2011;
2289;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2012;
2290;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2013;
2291;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2014;
2292;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2015;
2293;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2016;
2294;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2017;
2295;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2018;
2296;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2019;
2297;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2020;
2298;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2021;
2299;HC13: Out-patient curative care;HF121b: Health Insurance Fund;2022;
2300;HC13: Out-patient curative care;HF122: Compulsory private insurance;1998;
2301;HC13: Out-patient curative care;HF122: Compulsory private insurance;1999;
2302;HC13: Out-patient curative care;HF122: Compulsory private insurance;2000;
2303;HC13: Out-patient curative care;HF122: Compulsory private insurance;2001;
2304;HC13: Out-patient curative care;HF122: Compulsory private insurance;2002;
2305;HC13: Out-patient curative care;HF122: Compulsory private insurance;2003;
2306;HC13: Out-patient curative care;HF122: Compulsory private insurance;2004;
2307;HC13: Out-patient curative care;HF122: Compulsory private insurance;2005;
2308;HC13: Out-patient curative care;HF122: Compulsory private insurance;2006;7239.0
2309;HC13: Out-patient curative care;HF122: Compulsory private insurance;2007;7552.0
2310;HC13: Out-patient curative care;HF122: Compulsory private insurance;2008;8676.0
2311;HC13: Out-patient curative care;HF122: Compulsory private insurance;2009;9312.0
2312;HC13: Out-patient curative care;HF122: Compulsory private insurance;2010;9824.0
2313;HC13: Out-patient curative care;HF122: Compulsory private insurance;2011;10290.0
2314;HC13: Out-patient curative care;HF122: Compulsory private insurance;2012;10249.0
2315;HC13: Out-patient curative care;HF122: Compulsory private insurance;2013;10962.0
2316;HC13: Out-patient curative care;HF122: Compulsory private insurance;2014;11574.0
2317;HC13: Out-patient curative care;HF122: Compulsory private insurance;2015;12090.0
2318;HC13: Out-patient curative care;HF122: Compulsory private insurance;2016;12592.0
2319;HC13: Out-patient curative care;HF122: Compulsory private insurance;2017;13010.0
2320;HC13: Out-patient curative care;HF122: Compulsory private insurance;2018;13794.0
2321;HC13: Out-patient curative care;HF122: Compulsory private insurance;2019;14834.0
2322;HC13: Out-patient curative care;HF122: Compulsory private insurance;2020;15937.0
2323;HC13: Out-patient curative care;HF122: Compulsory private insurance;2021;16681.0
2324;HC13: Out-patient curative care;HF122: Compulsory private insurance;2022;17285.0
2325;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);1998;2159.0
2326;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);1999;2426.0
2327;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2000;2610.0
2328;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2001;2968.0
2329;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2002;3453.0
2330;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2003;3806.0
2331;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2004;4216.0
2332;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2005;4362.0
2333;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2006;2376.0
2334;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2007;2616.0
2335;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2008;2939.0
2336;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2009;3060.0
2337;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2010;3157.0
2338;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2011;3316.0
2339;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2012;3499.0
2340;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2013;3673.0
2341;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2014;3739.0
2342;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2015;3723.0
2343;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2016;3904.0
2344;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2017;3918.0
2345;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2018;3961.0
2346;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2019;3967.0
2347;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2020;3394.0
2348;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2021;3789.0
2349;HC13: Out-patient curative care;Voluntary schemes (incl. OOP);2022;3906.0
