ID;Geslacht;Leeftijd;Geboortegeneratie;NettoArbeidsparticipatie_1;Deeltijd0Tot12Uur_2;Deeltijd12Tot35Uur_3;Voltijders_4;GemiddeldeArbeidsduur_5;Baan12UurPerWeek_6;Baan12UurPerWeek_7;Baan1UurPerWeek_8;TotaalWerknemers_9;VasteArbeidsrelatie_10;FlexibeleArbeidsrelatie_11;VasteArbeidsrelatie_12;FlexibeleArbeidsrelatie_13;TotaalZelfstandigen_14;MetPersoneel_15;ZonderPersoneel_16;MetPersoneel_17;ZonderPersoneel_18;PersonenMetVoortdurendEenBaan_19;PersonenMetMeerDanEenBaan_20;PersonenMetUitkering_21
805;Totaal mannen en vrouwen;57 jaar;1945 tot 1950;59.3;9.3;34.8;55.9;32.5;20.1;;;80.9;75.1;5.8;92.8;7.2;19.1;6.6;12.5;34.6;65.4;45.0;19.0;24.0
806;Totaal mannen en vrouwen;57 jaar;1950 tot 1955;69.9;7.2;36.9;55.9;32.8;19.4;;18.7;81.8;75.2;6.6;92.0;8.0;18.2;5.8;12.5;31.6;68.4;49.0;24.0;21.0
807;Totaal mannen en vrouwen;57 jaar;1955 tot 1960;71.8;6.3;39.3;54.4;32.6;19.0;10.6;18.5;80.4;73.9;8.1;90.1;9.9;19.6;5.9;13.7;30.0;70.0;;;
808;Totaal mannen en vrouwen;57 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
809;Totaal mannen en vrouwen;57 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
810;Totaal mannen en vrouwen;57 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
811;Totaal mannen en vrouwen;57 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
812;Totaal mannen en vrouwen;57 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
813;Totaal mannen en vrouwen;57 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
814;Totaal mannen en vrouwen;57 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
815;Totaal mannen en vrouwen;57 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
816;Totaal mannen en vrouwen;57 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
817;Totaal mannen en vrouwen;58 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
818;Totaal mannen en vrouwen;58 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
819;Totaal mannen en vrouwen;58 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
820;Totaal mannen en vrouwen;58 jaar;1925 tot 1930;38.1;10.6;19.8;69.6;35.1;;;;77.3;;;;;22.7;;;;;;;
821;Totaal mannen en vrouwen;58 jaar;1930 tot 1935;38.1;10.9;22.9;66.2;34.2;22.0;;;78.7;71.5;7.0;91.1;8.9;21.3;8.5;13.0;;;;;
822;Totaal mannen en vrouwen;58 jaar;1935 tot 1940;38.9;10.9;30.0;59.1;33.3;21.8;;;76.2;69.9;6.3;91.8;8.2;23.8;8.6;15.2;36.3;63.7;;;
823;Totaal mannen en vrouwen;58 jaar;1940 tot 1945;47.6;10.2;33.2;56.7;32.6;21.4;;;78.8;71.9;6.9;91.2;8.8;21.2;7.8;13.4;36.6;63.4;39.0;18.0;28.0
824;Totaal mannen en vrouwen;58 jaar;1945 tot 1950;55.8;9.3;36.5;54.2;32.1;20.6;;;80.0;74.0;6.0;92.5;7.5;20.0;6.4;13.6;32.0;68.0;42.0;19.0;24.0
825;Totaal mannen en vrouwen;58 jaar;1950 tot 1955;67.8;7.2;38.6;54.1;32.3;20.2;13.6;19.6;81.1;74.5;6.6;91.9;8.1;18.9;5.7;13.2;30.0;70.0;;;
826;Totaal mannen en vrouwen;58 jaar;1955 tot 1960;70.8;6.2;40.3;53.6;32.5;19.7;10.8;19.2;79.7;76.6;8.8;89.7;10.3;20.3;5.7;14.6;28.1;71.9;;;
827;Totaal mannen en vrouwen;58 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
828;Totaal mannen en vrouwen;58 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
829;Totaal mannen en vrouwen;58 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
830;Totaal mannen en vrouwen;58 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
831;Totaal mannen en vrouwen;58 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
832;Totaal mannen en vrouwen;58 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
833;Totaal mannen en vrouwen;58 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
834;Totaal mannen en vrouwen;58 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
835;Totaal mannen en vrouwen;58 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
836;Totaal mannen en vrouwen;59 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
837;Totaal mannen en vrouwen;59 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
838;Totaal mannen en vrouwen;59 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
839;Totaal mannen en vrouwen;59 jaar;1925 tot 1930;33.0;9.1;20.2;70.6;37.0;;;;74.3;;;;;25.7;;;;;;;
840;Totaal mannen en vrouwen;59 jaar;1930 tot 1935;30.7;11.9;24.9;63.2;34.2;23.0;;;71.7;65.4;6.9;90.4;9.6;28.3;10.3;17.3;37.4;62.6;;;
841;Totaal mannen en vrouwen;59 jaar;1935 tot 1940;33.4;12.4;30.3;57.3;32.9;22.7;;;74.3;67.3;7.0;90.5;9.5;25.7;9.8;15.9;38.3;61.7;;;
842;Totaal mannen en vrouwen;59 jaar;1940 tot 1945;42.9;12.4;33.5;54.2;31.8;21.9;;;76.8;70.2;6.6;91.4;8.6;23.2;8.2;15.0;35.2;64.8;36.0;17.0;29.0
843;Totaal mannen en vrouwen;59 jaar;1945 tot 1950;53.5;10.9;37.7;51.5;31.2;21.1;;;79.1;72.4;6.8;91.5;8.5;20.9;6.4;14.5;30.5;69.5;40.0;20.0;25.0
844;Totaal mannen en vrouwen;59 jaar;1950 tot 1955;64.4;8.8;38.7;52.5;31.7;21.4;13.3;20.7;80.7;73.8;6.9;91.5;8.5;19.3;5.4;13.9;27.9;72.1;;;
845;Totaal mannen en vrouwen;59 jaar;1955 tot 1960;70.0;6.3;41.2;52.5;32.2;20.4;10.8;19.8;79.1;80.2;9.1;89.8;10.2;20.9;6.3;14.5;30.4;69.6;;;
846;Totaal mannen en vrouwen;59 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
847;Totaal mannen en vrouwen;59 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
848;Totaal mannen en vrouwen;59 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
849;Totaal mannen en vrouwen;59 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
850;Totaal mannen en vrouwen;59 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
851;Totaal mannen en vrouwen;59 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
852;Totaal mannen en vrouwen;59 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
853;Totaal mannen en vrouwen;59 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
854;Totaal mannen en vrouwen;59 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
855;Totaal mannen en vrouwen;60 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
856;Totaal mannen en vrouwen;60 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
857;Totaal mannen en vrouwen;60 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
858;Totaal mannen en vrouwen;60 jaar;1925 tot 1930;23.4;13.1;23.2;63.7;35.8;;;;63.2;;;;;36.8;;;;;;;
859;Totaal mannen en vrouwen;60 jaar;1930 tot 1935;19.5;17.3;26.2;56.5;32.9;23.7;;;62.4;54.2;8.1;87.0;13.0;37.6;12.4;25.3;32.8;67.2;;;
860;Totaal mannen en vrouwen;60 jaar;1935 tot 1940;24.2;14.4;31.3;54.3;32.5;23.0;;;69.4;61.8;7.6;89.0;11.0;30.6;11.1;19.5;36.3;63.7;;;
861;Totaal mannen en vrouwen;60 jaar;1940 tot 1945;32.9;16.0;33.3;50.7;30.4;22.1;;;71.9;63.7;8.3;88.5;11.5;28.1;9.0;19.0;32.1;67.9;27.0;19.0;30.0
862;Totaal mannen en vrouwen;60 jaar;1945 tot 1950;45.3;13.6;36.9;49.6;30.7;21.7;;;75.9;68.3;7.6;90.0;10.0;24.1;7.2;16.9;29.7;70.3;33.0;23.0;25.0
863;Totaal mannen en vrouwen;60 jaar;1950 tot 1955;60.4;8.6;40.1;51.4;31.6;21.4;13.0;20.7;79.9;73.4;6.5;91.9;8.1;20.1;5.2;14.8;26.1;73.9;;;
864;Totaal mannen en vrouwen;60 jaar;1955 tot 1960;67.1;7.1;41.4;51.6;32.0;20.8;12.4;20.2;78.9;83.7;9.5;89.8;10.2;21.1;5.6;15.5;26.6;73.4;;;
865;Totaal mannen en vrouwen;60 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
866;Totaal mannen en vrouwen;60 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
867;Totaal mannen en vrouwen;60 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
868;Totaal mannen en vrouwen;60 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
869;Totaal mannen en vrouwen;60 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
870;Totaal mannen en vrouwen;60 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
871;Totaal mannen en vrouwen;60 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
872;Totaal mannen en vrouwen;60 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
873;Totaal mannen en vrouwen;60 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
874;Totaal mannen en vrouwen;61 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
875;Totaal mannen en vrouwen;61 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
876;Totaal mannen en vrouwen;61 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
877;Totaal mannen en vrouwen;61 jaar;1925 tot 1930;17.4;16.6;25.9;57.6;34.3;;;;57.4;;;;;42.6;;;;;;;
878;Totaal mannen en vrouwen;61 jaar;1930 tot 1935;15.3;17.9;27.4;54.6;34.1;25.2;;;55.5;45.8;9.7;82.5;17.5;44.5;14.3;30.2;32.1;67.9;;;
879;Totaal mannen en vrouwen;61 jaar;1935 tot 1940;16.7;18.9;32.3;48.7;31.0;22.5;;;56.3;44.8;11.5;79.6;20.4;43.7;14.0;29.6;32.1;67.9;;;
880;Totaal mannen en vrouwen;61 jaar;1940 tot 1945;24.9;21.3;34.9;43.8;28.3;21.5;;;65.3;54.5;10.7;83.6;16.4;34.7;10.2;24.6;29.3;70.7;19.0;22.0;31.0
881;Totaal mannen en vrouwen;61 jaar;1945 tot 1950;39.6;14.7;39.5;45.8;29.7;20.9;;20.2;74.5;63.9;10.6;85.8;14.2;25.5;7.0;18.5;27.6;72.4;27.0;25.0;25.0
882;Totaal mannen en vrouwen;61 jaar;1950 tot 1955;55.6;9.3;40.3;50.4;31.1;22.4;13.7;21.6;79.3;72.7;6.6;91.7;8.3;20.7;5.3;15.4;25.7;74.3;;;
883;Totaal mannen en vrouwen;61 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
884;Totaal mannen en vrouwen;61 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
885;Totaal mannen en vrouwen;61 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
886;Totaal mannen en vrouwen;61 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
887;Totaal mannen en vrouwen;61 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
888;Totaal mannen en vrouwen;61 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
889;Totaal mannen en vrouwen;61 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
890;Totaal mannen en vrouwen;61 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
891;Totaal mannen en vrouwen;61 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
892;Totaal mannen en vrouwen;61 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
893;Totaal mannen en vrouwen;62 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
894;Totaal mannen en vrouwen;62 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
895;Totaal mannen en vrouwen;62 jaar;1920 tot 1925;15.4;;;;;;;;;;;;;;;;;;;;
896;Totaal mannen en vrouwen;62 jaar;1925 tot 1930;13.3;16.4;25.8;57.7;34.5;;;;48.5;;;;;51.5;;;;;;;
897;Totaal mannen en vrouwen;62 jaar;1930 tot 1935;12.1;20.7;28.0;51.3;32.1;24.6;;;45.7;36.2;9.5;79.2;20.8;54.3;16.8;37.5;30.9;69.1;;;
898;Totaal mannen en vrouwen;62 jaar;1935 tot 1940;15.3;21.7;34.2;44.1;30.3;23.5;;;53.9;41.8;12.1;77.5;22.5;46.1;13.5;32.6;29.3;70.7;;;33.0
899;Totaal mannen en vrouwen;62 jaar;1940 tot 1945;20.0;26.4;36.3;37.3;26.5;20.6;;;59.0;45.1;14.0;76.4;23.6;41.0;10.3;30.7;25.1;74.9;12.0;27.0;30.0
900;Totaal mannen en vrouwen;62 jaar;1945 tot 1950;33.5;18.6;40.3;41.1;28.1;20.7;;19.9;70.2;56.8;13.4;81.0;19.0;29.8;7.7;22.1;26.0;74.0;21.0;28.0;24.0
901;Totaal mannen en vrouwen;62 jaar;1950 tot 1955;50.9;10.0;41.6;48.3;30.6;22.9;14.2;22.1;78.2;73.2;7.0;91.3;8.7;21.8;5.0;16.8;22.8;77.2;;;
902;Totaal mannen en vrouwen;62 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
903;Totaal mannen en vrouwen;62 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
904;Totaal mannen en vrouwen;62 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
905;Totaal mannen en vrouwen;62 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
906;Totaal mannen en vrouwen;62 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
907;Totaal mannen en vrouwen;62 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
908;Totaal mannen en vrouwen;62 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
909;Totaal mannen en vrouwen;62 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
910;Totaal mannen en vrouwen;62 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
911;Totaal mannen en vrouwen;62 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
912;Totaal mannen en vrouwen;63 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
913;Totaal mannen en vrouwen;63 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
914;Totaal mannen en vrouwen;63 jaar;1920 tot 1925;11.5;;;;;;;;;;;;;;;;;;;;
915;Totaal mannen en vrouwen;63 jaar;1925 tot 1930;11.8;22.0;29.1;48.9;31.6;;;;46.0;;;;;54.0;;;;;;;
916;Totaal mannen en vrouwen;63 jaar;1930 tot 1935;10.9;22.2;28.0;49.7;32.0;27.4;;;37.5;29.0;8.5;;;62.5;19.1;43.4;30.5;69.5;;;
917;Totaal mannen en vrouwen;63 jaar;1935 tot 1940;13.0;25.3;34.2;40.5;28.6;23.8;;;50.8;38.8;12.0;76.3;23.7;49.2;12.2;37.0;24.8;75.2;7.0;30.0;33.0
918;Totaal mannen en vrouwen;63 jaar;1940 tot 1945;17.6;28.4;37.5;34.2;25.7;21.2;;;58.0;41.1;16.9;70.9;29.1;42.0;10.1;31.9;24.1;75.9;9.0;31.0;30.0
919;Totaal mannen en vrouwen;63 jaar;1945 tot 1950;28.4;22.8;40.5;36.8;26.5;20.7;12.9;19.2;65.7;50.9;14.7;77.6;22.4;34.3;8.1;26.3;23.5;76.5;;;
920;Totaal mannen en vrouwen;63 jaar;1950 tot 1955;46.5;11.0;42.0;47.0;30.4;23.4;14.8;22.5;76.5;74.9;7.9;90.4;9.6;23.5;5.2;18.4;22.0;78.0;;;
921;Totaal mannen en vrouwen;63 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
922;Totaal mannen en vrouwen;63 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
923;Totaal mannen en vrouwen;63 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
924;Totaal mannen en vrouwen;63 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
925;Totaal mannen en vrouwen;63 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
926;Totaal mannen en vrouwen;63 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
927;Totaal mannen en vrouwen;63 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
928;Totaal mannen en vrouwen;63 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
929;Totaal mannen en vrouwen;63 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
930;Totaal mannen en vrouwen;63 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
931;Totaal mannen en vrouwen;64 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
932;Totaal mannen en vrouwen;64 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
933;Totaal mannen en vrouwen;64 jaar;1920 tot 1925;12.1;19.4;24.1;56.5;33.1;;;;45.3;;;;;54.7;;;;;;;
934;Totaal mannen en vrouwen;64 jaar;1925 tot 1930;10.5;21.5;28.4;50.1;31.9;;;;47.1;36.9;9.9;;;52.9;14.3;39.0;;;;;
935;Totaal mannen en vrouwen;64 jaar;1930 tot 1935;9.9;26.7;25.9;47.4;30.4;29.5;;;38.4;27.8;10.7;;;61.6;14.5;47.1;23.5;76.5;;;
936;Totaal mannen en vrouwen;64 jaar;1935 tot 1940;13.1;29.7;38.6;31.7;24.6;22.4;;;47.2;32.0;15.2;67.8;32.2;52.8;13.7;39.1;25.9;74.1;6.0;26.0;33.0
937;Totaal mannen en vrouwen;64 jaar;1940 tot 1945;16.5;29.8;36.1;34.0;25.3;22.1;;;57.6;39.8;17.7;69.2;30.8;42.4;10.5;31.9;24.7;75.3;8.0;30.0;29.0
938;Totaal mannen en vrouwen;64 jaar;1945 tot 1950;24.5;24.3;40.4;35.3;25.8;21.4;13.7;19.5;61.9;48.6;13.4;78.4;21.6;38.1;8.0;30.1;21.0;79.0;;;
939;Totaal mannen en vrouwen;64 jaar;1950 tot 1955;40.7;12.0;42.8;45.2;30.0;23.9;15.8;22.9;73.2;75.8;9.1;89.3;10.7;26.8;5.9;20.9;22.2;77.8;;;
940;Totaal mannen en vrouwen;64 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
941;Totaal mannen en vrouwen;64 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
942;Totaal mannen en vrouwen;64 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
943;Totaal mannen en vrouwen;64 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
944;Totaal mannen en vrouwen;64 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
945;Totaal mannen en vrouwen;64 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
946;Totaal mannen en vrouwen;64 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
947;Totaal mannen en vrouwen;64 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
948;Totaal mannen en vrouwen;64 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
949;Totaal mannen en vrouwen;64 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
950;Totaal mannen en vrouwen;65 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
951;Totaal mannen en vrouwen;65 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
952;Totaal mannen en vrouwen;65 jaar;1920 tot 1925;7.0;25.2;27.0;47.9;32.4;;;;30.8;;;;;69.2;;;;;;;
953;Totaal mannen en vrouwen;65 jaar;1925 tot 1930;6.4;34.4;38.9;26.8;23.9;;;;36.6;;;;;63.4;;;;;;;
954;Totaal mannen en vrouwen;65 jaar;1930 tot 1935;7.0;35.3;36.1;28.6;24.0;;;;28.3;11.4;16.9;;;71.7;11.7;60.0;;;;;
955;Totaal mannen en vrouwen;65 jaar;1935 tot 1940;8.6;35.1;35.9;29.0;23.2;;;;45.1;20.6;24.5;45.7;54.3;54.9;10.7;44.2;19.5;80.5;;;
956;Totaal mannen en vrouwen;65 jaar;1940 tot 1945;13.8;34.6;39.2;26.3;22.6;21.4;;;51.0;26.2;24.8;51.4;48.6;49.0;9.6;39.4;19.6;80.4;;;
957;Totaal mannen en vrouwen;65 jaar;1945 tot 1950;16.8;32.9;41.8;25.3;22.3;21.3;13.6;18.8;49.0;27.1;22.0;55.2;44.8;51.0;10.1;40.8;19.9;80.1;;;
958;Totaal mannen en vrouwen;65 jaar;1950 tot 1955;30.6;15.7;44.6;39.7;27.7;24.0;16.5;22.8;71.7;77.6;12.1;86.6;13.4;28.3;5.3;23.0;18.8;81.2;;;
959;Totaal mannen en vrouwen;65 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
960;Totaal mannen en vrouwen;65 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
961;Totaal mannen en vrouwen;65 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
962;Totaal mannen en vrouwen;65 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
963;Totaal mannen en vrouwen;65 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
964;Totaal mannen en vrouwen;65 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
965;Totaal mannen en vrouwen;65 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
966;Totaal mannen en vrouwen;65 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
967;Totaal mannen en vrouwen;65 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
968;Totaal mannen en vrouwen;65 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
969;Totaal mannen en vrouwen;66 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
970;Totaal mannen en vrouwen;66 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
971;Totaal mannen en vrouwen;66 jaar;1920 tot 1925;6.2;28.9;31.5;39.6;28.8;;;;26.1;;;;;73.9;;;;;;;
972;Totaal mannen en vrouwen;66 jaar;1925 tot 1930;5.8;;;;;;;;;;;;;;;;;;;;
973;Totaal mannen en vrouwen;66 jaar;1930 tot 1935;6.6;;;;;;;;;;;;;;;;;;;;
974;Totaal mannen en vrouwen;66 jaar;1935 tot 1940;7.2;40.7;38.8;20.5;20.5;;;;45.0;18.0;26.9;;;55.0;10.0;45.1;18.1;81.9;;;
975;Totaal mannen en vrouwen;66 jaar;1940 tot 1945;11.6;39.5;41.8;18.7;19.7;21.5;;;52.3;19.2;33.1;36.7;63.3;47.7;7.7;40.1;16.0;84.0;;;
976;Totaal mannen en vrouwen;66 jaar;1945 tot 1950;14.5;41.9;38.9;19.2;19.2;20.1;12.9;17.1;48.9;17.4;31.5;35.6;64.4;51.1;7.2;43.9;14.1;85.9;;;
977;Totaal mannen en vrouwen;66 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
978;Totaal mannen en vrouwen;66 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
979;Totaal mannen en vrouwen;66 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
980;Totaal mannen en vrouwen;66 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
981;Totaal mannen en vrouwen;66 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
982;Totaal mannen en vrouwen;66 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
983;Totaal mannen en vrouwen;66 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
984;Totaal mannen en vrouwen;66 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
985;Totaal mannen en vrouwen;66 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
986;Totaal mannen en vrouwen;66 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
987;Totaal mannen en vrouwen;66 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
988;Totaal mannen en vrouwen;67 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
989;Totaal mannen en vrouwen;67 jaar;1915 tot 1920;5.6;;;;;;;;;;;;;;;;;;;;
990;Totaal mannen en vrouwen;67 jaar;1920 tot 1925;5.4;28.5;36.9;34.6;26.5;;;;31.2;;;;;68.8;;;;;;;
991;Totaal mannen en vrouwen;67 jaar;1925 tot 1930;5.6;;;;;;;;;;;;;;;;;;;;
992;Totaal mannen en vrouwen;67 jaar;1930 tot 1935;5.4;;;;;;;;;;;;;;;;;;;;
993;Totaal mannen en vrouwen;67 jaar;1935 tot 1940;8.3;42.1;35.9;22.0;19.9;;;;47.0;18.5;28.5;;;53.0;10.4;42.6;19.6;80.4;;;
994;Totaal mannen en vrouwen;67 jaar;1940 tot 1945;11.7;41.5;40.7;17.8;19.1;21.1;;;46.8;15.5;31.3;33.1;66.9;53.2;7.6;45.5;14.4;85.6;;;
995;Totaal mannen en vrouwen;67 jaar;1945 tot 1950;12.6;46.1;37.3;16.7;18.4;20.8;13.6;17.4;44.0;16.3;30.5;34.9;65.1;56.0;6.9;49.0;12.4;87.6;;;
996;Totaal mannen en vrouwen;67 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
997;Totaal mannen en vrouwen;67 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
998;Totaal mannen en vrouwen;67 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
999;Totaal mannen en vrouwen;67 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
1000;Totaal mannen en vrouwen;67 jaar;1970 tot 1975;;;;;;;;;;;;;;;;;;;;;
1001;Totaal mannen en vrouwen;67 jaar;1975 tot 1980;;;;;;;;;;;;;;;;;;;;;
1002;Totaal mannen en vrouwen;67 jaar;1980 tot 1985;;;;;;;;;;;;;;;;;;;;;
1003;Totaal mannen en vrouwen;67 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;
1004;Totaal mannen en vrouwen;67 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;
1005;Totaal mannen en vrouwen;67 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
1006;Totaal mannen en vrouwen;67 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
1007;Totaal mannen en vrouwen;68 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
1008;Totaal mannen en vrouwen;68 jaar;1915 tot 1920;5.1;;;;;;;;;;;;;;;;;;;;
1009;Totaal mannen en vrouwen;68 jaar;1920 tot 1925;4.7;;;;;;;;;;;;;;;;;;;;
