ID;Countries;Periods;TotalMenAndWomen_1;Men_2;Women_3;Unknown_4;AllAges_5;YoungerThan15Years_6;k_15To17Years_7;k_18YearsOrOlder_8
1869;Other Africa;2004 4th quarter;380.0;230.0;140.0;10.0;380.0;80.0;40.0;260.0
1870;Other Africa;2004;1490.0;920.0;530.0;40.0;1490.0;270.0;140.0;1080.0
1871;Other Africa;2005 1st quarter;330.0;210.0;120.0;0.0;330.0;60.0;20.0;250.0
1872;Other Africa;2005 2nd quarter;370.0;220.0;150.0;0.0;370.0;70.0;30.0;260.0
1873;Other Africa;2005 3rd quarter;380.0;240.0;150.0;0.0;380.0;100.0;20.0;270.0
1874;Other Africa;2005 4th quarter;400.0;230.0;170.0;;400.0;110.0;30.0;270.0
1875;Other Africa;2005;1480.0;890.0;580.0;10.0;1480.0;340.0;100.0;1050.0
1876;Other Africa;2006 1st quarter;460.0;270.0;190.0;0.0;460.0;100.0;30.0;340.0
1877;Other Africa;2006 2nd quarter;500.0;290.0;210.0;;500.0;130.0;40.0;330.0
1878;Other Africa;2006 3rd quarter;360.0;200.0;160.0;;360.0;70.0;50.0;240.0
1879;Other Africa;2006 4th quarter;260.0;170.0;90.0;0.0;260.0;50.0;20.0;180.0
1880;Other Africa;2006;1590.0;940.0;640.0;10.0;1590.0;360.0;140.0;1090.0
1881;Other Africa;2007 1st quarter;310.0;210.0;110.0;;310.0;60.0;30.0;230.0
1882;Other Africa;2007 2nd quarter;270.0;170.0;110.0;0.0;270.0;40.0;40.0;190.0
1883;Other Africa;2007 3rd quarter;280.0;170.0;120.0;;280.0;70.0;30.0;180.0
1884;Other Africa;2007 4th quarter;250.0;150.0;110.0;;250.0;30.0;30.0;200.0
1885;Other Africa;2007;1120.0;680.0;440.0;0.0;1120.0;190.0;130.0;800.0
1886;Other Africa;2008 1st quarter;;;;;;;;
1887;Other America;1998 1st quarter;20.0;10.0;0.0;;20.0;;0.0;20.0
1888;Other America;1998 2nd quarter;20.0;20.0;10.0;;20.0;10.0;;20.0
1889;Other America;1998 3rd quarter;10.0;10.0;10.0;0.0;10.0;;0.0;10.0
1890;Other America;1998 4th quarter;30.0;20.0;10.0;;30.0;0.0;0.0;30.0
1891;Other America;1998;90.0;60.0;30.0;0.0;90.0;10.0;0.0;70.0
1892;Other America;1999 1st quarter;30.0;20.0;10.0;0.0;30.0;10.0;0.0;20.0
1893;Other America;1999 2nd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
1894;Other America;1999 3rd quarter;20.0;10.0;0.0;0.0;20.0;;0.0;20.0
1895;Other America;1999 4th quarter;40.0;20.0;20.0;;40.0;10.0;;30.0
1896;Other America;1999;100.0;60.0;40.0;0.0;100.0;20.0;0.0;80.0
1897;Other America;2000 1st quarter;30.0;20.0;0.0;0.0;30.0;0.0;0.0;20.0
1898;Other America;2000 2nd quarter;20.0;10.0;10.0;;20.0;0.0;;10.0
1899;Other America;2000 3rd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
1900;Other America;2000 4th quarter;20.0;20.0;0.0;;20.0;10.0;0.0;10.0
1901;Other America;2000;70.0;50.0;20.0;0.0;70.0;10.0;10.0;50.0
1902;Other America;2001 1st quarter;30.0;20.0;10.0;0.0;30.0;10.0;;20.0
1903;Other America;2001 2nd quarter;30.0;20.0;10.0;0.0;30.0;10.0;;20.0
1904;Other America;2001 3rd quarter;10.0;10.0;0.0;;10.0;0.0;0.0;10.0
1905;Other America;2001 4th quarter;20.0;10.0;0.0;10.0;20.0;0.0;;10.0
1906;Other America;2001;80.0;50.0;20.0;10.0;80.0;20.0;0.0;70.0
1907;Other America;2002 1st quarter;20.0;10.0;10.0;0.0;20.0;0.0;0.0;20.0
1908;Other America;2002 2nd quarter;20.0;10.0;0.0;0.0;20.0;0.0;0.0;10.0
1909;Other America;2002 3rd quarter;10.0;10.0;0.0;0.0;10.0;0.0;;10.0
1910;Other America;2002 4th quarter;20.0;20.0;0.0;0.0;20.0;;;20.0
1911;Other America;2002;70.0;50.0;20.0;10.0;70.0;10.0;0.0;60.0
1912;Other America;2003 1st quarter;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
1913;Other America;2003 2nd quarter;20.0;20.0;0.0;0.0;20.0;0.0;;20.0
1914;Other America;2003 3rd quarter;20.0;20.0;10.0;;20.0;0.0;;20.0
1915;Other America;2003 4th quarter;10.0;10.0;0.0;0.0;10.0;;;10.0
1916;Other America;2003;70.0;50.0;20.0;0.0;70.0;10.0;0.0;70.0
1917;Other America;2004 1st quarter;40.0;20.0;20.0;0.0;40.0;10.0;0.0;30.0
1918;Other America;2004 2nd quarter;100.0;50.0;50.0;0.0;100.0;20.0;0.0;80.0
1919;Other America;2004 3rd quarter;40.0;30.0;10.0;;40.0;0.0;;30.0
1920;Other America;2004 4th quarter;20.0;10.0;10.0;;20.0;0.0;;20.0
1921;Other America;2004;200.0;100.0;90.0;10.0;200.0;40.0;10.0;150.0
1922;Other America;2005 1st quarter;30.0;20.0;10.0;;30.0;0.0;0.0;20.0
1923;Other America;2005 2nd quarter;90.0;50.0;40.0;0.0;90.0;30.0;10.0;60.0
1924;Other America;2005 3rd quarter;130.0;70.0;60.0;;130.0;40.0;0.0;90.0
1925;Other America;2005 4th quarter;120.0;80.0;50.0;;120.0;30.0;0.0;90.0
1926;Other America;2005;370.0;210.0;160.0;0.0;370.0;100.0;10.0;260.0
1927;Other America;2006 1st quarter;40.0;30.0;10.0;;40.0;0.0;0.0;40.0
1928;Other America;2006 2nd quarter;60.0;30.0;30.0;;60.0;20.0;10.0;30.0
1929;Other America;2006 3rd quarter;30.0;20.0;0.0;;30.0;10.0;0.0;20.0
1930;Other America;2006 4th quarter;20.0;20.0;0.0;;20.0;;;20.0
1931;Other America;2006;140.0;90.0;50.0;;140.0;30.0;10.0;100.0
1932;Other America;2007 1st quarter;20.0;10.0;10.0;;20.0;10.0;;10.0
1933;Other America;2007 2nd quarter;20.0;20.0;0.0;;20.0;0.0;0.0;20.0
1934;Other America;2007 3rd quarter;20.0;10.0;10.0;;20.0;10.0;;10.0
1935;Other America;2007 4th quarter;50.0;20.0;30.0;;50.0;0.0;;50.0
1936;Other America;2007;110.0;60.0;50.0;;110.0;20.0;0.0;90.0
1937;Other America;2008 1st quarter;;;;;;;;
1938;Other Asia;1998 1st quarter;110.0;70.0;40.0;;110.0;30.0;10.0;80.0
1939;Other Asia;1998 2nd quarter;80.0;60.0;30.0;;80.0;20.0;10.0;60.0
1940;Other Asia;1998 3rd quarter;120.0;80.0;40.0;;120.0;20.0;20.0;80.0
1941;Other Asia;1998 4th quarter;180.0;110.0;80.0;;180.0;50.0;10.0;120.0
1942;Other Asia;1998;500.0;310.0;190.0;;500.0;110.0;50.0;340.0
1943;Other Asia;1999 1st quarter;140.0;90.0;50.0;;140.0;30.0;20.0;90.0
1944;Other Asia;1999 2nd quarter;150.0;100.0;50.0;;150.0;20.0;20.0;110.0
1945;Other Asia;1999 3rd quarter;190.0;120.0;70.0;0.0;190.0;50.0;20.0;120.0
1946;Other Asia;1999 4th quarter;200.0;140.0;60.0;0.0;200.0;40.0;20.0;140.0
1947;Other Asia;1999;680.0;440.0;230.0;0.0;680.0;140.0;80.0;460.0
1948;Other Asia;2000 1st quarter;290.0;180.0;110.0;0.0;290.0;60.0;30.0;200.0
1949;Other Asia;2000 2nd quarter;310.0;200.0;110.0;0.0;310.0;70.0;40.0;210.0
1950;Other Asia;2000 3rd quarter;300.0;170.0;130.0;10.0;300.0;70.0;40.0;190.0
1951;Other Asia;2000 4th quarter;400.0;240.0;140.0;10.0;400.0;70.0;50.0;280.0
1952;Other Asia;2000;1300.0;800.0;490.0;20.0;1300.0;270.0;160.0;870.0
1953;Other Asia;2001 1st quarter;320.0;170.0;130.0;10.0;320.0;70.0;40.0;200.0
1954;Other Asia;2001 2nd quarter;260.0;150.0;110.0;0.0;260.0;60.0;30.0;180.0
1955;Other Asia;2001 3rd quarter;230.0;130.0;100.0;10.0;230.0;50.0;30.0;150.0
1956;Other Asia;2001 4th quarter;230.0;140.0;80.0;0.0;230.0;40.0;40.0;150.0
1957;Other Asia;2001;1040.0;600.0;420.0;20.0;1040.0;220.0;140.0;680.0
1958;Other Asia;2002 1st quarter;180.0;110.0;70.0;10.0;180.0;40.0;40.0;110.0
1959;Other Asia;2002 2nd quarter;180.0;110.0;70.0;0.0;180.0;40.0;20.0;130.0
1960;Other Asia;2002 3rd quarter;170.0;100.0;60.0;10.0;170.0;30.0;20.0;110.0
1961;Other Asia;2002 4th quarter;140.0;100.0;40.0;10.0;140.0;20.0;30.0;90.0
1962;Other Asia;2002;680.0;420.0;240.0;20.0;680.0;130.0;100.0;450.0
1963;Other Asia;2003 1st quarter;110.0;70.0;40.0;0.0;110.0;10.0;10.0;90.0
1964;Other Asia;2003 2nd quarter;80.0;50.0;30.0;0.0;80.0;10.0;10.0;60.0
1965;Other Asia;2003 3rd quarter;80.0;50.0;20.0;10.0;80.0;10.0;10.0;60.0
1966;Other Asia;2003 4th quarter;100.0;60.0;30.0;0.0;100.0;10.0;10.0;80.0
1967;Other Asia;2003;370.0;240.0;120.0;20.0;370.0;50.0;40.0;290.0
1968;Other Asia;2004 1st quarter;110.0;80.0;30.0;0.0;110.0;20.0;10.0;90.0
1969;Other Asia;2004 2nd quarter;60.0;50.0;10.0;0.0;60.0;0.0;10.0;50.0
1970;Other Asia;2004 3rd quarter;80.0;60.0;20.0;;80.0;10.0;10.0;60.0
1971;Other Asia;2004 4th quarter;170.0;130.0;40.0;;170.0;20.0;20.0;140.0
1972;Other Asia;2004;420.0;330.0;90.0;10.0;420.0;50.0;40.0;340.0
1973;Other Asia;2005 1st quarter;160.0;110.0;60.0;;160.0;30.0;20.0;120.0
1974;Other Asia;2005 2nd quarter;120.0;90.0;30.0;;120.0;10.0;10.0;100.0
1975;Other Asia;2005 3rd quarter;130.0;80.0;50.0;;130.0;20.0;10.0;100.0
1976;Other Asia;2005 4th quarter;130.0;70.0;50.0;0.0;130.0;20.0;10.0;100.0
1977;Other Asia;2005;550.0;350.0;190.0;0.0;550.0;80.0;40.0;420.0
1978;Other Asia;2006 1st quarter;170.0;120.0;60.0;;170.0;40.0;10.0;120.0
1979;Other Asia;2006 2nd quarter;180.0;110.0;70.0;;180.0;30.0;10.0;140.0
1980;Other Asia;2006 3rd quarter;140.0;80.0;60.0;;140.0;20.0;0.0;120.0
1981;Other Asia;2006 4th quarter;120.0;70.0;50.0;;120.0;30.0;10.0;90.0
1982;Other Asia;2006;610.0;380.0;230.0;;610.0;120.0;30.0;460.0
1983;Other Asia;2007 1st quarter;90.0;60.0;40.0;;90.0;20.0;0.0;70.0
1984;Other Asia;2007 2nd quarter;100.0;60.0;40.0;;100.0;10.0;10.0;80.0
1985;Other Asia;2007 3rd quarter;90.0;50.0;40.0;;90.0;10.0;10.0;70.0
1986;Other Asia;2007 4th quarter;70.0;50.0;20.0;;70.0;10.0;0.0;60.0
1987;Other Asia;2007;340.0;220.0;130.0;;340.0;40.0;20.0;280.0
1988;Other Asia;2008 1st quarter;;;;;;;;
1989;Other Europe;1998 1st quarter;300.0;180.0;110.0;;300.0;60.0;20.0;220.0
1990;Other Europe;1998 2nd quarter;350.0;210.0;140.0;0.0;350.0;90.0;30.0;220.0
1991;Other Europe;1998 3rd quarter;410.0;240.0;170.0;0.0;410.0;110.0;40.0;260.0
1992;Other Europe;1998 4th quarter;510.0;290.0;210.0;0.0;510.0;120.0;60.0;330.0
1993;Other Europe;1998;1570.0;930.0;630.0;10.0;1570.0;390.0;140.0;1030.0
1994;Other Europe;1999 1st quarter;430.0;240.0;180.0;0.0;430.0;100.0;50.0;290.0
1995;Other Europe;1999 2nd quarter;380.0;220.0;150.0;10.0;380.0;90.0;40.0;250.0
1996;Other Europe;1999 3rd quarter;590.0;330.0;260.0;0.0;590.0;170.0;50.0;380.0
1997;Other Europe;1999 4th quarter;710.0;420.0;280.0;10.0;710.0;160.0;60.0;490.0
1998;Other Europe;1999;2110.0;1220.0;870.0;20.0;2110.0;520.0;200.0;1390.0
1999;Other Europe;2000 1st quarter;660.0;390.0;250.0;10.0;660.0;170.0;50.0;440.0
2000;Other Europe;2000 2nd quarter;420.0;280.0;140.0;10.0;420.0;100.0;40.0;280.0
2001;Other Europe;2000 3rd quarter;540.0;310.0;220.0;10.0;540.0;130.0;50.0;360.0
2002;Other Europe;2000 4th quarter;530.0;310.0;210.0;10.0;530.0;140.0;60.0;330.0
2003;Other Europe;2000;2150.0;1290.0;830.0;30.0;2150.0;540.0;200.0;1410.0
2004;Other Europe;2001 1st quarter;560.0;330.0;210.0;20.0;560.0;130.0;40.0;390.0
2005;Other Europe;2001 2nd quarter;590.0;360.0;230.0;10.0;590.0;120.0;50.0;420.0
2006;Other Europe;2001 3rd quarter;460.0;290.0;160.0;10.0;460.0;110.0;50.0;300.0
2007;Other Europe;2001 4th quarter;330.0;220.0;110.0;10.0;330.0;60.0;50.0;230.0
2008;Other Europe;2001;1950.0;1190.0;710.0;50.0;1950.0;420.0;190.0;1340.0
2009;Other Europe;2002 1st quarter;290.0;180.0;100.0;10.0;290.0;40.0;40.0;220.0
2010;Other Europe;2002 2nd quarter;300.0;190.0;100.0;10.0;300.0;60.0;40.0;200.0
2011;Other Europe;2002 3rd quarter;370.0;240.0;120.0;10.0;370.0;90.0;40.0;230.0
2012;Other Europe;2002 4th quarter;270.0;180.0;70.0;10.0;270.0;50.0;30.0;190.0
2013;Other Europe;2002;1230.0;790.0;400.0;30.0;1230.0;240.0;150.0;840.0
2014;Other Europe;2003 1st quarter;170.0;100.0;60.0;10.0;170.0;30.0;10.0;130.0
2015;Other Europe;2003 2nd quarter;150.0;90.0;50.0;0.0;150.0;30.0;10.0;100.0
2016;Other Europe;2003 3rd quarter;210.0;140.0;70.0;0.0;210.0;40.0;20.0;150.0
2017;Other Europe;2003 4th quarter;140.0;100.0;40.0;0.0;140.0;30.0;10.0;100.0
2018;Other Europe;2003;670.0;440.0;210.0;20.0;670.0;130.0;60.0;480.0
2019;Other Europe;2004 1st quarter;150.0;100.0;40.0;10.0;150.0;40.0;20.0;90.0
2020;Other Europe;2004 2nd quarter;80.0;60.0;20.0;10.0;80.0;10.0;10.0;60.0
2021;Other Europe;2004 3rd quarter;120.0;90.0;30.0;;120.0;20.0;20.0;80.0
2022;Other Europe;2004 4th quarter;100.0;70.0;30.0;0.0;100.0;20.0;10.0;70.0
2023;Other Europe;2004;450.0;310.0;120.0;20.0;450.0;90.0;50.0;300.0
2024;Other Europe;2005 1st quarter;130.0;100.0;40.0;;130.0;20.0;10.0;100.0
2025;Other Europe;2005 2nd quarter;150.0;110.0;50.0;;150.0;30.0;10.0;120.0
2026;Other Europe;2005 3rd quarter;150.0;100.0;50.0;;150.0;30.0;10.0;120.0
2027;Other Europe;2005 4th quarter;220.0;160.0;60.0;;220.0;40.0;10.0;160.0
2028;Other Europe;2005;650.0;470.0;180.0;;650.0;120.0;40.0;500.0
2029;Other Europe;2006 1st quarter;150.0;90.0;60.0;;150.0;30.0;20.0;110.0
2030;Other Europe;2006 2nd quarter;180.0;130.0;60.0;0.0;180.0;30.0;10.0;150.0
2031;Other Europe;2006 3rd quarter;140.0;100.0;40.0;;140.0;20.0;10.0;110.0
2032;Other Europe;2006 4th quarter;100.0;70.0;20.0;0.0;100.0;10.0;10.0;70.0
2033;Other Europe;2006;570.0;380.0;190.0;0.0;570.0;90.0;40.0;440.0
2034;Other Europe;2007 1st quarter;80.0;60.0;20.0;;80.0;10.0;0.0;70.0
2035;Other Europe;2007 2nd quarter;60.0;40.0;20.0;;60.0;10.0;0.0;50.0
2036;Other Europe;2007 3rd quarter;60.0;40.0;20.0;;60.0;10.0;0.0;50.0
2037;Other Europe;2007 4th quarter;50.0;40.0;20.0;;50.0;10.0;0.0;40.0
2038;Other Europe;2007;260.0;180.0;70.0;;260.0;30.0;10.0;210.0
2039;Other Europe;2008 1st quarter;;;;;;;;
2040;Stateless;1998 1st quarter;140.0;110.0;30.0;;140.0;30.0;10.0;100.0
2041;Stateless;1998 2nd quarter;130.0;90.0;40.0;;130.0;30.0;10.0;90.0
2042;Stateless;1998 3rd quarter;210.0;160.0;40.0;;210.0;40.0;20.0;140.0
2043;Stateless;1998 4th quarter;220.0;160.0;60.0;;220.0;50.0;20.0;150.0
2044;Stateless;1998;700.0;520.0;170.0;;700.0;150.0;60.0;480.0
2045;Stateless;1999 1st quarter;150.0;110.0;40.0;;150.0;30.0;10.0;110.0
2046;Stateless;1999 2nd quarter;130.0;80.0;50.0;;130.0;40.0;10.0;90.0
2047;Stateless;1999 3rd quarter;210.0;120.0;90.0;;210.0;60.0;20.0;140.0
2048;Stateless;1999 4th quarter;250.0;160.0;90.0;;250.0;70.0;20.0;160.0
2049;Stateless;1999;740.0;480.0;260.0;;740.0;190.0;60.0;490.0
2050;Stateless;2000 1st quarter;230.0;160.0;70.0;;230.0;60.0;10.0;160.0
2051;Stateless;2000 2nd quarter;170.0;110.0;60.0;0.0;170.0;40.0;10.0;120.0
2052;Stateless;2000 3rd quarter;160.0;100.0;60.0;;160.0;40.0;10.0;110.0
2053;Stateless;2000 4th quarter;210.0;130.0;80.0;0.0;210.0;50.0;20.0;140.0
2054;Stateless;2000;760.0;490.0;270.0;0.0;760.0;180.0;50.0;530.0
2055;Stateless;2001 1st quarter;190.0;130.0;50.0;;190.0;30.0;20.0;140.0
2056;Stateless;2001 2nd quarter;160.0;110.0;40.0;;160.0;30.0;10.0;120.0
2057;Stateless;2001 3rd quarter;180.0;130.0;50.0;;180.0;40.0;20.0;130.0
2058;Stateless;2001 4th quarter;130.0;100.0;30.0;0.0;130.0;20.0;10.0;100.0
2059;Stateless;2001;650.0;470.0;180.0;0.0;650.0;120.0;50.0;480.0
2060;Stateless;2002 1st quarter;120.0;90.0;30.0;;120.0;30.0;10.0;80.0
2061;Stateless;2002 2nd quarter;80.0;60.0;20.0;;80.0;20.0;10.0;50.0
2062;Stateless;2002 3rd quarter;70.0;50.0;10.0;0.0;70.0;10.0;10.0;50.0
2063;Stateless;2002 4th quarter;60.0;50.0;10.0;;60.0;10.0;0.0;50.0
2064;Stateless;2002;330.0;250.0;80.0;0.0;330.0;60.0;30.0;240.0
2065;Stateless;2003 1st quarter;60.0;40.0;10.0;;60.0;10.0;0.0;50.0
2066;Stateless;2003 2nd quarter;50.0;40.0;10.0;0.0;50.0;10.0;0.0;40.0
2067;Stateless;2003 3rd quarter;70.0;60.0;10.0;;70.0;10.0;10.0;60.0
2068;Stateless;2003 4th quarter;70.0;60.0;10.0;0.0;70.0;10.0;0.0;60.0
2069;Stateless;2003;260.0;210.0;40.0;10.0;260.0;30.0;20.0;210.0
2070;Stateless;2004 1st quarter;80.0;50.0;20.0;0.0;80.0;20.0;10.0;60.0
2071;Stateless;2004 2nd quarter;40.0;30.0;10.0;0.0;40.0;0.0;0.0;30.0
2072;Stateless;2004 3rd quarter;50.0;30.0;10.0;0.0;50.0;10.0;10.0;30.0
2073;Stateless;2004 4th quarter;30.0;20.0;10.0;0.0;30.0;0.0;0.0;20.0
2074;Stateless;2004;200.0;130.0;60.0;10.0;200.0;30.0;20.0;150.0
2075;Stateless;2005 1st quarter;40.0;30.0;10.0;;40.0;0.0;0.0;30.0
2076;Stateless;2005 2nd quarter;40.0;30.0;10.0;;40.0;0.0;0.0;30.0
2077;Stateless;2005 3rd quarter;50.0;30.0;10.0;;50.0;10.0;0.0;30.0
2078;Stateless;2005 4th quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
2079;Stateless;2005;150.0;110.0;40.0;;150.0;20.0;10.0;110.0
2080;Stateless;2006 1st quarter;60.0;40.0;20.0;;60.0;10.0;10.0;50.0
2081;Stateless;2006 2nd quarter;50.0;30.0;20.0;;50.0;10.0;0.0;40.0
2082;Stateless;2006 3rd quarter;40.0;30.0;10.0;;40.0;10.0;;30.0
2083;Stateless;2006 4th quarter;40.0;20.0;10.0;;40.0;10.0;0.0;20.0
2084;Stateless;2006;200.0;130.0;70.0;;200.0;40.0;10.0;150.0
2085;Stateless;2007 1st quarter;20.0;20.0;0.0;;20.0;0.0;0.0;20.0
2086;Stateless;2007 2nd quarter;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
2087;Stateless;2007 3rd quarter;20.0;20.0;10.0;;20.0;10.0;;10.0
2088;Stateless;2007 4th quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
2089;Stateless;2007;70.0;50.0;20.0;;70.0;20.0;0.0;50.0
2090;Stateless;2008 1st quarter;;;;;;;;
2091;Unknown;1998 1st quarter;20.0;10.0;10.0;;20.0;10.0;0.0;10.0
2092;Unknown;1998 2nd quarter;20.0;20.0;0.0;0.0;20.0;10.0;0.0;10.0
2093;Unknown;1998 3rd quarter;30.0;10.0;10.0;;30.0;20.0;0.0;10.0
2094;Unknown;1998 4th quarter;60.0;40.0;10.0;0.0;60.0;30.0;10.0;20.0
2095;Unknown;1998;120.0;80.0;40.0;10.0;120.0;70.0;20.0;40.0
2096;Unknown;1999 1st quarter;30.0;20.0;10.0;0.0;30.0;20.0;0.0;10.0
2097;Unknown;1999 2nd quarter;40.0;30.0;10.0;0.0;40.0;10.0;0.0;20.0
2098;Unknown;1999 3rd quarter;70.0;40.0;30.0;;70.0;30.0;10.0;30.0
2099;Unknown;1999 4th quarter;40.0;30.0;20.0;0.0;40.0;20.0;0.0;30.0
2100;Unknown;1999;180.0;110.0;70.0;0.0;180.0;70.0;20.0;90.0
2101;Unknown;2000 1st quarter;120.0;60.0;50.0;0.0;120.0;50.0;20.0;50.0
2102;Unknown;2000 2nd quarter;80.0;40.0;30.0;0.0;80.0;40.0;0.0;30.0
2103;Unknown;2000 3rd quarter;90.0;50.0;40.0;0.0;90.0;30.0;10.0;50.0
2104;Unknown;2000 4th quarter;140.0;80.0;50.0;10.0;140.0;50.0;20.0;70.0
2105;Unknown;2000;420.0;230.0;170.0;10.0;420.0;170.0;50.0;200.0
2106;Unknown;2001 1st quarter;240.0;60.0;40.0;140.0;240.0;170.0;10.0;60.0
2107;Unknown;2001 2nd quarter;70.0;40.0;30.0;0.0;70.0;20.0;10.0;50.0
2108;Unknown;2001 3rd quarter;60.0;40.0;20.0;0.0;60.0;20.0;10.0;40.0
2109;Unknown;2001 4th quarter;100.0;40.0;40.0;20.0;100.0;40.0;10.0;40.0
2110;Unknown;2001;470.0;190.0;120.0;160.0;470.0;240.0;40.0;180.0
2111;Unknown;2002 1st quarter;90.0;50.0;30.0;10.0;90.0;30.0;10.0;40.0
2112;Unknown;2002 2nd quarter;50.0;30.0;20.0;0.0;50.0;20.0;10.0;30.0
2113;Unknown;2002 3rd quarter;30.0;20.0;0.0;10.0;30.0;10.0;0.0;20.0
2114;Unknown;2002 4th quarter;20.0;10.0;10.0;10.0;20.0;10.0;0.0;10.0
2115;Unknown;2002;190.0;110.0;60.0;20.0;190.0;70.0;20.0;100.0
2116;Unknown;2003 1st quarter;60.0;20.0;10.0;30.0;60.0;40.0;0.0;10.0
2117;Unknown;2003 2nd quarter;130.0;70.0;40.0;30.0;130.0;90.0;0.0;40.0
2118;Unknown;2003 3rd quarter;160.0;80.0;70.0;10.0;160.0;120.0;0.0;40.0
2119;Unknown;2003 4th quarter;170.0;80.0;70.0;20.0;170.0;130.0;0.0;30.0
2120;Unknown;2003;510.0;230.0;190.0;90.0;510.0;380.0;10.0;120.0
2121;Unknown;2004 1st quarter;250.0;110.0;100.0;40.0;250.0;170.0;10.0;70.0
2122;Unknown;2004 2nd quarter;220.0;100.0;100.0;20.0;220.0;160.0;10.0;50.0
2123;Unknown;2004 3rd quarter;190.0;90.0;90.0;10.0;190.0;130.0;10.0;50.0
2124;Unknown;2004 4th quarter;220.0;130.0;80.0;0.0;220.0;150.0;10.0;60.0
2125;Unknown;2004;870.0;430.0;370.0;70.0;870.0;610.0;30.0;230.0
2126;Unknown;2005 1st quarter;280.0;140.0;140.0;0.0;280.0;190.0;20.0;80.0
2127;Unknown;2005 2nd quarter;270.0;140.0;130.0;0.0;270.0;190.0;10.0;80.0
2128;Unknown;2005 3rd quarter;310.0;160.0;150.0;0.0;310.0;230.0;10.0;70.0
2129;Unknown;2005 4th quarter;350.0;180.0;170.0;0.0;350.0;260.0;10.0;80.0
2130;Unknown;2005;1210.0;620.0;590.0;10.0;1210.0;870.0;50.0;300.0
2131;Unknown;2006 1st quarter;340.0;170.0;180.0;;340.0;260.0;10.0;80.0
2132;Unknown;2006 2nd quarter;290.0;160.0;130.0;;290.0;210.0;10.0;70.0
2133;Unknown;2006 3rd quarter;250.0;130.0;110.0;;250.0;190.0;10.0;50.0
2134;Unknown;2006 4th quarter;150.0;80.0;70.0;;150.0;110.0;0.0;30.0
2135;Unknown;2006;1030.0;540.0;490.0;;1030.0;770.0;20.0;240.0
2136;Unknown;2007 1st quarter;150.0;80.0;70.0;;150.0;120.0;0.0;30.0
2137;Unknown;2007 2nd quarter;150.0;80.0;70.0;;150.0;110.0;0.0;40.0
2138;Unknown;2007 3rd quarter;90.0;60.0;30.0;;90.0;70.0;;20.0
2139;Unknown;2007 4th quarter;100.0;50.0;50.0;;100.0;70.0;10.0;20.0
2140;Unknown;2007;490.0;270.0;220.0;;490.0;370.0;10.0;110.0
2141;Unknown;2008 1st quarter;;;;;;;;
