ID;EmployeeWithWithoutRegistration;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackgroundNationality;Periods;JobsEmployeesFromAbroad_1
2143;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2014 4th quarter;0.6
2144;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2014;0.6
2145;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2015 1st quarter;0.6
2146;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2015 2nd quarter;0.6
2147;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2015 3rd quarter;0.6
2148;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2015 4th quarter;0.7
2149;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2015;0.6
2150;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2016 1st quarter;0.6
2151;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2016 2nd quarter;0.7
2152;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2016 3rd quarter;0.7
2153;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2016 4th quarter;0.7
2154;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2016;0.7
2155;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2017 1st quarter;0.7
2156;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2017 2nd quarter;0.8
2157;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2017 3rd quarter;0.8
2158;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2017 4th quarter;0.9
2159;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Oceania;2017;0.8
2160;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2010 1st quarter;6.4
2161;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2010 2nd quarter;6.8
2162;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2010 3rd quarter;6.6
2163;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2010 4th quarter;6.7
2164;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2010;6.7
2165;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2011 1st quarter;6.2
2166;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2011 2nd quarter;6.5
2167;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2011 3rd quarter;6.2
2168;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2011 4th quarter;6.3
2169;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2011;6.3
2170;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2012 1st quarter;5.7
2171;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2012 2nd quarter;5.8
2172;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2012 3rd quarter;5.5
2173;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2012 4th quarter;5.7
2174;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2012;5.7
2175;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2013 1st quarter;5.0
2176;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2013 2nd quarter;5.0
2177;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2013 3rd quarter;5.0
2178;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2013 4th quarter;5.0
2179;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2013;5.0
2180;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2014 1st quarter;4.6
2181;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2014 2nd quarter;4.8
2182;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2014 3rd quarter;4.9
2183;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2014 4th quarter;5.0
2184;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2014;4.8
2185;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2015 1st quarter;4.5
2186;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2015 2nd quarter;4.7
2187;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2015 3rd quarter;4.7
2188;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2015 4th quarter;4.9
2189;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2015;4.7
2190;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2016 1st quarter;4.8
2191;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2016 2nd quarter;4.8
2192;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2016 3rd quarter;4.9
2193;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2016 4th quarter;5.1
2194;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2016;4.9
2195;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2017 1st quarter;4.7
2196;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2017 2nd quarter;4.8
2197;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2017 3rd quarter;4.8
2198;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2017 4th quarter;5.0
2199;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Belgium;2017;4.8
2200;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2010 1st quarter;0.8
2201;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2010 2nd quarter;0.9
2202;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2010 3rd quarter;1.1
2203;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2010 4th quarter;1.0
2204;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2010;0.9
2205;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2011 1st quarter;1.0
2206;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2011 2nd quarter;1.1
2207;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2011 3rd quarter;1.0
2208;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2011 4th quarter;1.0
2209;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2011;1.0
2210;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2012 1st quarter;1.0
2211;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2012 2nd quarter;1.0
2212;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2012 3rd quarter;1.0
2213;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2012 4th quarter;1.0
2214;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2012;1.0
2215;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2013 1st quarter;1.0
2216;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2013 2nd quarter;1.1
2217;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2013 3rd quarter;1.1
2218;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2013 4th quarter;1.1
2219;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2013;1.0
2220;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2014 1st quarter;1.6
2221;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2014 2nd quarter;2.6
2222;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2014 3rd quarter;2.9
2223;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2014 4th quarter;3.1
2224;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2014;2.5
2225;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2015 1st quarter;3.3
2226;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2015 2nd quarter;4.0
2227;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2015 3rd quarter;4.2
2228;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2015 4th quarter;4.3
2229;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2015;4.0
2230;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2016 1st quarter;4.6
2231;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2016 2nd quarter;5.6
2232;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2016 3rd quarter;5.9
2233;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2016 4th quarter;6.1
2234;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2016;5.6
2235;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2017 1st quarter;6.5
2236;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2017 2nd quarter;8.2
2237;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2017 3rd quarter;8.6
2238;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2017 4th quarter;9.1
2239;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Bulgaria;2017;8.1
2240;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2010 1st quarter;21.9
2241;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2010 2nd quarter;23.8
2242;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2010 3rd quarter;24.1
2243;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2010 4th quarter;24.2
2244;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2010;23.5
2245;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2011 1st quarter;22.0
2246;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2011 2nd quarter;23.4
2247;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2011 3rd quarter;22.7
2248;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2011 4th quarter;22.1
2249;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2011;22.6
2250;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2012 1st quarter;20.4
2251;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2012 2nd quarter;21.0
2252;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2012 3rd quarter;20.0
2253;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2012 4th quarter;19.5
2254;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2012;20.2
2255;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2013 1st quarter;17.2
2256;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2013 2nd quarter;17.5
2257;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2013 3rd quarter;17.1
2258;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2013 4th quarter;16.7
2259;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2013;17.1
2260;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2014 1st quarter;15.1
2261;Total jobs;Total employees;A-U All economic activities;Gross hourly wages: 10 to 14 euro;Germany;2014 2nd quarter;15.5
