ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackground;Periods;JobsForeignBornEmployees_1
872;Total jobs;Total employees;A-U All economic activities;Total;Italy;2019 3rd quarter;19.0
873;Total jobs;Total employees;A-U All economic activities;Total;Italy;2019 4th quarter;19.9
874;Total jobs;Total employees;A-U All economic activities;Total;Italy;2019;19.1
875;Total jobs;Total employees;A-U All economic activities;Total;Italy;2020 1st quarter;20.2
876;Total jobs;Total employees;A-U All economic activities;Total;Italy;2020 2nd quarter;19.4
877;Total jobs;Total employees;A-U All economic activities;Total;Italy;2020 3rd quarter;19.4
878;Total jobs;Total employees;A-U All economic activities;Total;Italy;2020 4th quarter;19.6
879;Total jobs;Total employees;A-U All economic activities;Total;Italy;2020;19.7
880;Total jobs;Total employees;A-U All economic activities;Total;Poland;2010 1st quarter;89.0
881;Total jobs;Total employees;A-U All economic activities;Total;Poland;2010 2nd quarter;107.1
882;Total jobs;Total employees;A-U All economic activities;Total;Poland;2010 3rd quarter;119.3
883;Total jobs;Total employees;A-U All economic activities;Total;Poland;2010 4th quarter;114.2
884;Total jobs;Total employees;A-U All economic activities;Total;Poland;2010;107.5
885;Total jobs;Total employees;A-U All economic activities;Total;Poland;2011 1st quarter;107.7
886;Total jobs;Total employees;A-U All economic activities;Total;Poland;2011 2nd quarter;126.6
887;Total jobs;Total employees;A-U All economic activities;Total;Poland;2011 3rd quarter;136.3
888;Total jobs;Total employees;A-U All economic activities;Total;Poland;2011 4th quarter;124.3
889;Total jobs;Total employees;A-U All economic activities;Total;Poland;2011;123.8
890;Total jobs;Total employees;A-U All economic activities;Total;Poland;2012 1st quarter;117.9
891;Total jobs;Total employees;A-U All economic activities;Total;Poland;2012 2nd quarter;135.3
892;Total jobs;Total employees;A-U All economic activities;Total;Poland;2012 3rd quarter;144.1
893;Total jobs;Total employees;A-U All economic activities;Total;Poland;2012 4th quarter;132.7
894;Total jobs;Total employees;A-U All economic activities;Total;Poland;2012;132.5
895;Total jobs;Total employees;A-U All economic activities;Total;Poland;2013 1st quarter;118.0
896;Total jobs;Total employees;A-U All economic activities;Total;Poland;2013 2nd quarter;134.3
897;Total jobs;Total employees;A-U All economic activities;Total;Poland;2013 3rd quarter;145.0
898;Total jobs;Total employees;A-U All economic activities;Total;Poland;2013 4th quarter;136.8
899;Total jobs;Total employees;A-U All economic activities;Total;Poland;2013;133.6
900;Total jobs;Total employees;A-U All economic activities;Total;Poland;2014 1st quarter;128.3
901;Total jobs;Total employees;A-U All economic activities;Total;Poland;2014 2nd quarter;145.8
902;Total jobs;Total employees;A-U All economic activities;Total;Poland;2014 3rd quarter;156.1
903;Total jobs;Total employees;A-U All economic activities;Total;Poland;2014 4th quarter;144.7
904;Total jobs;Total employees;A-U All economic activities;Total;Poland;2014;143.8
905;Total jobs;Total employees;A-U All economic activities;Total;Poland;2015 1st quarter;138.1
906;Total jobs;Total employees;A-U All economic activities;Total;Poland;2015 2nd quarter;155.0
907;Total jobs;Total employees;A-U All economic activities;Total;Poland;2015 3rd quarter;167.5
908;Total jobs;Total employees;A-U All economic activities;Total;Poland;2015 4th quarter;159.3
909;Total jobs;Total employees;A-U All economic activities;Total;Poland;2015;155.1
910;Total jobs;Total employees;A-U All economic activities;Total;Poland;2016 1st quarter;148.3
911;Total jobs;Total employees;A-U All economic activities;Total;Poland;2016 2nd quarter;166.7
912;Total jobs;Total employees;A-U All economic activities;Total;Poland;2016 3rd quarter;179.0
913;Total jobs;Total employees;A-U All economic activities;Total;Poland;2016 4th quarter;171.0
914;Total jobs;Total employees;A-U All economic activities;Total;Poland;2016;166.3
915;Total jobs;Total employees;A-U All economic activities;Total;Poland;2017 1st quarter;162.6
916;Total jobs;Total employees;A-U All economic activities;Total;Poland;2017 2nd quarter;180.9
917;Total jobs;Total employees;A-U All economic activities;Total;Poland;2017 3rd quarter;195.6
918;Total jobs;Total employees;A-U All economic activities;Total;Poland;2017 4th quarter;189.9
919;Total jobs;Total employees;A-U All economic activities;Total;Poland;2017;182.4
920;Total jobs;Total employees;A-U All economic activities;Total;Poland;2018 1st quarter;179.5
921;Total jobs;Total employees;A-U All economic activities;Total;Poland;2018 2nd quarter;194.2
922;Total jobs;Total employees;A-U All economic activities;Total;Poland;2018 3rd quarter;208.8
923;Total jobs;Total employees;A-U All economic activities;Total;Poland;2018 4th quarter;201.8
924;Total jobs;Total employees;A-U All economic activities;Total;Poland;2018;196.2
925;Total jobs;Total employees;A-U All economic activities;Total;Poland;2019 1st quarter;187.9
926;Total jobs;Total employees;A-U All economic activities;Total;Poland;2019 2nd quarter;197.8
927;Total jobs;Total employees;A-U All economic activities;Total;Poland;2019 3rd quarter;210.5
928;Total jobs;Total employees;A-U All economic activities;Total;Poland;2019 4th quarter;201.8
929;Total jobs;Total employees;A-U All economic activities;Total;Poland;2019;199.6
930;Total jobs;Total employees;A-U All economic activities;Total;Poland;2020 1st quarter;189.5
931;Total jobs;Total employees;A-U All economic activities;Total;Poland;2020 2nd quarter;184.6
932;Total jobs;Total employees;A-U All economic activities;Total;Poland;2020 3rd quarter;204.5
933;Total jobs;Total employees;A-U All economic activities;Total;Poland;2020 4th quarter;197.1
934;Total jobs;Total employees;A-U All economic activities;Total;Poland;2020;194.0
935;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2010 1st quarter;8.2
936;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2010 2nd quarter;8.6
937;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2010 3rd quarter;8.6
938;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2010 4th quarter;8.7
939;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2010;8.5
940;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2011 1st quarter;8.3
941;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2011 2nd quarter;8.7
942;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2011 3rd quarter;9.1
943;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2011 4th quarter;9.1
944;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2011;8.8
945;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2012 1st quarter;9.1
946;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2012 2nd quarter;9.7
947;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2012 3rd quarter;9.7
948;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2012 4th quarter;9.5
949;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2012;9.5
950;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2013 1st quarter;8.9
951;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2013 2nd quarter;9.4
952;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2013 3rd quarter;9.3
953;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2013 4th quarter;9.3
954;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2013;9.2
955;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2014 1st quarter;9.1
956;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2014 2nd quarter;9.5
957;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2014 3rd quarter;9.4
958;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2014 4th quarter;9.5
959;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2014;9.4
960;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2015 1st quarter;9.5
961;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2015 2nd quarter;10.1
962;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2015 3rd quarter;10.0
963;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2015 4th quarter;9.7
964;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2015;9.8
965;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2016 1st quarter;9.1
966;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2016 2nd quarter;9.6
967;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2016 3rd quarter;9.6
968;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2016 4th quarter;9.9
969;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2016;9.6
970;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2017 1st quarter;9.8
971;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2017 2nd quarter;10.4
972;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2017 3rd quarter;10.3
973;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2017 4th quarter;10.6
974;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2017;10.3
975;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2018 1st quarter;10.8
976;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2018 2nd quarter;11.4
977;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2018 3rd quarter;11.4
978;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2018 4th quarter;11.8
979;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2018;11.4
980;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2019 1st quarter;11.7
981;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2019 2nd quarter;12.3
982;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2019 3rd quarter;12.3
983;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2019 4th quarter;12.7
984;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2019;12.2
985;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2020 1st quarter;12.3
986;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2020 2nd quarter;11.7
987;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2020 3rd quarter;11.8
988;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2020 4th quarter;11.9
989;Total jobs;Total employees;A-U All economic activities;Total;Portugal;2020;11.9
990;Total jobs;Total employees;A-U All economic activities;Total;Romania;2010 1st quarter;4.8
991;Total jobs;Total employees;A-U All economic activities;Total;Romania;2010 2nd quarter;5.3
992;Total jobs;Total employees;A-U All economic activities;Total;Romania;2010 3rd quarter;5.5
993;Total jobs;Total employees;A-U All economic activities;Total;Romania;2010 4th quarter;5.1
994;Total jobs;Total employees;A-U All economic activities;Total;Romania;2010;5.2
995;Total jobs;Total employees;A-U All economic activities;Total;Romania;2011 1st quarter;5.4
996;Total jobs;Total employees;A-U All economic activities;Total;Romania;2011 2nd quarter;5.5
997;Total jobs;Total employees;A-U All economic activities;Total;Romania;2011 3rd quarter;5.4
998;Total jobs;Total employees;A-U All economic activities;Total;Romania;2011 4th quarter;5.4
999;Total jobs;Total employees;A-U All economic activities;Total;Romania;2011;5.4
1000;Total jobs;Total employees;A-U All economic activities;Total;Romania;2012 1st quarter;5.2
1001;Total jobs;Total employees;A-U All economic activities;Total;Romania;2012 2nd quarter;5.3
1002;Total jobs;Total employees;A-U All economic activities;Total;Romania;2012 3rd quarter;5.4
1003;Total jobs;Total employees;A-U All economic activities;Total;Romania;2012 4th quarter;5.5
1004;Total jobs;Total employees;A-U All economic activities;Total;Romania;2012;5.3
1005;Total jobs;Total employees;A-U All economic activities;Total;Romania;2013 1st quarter;5.6
1006;Total jobs;Total employees;A-U All economic activities;Total;Romania;2013 2nd quarter;5.7
1007;Total jobs;Total employees;A-U All economic activities;Total;Romania;2013 3rd quarter;5.7
1008;Total jobs;Total employees;A-U All economic activities;Total;Romania;2013 4th quarter;5.9
1009;Total jobs;Total employees;A-U All economic activities;Total;Romania;2013;5.7
1010;Total jobs;Total employees;A-U All economic activities;Total;Romania;2014 1st quarter;6.8
1011;Total jobs;Total employees;A-U All economic activities;Total;Romania;2014 2nd quarter;8.6
1012;Total jobs;Total employees;A-U All economic activities;Total;Romania;2014 3rd quarter;9.4
1013;Total jobs;Total employees;A-U All economic activities;Total;Romania;2014 4th quarter;9.5
1014;Total jobs;Total employees;A-U All economic activities;Total;Romania;2014;8.6
1015;Total jobs;Total employees;A-U All economic activities;Total;Romania;2015 1st quarter;9.6
1016;Total jobs;Total employees;A-U All economic activities;Total;Romania;2015 2nd quarter;11.8
1017;Total jobs;Total employees;A-U All economic activities;Total;Romania;2015 3rd quarter;13.0
1018;Total jobs;Total employees;A-U All economic activities;Total;Romania;2015 4th quarter;12.6
1019;Total jobs;Total employees;A-U All economic activities;Total;Romania;2015;11.7
1020;Total jobs;Total employees;A-U All economic activities;Total;Romania;2016 1st quarter;12.6
1021;Total jobs;Total employees;A-U All economic activities;Total;Romania;2016 2nd quarter;15.8
1022;Total jobs;Total employees;A-U All economic activities;Total;Romania;2016 3rd quarter;17.7
1023;Total jobs;Total employees;A-U All economic activities;Total;Romania;2016 4th quarter;18.0
1024;Total jobs;Total employees;A-U All economic activities;Total;Romania;2016;16.0
1025;Total jobs;Total employees;A-U All economic activities;Total;Romania;2017 1st quarter;18.1
1026;Total jobs;Total employees;A-U All economic activities;Total;Romania;2017 2nd quarter;23.1
1027;Total jobs;Total employees;A-U All economic activities;Total;Romania;2017 3rd quarter;25.5
